爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
报得三春晖,bao'de'san'chun'hui
报君黄金台上意,bao'jun'huang'jin'tai'shang'yi
宝帘闲挂小银钩,bao'lian'xian'gua'xiao'yin'gou
薄霜庭院怯生衣,bao'shuang'ting'yuan'qie'sheng'yi
抱膝思量,bao'xi'si'liang
报之以李,bao'zhi'yi'li
爆竹声中一岁除,bao'zhu'sheng'zhong'yi'sui'chu
背灯和月就花阴,bei'deng'he'yue'jiu'hua'yin
北风吹雁雪纷纷,bei'feng'chui'yan'xue'fen'fen
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
北风雨雪恨难裁,bei'feng'yu'xue'hen'nan'cai
背高城,bei'gao'cheng
被酒莫惊春睡重,bei'jiu'mo'jing'chun'shui'zhong
背立盈盈故作羞,bei'li'ying'ying'gu'zuo'xiu
杯中酒不空,bei'zhong'jiu'bu'kong
奔流到海不复回,ben'liu'dao'hai'bu'fu'hui
本是同根生,ben'shi'tong'gen'sheng
毕竟东流去,bi'jing'dong'liu'qu
毕竟西湖六月中,bi'jing'xi'hu'liu'yue'zhong
壁立千仞,bi'li'qian'ren
笔落惊风雨,bi'luo'jing'feng'yu
碧落知何许,bi'luo'zhi'he'xu
避其锐气,bi'qi'rui'qi
碧水东流至此回,bi'shui'dong'liu'zhi'ci'hui
必先苦其心志,bi'xian'ku'qi'xin'zhi
必先利其器,bi'xian'li'qi'qi
必先之,bi'xian'zhi
比翼连枝当日愿,bi'yi'lian'zhi'dang'ri'yuan
必有近忧,bi'you'jin'you
必有我师焉,bi'you'wo'shi'yan
必有一得,bi'you'yi'de
必有一失,bi'you'yi'shi
碧玉妆成一树高,bi'yu'zhuang'cheng'yi'shu'gao
必自毙,bi'zi'bi
辨材须待七年期,bian'cai'xu'dai'qi'nian'qi
遍插茱萸少一人,bian'cha'zhu'yu'shao'yi'ren
便成迟暮,bian'cheng'chi'mu
遍旧家门巷,bian'jiu'jia'men'xiang
便觉秋如许,bian'jue'qiu'ru'xu
便人间天上,bian'ren'jian'tian'shang
便胜却,bian'sheng'que
便是脑满肠肥,bian'shi'nao'man'chang'fei
汴水流,bian'shui'liu
鞭挞黎庶令人悲,bian'ta'li'shu'ling'ren'bei
便无风雪也摧残,bian'wu'feng'xue'ye'cui'can
便下襄阳向洛阳,bian'xia'xiang'yang'xiang'luo'yang
便引诗情到碧霄,bian'yin'shi'qing'dao'bi'xiao
便纵有,bian'zong'you
标格早梅知,biao'ge'zao'mei'zhi
别裁伪体亲风雅,bie'cai'wei'ti'qin'feng'ya
别董大,bie'dong'da
别人笑我忒疯癫,bie'ren'xiao'wo'tei'feng'dian
别时容易见时难,bie'shi'rong'yi'jian'shi'nan
别是一般滋味在心头,bie'shi'yi'ban'zi'wei'zai'xin'tou
别是一番滋味在心头,bie'shi'yi'fan'zi'wei'zai'xin'tou
别绪应萧索,bie'xu'ying'xiao'suo
别意与之谁短长,bie'yi'yu'zhi'shui'duan'chang
别有幽愁暗恨生,bie'you'you'chou'an'hen'sheng
别语悔分明,bie'yu'hui'fen'ming
别语忒分明,bie'yu'tei'fen'ming
别自有人桃叶渡,bie'zi'you'ren'tao'ye'du
鬓如霜,bin'ru'shuang
鬓云松令,bin'yun'song'ling
并吹戏雨,bing'chui'xi'yu
并入愁怀抱,bing'ru'chou'huai'bao
病入新年感物华,bing'ru'xin'nian'gan'wu'hua
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
泊船瓜洲,bo'chuan'gua'zhou
拨灯书尽红笺也,bo'deng'shu'jin'hong'jian'ye
薄福荐倾城,bo'fu'jian'qing'cheng
博观而约取,bo'guan'er'yue'qu
薄命如斯,bo'ming'ru'si
薄情转是多情累,bo'qing'zhuan'shi'duo'qing'lei
波心荡,bo'xin'dang
博学之,bo'xue'zhi
薄妆浅黛亦风流,bo'zhuang'qian'dai'yi'feng'liu
不把雕鞍锁,bu'ba'diao'an'suo
不辨花丛那辨香,bu'bian'hua'cong'na'bian'xiang
不曾富贵不曾穷,bu'ceng'fu'gui'bu'ceng'qiong
不成孤酌,bu'cheng'gu'zhuo
不成器,bu'cheng'qi
不耻下问,bu'chi'xia'wen
不辞冰雪为卿热,bu'ci'bing'xue'wei'qing're
不辞长作岭南人,bu'ci'chang'zuo'ling'nan'ren
不道人间犹有未招魂,bu'dao'ren'jian'you'you'wei'zhao'hun
不道只,bu'dao'zhi
不悱不发,bu'fei'bu'fa
不废江河万古流,bu'fei'jiang'he'wan'gu'liu
不愤不启,bu'fen'bu'qi
不敢叹风尘,bu'gan'tan'feng'chen
不敢问来人,bu'gan'wen'lai'ren
不恨天涯行役苦,bu'hen'tian'ya'xing'yi'ku
不及芙蓉,bu'ji'fu'rong
不汲汲于富贵,bu'ji'ji'yu'fu'gui
不积跬步,bu'ji'kui'bu
不及林间自在啼,bu'ji'lin'jian'zi'zai'ti
不及汪伦送我情,bu'ji'wang'lun'song'wo'qing
不及夜台尘土隔,bu'ji'ye'tai'chen'tu'ge
不见当年秦始皇,bu'jian'dang'nian'qin'shi'huang
不见合欢花,bu'jian'he'huan'hua
不见年年辽海上,bu'jian'nian'nian'liao'hai'shang
不见五陵豪杰墓,bu'jian'wu'ling'hao'jie'mu
不教胡马度阴山,bu'jiao'hu'ma'du'yin'shan
不解藏踪迹,bu'jie'cang'zong'ji
不尽长江滚滚来,bu'jin'chang'jiang'gun'gun'lai
不禁辛苦况相关,bu'jin'xin'ku'kuang'xiang'guan
不拘一格降人才,bu'ju'yi'ge'jiang'ren'cai
不拘一格降人材,bu'ju'yi'ge'jiang'ren'cai
不可断绝,bu'ke'duan'jue
不可活,bu'ke'huo
不肯过江东,bu'ken'guo'jiang'dong
不令而行,bu'ling'er'xing
不论平地与山尖,bu'lun'ping'di'yu'shan'jian
不鸣则已,bu'ming'ze'yi
不破楼兰终不还,bu'po'lou'lan'zhong'bu'huan
不戚戚于贫贱,bu'qi'qi'yu'pin'jian
不遣柳条青,bu'qian'liu'tiao'qing
不求闻达于诸侯,bu'qiu'wen'da'yu'zhu'hou
不去庆父,bu'qu'qing'fu
不忍覆余觞,bu'ren'fu'yu'shang
不入虎穴,bu'ru'hu'xue
不如退而结网,bu'ru'tui'er'jie'wang
不如无书,bu'ru'wu'shu
不塞不流,bu'sai'bu'liu
不是暗尘明月,bu'shi'an'chen'ming'yue
不识庐山真面目,bu'shi'lu'shan'zhen'mian'mu
不是犀椎是凤翘,bu'shi'xi'zhui'shi'feng'qiao
不是虚心岂得贤,bu'shi'xu'xin'qi'de'xian
不是一番寒彻骨,bu'shi'yi'fan'han'che'gu
不是一番梅彻骨,bu'shi'yi'fan'mei'che'gu
不死何为,bu'si'he'wei
不思量,bu'si'liang
卜算子咏梅,bu'suan'zi'yong'mei
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不为瓦全,bu'wei'wa'quan
不许愁人睡,bu'xu'chou'ren'shui
不许孤眠不断肠,bu'xu'gu'mian'bu'duan'chang
不须檀板共金樽,bu'xu'tan'ban'gong'jin'zun
不要人夸好颜色,bu'yao'ren'kua'hao'yan'se
不要人夸颜色好,bu'yao'ren'kua'yan'se'hao
不以己悲,bu'yi'ji'bei
不亦君子乎,bu'yi'jun'zi'hu
不亦乐乎,bu'yi'le'hu
不宜妄自菲薄,bu'yi'wang'zi'fei'bo
不以物喜,bu'yi'wu'xi
不亦说乎,bu'yi'yue'hu
不应有恨,bu'ying'you'hen
不语垂鞭,bu'yu'chui'bian
不预则废,bu'yu'ze'fei
不愿鞠躬车马前,bu'yuan'ju'gong'che'ma'qian
不止不行,bu'zhi'bu'xing
不知乘月几人归,bu'zhi'cheng'yue'ji'ren'gui
不知愁思落谁家,bu'zhi'chou'si'luo'shui'jia
不知道,bu'zhi'dao
不知何处吹芦管,bu'zhi'he'chu'chui'lu'guan
不知何事萦怀抱,bu'zhi'he'shi'ying'huai'bao
不知何以得此也,bu'zhi'he'yi'de'ci'ye
不知江月待何人,bu'zhi'jiang'yue'dai'he'ren
不知明镜里,bu'zhi'ming'jing'li
不指南方不肯休,bu'zhi'nan'fang'bu'ken'xiu
不知其可,bu'zhi'qi'ke
不知秋思落谁家,bu'zhi'qiu'si'luo'shui'jia
不知天地有清霜,bu'zhi'tian'di'you'qing'shuang
不知天上宫阙,bu'zhi'tian'shang'gong'que
不知为不知,bu'zhi'wei'bu'zhi
不知我者,bu'zhi'wo'zhe
不知细叶谁裁出,bu'zhi'xi'ye'shui'cai'chu
不知义,bu'zhi'yi
不知征战几人还,bu'zhi'zheng'zhan'ji'ren'hai
不知转入此中来,bu'zhi'zhuan'ru'ci'zhong'lai
不坠青云之志,bu'zhui'qing'yun'zhi'zhi
不作繁华主,bu'zuo'fan'hua'zhu
采得百花成蜜后,cai'de'bai'hua'cheng'mi'hou
采菊东篱下,cai'ju'dong'li'xia
才了蚕桑又插田,cai'le'can'sang'you'cha'tian
才命真相负,cai'ming'zhen'xiang'fu
采桑子,cai'sang'zi
彩扇咽寒蝉,cai'shan'yan'han'chan
才听夜雨,cai'ting'ye'yu
才下眉头,cai'xia'mei'tou
采香行处蹙连钱,cai'xiang'xing'chu'cu'lian'qian
惨淡黄花节,can'dan'huang'hua'jie
残更目断传书雁,can'geng'mu'duan'chuan'shu'yan
惨绿愁红,can'lv'chou'hong
残雪暗随冰笋滴,can'xue'an'sui'bing'sun'di
残雪压枝犹有桔,can'xue'ya'zhi'you'you'ju
仓廪实而知礼节,cang'lin'shi'er'zhi'li'jie
苍龙日暮还行雨,cang'long'ri'mu'hai'xing'yu
藏鸦细柳,cang'ya'xi'liu
草暗斜川,cao'an'xie'chuan
嘈嘈切切错杂弹,cao'cao'qie'qie'cuo'za'dan
草径入荒园,cao'jing'ru'huang'yuan
草枯鹰眼疾,cao'ku'ying'yan'ji
草满池塘水满陂,cao'man'chi'tang'shui'man'bei
草木本无意,cao'mu'ben'wu'yi
操千曲而后晓声,cao'qian'qu'er'hou'xiao'sheng
操千曲而知音,cao'qian'qu'er'zhi'yin
草色入帘青,cao'se'ru'lian'qing
草色遥看近却无,cao'se'yao'kan'jin'que'wu
草长莺飞二月天,cao'zhang'ying'fei'er'yue'tian
侧坐莓苔草映身,ce'zuo'mei'tai'cao'ying'shen
曾经沧海难为水,ceng'jing'cang'hai'nan'wei'shui
曾是惊鸿照影来,ceng'shi'jing'hong'zhao'ying'lai
曾是洛阳花下客,ceng'shi'luo'yang'hua'xia'ke
曾是向他春梦里,ceng'shi'xiang'ta'chun'meng'li
曾益其所不能,ceng'yi'qi'suo'bu'neng
差之毫厘,cha'zhi'hao'li
柴门闻狗吠,chai'men'wen'gou'fei
柴门闻犬吠,chai'men'wen'quan'fei
蟾蜍下早弦,chan'chu'xia'zao'xian
铲地梨花,chan'di'li'hua
禅房花木深,chan'fang'hua'mu'shen
单于夜遁逃,chan'yu'ye'dun'tao
蝉噪林逾静,chan'zao'lin'yu'jing
长安儿女,chang'an'er'nv
唱罢秋坟愁未歇,chang'ba'qiu'fen'chou'wei'xie
唱得虎头词,chang'de'hu'tou'ci
肠断天涯,chang'duan'tian'ya
肠断月明红豆蔻,chang'duan'yue'ming'hong'dou'kou
长风破浪会有时,chang'feng'po'lang'hui'you'shi
长歌怀采薇,chang'ge'huai'cai'wei
长歌行,chang'ge'xing
长河落日圆,chang'he'luo'ri'yuan
长恨春归无觅处,chang'hen'chun'gui'wu'mi'chu
常记溪亭日暮,chang'ji'xi'ting'ri'mu
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
常将冷眼看螃蟹,chang'jiang'leng'yan'kan'pang'xie
常恐秋节至,chang'kong'qiu'jie'zhi
长是人千里,chang'shi'ren'qian'li
长使英雄泪满襟,chang'shi'ying'xiong'lei'man'jin
长使英雄泪沾襟,chang'shi'ying'xiong'lei'zhan'jin
长太息以掩涕兮,chang'tai'xi'yi'yan'ti'xi
长条脉脉垂,chang'tiao'mo'mo'chui
长向画图清夜唤真真,chang'xiang'hua'tu'qing'ye'huan'zhen'zhen
长相思,chang'xiang'si
朝来定有霜,chao'lai'ding'you'shuang
朝泪如潮,chao'lei'ru'chao
潮平两岸阔,chao'ping'liang'an'kuo
朝天子,chao'tian'zi
车尘马足贵者趣,che'chen'ma'zu'gui'zhe'qu
彻夜东风瘦,che'ye'dong'feng'shou
沉沉更鼓急,chen'chen'geng'gu'ji
趁娇尘软雾,chen'jiao'chen'ruan'wu
尘满面,chen'man'mian
尘满疏帘素带飘,chen'man'shu'lian'su'dai'piao
晨起动征铎,chen'qi'dong'zheng'duo
尘生燕子空楼,chen'sheng'yan'zi'kong'lou
沉思往事立残阳,chen'si'wang'shi'li'can'yang
趁西风烧遍,chen'xi'feng'shao'bian
趁斜阳鱼浪香浮,chen'xie'yang'yu'lang'xiang'fu
臣心一片磁针石,chen'xin'yi'pian'ci'zhen'shi
晨兴理荒秽,chen'xing'li'huang'hui
沉吟至今,chen'yin'zhi'jin
陈与义,chen'yu'yi
尘缘未断,chen'yuan'wei'duan
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
沉舟侧畔千帆进,chen'zhou'ce'pan'qian'fan'jin
臣子恨,chen'zi'hen
沉醉不知归路,chen'zui'bu'zhi'gui'lu
城春草木深,cheng'chun'cao'mu'shen
澄江静如练,cheng'jiang'jing'ru'lian
澄江一道月分明,cheng'jiang'yi'dao'yue'fen'ming
城门失火,cheng'men'shi'huo
承明班列,cheng'ming'ban'lie
称名忆旧容,cheng'ming'yi'jiu'rong
成如容易却艰辛,cheng'ru'rong'yi'que'jian'xin
城上斜阳画角哀,cheng'shang'xie'yang'hua'jiao'ai
丞相祠堂何处寻,cheng'xiang'ci'tang'he'chu'xun
诚宜开张圣听,cheng'yi'kai'zhang'sheng'ting
成由勤俭败由奢,cheng'you'qin'jian'bai'you'she
赤壁,chi'bi
痴儿了却公家事,chi'er'liao'que'gong'jia'shi
敕勒川,chi'le'chuan
敕勒歌,chi'le'ge
迟日江山丽,chi'ri'jiang'shan'li
池上,chi'shang
痴数春星,chi'shu'chun'xing
尺素还稀,chi'su'hai'xi
池塘生春草,chi'tang'sheng'chun'cao
尺有所短,chi'you'suo'duan
池鱼思故渊,chi'yu'si'gu'yuan
持之有故,chi'zhi'you'gu
冲冠一怒为红颜,chong'guan'yi'nu'wei'hong'yan
重九,chong'jiu
重看一半模糊,chong'kan'yi'ban'mo'hu
虫声新透绿窗纱,chong'sheng'xin'tou'lv'chuang'sha
惆怅彩云飞,chou'chang'cai'yun'fei
惆怅离情,chou'chang'li'qing
惆怅玉颜成间阻,chou'chang'yu'yan'cheng'jian'zu
抽刀断水水更流,chou'dao'duan'shui'shui'geng'liu
愁痕满地无人省,chou'hen'man'di'wu'ren'sheng
酬乐天扬州初逢席上见赠,chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng
愁人知夜长,chou'ren'zhi'ye'chang
愁无限,chou'wu'xian
愁向风前无处说,chou'xiang'feng'qian'wu'chu'shuo
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
处处闻啼鸟,chu'chu'wen'ti'niao
除恶务尽,chu'e'wu'jin
除非己莫为,chu'fei'ji'mo'wei
雏凤清于老凤声,chu'feng'qing'yu'lao'feng'sheng
锄禾,chu'he
锄禾日当午,chu'he'ri'dang'wu
处江湖之远则忧其君,chu'jiang'hu'zhi'yuan'ze'you'qi'jun
出门俱是看花人,chu'men'ju'shi'kan'hua'ren
出没风波里,chu'mo'feng'bo'li
初晴后雨,chu'qing'hou'yu
除却巫山不是云,chu'que'wu'shan'bu'shi'yun
出塞,chu'sai
初上帘钩,chu'shang'lian'gou
出师未捷身先死,chu'shi'wei'jie'shen'xian'si
出师一表真名世,chu'shi'yi'biao'zhen'ming'shi
楚虽三户能亡秦,chu'sui'san'hu'neng'wang'qin
初闻涕泪满衣裳,chu'wen'ti'lei'man'yi'shang
触绪还伤,chu'xu'hai'shang
出淤泥而不染,chu'yu'ni'er'bu'ran
出则无敌国外患者,chu'ze'wu'di'guo'wai'huan'zhe
滁州西涧,chu'zhou'xi'jian
穿花蛱蝶深深见,chuan'hua'jia'die'shen'shen'jian
传与琵琶心自知,chuan'yu'pi'pa'xin'zi'zhi
窗含西岭千秋雪,chuang'han'xi'ling'qian'qiu'xue
床前明月光,chuang'qian'ming'yue'guang
垂翠袖,chui'cui'xiu
吹灯窗更明,chui'deng'chuang'geng'ming
吹尽狂沙始到金,chui'jin'kuang'sha'shi'dao'jin
吹冷长安月又萧寺,chui'leng'chang'an'yue'you'xiao'si
垂柳丝,chui'liu'si
吹落娇红,chui'luo'jiao'hong
吹梦成今古,chui'meng'cheng'jin'gu
吹面不寒杨柳风,chui'mian'bu'han'yang'liu'feng
吹伤了那家,chui'shang'le'na'jia
垂杨那是相思树,chui'yang'na'shi'xiang'si'shu
春蚕到死丝方尽,chun'can'dao'si'si'fang'jin
春长费买花钱,chun'chang'fei'mai'hua'qian
春潮带雨晚来急,chun'chao'dai'yu'wan'lai'ji
春城无处不飞花,chun'cheng'wu'chu'bu'fei'hua
春丛认取双栖蝶,chun'cong'ren'qu'shuang'qi'die
春到山城苦寂寞,chun'dao'shan'cheng'ku'ji'mo
春风不度玉门关,chun'feng'bu'du'yu'men'guan
春风不改旧时波,chun'feng'bu'gai'jiu'shi'bo
春风吹又生,chun'feng'chui'you'sheng
春风得意马蹄疾,chun'feng'de'yi'ma'ti'ji
春风拂槛露华浓,chun'feng'fu'kan'lu'hua'nong
春风花草香,chun'feng'hua'cao'xiang
春风送暖入屠苏,chun'feng'song'nuan'ru'tu'su
春风疑不到天涯,chun'feng'yi'bu'dao'tian'ya
春风又绿江南岸,chun'feng'you'lv'jiang'nan'an
春风知别苦,chun'feng'zhi'bie'ku
春光霭欲布,chun'guang'ai'yu'bu
春花秋叶,chun'hua'qiu'ye
春花秋月何时了,chun'hua'qiu'yue'he'shi'liao
春江潮水连海平,chun'jiang'chao'shui'lian'hai'ping
春江水暖鸭先知,chun'jiang'shui'nuan'ya'xian'zhi
春来发几枝,chun'lai'fa'ji'zhi
春来江水绿如蓝,chun'lai'jiang'shui'lv'ru'lan
春眠不觉晓,chun'mian'bu'jue'xiao
春浅,chun'qian
春情只到梨花薄,chun'qing'zhi'dao'li'hua'bo
春日,chun'ri
春日偶成,chun'ri'ou'cheng
春色满园关不住,chun'se'man'yuan'guan'bu'zhu
春色已看浓似酒,chun'se'yi'kan'nong'si'jiu
春晚感怀,chun'wan'gan'huai
春望,chun'wang
唇亡齿寒,chun'wang'chi'han
春为江水绿如蓝,chun'wei'jiang'shui'lv'ru'lan
春宵,chun'xiao
春晓,chun'xiao
春宵一刻值千金,chun'xiao'yi'ke'zhi'qian'jin
春心莫共花争发,chun'xin'mo'gong'hua'zheng'fa
春雪,chun'xue
春夜喜雨,chun'ye'xi'yu
春犹有数行书,chun'you'you'shu'xing'shu
春云吹散湘帘雨,chun'yun'chui'san'xiang'lian'yu
春种一粒粟,chun'zhong'yi'li'su
此地空馀黄鹤楼,ci'di'kong'yu'huang'he'lou
此地一为别,ci'di'yi'wei'bie
此恨不关风与月,ci'hen'bu'guan'feng'yu'yue
此恨何时已,ci'hen'he'shi'yi
此恨绵绵无绝期,ci'hen'mian'mian'wu'jue'qi
此恨难平君知否,ci'hen'nan'ping'jun'zhi'fou
此后汉所以倾颓也,ci'hou'han'suo'yi'qing'tui'ye
此荒烟落照,ci'huang'yan'luo'zhao
慈母手中线,ci'mu'shou'zhong'xian
此情待共谁人晓,ci'qing'dai'gong'shei'ren'xiao
此情无计可消除,ci'qing'wu'ji'ke'xiao'chu
此情已自成追忆,ci'qing'yi'zi'cheng'zhui'yi
此去经年,ci'qu'jing'nian
此去泉台招旧部,ci'qu'quan'tai'zhao'jiu'bu
此曲只应天上有,ci'qu'zhi'ying'tian'shang'you
此身合是诗人未,ci'shen'he'shi'shi'ren'wei
此身虽在堪惊,ci'shen'sui'zai'kan'jing
此身行作稽山土,ci'shen'xing'zuo'ji'shan'tu
此事古难全,ci'shi'gu'nan'quan
此时画阁垂杨岸,ci'shi'hua'ge'chui'yang'an
此时无声胜有声,ci'shi'wu'sheng'sheng'you'sheng
此时相望不相闻,ci'shi'xiang'wang'bu'xiang'wen
此水几时休,ci'shui'ji'shi'xiu
此物最相思,ci'wu'zui'xiang'si
此先汉所以兴隆也,ci'xian'han'suo'yi'xing'long'ye
此心吾与白鸥盟,ci'xin'wu'yu'bai'ou'meng
此夜曲中闻折柳,ci'ye'qu'zhong'wen'zhe'liu
此之谓大丈夫,ci'zhi'wei'da'zhang'fu
从此簟纹灯影,cong'ci'dian'wen'deng'ying
从此伤春伤别,cong'ci'shang'chun'shang'bie
从此无心爱良夜,cong'ci'wu'xin'ai'liang'ye
从此萧郎是路人,cong'ci'xiao'lang'shi'lu'ren
从恶如崩,cong'e'ru'beng
从教分付,cong'jiao'fen'fu
从今若许闲乘月,cong'jin'ruo'xu'xian'cheng'yue
从军行,cong'jun'xing
从来好事天生俭,cong'lai'hao'shi'tian'sheng'jian
从善如登,cong'shan'ru'deng
促织儿,cu'zhi'er
翠峰如簇,cui'feng'ru'cu
催花未歇花奴鼓,cui'hua'wei'xie'hua'nu'gu
崔九堂前几度闻,cui'jiu'tang'qian'ji'du'wen
翠辇辞金阙,cui'nian'ci'jin'que
村居,cun'ju
寸狂心未说,cun'kuang'xin'wei'shuo
村晚,cun'wan
寸有所长,cun'you'suo'chang
存者且偷生,cun'zhe'qie'tou'sheng
村庄儿女各当家,cun'zhuang'er'nv'ge'dang'jia
错教人恨无情,cuo'jiao'ren'hen'wu'qing
挫万物于笔端,cuo'wan'wu'yu'bi'duan
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大辩若讷,da'bian'ruo'ne
大道之行,da'dao'zhi'xing
大儿锄豆溪东,da'er'chu'dou'xi'dong
大凡物不得其平则鸣,da'fan'wu'bu'de'qi'ping'ze'ming
大江东去,da'jiang'dong'qu
大林寺桃花,da'lin'si'tao'hua
大漠孤烟直,da'mo'gu'yan'zhi
大漠沙如雪,da'mo'sha'ru'xue
大鹏一日同风起,da'peng'yi'ri'tong'feng'qi
大巧若拙,da'qiao'ruo'zhuo
大弦嘈嘈如急雨,da'xian'cao'cao'ru'ji'yu
大雪满弓刀,da'xue'man'gong'dao
达则兼济天下,da'ze'jian'ji'tian'xia
大直若屈,da'zhi'ruo'qu
大珠小珠落玉盘,da'zhu'xiao'zhu'luo'yu'pan
待不思量,dai'bu'si'liang
待到山花烂漫时,dai'dao'shan'hua'lan'man'shi
待得郎归恨却休,dai'de'lang'gui'hen'que'xiu
黛蛾长敛,dai'e'chang'lian
待将低唤,dai'jiang'di'huan
待结个,dai'jie'ge
带月荷锄归,dai'yue'he'chu'gui
岱宗夫如何,dai'zong'fu'ru'he
但爱鲈鱼美,dan'ai'lu'yu'mei
但悲不见九州同,dan'bei'bu'jian'jiu'zhou'tong
但见长江送流水,dan'jian'chang'jiang'song'liu'shui
弹看飞鸿劝胡酒,dan'kan'fei'hong'quan'hu'jiu
但临别有云,dan'lin'bie'you'yun
丹青不知老将至,dan'qing'bu'zhi'lao'jiang'zhi
但使龙城飞将在,dan'shi'long'cheng'fei'jiang'zai
但苔深韦曲,dan'tai'shen'wei'qu
但为君故,dan'wei'jun'gu
但闻人语响,dan'wen'ren'yu'xiang
但由他,dan'you'ta
但愿老死花酒间,dan'yuan'lao'si'hua'jiu'jian
但愿人长久,dan'yuan'ren'chang'jiu
但值良宵总泪零,dan'zhi'liang'xiao'zong'lei'ling
淡妆浓抹总相宜,dan'zhuang'nong'mo'zong'xiang'yi
当春乃发生,dang'chun'nai'fa'sheng
当刮目相看,dang'gua'mu'xiang'kan
当局者迷,dang'ju'zhe'mi
当年不肯嫁春风,dang'nian'bu'ken'jia'chun'feng
当年燕子知何处,dang'nian'yan'zi'zhi'he'chu
当时共我赏花人,dang'shi'gong'wo'shang'hua'ren
当时领略,dang'shi'ling'lue
当时七夕记深盟,dang'shi'qi'xi'ji'shen'meng
当时枉杀毛延寿,dang'shi'wang'sha'mao'yan'shou
当时只道是寻常,dang'shi'zhi'dao'shi'xun'chang
