啊那不是杵起了,a'na'bu'shi'chu'qi'le
解释比喻人的性格粗放不拘小节,jie'shi'bi'yu'ren'de'xing'ge'cu'fang'bu'ju'xiao'jie
解释比喻受牵连或惹祸上身,jie'shi'bi'yu'shou'qian'lian'huo're'huo'shang'shen
解释比喻问题得到解决,jie'shi'bi'yu'wen'ti'de'dao'jie'jue
解释比喻相信某人的话,jie'shi'bi'yu'xiang'xin'mou'ren'de'hua
解释比喻亦步亦趋的追随着,jie'shi'bi'yu'yi'bu'yi'qu'de'zhui'sui'zhe
解释比喻找借口溜走,jie'shi'bi'yu'zhao'jie'kou'liu'zou
解释比喻做事不踏实弄虚作假,jie'shi'bi'yu'zuo'shi'bu'ta'shi'nong'xu'zuo'jia
解释变质,jie'shi'bian'zhi
解释表示灰心丧气遇事退缩,jie'shi'biao'shi'hui'xin'sang'qi'yu'shi'tui'suo
解释表示说不明白,jie'shi'biao'shi'shuo'bu'ming'bai
解释别人争论时帮一方说话,jie'shi'bie'ren'zheng'lun'shi'bang'yi'fang'shuo'hua
解释不安分行为怪异,jie'shi'bu'an'fen'xing'wei'guai'yi
解释不服输不同意或不依从,jie'shi'bu'fu'shu'bu'tong'yi'huo'bu'yi'cong
解释不感兴趣不当回事,jie'shi'bu'gan'xing'qu'bu'dang'hui'shi
解释不感兴趣不喜欢,jie'shi'bu'gan'xing'qu'bu'xi'huan
解释不管怎样无论如何,jie'shi'bu'guan'zen'yang'wu'lun'ru'he
解释不划算,jie'shi'bu'hua'suan
解释不能来行不通,jie'shi'bu'neng'lai'xing'bu'tong
解释不清楚乱七八糟,jie'shi'bu'qing'chu'luan'qi'ba'zao
解释不生气不理睬没有反应,jie'shi'bu'sheng'qi'bu'li'cai'mei'you'fan'ying
解释不停点头的样子,jie'shi'bu'ting'dian'tou'de'yang'zi
解释不像话,jie'shi'bu'xiang'hua
解释不像话没道理,jie'shi'bu'xiang'hua'mei'dao'li
解释不用说了说了也没用,jie'shi'bu'yong'shuo'le'shuo'le'ye'mei'yong
解释不知好歹,jie'shi'bu'zhi'hao'dai
解释不转眼,jie'shi'bu'zhuan'yan
解释猜到,jie'shi'cai'dao
解释叉叉裤开裆裤泛指同年时代,jie'shi'cha'cha'ku'kai'dang'ku'fan'zhi'tong'nian'shi'dai
解释常闯祸坏事的人,jie'shi'chang'chuang'huo'huai'shi'de'ren
解释常用以形容衣裤破烂,jie'shi'chang'yong'yi'xing'rong'yi'ku'po'lan
解释吃白食或占便宜,jie'shi'chi'bai'shi'huo'zhan'pian'yi
解释吃得开,jie'shi'chi'de'kai
解释吃肉食,jie'shi'chi'rou'shi
解释充其量不超过,jie'shi'chong'qi'liang'bu'chao'guo
解释吹牛说大话,jie'shi'chui'niu'shuo'da'hua
解释吹牛闲聊,jie'shi'chui'niu'xian'liao
解释凑热闹,jie'shi'cou're'nao
解释粗俗语表否定,jie'shi'cu'su'yu'biao'fou'ding
解释粗俗语表示不相信,jie'shi'cu'su'yu'biao'shi'bu'xiang'xin
解释打呼噜,jie'shi'da'hu'lu
解释大家共同吃喝均摊费用,jie'shi'da'jia'gong'tong'chi'he'jun'tan'fei'yong
解释打空手走路,jie'shi'da'kong'shou'zou'lu
解释大模大样满不在乎的样子,jie'shi'da'mo'da'yang'man'bu'zai'hu'de'yang'zi
解释打扫,jie'shi'da'sao
解释打主意,jie'shi'da'zhu'yi
解释到饭馆吃喝,jie'shi'dao'fan'guan'chi'he
解释倒霉到极点,jie'shi'dao'mei'dao'ji'dian
解释吊儿郎当的样子,jie'shi'diao'er'lang'dang'de'yang'zi
解释丢了,jie'shi'diu'le
解释丢脸丢面子,jie'shi'diu'lian'diu'mian'zi
解释独一无二的东西,jie'shi'du'yi'wu'er'de'dong'xi
解释跺脚,jie'shi'duo'jiao
解释发烧得很厉害,jie'shi'fa'shao'de'hen'li'hai
解释翻跟斗,jie'shi'fan'gen'dou
解释泛指市场一般的价格,jie'shi'fan'zhi'shi'chang'yi'ban'de'jia'ge
解释泛指说话做事不和规矩,jie'shi'fan'zhi'shuo'hua'zuo'shi'bu'he'gui'ju
解释泛指图省事方便,jie'shi'fan'zhi'tu'sheng'shi'fang'bian
解释方起了,jie'shi'fang'qi'le
解释非常吝啬的样子,jie'shi'fei'chang'lin'se'de'yang'zi
解释胳肢窝,jie'shi'ga'zhi'wo
解释搞定搞清楚,jie'shi'gao'ding'gao'qing'chu
解释跟斗,jie'shi'gen'dou
解释好得没说的不用说了了不起,jie'shi'hao'de'mei'shuo'de'bu'yong'shuo'le'liao'bu'qi
解释很费力的思考,jie'shi'hen'fei'li'de'si'kao
解释很糊涂,jie'shi'hen'hu'tu
解释很粘稠的,jie'shi'hen'nian'chou'de
解释很肉的样子,jie'shi'hen'rou'de'yang'zi
解释很软,jie'shi'hen'ruan
解释很少很少,jie'shi'hen'shao'hen'shao
解释很野的样子,jie'shi'hen'ye'de'yang'zi
解释很直,jie'shi'hen'zhi
解释滑梯,jie'shi'hua'ti
解释话中带粗俗语,jie'shi'hua'zhong'dai'cu'su'yu
解释活该倒霉,jie'shi'huo'gai'dao'mei
解释挤过来,jie'shi'ji'guo'lai
解释夹菜,jie'shi'jia'cai
解释加餐,jie'shi'jia'can
解释假意假惺惺的,jie'shi'jia'yi'jia'xing'xing'de
解释加油,jie'shi'jia'you
解释骄傲自大不可一世的样子,jie'shi'jiao'ao'zi'da'bu'ke'yi'shi'de'yang'zi
解释脚步不稳身体失去控制,jie'shi'jiao'bu'bu'wen'shen'ti'shi'qu'kong'zhi
解释角落,jie'shi'jiao'luo
解释交现钱或当面兑现承诺,jie'shi'jiao'xian'qian'huo'dang'mian'dui'xian'cheng'nuo
解释结巴,jie'shi'jie'ba
解释结束,jie'shi'jie'shu
解释进行无意义的争辩,jie'shi'jin'xing'wu'yi'yi'de'zheng'bian
解释精神不集中,jie'shi'jing'shen'bu'ji'zhong
解释纠缠不休,jie'shi'jiu'chan'bu'xiu
解释就是,jie'shi'jiu'shi
解释聚集成堆,jie'shi'ju'ji'cheng'dui
解释开车技术不过硬的司机,jie'shi'kai'che'ji'shu'bu'guo'ying'de'si'ji
解释开头开始,jie'shi'kai'tou'kai'shi
解释开玩笑失信于别人,jie'shi'kai'wan'xiao'shi'xin'yu'bie'ren
解释口气非常生硬的话,jie'shi'kou'qi'fei'chang'sheng'ying'de'hua
解释拉朋结党并吃得开,jie'shi'la'peng'jie'dang'bing'chi'de'kai
解释来不及,jie'shi'lai'bu'ji
解释冷不防的,jie'shi'leng'bu'fang'de
解释离婚,jie'shi'li'hun
解释聊天,jie'shi'liao'tian
解释卖剩下的东西,jie'shi'mai'sheng'xia'de'dong'xi
解释没把握拿不准,jie'shi'mei'ba'wo'na'bu'zhun
解释没关系没问题,jie'shi'mei'guan'xi'mei'wen'ti
解释没归帮口做零散的苦力工作,jie'shi'mei'gui'bang'kou'zuo'ling'san'de'ku'li'gong'zuo
解释没有希望没有盼头,jie'shi'mei'you'xi'wang'mei'you'pan'tou
解释门牙脱落说话含糊不清,jie'shi'men'ya'tuo'luo'shuo'hua'han'hu'bu'qing
解释明火执仗地抢劫的土匪,jie'shi'ming'huo'zhi'zhang'di'qiang'jie'de'tu'fei
解释目瞪口呆莫名其妙的样子,jie'shi'mu'deng'kou'dai'mo'ming'qi'miao'de'yang'zi
解释哪里用得着不值得,jie'shi'na'li'yong'de'zhao'bu'zhi'de
解释难怪,jie'shi'nan'guai
解释男子向女性张望,jie'shi'nan'zi'xiang'nv'xing'zhang'wang
解释挠痒痒,jie'shi'nao'yang'yang
解释能摆平麻烦事,jie'shi'neng'bai'ping'ma'fan'shi
解释年老糊涂昏愦,jie'shi'nian'lao'hu'tu'hun'kui
解释弄明白,jie'shi'nong'ming'bai
解释虐待不能善待,jie'shi'nue'dai'bu'neng'shan'dai
解释怕老婆,jie'shi'pa'lao'po
解释爬泳狗爬式,jie'shi'pa'yong'gou'pa'shi
解释排队,jie'shi'pai'dui
解释跑,jie'shi'pao
解释捧场助威,jie'shi'peng'chang'zhu'wei
解释碰到挡住,jie'shi'peng'dao'dang'zhu
解释碰着有时偶尔,jie'shi'peng'zhe'you'shi'ou'er
解释便宜,jie'shi'pian'yi
解释平白无故,jie'shi'ping'bai'wu'gu
解释欺哄的行为,jie'shi'qi'hong'de'xing'wei
解释欺骗人或外行,jie'shi'qi'pian'ren'huo'wai'hang
解释其他的想法或心计,jie'shi'qi'ta'de'xiang'fa'huo'xin'ji
解释欺压别人强迫别人接受,jie'shi'qi'ya'bie'ren'qiang'po'bie'ren'jie'shou
解释敲一下头,jie'shi'qiao'yi'xia'tou
解释蜻蜓,jie'shi'qing'ting
解释青蛙,jie'shi'qing'wa
解释蚯蚓,jie'shi'qiu'yin
解释蛐蛐儿,jie'shi'qu'qu'er
解释惹祸上身受牵连,jie'shi're'huo'shang'shen'shou'qian'lian
解释惹上摆脱不掉的麻烦,jie'shi're'shang'bai'tuo'bu'diao'de'ma'fan
解释认输认错,jie'shi'ren'shu'ren'cuo
解释认死理不服输性格固执,jie'shi'ren'si'li'bu'fu'shu'xing'ge'gu'zhi
解释肉麻,jie'shi'rou'ma
解释撒谎,jie'shi'sa'huang
解释傻乎乎的,jie'shi'sha'hu'hu'de
解释身材或物体矮,jie'shi'shen'cai'huo'wu'ti'ai
解释身上的油垢,jie'shi'shen'shang'de'you'gou
解释十分妖冶的样子,jie'shi'shi'fen'yao'ye'de'yang'zi
解释事情进行到一半的时候,jie'shi'shi'qing'jin'xing'dao'yi'ban'de'shi'hou
解释事事都争对你,jie'shi'shi'shi'dou'zheng'dui'ni
解释实心实意一心一意,jie'shi'shi'xin'shi'yi'yi'xin'yi'yi
解释试一下,jie'shi'shi'yi'xia
解释受不了,jie'shi'shou'bu'liao
解释首次享受,jie'shi'shou'ci'xiang'shou
解释手肘,jie'shi'shou'zhou
解释耍横不讲道理地争辩争吵,jie'shi'shua'heng'bu'jiang'dao'li'di'zheng'bian'zheng'chao
解释耍小聪明点子多,jie'shi'shua'xiao'cong'ming'dian'zi'duo
解释吮吸,jie'shi'shun'xi
解释说别人的坏话说出挑衅的话,jie'shi'shuo'bie'ren'de'huai'hua'shuo'chu'tiao'xin'de'hua
解释说不清楚关系暧昧,jie'shi'shuo'bu'qing'chu'guan'xi'ai'mei
解释说不周全不中听的话,jie'shi'shuo'bu'zhou'quan'bu'zhong'ting'de'hua
解释说出不周全或不中听的话,jie'shi'shuo'chu'bu'zhou'quan'huo'bu'zhong'ting'de'hua
解释说话的声音做作装腔作势,jie'shi'shuo'hua'de'sheng'yin'zuo'zuo'zhuang'qiang'zuo'shi
解释说话绕圈子或找借口推脱,jie'shi'shuo'hua'rao'quan'zi'huo'zhao'jie'kou'tui'tuo
解释说话做事不认真吊儿郎当,jie'shi'shuo'hua'zuo'shi'bu'ren'zhen'diao'er'lang'dang
解释说谎话吹牛皮胡扯,jie'shi'shuo'huang'hua'chui'niu'pi'hu'che
解释说空话说了没用,jie'shi'shuo'kong'hua'shuo'le'mei'yong
解释说外行话胡说,jie'shi'shuo'wai'hang'hua'hu'shuo
解释所有的每一个,jie'shi'suo'you'de'mei'yi'ge
解释贪心,jie'shi'tan'xin
解释踢,jie'shi'ti
解释挑夫,jie'shi'tiao'fu
解释调皮,jie'shi'tiao'pi
解释跳蚤,jie'shi'tiao'zao
解释统指梦魇梦游说梦话,jie'shi'tong'zhi'meng'yan'meng'you'shuo'meng'hua
解释偷空或趁人不注意,jie'shi'tou'kong'huo'chen'ren'bu'zhu'yi
解释头脑死板不谙人情世故的人,jie'shi'tou'nao'si'ban'bu'an'ren'qing'shi'gu'de'ren
解释土气,jie'shi'tu'qi
解释退缩推委,jie'shi'tui'suo'tui'wei
解释臀部,jie'shi'tun'bu
解释完了没有了,jie'shi'wan'le'mei'you'le
解释喂,jie'shi'wei
解释无代价的帮忙,jie'shi'wu'dai'jia'de'bang'mang
解释无用无所作为的人,jie'shi'wu'yong'wu'suo'zuo'wei'de'ren
解释膝盖,jie'shi'xi'gai
解释习惯于,jie'shi'xi'guan'yu
解释显示自己能干或内行,jie'shi'xian'shi'zi'ji'neng'gan'huo'nei'hang
解释小家子气目光短浅吝啬,jie'shi'xiao'jia'zi'qi'mu'guang'duan'qian'lin'se
解释小鸟,jie'shi'xiao'niao
解释削铅笔的工具,jie'shi'xiao'qian'bi'de'gong'ju
解释小纸条,jie'shi'xiao'zhi'tiao
解释心里不高兴不舒服,jie'shi'xin'li'bu'gao'xing'bu'shu'fu
解释心里不踏实很担心,jie'shi'xin'li'bu'ta'shi'hen'dan'xin
解释幸好,jie'shi'xing'hao
解释形容多得成串,jie'shi'xing'rong'duo'de'cheng'chuan
解释形容很火爆很狂,jie'shi'xing'rong'hen'huo'bao'hen'kuang
解释形容男士很帅气,jie'shi'xing'rong'nan'shi'hen'shuai'qi
解释形容人急躁爱发脾气,jie'shi'xing'rong'ren'ji'zao'ai'fa'pi'qi
解释形容人迂腐或做作的样子,jie'shi'xing'rong'ren'yu'fu'huo'zuo'zuo'de'yang'zi
解释形容十分疲倦的样子,jie'shi'xing'rong'shi'fen'pi'juan'de'yang'zi
解释形容手忙脚乱的样子,jie'shi'xing'rong'shou'mang'jiao'luan'de'yang'zi
解释形容特别好厉害,jie'shi'xing'rong'te'bie'hao'li'hai
解释形容吓人,jie'shi'xing'rong'xia'ren
解释形容有偷盗恶习,jie'shi'xing'rong'you'tou'dao'e'xi
解释幸灾乐祸看笑话,jie'shi'xing'zai'le'huo'kan'xiao'hua
解释凶狠的欺压,jie'shi'xiong'hen'de'qi'ya
解释严重厉害难于承受很困难,jie'shi'yan'zhong'li'hai'nan'yu'cheng'shou'hen'kun'nan
解释咬紧牙关死不承认,jie'shi'yao'jin'ya'guan'si'bu'cheng'ren
解释一下子,jie'shi'yi'xia'zi
解释阴沉着脸摆出不好看的脸色,jie'shi'yin'chen'zhe'lian'bai'chu'bu'hao'kan'de'lian'se
解释有点无奈的称小祖宗的意思,jie'shi'you'dian'wu'nai'de'cheng'xiao'zu'zong'de'yi'si
解释由于无聊而烦躁不安的样子,jie'shi'you'yu'wu'liao'er'fan'zao'bu'an'de'yang'zi
解释有主意有想法有计谋,jie'shi'you'zhu'yi'you'xiang'fa'you'ji'mou
解释有滋味兴趣浓厚,jie'shi'you'zi'wei'xing'qu'nong'hou
解释愚笨的人,jie'shi'yu'ben'de'ren
解释喻指人缘好吃得开,jie'shi'yu'zhi'ren'yuan'hao'chi'de'kai
解释喻指凶悍的妇女,jie'shi'yu'zhi'xiong'han'de'fu'nv
解释在公开场合怯场腼腆,jie'shi'zai'gong'kai'chang'he'qie'chang'mian'tian
解释在某方面有一定的才能,jie'shi'zai'mou'fang'mian'you'yi'ding'de'cai'neng
解释在社会上胡混,jie'shi'zai'she'hui'shang'hu'hun
解释遭人骗的意思,jie'shi'zao'ren'pian'de'yi'si
解释责备追究,jie'shi'ze'bei'zhui'jiu
解释怎么,jie'shi'zen'me
解释赠送,jie'shi'zeng'song
解释蚱蜢,jie'shi'zha'meng
解释蟑螂,jie'shi'zhang'lang
解释找麻烦,jie'shi'zhao'ma'fan
解释这么这样,jie'shi'zhe'me'zhe'yang
解释正合心意,jie'shi'zheng'he'xin'yi
解释指毫不相关,jie'shi'zhi'hao'bu'xiang'guan
解释指话多的人,jie'shi'zhi'hua'duo'de'ren
解释知了,jie'shi'zhi'liao
解释指起哄糊弄人的场合,jie'shi'zhi'qi'hong'hu'nong'ren'de'chang'he
解释只是仅是,jie'shi'zhi'shi'jin'shi
解释指心狠手辣的人,jie'shi'zhi'xin'hen'shou'la'de'ren
解释指衣着时髦衣冠楚楚,jie'shi'zhi'yi'zhuo'shi'mao'yi'guan'chu'chu
解释中途变卦逃避畏缩退让,jie'shi'zhong'tu'bian'gua'tao'bi'wei'suo'tui'rang
解释追求时髦,jie'shi'zhui'qiu'shi'mao
解释灼伤般的疼,jie'shi'zhuo'shang'ban'de'teng
解释作骂人语时表示强烈否定,jie'shi'zuo'ma'ren'yu'shi'biao'shi'qiang'lie'fou'ding
解释做事偷奸耍滑,jie'shi'zuo'shi'tou'jian'shua'hua
金啊子,jin'a'zi
今天我请你们杀馆子去吃好吃的,jin'tian'wo'qing'ni'men'sha'guan'zi'qu'chi'hao'chi'de
酒喝多了说话打啰啰走路打趱趱,jiu'he'duo'le'shuo'hua'da'luo'luo'zou'lu'da'zan'zan
就是,jiu'shi
卡卡各各,ka'ka'ge'ge
考可可儿,kao'ke'ke'er
考试又是最后一名好脏班子哟,kao'shi'you'shi'zui'hou'yi'ming'hao'zang'ban'zi'yo
客西头儿,ke'xi'tou'er
快点搞归一没得火车要开了,kuai'dian'gao'gui'yi'mei'de'huo'che'yao'kai'le
快点快点搞不赢看电影了,kuai'dian'kuai'dian'gao'bu'ying'kan'dian'ying'le
快点做少在这里扯垮垮,kuai'dian'zuo'shao'zai'zhe'li'che'kua'kua
款到,kuan'dao
矿西西的,kuang'xi'xi'de
啷个会也还有一个炸弹呀,lang'ge'hui'ye'hai'you'yi'ge'zha'dan'ya
老板说校花时一定要笑懂不起所,lao'ban'shuo'xiao'hua'shi'yi'ding'yao'xiao'dong'bu'qi'suo
老婆我都给你下矮桩了放过我嘛,lao'po'wo'dou'gei'ni'xia'ai'zhuang'le'fang'guo'wo'ma
理麻,li'ma
拢耸,long'song
罗兜,luo'dou
麻烦把车笔刀递给我一下我要用,ma'fan'ba'che'bi'dao'di'gei'wo'yi'xia'wo'yao'yong
麻麻鱼,ma'ma'yu
门上给你留的飞飞儿没看到唛,men'shang'gei'ni'liu'de'fei'fei'er'mei'kan'dao'mai
明天我们就去广州给恒大扎场子,ming'tian'wo'men'jiu'qu'guang'zhou'gei'heng'da'zha'chang'zi
那个宝器经常遭别个逗起耍,na'ge'bao'qi'jing'chang'zao'bie'ge'dou'qi'shua
哪个喊她长得嫩个漂亮嘛,na'ge'han'ta'zhang'de'nen'ge'piao'liang'ma
那个娃儿长得肉叽叽的好乖哟,na'ge'wa'er'zhang'de'rou'ji'ji'de'hao'guai'yo
那家火锅好好吃哟味道不摆了,na'jia'huo'guo'hao'hao'chi'yo'wei'dao'bu'bai'le
男子向女性张望,nan'zi'xiang'nv'xing'zhang'wang
恁个多东西我去喊个棒棒儿来,nen'ge'duo'dong'xi'wo'qu'han'ge'bang'bang'er'lai
恁个今晚我请你吃饭就当赔罪,nen'ge'jin'wan'wo'qing'ni'chi'fan'jiu'dang'pei'zui
你不要对我说这些棒棒话,ni'bu'yao'dui'wo'shuo'zhe'xie'bang'bang'hua
你吃胀了哇把纸撕得满地都是,ni'chi'zhang'le'wa'ba'zhi'si'de'man'di'dou'shi
你懂都不懂就不要发扁言了嘛,ni'dong'dou'bu'dong'jiu'bu'yao'fa'bian'yan'le'ma
你个咬卵犟看我一对王炸你,ni'ge'yao'luan'jiang'kan'wo'yi'dui'wang'zha'ni
你今天乱开黄腔好脏我的班子哟,ni'jin'tian'luan'kai'huang'qiang'hao'zang'wo'de'ban'zi'yo
你就不要涮坛子事情都过了,ni'jiu'bu'yao'shuan'tan'zi'shi'qing'dou'guo'le
你看他穿的啥子衣服哦好苕哟,ni'kan'ta'chuan'de'sha'zi'yi'fu'o'hao'shao'yo
你看她酸不溜秋那个样子,ni'kan'ta'suan'bu'liu'qiu'na'ge'yang'zi
你来打牌我来给你报膀子,ni'lai'da'pai'wo'lai'gei'ni'bao'bang'zi
你啷个不讲道理咧,ni'lang'ge'bu'jiang'dao'li'lie
你买彩票心子还大吔,ni'mai'cai'piao'xin'zi'hai'da'ye
你们盯鼓眼在看什么,ni'men'ding'gu'yan'zai'kan'shen'me
你们两个莫扳牙巴劲了说简单点,ni'men'liang'ge'mo'ban'ya'ba'jin'le'shuo'jian'dan'dian
你们一个二个看到我做啥子,ni'men'yi'ge'er'ge'kan'dao'wo'zuo'sha'zi
你嫩个小个娃儿就习倒抽烟,ni'nen'ge'xiao'ge'wa'er'jiu'xi'dao'chou'yan
你以为分手能吓到我我巴心不得,ni'yi'wei'fen'shou'neng'xia'dao'wo'wo'ba'xin'bu'de
你硬是把我的话当耳边风唛,ni'ying'shi'ba'wo'de'hua'dang'er'bian'feng'mai
你这个人啊就是岔肠子多,ni'zhe'ge'ren'a'jiu'shi'cha'chang'zi'duo
你装起一副要不完的样子做什么,ni'zhuang'qi'yi'fu'yao'bu'wan'de'yang'zi'zuo'shen'me
念栋栋,nian'dong'dong
哦原来是啃老族所,o'yuan'lai'shi'ken'lao'zu'suo
杷唧唧,pa'ji'ji
怕老婆,pa'lao'po
袍哥人家做事绝不拉稀摆带,pao'ge'ren'jia'zuo'shi'jue'bu'la'xi'bai'dai
屁根本不是恁个回事,pi'gen'ben'bu'shi'nen'ge'hui'shi
钱过两天还嘛我们两兄弟不存在,qian'guo'liang'tian'hai'ma'wo'men'liang'xiong'di'bu'cun'zai
钱现过现一分也不得少,qian'xian'guo'xian'yi'fen'ye'bu'de'shao
劝你二回莫扯谎日白想占便宜,quan'ni'er'hui'mo'che'huang'ri'bai'xiang'zhan'pian'yi
缺块儿,que'kuai'er
傻乎乎的,sha'hu'hu'de
杀提,sha'ti
少去打堆堆不要图热闹,shao'qu'da'dui'dui'bu'yao'tu're'nao
受不了,shou'bu'liao
手倒管儿,shou'dao'guan'er
说话的声音做作装腔作势,shuo'hua'de'sheng'yin'zuo'zuo'zhuang'qiang'zuo'shi
索索滩儿,suo'suo'tan'er
他老公又吃她的飞醋了,ta'lao'gong'you'chi'ta'de'fei'cu'le
他们一天找了钱都在外面打平伙,ta'men'yi'tian'zhao'le'qian'dou'zai'wai'mian'da'ping'huo
他娃从小不务正业就晓得操社会,ta'wa'cong'xiao'bu'wu'zheng'ye'jiu'xiao'de'cao'she'hui
他娃就是个棒老二,ta'wa'jiu'shi'ge'bang'lao'er
他一说起王力宏就有盐有味的,ta'yi'shuo'qi'wang'li'hong'jiu'you'yan'you'wei'de
他一天吊甩甩的像个社会青年,ta'yi'tian'diao'shuai'shuai'de'xiang'ge'she'hui'qing'nian
他一天肝精火旺的,ta'yi'tian'gan'jing'huo'wang'de
他又在出别人言语了人品有问题,ta'you'zai'chu'bie'ren'yan'yu'le'ren'pin'you'wen'ti
他在公司操得转得很哟,ta'zai'gong'si'cao'de'zhuan'de'hen'yo
挑夫,tiao'fu
听说广东那边要吃油炸爪母儿呀,ting'shuo'guang'dong'na'bian'yao'chi'you'zha'zhao'mu'er'ya
土气,tu'qi
哇你的手机好乖哟拼给我嘛,wa'ni'de'shou'ji'hao'guai'yo'pin'gei'wo'ma
为足球离婚何犯于哟,wei'zu'qiu'li'hun'he'fan'yu'yo
我对昨天那部电影不感冒,wo'dui'zuo'tian'na'bu'dian'ying'bu'gan'mao
我刚才挤公交把钱包弄舌老,wo'gang'cai'ji'gong'jiao'ba'qian'bao'nong'she'lao
我觉得她还是有她温柔的一面,wo'jue'de'ta'hai'shi'you'ta'wen'rou'de'yi'mian
我们两兄弟是穿叉叉裤长大的,wo'men'liang'xiong'di'shi'chuan'cha'cha'ku'chang'da'de
