阿部敦,a'bu'dun
冈本信彦,gang'ben'xin'yan
高千穗惠也,gao'qian'sui'hui'ye
宫崎宽务,gong'qi'kuan'wu
宫侑,gong'you
宫治,gong'zhi
沟口贞幸,gou'kou'zhen'xing
古川慎,gu'chuan'shen
古岛清孝,gu'dao'qing'xiao
谷地仁花,gu'di'ren'hua
古馆春一,gu'guan'chun'yi
古贺明,gu'he'ming
古牧让,gu'mu'rang
古森元也,gu'sen'yuan'ye
孤爪,gu'zhao
孤爪研磨,gu'zhao'yan'mo
怪人速攻,guai'ren'su'gong
关键发球员,guan'jian'fa'qiu'yuan
关向幸治,guan'xiang'xing'zhi
广尾幸儿,guang'wei'xing'er
国家青年队强化合宿,guo'jia'qing'nian'dui'qiang'hua'he'su
国见,guo'jian
国见英,guo'jian'ying
国青,guo'qing
海信行,hai'xin'xing
和久谷南,he'jiu'gu'nan
和久南,he'jiu'nan
河西健吾,he'xi'jian'wu
黑川广树,hei'chuan'guang'shu
黑石纯二,hei'shi'chun'er
黑尾,hei'wei
黑尾铁朗,hei'wei'tie'lang
横田成吾,heng'tian'cheng'wu
后排进攻,hou'pai'jin'gong
户美,hu'mei
户美学园,hu'mei'xue'yuan
冴子,hu'zi
滑津,hua'jin
滑津舞,hua'jin'wu
花卷贵大,hua'juan'gui'da
花山一雅,hua'shan'yi'ya
黄金川贯至,huang'jin'chuan'guan'zhi
灰羽,hui'yu
灰羽艾丽莎,hui'yu'ai'li'sha
灰羽列夫,hui'yu'lie'fu
火烧呼太郎,huo'shao'hu'tai'lang
及川,ji'chuan
及川彻,ji'chuan'che
姬川葵,ji'chuan'kui
及川猛,ji'chuan'meng
吉开清人,ji'kai'qing'ren
吉野裕行,ji'ye'yu'xing
集英社,ji'ying'she
间岛淳司,jian'dao'chun'si
菅原,jian'yuan
菅原孝支,jian'yuan'xiao'zhi
江川央生,jiang'chuan'yang'sheng
江口拓也,jiang'kou'tuo'ye
角名,jiao'ming
角名伦太郎,jiao'ming'lun'tai'lang
接应一传,jie'ying'yi'chuan
金田一勇太郎,jin'tian'yi'yong'tai'lang
京谷贤太郎,jing'gu'xian'tai'lang
井闼山,jing'ta'shan
鹫匠,jiu'jiang
鹫匠锻治,jiu'jiang'duan'zhi
鹫尾,jiu'wei
鹫尾辰生,jiu'wei'chen'sheng
菊池幸利,ju'chi'xing'li
橘润二,ju'run'er
空井崇,kong'jing'chong
垃圾场之战,la'ji'chang'zhi'zhan
濑户麻沙美,lai'hu'ma'sha'mei
濑见,lai'jian
濑见英太,lai'jian'ying'tai
浪川大辅,lang'chuan'da'fu
朗斯贝里亚瑟,lang'si'bei'li'ya'se
立花慎之介,li'hua'shen'zhi'jie
镰先,lian'xian
镰先靖志,lian'xian'jing'zhi
林勇,lin'yong
林友树,lin'you'shu
泷之上,long'zhi'shang
泷之上祐辅,long'zhi'shang'you'fu
满仲劝,man'zhong'quan
茂庭要,mao'ting'yao
猫又育使,mao'you'yu'shi
名冢佳织,ming'zhong'jia'zhi
鸣子哲平,ming'zi'zhe'ping
木村良平,mu'cun'liang'ping
木村昴,mu'cun'mao
母畑,mu'tian
母畑和马,mu'tian'he'ma
木兔光太郎,mu'tu'guang'tai'lang
木下久志,mu'xia'jiu'zhi
内山昂辉,nei'shan'ang'hui
内山夕实,nei'shan'xi'shi
内泽英纪,nei'ze'ying'ji
牛岛若利,niu'dao'ruo'li
牛若,niu'ruo
女川,nv'chuan
女川太郎,nv'chuan'tai'lang
鸥台,ou'tai
齐藤明,qi'teng'ming
齐藤壮马,qi'teng'zhuang'ma
浅虫快人,qian'chong'kuai'ren
千鹿谷,qian'lu'gu
千鹿谷英吉,qian'lu'gu'ying'ji
潜尚保,qian'shang'bao
千叶崇洋,qian'ye'chong'yang
前野智昭,qian'ye'zhi'zhao
强化合宿,qiang'hua'he'su
青根高伸,qing'gen'gao'shen
清水洁子,qing'shui'jie'zi
青叶城西,qing'ye'cheng'xi
青叶城西高校,qing'ye'cheng'xi'gao'xiao
秋保和光,qiu'bao'he'guang
秋宫昇,qiu'gong'sheng
犬冈,quan'gang
犬冈走,quan'gang'zou
全国高中综合体育大会,quan'guo'gao'zhong'zong'he'ti'yu'da'hui
泉行高,quan'hang'gao
雀田,que'tian
雀田香织,que'tian'xiang'zhi
仁花,ren'hua
日向夏,ri'xiang'xia
日向翔阳,ri'xiang'xiang'yang
日野聪,ri'ye'cong
入畑,ru'tian
入畑伸照,ru'tian'shen'zhao
入野自由,ru'ye'zi'you
三木真一郎,san'mu'zhen'yi'lang
三咲,san'xiao
三咲华,san'xiao'hua
森然高校,sen'ran'gao'xiao
森行成,sen'xing'cheng
山本兼平,shan'ben'jian'ping
山本猛虎,shan'ben'meng'hu
山本茜,shan'ben'qian
山架美华,shan'jia'mei'hua
山口忠,shan'kou'zhong
扇南,shan'nan
山崎遥,shan'qi'yao
神谷浩史,shen'gu'hao'shi
生川高校,sheng'chuan'gao'xiao
石川界人,shi'chuan'jie'ren
十和田良树,shi'he'tian'liang'shu
矢巾,shi'jin
矢巾秀,shi'jin'xiu
石井马克,shi'jing'ma'ke
狮子奋迅,shi'zi'fen'xun
手白球彦,shou'bai'qiu'yan
寺泊,si'bo
寺岛拓笃,si'dao'tuo'du
私立青叶城西高校,si'li'qing'ye'cheng'xi'gao'xiao
松川央树,song'chuan'yang'shu
松川一静,song'chuan'yi'jing
松岛刚,song'dao'gang
梯次进攻,ti'ci'jin'gong
笹谷,ti'gu
笹谷武仁,ti'gu'wu'ren
田代秀水,tian'dai'xiu'shui
天内叶歌,tian'nei'ye'ge
天童,tian'tong
天童觉,tian'tong'jue
田丸笃志,tian'wan'du'zhi
田中冴子,tian'zhong'hu'zi
田中龙之介,tian'zhong'long'zhi'jie
田中一成,tian'zhong'yi'cheng
跳发球,tiao'fa'qiu
跳飘球,tiao'piao'qiu
条善寺,tiao'shan'si
条善寺高校,tiao'shan'si'gao'xiao
同时性多点进攻,tong'shi'xing'duo'dian'jin'gong
土屋神叶,tu'wu'shen'ye
尾白阿兰,wei'bai'a'lan
尾长涉,wei'chang'she
梶裕贵,wei'yu'gui
味之素,wei'zhi'su
味之素综合体育中心,wei'zhi'su'zong'he'ti'yu'zhong'xin
温田兼生,wen'tian'jian'sheng
无触球得分,wu'chu'qiu'de'fen
武内健,wu'nei'jian
武内骏辅,wu'nei'jun'fu
五色工,wu'se'gong
武田一铁,wu'tian'yi'tie
乌养,wu'yang
乌养系心,wu'yang'xi'xin
乌养一系,wu'yang'yi'xi
乌野,wu'ye
乌野高校,wu'ye'gao'xiao
乌野高校男子排球部,wu'ye'gao'xiao'nan'zi'pai'qiu'bu
西谷,xi'gu
细谷佳正,xi'gu'jia'zheng
西谷夕,xi'gu'xi
西山宏太朗,xi'shan'hong'tai'lang
下手发球,xia'shou'fa'qiu
先岛伊澄,xian'dao'yi'cheng
贤二郎,xian'er'lang
县立乌野高等学校,xian'li'wu'ye'gao'deng'xue'xiao
相乐信赖,xiang'le'xin'lai
翔阳,xiang'yang
枭谷,xiao'gu
枭谷学园,xiao'gu'xue'yuan
小见春树,xiao'jian'chun'shu
小野冢贵志,xiao'ye'zhong'gui'zhi
小原丰,xiao'yuan'feng
新山女子,xin'shan'nv'zi
星海光来,xing'hai'guang'lai
星希代子,xing'xi'dai'zi
星野充昭,xing'ye'chong'zhao
星野贵纪,xing'ye'gui'ji
雪之丘中学,xue'zhi'qiu'zhong'xue
岩泉一,yan'quan'yi
岩室,yan'shi
岩中睦树,yan'zhong'mu'shu
叶歌,ye'ge
夜久,ye'jiu
夜久卫辅,ye'jiu'wei'fu
伊达工,yi'da'gong
伊达工业,yi'da'gong'ye
伊达工业高校,yi'da'gong'ye'gao'xiao
一年生选拔强化合宿,yi'nian'sheng'xuan'ba'qiang'hua'he'su
一人时间差,yi'ren'shi'jian'cha
银岛结,yin'dao'jie
音驹,yin'ju
音驹高校,yin'ju'gao'xiao
樱井彻,ying'jing'che
樱井孝宏,ying'jing'xiao'hong
影山飞雄,ying'shan'fei'xiong
由良正太,you'liang'zheng'tai
祐仙勇,you'xian'yong
羽多野涉,yu'duo'ye'she
玉山纯平,yu'shan'chun'ping
原俊之,yuan'jun'zhi
缘下,yuan'xia
缘下力,yuan'xia'li
猿杙,yuan'yi
猿杙大和,yuan'yi'da'he
月岛萤,yue'dao'ying
月冈千春,yue'gang'qian'chun
云雀田吹,yun'que'tian'chui
泽村大地,ze'cun'da'di
泽内求,ze'nei'qiu
增田俊树,zeng'tian'jun'shu
照岛游儿,zhao'dao'you'er
沼尻,zhao'kao
沼尻凛太郎,zhao'kao'lin'tai'lang
志户平介,zhi'hu'ping'jie
直井学,zhi'jing'xue
芝山,zhi'shan
芝山优生,zhi'shan'you'sheng
质实刚健,zhi'shi'gang'jian
栉田泰道,zhi'tian'tai'dao
中博史,zhong'bo'shi
中村太亮,zhong'cun'tai'liang
中村悠一,zhong'cun'you'yi
中岛猛,zhong'dao'meng
中尾隆圣,zhong'wei'long'sheng
中泽匡智,zhong'ze'kuang'zhi
主攻,zhu'gong
竹内良太,zhu'nei'liang'tai
竹内绚子,zhu'nei'xuan'zi
诸星堇,zhu'xing'jin
庄司将之,zhuang'si'jiang'zhi
追分,zhui'fen
追分拓朗,zhui'fen'tuo'lang
自由人,zi'you'ren
作并,zuo'bing
作并浩辅,zuo'bing'hao'fu
佐久早,zuo'jiu'zao
佐久早圣臣,zuo'jiu'zao'sheng'chen
佐藤拓也,zuo'teng'tuo'ye
