阿贝比长仪,a'bei'bi'chang'yi
安纱门扇,an'sha'men'shan
暗设,an'she
按神经取穴,an'shen'jing'qu'xue
暗式,an'shi
暗式窗帘盒,an'shi'chuang'lian'he
安时计,an'shi'ji
按市价计值,an'shi'jia'ji'zhi
暗式龙骨,an'shi'long'gu
暗式洗面器,an'shi'xi'mian'qi
暗塘,an'tang
按体积比配料器,an'ti'ji'bi'pei'liao'qi
按体积配合,an'ti'ji'pei'he
铵梯炸药,an'ti'zha'yao
铵锑炸药,an'ti'zha'yao
按天计息帐户,an'tian'ji'xi'zhang'hu
安铁杆,an'tie'gan
暗筒日照计,an'tong'ri'zhao'ji
暗土黄色,an'tu'huang'se
暗挖,an'wa
暗挖法,an'wa'fa
暗挖法施工,an'wa'fa'shi'gong
暗挖石方,an'wa'shi'fang
安卸,an'xie
安邪,an'xie
鞍形管支架,an'xing'guan'zhi'jia
氨压力表,an'ya'li'biao
安样架,an'yang'jia
铵油炸药,an'you'zha'yao
按月计息帐户,an'yue'ji'xi'zhang'hu
安在钢柱上,an'zai'gang'zhu'shang
安在混凝土柱上,an'zai'hun'ning'tu'zhu'shang
安支架,an'zhi'jia
暗轴,an'zhou
暗柱,an'zhu
安装板拱,an'zhuang'ban'gong
暗装插座,an'zhuang'cha'zuo
暗装单控,an'zhuang'dan'kong
安装导向管,an'zhuang'dao'xiang'guan
安装导向管磁环,an'zhuang'dao'xiang'guan'ci'huan
安装导向夹桩,an'zhuang'dao'xiang'jia'zhuang
安装地锚,an'zhuang'di'mao
安装风雨板,an'zhuang'feng'yu'ban
安装钢板后靠,an'zhuang'gang'ban'hou'kao
安装钢环板,an'zhuang'gang'huan'ban
安装钢架拱,an'zhuang'gang'jia'gong
安装钢架拱构件,an'zhuang'gang'jia'gong'gou'jian
安桩箍,an'zhuang'gu
安装管卡,an'zhuang'guan'ka
安装惯例,an'zhuang'guan'li
安装桁架拱构件,an'zhuang'heng'jia'gong'gou'jian
安装护铁,an'zhuang'hu'tie
安装混凝土枕基,an'zhuang'hun'ning'tu'zhen'ji
安装夹箍,an'zhuang'jia'gu
安装夹桩木,an'zhuang'jia'zhuang'mu
安装框扇,an'zhuang'kuang'shan
安装梁,an'zhuang'liang
安装落水斗,an'zhuang'luo'shui'dou
安桩帽,an'zhuang'mao
安装闷头,an'zhuang'men'tou
安装木板,an'zhuang'mu'ban
安装内套环,an'zhuang'nei'tao'huan
安装排架,an'zhuang'pai'jia
安装排架立柱,an'zhuang'pai'jia'li'zhu
安装盘根,an'zhuang'pan'gen
安装收水箅,an'zhuang'shou'shui'bi
安装双曲拱构件,an'zhuang'shuang'qu'gong'gou'jian
暗装水嘴,an'zhuang'shui'zui
安装台管节,an'zhuang'tai'guan'jie
安装外套环,an'zhuang'wai'tao'huan
安装微弯板,an'zhuang'wei'wan'ban
安装泄水孔,an'zhuang'xie'shui'kong
安装压浆管道,an'zhuang'ya'jiang'guan'dao
安装样架,an'zhuang'yang'jia
安装用人字架,an'zhuang'yong'ren'zi'jia
安装支座,an'zhuang'zhi'zuo
安装轴力计,an'zhuang'zhou'li'ji
安装柱,an'zhuang'zhu
安装柱式墩,an'zhuang'zhu'shi'dun
安装桩箍,an'zhuang'zhuang'gu
安装桩帽,an'zhuang'zhuang'mao
凹岸,ao'an
凹边,ao'bian
凹槽缝,ao'cao'feng
凹槽连结,ao'cao'lian'jie
凹槽形瓦屋顶,ao'cao'xing'wa'wu'ding
凹地排水,ao'di'pai'shui
凹缝,ao'feng
岙角石,ao'jiao'shi
鳌角石,ao'jiao'shi
岙角石庵子,ao'jiao'shi'an'zi
鳌角石庵子,ao'jiao'shi'an'zi
岙角石庵子村,ao'jiao'shi'an'zi'cun
鳌角石庵子村,ao'jiao'shi'an'zi'cun
岙角石村,ao'jiao'shi'cun
鳌角石村,ao'jiao'shi'cun
岙角石,ao'jue'shi
鳌角石,ao'jue'shi
岙角石庵子,ao'jue'shi'an'zi
鳌角石庵子,ao'jue'shi'an'zi
凹口,ao'kou
岙兰路,ao'lan'lu
岙蓝路,ao'lan'lu
熬沥青,ao'li'qing
岙山,ao'shan
岙山头,ao'shan'tou
鳌山头,ao'shan'tou
鳌山湾,ao'shan'wan
岙山卫,ao'shan'wei
鳌山卫,ao'shan'wei
岙山卫镇,ao'shan'wei'zhen
鳌山卫镇,ao'shan'wei'zhen
澳式,ao'shi
奥氏体型,ao'shi'ti'xing
澳式羊角钩,ao'shi'yang'jiao'gou
熬涂,ao'tu
凹凸假麻石,ao'tu'jia'ma'shi
凹凸假麻石块,ao'tu'jia'ma'shi'kuai
熬涂沥青,ao'tu'li'qing
凹凸榫,ao'tu'sun
凹纹压路机,ao'wen'ya'lu'ji
凹线,ao'xian
凹陷,ao'xian
凹穴,ao'xue
凹腰,ao'yao
熬油,ao'you
凹圆刨,ao'yuan'bao
凹圆形,ao'yuan'xing
凹圆形覆圈,ao'yuan'xing'fu'quan
凹圆形执手,ao'yuan'xing'zhi'shou
奥运寄语,ao'yun'ji'yu
熬制,ao'zhi
熬制沥青,ao'zhi'li'qing
澳洲低平砖,ao'zhou'di'ping'zhuan
凹字楔,ao'zi'xie
八宝庄,ba'bao'zhuang
八宝庄村,ba'bao'zhuang'cun
八臂,ba'bi
八层式,ba'ceng'shi
扒碴,ba'cha
坝长,ba'chang
八冲,ba'chong
八带,ba'dai
坝袋,ba'dai
坝袋锚固,ba'dai'mao'gu
坝袋拼接,ba'dai'pin'jie
靶道,ba'dao
扒钉,ba'ding
坝顶路,ba'ding'lu
把斧,ba'fu
扒杆,ba'gan
扒杆安装,ba'gan'an'zhuang
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
拔钢工具桩,ba'gang'gong'ju'zhuang
拔钢管,ba'gang'guan
八戈庄,ba'ge'zhuang
坝根,ba'gen
拔管,ba'guan
拔灰,ba'hui
八会穴,ba'hui'xue
坝混凝土,ba'hun'ning'tu
拔火罐,ba'huo'guan
坝基,ba'ji
坝基岩石帷幕灌浆,ba'ji'yan'shi'wei'mu'guan'jiang
坝肩,ba'jian
坝间,ba'jian
坝脚,ba'jiao
八角形柄,ba'jiao'xing'bing
八角形柄錾子,ba'jiao'xing'bing'zan'zi
坝壳,ba'ke
坝壳料,ba'ke'liao
坝宽,ba'kuan
拔缆风桩,ba'lan'feng'zhuang
八厘,ba'li
八厘半,ba'li'ban
八厘七毫半,ba'li'qi'hao'ban
八里庄,ba'li'zhuang
八里庄村,ba'li'zhuang'cun
八里庄二村,ba'li'zhuang'er'cun
八里庄三村,ba'li'zhuang'san'cun
八里庄一村,ba'li'zhuang'yi'cun
扒梁,ba'liang
八髎,ba'liao
坝料,ba'liao
坝料性质,ba'liao'xing'zhi
巴洛克式园林,ba'luo'ke'shi'yuan'lin
八脉交会穴,ba'mai'jiao'hui'xue
坝面,ba'mian
八亩地,ba'mu'di
八亩地村,ba'mu'di'cun
坝内,ba'nei
坝内式,ba'nei'shi
八盘金角,ba'pan'jin'jiao
扒平,ba'ping
坝坡,ba'po
坝坡踏步,ba'po'ta'bu
拔磉,ba'sang
八扇,ba'shan
扒山廊,ba'shan'lang
八扇自由门,ba'shan'zi'you'men
坝身,ba'shen
耙式,ba'shi
靶式,ba'shi
耙式分级器,ba'shi'fen'ji'qi
巴氏合金,ba'shi'he'jin
八十九位,ba'shi'jiu'wei
靶式流量传感器,ba'shi'liu'liang'chuan'gan'qi
靶式流量计,ba'shi'liu'liang'ji
八十四位,ba'shi'si'wei
耙式装载机,ba'shi'zhuang'zai'ji
拔丝盘,ba'si'pan
拔丝盘条,ba'si'pan'tiao
坝体,ba'ti
坝体方,ba'ti'fang
坝体防渗,ba'ti'fang'shen
坝体接缝灌浆,ba'ti'jie'feng'guan'jiang
耙土,ba'tu
耙土封顶,ba'tu'feng'ding
八臀哪吒,ba'tun'ne'zha
八臀哪吒城,ba'tun'ne'zha'cheng
八溪,ba'xi
坝系,ba'xi
耙吸式,ba'xi'shi
耙吸式挖泥船,ba'xi'shi'wa'ni'chuan
八仙骨堆,ba'xian'gu'dui
八邪,ba'xie
八芯,ba'xin
坝型,ba'xing
八虚,ba'xu
八掾袱,ba'yuan'fu
坝趾填筑爆破法,ba'zhi'tian'zhu'bao'po'fa
拔桩,ba'zhuang
拔桩架,ba'zhuang'jia
八字汽门,ba'zi'qi'men
白波螺,bai'bo'luo
百埠庄,bai'bu'zhuang
百埠庄村,bai'bu'zhuang'cun
百虫窝,bai'chong'wo
摆锤冲击刀刃,bai'chui'chong'ji'dao'ren
摆锤式冲击试验机,bai'chui'shi'chong'ji'shi'yan'ji
摆动锤,bai'dong'chui
摆动扫查,bai'dong'sao'cha
摆动式,bai'dong'shi
摆动周期,bai'dong'zhou'qi
白毒,bai'du
白毒鹅膏菌,bai'du'e'gao'jun
白毒伞,bai'du'san
白恶石,bai'e'shi
百分理论斜率,bai'fen'li'lun'xie'lv
白附子,bai'fu'zi
摆杆,bai'gan
摆杆式,bai'gan'shi
白坩土,bai'gan'tu
白鹤姐姐,bai'he'jie'jie
白虎摇头,bai'hu'yao'tou
白花葱兰,bai'hua'cong'lan
白桦木贴面板,bai'hua'mu'tie'mian'ban
白环俞,bai'huan'yu
白黄粘盖牛肝菌,bai'huang'zhan'gai'niu'gan'jun
白灰浆,bai'hui'jiang
摆甲,bai'jia
摆甲鱼,bai'jia'yu
白芥子,bai'jie'zi
白芥子灸,bai'jie'zi'jiu
拜酒坛,bai'jiu'tan
摆锯,bai'ju
白口铁,bai'kou'tie
白镴,bai'la
拜拉姆风速表,bai'la'mu'feng'su'biao
百劳,bai'lao
柏力克,bai'li'ke
白麻绳,bai'ma'sheng
白马滩,bai'ma'tan
百帕,bai'pa
摆喷,bai'pen
摆喷灌浆,bai'pen'guan'jiang
白漆,bai'qi
白肉际,bai'rou'ji
白沙河,bai'sha'he
摆式,bai'shi
摆式摩擦系数仪,bai'shi'mo'ca'xi'shu'yi
摆式仪,bai'shi'yi
摆式支座,bai'shi'zhi'zuo
白石子,bai'shi'zi
白石子砂浆,bai'shi'zi'sha'jiang
摆塔,bai'ta
白塔,bai'ta
白塔村,bai'ta'cun
摆塔式,bai'ta'shi
摆塔式缆机,bai'ta'shi'lan'ji
白苔,bai'tai
白铜板,bai'tong'ban
白铜棒,bai'tong'bang
白铜箔,bai'tong'bo
白铜型,bai'tong'xing
摆线质谱计,bai'xian'zhi'pu'ji
白橡,bai'xiang
白橡木,bai'xiang'mu
白橡贴面板,bai'xiang'tie'mian'ban
白屑风,bai'xie'feng
白杨树瘤,bai'yang'shu'liu
白杨树瘤贴面板,bai'yang'shu'liu'tie'mian'ban
百叶式,bai'ye'shi
百叶型风口,bai'ye'xing'feng'kou
摆仪,bai'yi
白友安,bai'you'an
白云石砂,bai'yun'shi'sha
白针,bai'zhen
摆轴,bai'zhou
白砖,bai'zhuan
白棕绳,bai'zong'sheng
板把,ban'ba
板把暗装单联开关,ban'ba'an'zhuang'dan'lian'kai'guan
板把暗装三联开关,ban'ba'an'zhuang'san'lian'kai'guan
板把暗装双联开关,ban'ba'an'zhuang'shuang'lian'kai'guan
板把暗装四联开关,ban'ba'an'zhuang'si'lian'kai'guan
板把开关,ban'ba'kai'guan
板把开关明装,ban'ba'kai'guan'ming'zhuang
板把明装开关,ban'ba'ming'zhuang'kai'guan
半板,ban'ban
板壁供热,ban'bi'gong're
扳边机,ban'bian'ji
板边机,ban'bian'ji
半玻,ban'bo
板波,ban'bo
半玻半塑门,ban'bo'ban'su'men
半玻带亮,ban'bo'dai'liang
板波法,ban'bo'fa
半波门,ban'bo'men
半玻塑料钢,ban'bo'su'liao'gang
板材,ban'cai
板侧面,ban'ce'mian
半层,ban'ceng
颁岔,ban'cha
板长,ban'chang
半潮围堤,ban'chao'wei'di
半成品,ban'cheng'pin
半成品方,ban'cheng'pin'fang
半刺,ban'ci
板带,ban'dai
半导体少长针消雷装置,ban'dao'ti'shao'chang'zhen'xiao'lei'zhuang'zhi
半导体样品台,ban'dao'ti'yang'pin'tai
半导体应变计,ban'dao'ti'ying'bian'ji
半导体致冷恒温槽,ban'dao'ti'zhi'leng'heng'wen'cao
半岛园,ban'dao'yuan
板的翘曲,ban'de'qiao'qu
板底,ban'di
板底钢筋,ban'di'gang'jin
板底面,ban'di'mian
半电波暗室,ban'dian'bo'an'shi
斑点样表面,ban'dian'yang'biao'mian
斑点样褪色,ban'dian'yang'tui'shai
半叠接,ban'die'jie
板顶,ban'ding
板顶钢筋,ban'ding'gang'jin
板顶面,ban'ding'mian
板方材,ban'fang'cai
板枋材,ban'fang'cai
伴飞,ban'fei
伴飞卫星,ban'fei'wei'xing
板缝,ban'feng
半刚性路面,ban'gang'xing'lu'mian
半高峰宽,ban'gao'feng'kuan
半拱,ban'gong
板拱,ban'gong
办公室,ban'gong'shi
半固定梁,ban'gu'ding'liang
板涵,ban'han
板涵拱盔支架,ban'han'gong'kui'zhi'jia
拌好的,ban'hao'de
拌合机,ban'he'ji
拌合量,ban'he'liang
拌合用,ban'he'yong
拌合用定量水,ban'he'yong'ding'liang'shui
拌合站,ban'he'zhan
拌和站,ban'he'zhan
拌合装置,ban'he'zhuang'zhi
瘢痕灸,ban'hen'jiu
半桁架,ban'heng'jia
板后浇带,ban'hou'jiao'dai
拌灰,ban'hui
拌灰板,ban'hui'ban
拌和,ban'huo
拌和厂,ban'huo'chang
拌和法,ban'huo'fa
拌和楼,ban'huo'lou
拌和水,ban'huo'shui
拌和台,ban'huo'tai
拌和筒,ban'huo'tong
拌和物,ban'huo'wu
半机械除锈,ban'ji'xie'chu'xiu
半间,ban'jian
拌浆,ban'jiang
拌浆锄,ban'jiang'chu
半节距装载,ban'jie'ju'zhuang'zai
半截门,ban'jie'men
半节门折翼,ban'jie'men'zhe'yi
半截面,ban'jie'mian
板锯,ban'ju
半开榫铰接,ban'kai'sun'jiao'jie
扳口,ban'kou
扳口型,ban'kou'xing
半扩散角,ban'kuo'san'jiao
板肋,ban'lei
板肋式,ban'lei'shi
板梁,ban'liang
板梁打桩,ban'liang'da'zhuang
板梁底,ban'liang'di
板梁底砂浆勾缝,ban'liang'di'sha'jiang'gou'feng
板梁顶,ban'liang'ding
板梁桥,ban'liang'qiao
板梁式,ban'liang'shi
拌料,ban'liao
拌料槽,ban'liao'cao
拌料斗,ban'liao'dou
拌料筒,ban'liao'tong
半露柱边,ban'lu'zhu'bian
半露柱面部,ban'lu'zhu'mian'bu
半埋,ban'mai
半埋式,ban'mai'shi
板面超深,ban'mian'chao'shen
版面疏松,ban'mian'shu'song
半模拟盘,ban'mo'ni'pan
半模拟屏,ban'mo'ni'ping
拌泥机,ban'ni'ji
板扭,ban'niu
板牛温,ban'niu'wen
板嵌缝,ban'qian'feng
板墙,ban'qiang
板墙筋,ban'qiang'jin
半球通,ban'qiu'tong
半球通式,ban'qiu'tong'shi
半球形磨头,ban'qiu'xing'mo'tou
半缺,ban'que
半缺顶尖,ban'que'ding'jian
半伞式,ban'san'shi
板栅横挡,ban'shan'heng'dang
半深,ban'shen
半身不遂,ban'shen'bu'sui
半深海相,ban'shen'hai'xiang
半身麻木,ban'shen'ma'mu
半身柱,ban'shen'zhu
板石,ban'shi
板式电热法,ban'shi'dian're'fa
板式吊顶,ban'shi'diao'ding
板式钢梯,ban'shi'gang'ti
板式给料机,ban'shi'gei'liao'ji
板式冷却器,ban'shi'leng'que'qi
板式楼梯,ban'shi'lou'ti
板式散热器,ban'shi'san're'qi
半实物仿真,ban'shi'wu'fang'zhen
板式橡胶支座,ban'shi'xiang'jiao'zhi'zuo
板式阳台,ban'shi'yang'tai
板式雨篷,ban'shi'yu'peng
扳数,ban'shu
半数字读出,ban'shu'zi'du'chu
半水,ban'shui
半水化热,ban'shui'hua're
半水化热石膏,ban'shui'hua're'shi'gao
半水内冷,ban'shui'nei'leng
半水内冷发电机,ban'shui'nei'leng'fa'dian'ji
半水内冷水轮发电机,ban'shui'nei'leng'shui'lun'fa'dian'ji
半塑门,ban'su'men
板体弯曲,ban'ti'wan'qu
半填,ban'tian
半挑,ban'tiao
板条混凝土,ban'tiao'hun'ning'tu
半调节,ban'tiao'jie
半调节式,ban'tiao'jie'shi
半调节叶片,ban'tiao'jie'ye'pian
板条门,ban'tiao'men
板条平顶,ban'tiao'ping'ding
板条式,ban'tiao'shi
半土,ban'tu
斑秃,ban'tu
斑秃斑秃,ban'tu'ban'tu
半土屋,ban'tu'wu
半挖,ban'wa
半弯,ban'wan
板网,ban'wang
斑污,ban'wu
斑污现象,ban'wu'xian'xiang
板系结构,ban'xi'jie'gou
板下,ban'xia
板下梁,ban'xia'liang
半悬臂,ban'xuan'bi
半压力式,ban'ya'li'shi
半压力式涵洞,ban'ya'li'shi'han'dong
半岩,ban'yan
板岩顶板,ban'yan'ding'ban
板岩水泥,ban'yan'shui'ni
半岩性,ban'yan'xing
半岩性粘土,ban'yan'xing'nian'tu
斑叶植物,ban'ye'zhi'wu
半隐框,ban'yin'kuang
半影,ban'ying
半硬,ban'ying
半圆刮刀,ban'yuan'gua'dao
半圆木锉,ban'yuan'mu'cuo
半圆券,ban'yuan'quan
半圆头钉,ban'yuan'tou'ding
半圆铣刀,ban'yuan'xi'dao
半圆形壁龛,ban'yuan'xing'bi'kan
半圆形截面瓦,ban'yuan'xing'jie'mian'wa
半圆油石,ban'yuan'you'shi
半圆凿,ban'yuan'zao
拌运砂浆,ban'yun'sha'jiang
搬运应力,ban'yun'ying'li
板振捣器,ban'zhen'dao'qi
半镇静钢,ban'zhen'jing'gang
拌制,ban'zhi
板支,ban'zhi
板支撑,ban'zhi'cheng
拌制混凝土,ban'zhi'hun'ning'tu
拌制砂浆,ban'zhi'sha'jiang
拌制水泥砂浆,ban'zhi'shui'ni'sha'jiang
半重力式,ban'zhong'li'shi
半重力式挡土墙,ban'zhong'li'shi'dang'tu'qiang
板柱,ban'zhu
板柱结构,ban'zhu'jie'gou
半柱状,ban'zhu'zhuang
半砖,ban'zhuan
半砖栏板,ban'zhuan'lan'ban
板桩,ban'zhuang
板桩岸墙,ban'zhuang'an'qiang
板桩墙,ban'zhuang'qiang
板桩式,ban'zhuang'shi
板桩式挡土墙,ban'zhuang'shi'dang'tu'qiang
拌装式模板,ban'zhuang'shi'mu'ban
半锥,ban'zhui
半锥角,ban'zhui'jiao
半自动测井仪,ban'zi'dong'ce'jing'yi
半自动称料机,ban'zi'dong'cheng'liao'ji
半自动电焊机,ban'zi'dong'dian'han'ji
半自动试验机,ban'zi'dong'shi'yan'ji
半钻,ban'zuan
绑地横木,bang'di'heng'mu
邦定机,bang'ding'ji
邦克楼,bang'ke'lou
棒料剪刀,bang'liao'jian'dao
棒栅筛,bang'shan'shai
棒式,bang'shi
棒式玻璃温度计,bang'shi'bo'li'wen'du'ji
绑丝,bang'si
绑索,bang'suo
帮填,bang'tian
帮条焊,bang'tiao'han
绑线,bang'xian
棒形,bang'xing
棒形电流互感器,bang'xing'dian'liu'hu'gan'qi
磅验,bang'yan
棒影图,bang'ying'tu
绑扎费,bang'za'fei
绑扎钢筋,bang'za'gang'jin
绑扎铁线,bang'za'tie'xian
帮扎,bang'zha
傍针刺,bang'zhen'ci
邦桩,bang'zhuang
棒状温度表,bang'zhuang'wen'du'biao
薄板,bao'ban
薄板背衬面层,bao'ban'bei'chen'mian'ceng
薄板构造,bao'ban'gou'zao
保本证,bao'ben'zheng
薄壁,bao'bi
薄壁杆系,bao'bi'gan'xi
薄壁钢结构,bao'bi'gang'jie'gou
薄壁结构,bao'bi'jie'gou
薄壁空心管,bao'bi'kong'xin'guan
薄壁液压抓,bao'bi'ye'ya'zhua
薄壁圆管,bao'bi'yuan'guan
薄壁抓斗,bao'bi'zhua'dou
刨边机,bao'bian'ji
暴病者,bao'bing'zhe
暴病者取之太阳,bao'bing'zhe'qu'zhi'tai'yang
刨薄,bao'bo
包布,bao'bu
宝草帽,bao'cao'mao
薄层,bao'ceng
薄层色谱法,bao'ceng'se'pu'fa
包缠绝缘,bao'chan'jue'yuan
包缠绝缘带,bao'chan'jue'yuan'dai
保持式,bao'chi'shi
保持式电磁阀,bao'chi'shi'dian'ci'fa
保持水外加剂,bao'chi'shui'wai'jia'ji
刨出,bao'chu
报刺,bao'ci
包带,bao'dai
包方式,bao'fang'shi
包覆层,bao'fu'ceng
抱杆式,bao'gan'shi
包钢板,bao'gang'ban
包箍,bao'gu
抱箍连压板,bao'gu'lian'ya'ban
抱箍式,bao'gu'shi
抱鼓石,bao'gu'shi
饱和单轴抗压强度,bao'he'dan'zhou'kang'ya'qiang'du
饱和甘汞电极,bao'he'gan'gong'dian'ji
饱和面干试模,bao'he'mian'gan'shi'mo
饱和式,bao'he'shi
饱和式标准电池,bao'he'shi'biao'zhun'dian'chi
饱和水汽压,bao'he'shui'qi'ya
饱和线,bao'he'xian
饱和效应,bao'he'xiao'ying
薄合页,bao'he'ye
爆轰波,bao'hong'bo
保护偿付,bao'hu'chang'fu
保户储金,bao'hu'chu'jin
保护端,bao'hu'duan
保护复盖,bao'hu'fu'gai
豹虎沟,bao'hu'gou
豹虎沟村,bao'hu'gou'cun
保护管,bao'hu'guan
保户红利,bao'hu'hong'li
保护灰浆,bao'hu'hui'jiang
保护膜,bao'hu'mo
保护平板法,bao'hu'ping'ban'fa
保护圈盖,bao'hu'quan'gai
保护热箱法,bao'hu're'xiang'fa
豹虎山,bao'hu'shan
保护套栏,bao'hu'tao'lan
保护性罩,bao'hu'xing'zhao
保护用电流互感器,bao'hu'yong'dian'liu'hu'gan'qi
保护用电压互感器,bao'hu'yong'dian'ya'hu'gan'qi
刨花木屑板,bao'hua'mu'xie'ban
胞肓,bao'huang
保荐经纪,bao'jian'jing'ji
保健灸,bao'jian'jiu
保荐人声明,bao'jian'ren'sheng'ming
包角钢,bao'jiao'gang
抱角石,bao'jiao'shi
保津,bao'jin
报灸,bao'jiu
抱框,bao'kuang
枹栎,bao'li
爆力,bao'li
保丽板,bao'li'ban
宝丽板,bao'li'ban
刨沥青路面,bao'li'qing'lu'mian
保留金,bao'liu'jin
包络曲线,bao'luo'qu'xian
包铝,bao'lv
包麻,bao'ma
胞脉,bao'mai
暴盲,bao'mang
胞门子户,bao'men'zi'hu
薄膜,bao'mo
薄膜式,bao'mo'shi
薄膜式气敏元件,bao'mo'shi'qi'min'yuan'jian
薄膜式应变计,bao'mo'shi'ying'bian'ji
薄膜养护法,bao'mo'yang'hu'fa
包排序,bao'pai'xu
爆破漏斗,bao'po'lou'dou
爆破石方,bao'po'shi'fang
爆破岩石,bao'po'yan'shi
爆破椎,bao'po'zhui
爆破作用圈,bao'po'zuo'yong'quan
曝气槽,bao'qi'cao
曝气沉砂池,bao'qi'chen'sha'chi
刨锹,bao'qiao
豹山,bao'shan
豹山水库,bao'shan'shui'ku
保湿箱,bao'shi'xiang
饱水,bao'shui
刨松,bao'song
爆速,bao'su
刨台,bao'tai
抱铁,bao'tie
包铁皮,bao'tie'pi
包铁皮木材,bao'tie'pi'mu'cai
包铜,bao'tong
抱头梁,bao'tou'liang
保温板材,bao'wen'ban'cai
豹文刺,bao'wen'ci
报文方式,bao'wen'fang'shi
报文服务,bao'wen'fu'wu
保温护道,bao'wen'hu'dao
保温式,bao'wen'shi
保温式水加热器,bao'wen'shi'shui'jia're'qi
保温瓦,bao'wen'wa
保温毡,bao'wen'zhan
包线,bao'xian
保险库,bao'xian'ku
保险钮,bao'xian'niu
保险业监理专员,bao'xian'ye'jian'li'zhuan'yuan
包相色带,bao'xiang'se'dai
保形,bao'xing
保形油箱,bao'xing'you'xiang
薄型抓斗,bao'xing'zhua'dou
刨削,bao'xue
报汛,bao'xun
报汛费,bao'xun'fei
报汛任务书,bao'xun'ren'wu'shu
报汛设备,bao'xun'she'bei
报汛设施,bao'xun'she'shi
报汛站,bao'xun'zhan
保养间,bao'yang'jian
暴瘖,bao'yin
暴雨排出口,bao'yu'pai'chu'kou
包扎费,bao'za'fei
爆炸夯,bao'zha'hang
爆炸下限,bao'zha'xia'xian
爆炸酌,bao'zha'zhuo
保证金价值,bao'zheng'jin'jia'zhi
保证金借贷活动,bao'zheng'jin'jie'dai'huo'dong
保值公债,bao'zhi'gong'zhai
