阿贝不变量,a'bei'bu'bian'liang
角动量定理,jiao'dong'liang'ding'li
角动量守恒定律,jiao'dong'liang'shou'heng'ding'lv
焦耳定律,jiao'er'ding'lv
焦耳实验,jiao'er'shi'yan
角放大率,jiao'fang'da'lv
角加速度,jiao'jia'su'du
交流电路,jiao'liu'dian'lu
角频率,jiao'pin'lv
焦散线,jiao'san'xian
焦深,jiao'shen
角速度,jiao'su'du
矫顽力,jiao'wan'li
角位移,jiao'wei'yi
角向运动,jiao'xiang'yun'dong
校准,jiao'zhun
接触电势差,jie'chu'dian'shi'cha
接触力,jie'chu'li
解除约束原理,jie'chu'yue'shu'yuan'li
接地,jie'di
介电强度,jie'dian'qiang'du
节流过程,jie'liu'guo'cheng
截止波长,jie'zhi'bo'chang
近代物理学,jin'dai'wu'li'xue
劲度系数,jin'du'xi'shu
浸渐不变量,jin'jian'bu'bian'liang
禁戒跃迁,jin'jie'yue'qian
浸没物镜,jin'mo'wu'jing
静磁学,jing'ci'xue
经典电子半径,jing'dian'dian'zi'ban'jing
静电聚焦,jing'dian'ju'jiao
静电力,jing'dian'li
经典力学,jing'dian'li'xue
静电能,jing'dian'neng
静电屏蔽,jing'dian'ping'bi
经典统计法,jing'dian'tong'ji'fa
静电透镜,jing'dian'tou'jing
经典物理学,jing'dian'wu'li'xue
静电学,jing'dian'xue
静定问题,jing'ding'wen'ti
静力学,jing'li'xue
精密度,jing'mi'du
镜面反射,jing'mian'fan'she
静摩擦,jing'mo'ca
径矢,jing'shi
晶体管,jing'ti'guan
晶体主截面,jing'ti'zhu'jie'mian
精细结构,jing'xi'jie'gou
镜象法,jing'xiang'fa
径向分布函数,jing'xiang'fen'bu'han'shu
径向加速度,jing'xiang'jia'su'du
径向速度,jing'xiang'su'du
静压,jing'ya
聚变,ju'bian
聚光器,ju'guang'qi
居里点,ju'li'dian
巨热力学势,ju're'li'xue'shi
矩形波导,ju'xing'bo'dao
局域平衡,ju'yu'ping'heng
巨正则系综,ju'zheng'ze'xi'zong
决定论,jue'ding'lun
绝对参考系,jue'dui'can'kao'xi
绝对过去,jue'dui'guo'qu
绝对加速度,jue'dui'jia'su'du
绝对空间,jue'dui'kong'jian
绝对零度,jue'dui'ling'du
绝对熵,jue'dui'shang
绝对速度,jue'dui'su'du
绝对温度,jue'dui'wen'du
绝对误差,jue'dui'wu'cha
绝对运动,jue'dui'yun'dong
绝对折射率,jue'dui'zhe'she'lv
绝热方程,jue're'fang'cheng
绝热过程,jue're'guo'cheng
绝热线,jue're'xian
绝热指数,jue're'zhi'shu
绝缘导体,jue'yuan'dao'ti
绝缘体,jue'yuan'ti
均位力积,jun'wei'li'ji
均匀电介质,jun'yun'dian'jie'zhi
喀拉氏定理,ka'la'shi'ding'li
卡诺定理,ka'nuo'ding'li
卡诺循环,ka'nuo'xun'huan
开尔文双电桥,kai'er'wen'shuang'dian'qiao
开关,kai'guan
开管,kai'guan
开普勒定律,kai'pu'le'ding'lv
抗扭劲度,kang'niu'jin'du
康普顿波长,kang'pu'dun'bo'chang
康普顿效应,kang'pu'dun'xiao'ying
抗弯强度,kang'wan'qiang'du
可变形体,ke'bian'xing'ti
克尔盒,ke'er'he
可观察量,ke'guan'cha'liang
克劳修斯不等式,ke'lao'xiu'si'bu'deng'shi
克劳修斯等式,ke'lao'xiu'si'deng'shi
科里奥利加速度,ke'li'ao'li'jia'su'du
科里奥利力,ke'li'ao'li'li
可逆过程,ke'ni'guo'cheng
克努森效应,ke'nu'sen'xiao'ying
可压缩性,ke'ya'suo'xing
可遗坐标,ke'yi'zuo'biao
空间,kong'jian
空间反演,kong'jian'fan'yan
空间频率,kong'jian'pin'lv
空间瞬心迹,kong'jian'shun'xin'ji
空间相干性,kong'jian'xiang'gan'xing
空间转动,kong'jian'zhuan'dong
孔径光阑,kong'jing'guang'lan
空气阻力,kong'qi'zu'li
孔特管,kong'te'guan
库仑场,ku'lun'chang
库仑定律,ku'lun'ding'lv
库仑规范,ku'lun'gui'fan
傀标,kui'biao
扩散系数,kuo'san'xi'shu
拉格朗日乘子,la'ge'lang'ri'cheng'zi
拉格朗日函数,la'ge'lang'ri'han'shu
拉格朗日量,la'ge'lang'ri'liang
拉莫尔半径,la'mo'er'ban'jing
拉莫尔频率,la'mo'er'pin'lv
拉莫尔旋进,la'mo'er'xuan'jin
拉伸应变,la'shen'ying'bian
莱顿瓶,lai'dun'ping
莱曼系,lai'man'xi
朗德间隔定则,lang'de'jian'ge'ding'ze
勒让德变换,le'rang'de'bian'huan
勒夏特列原理,le'xia'te'lie'yuan'li
类比,lei'bi
类光的,lei'guang'de
类光事件,lei'guang'shi'jian
类光矢量,lei'guang'shi'liang
类空,lei'kong
类空间隔,lei'kong'jian'ge
类空截面,lei'kong'jie'mian
类空线,lei'kong'xian
雷诺数,lei'nuo'shu
类时事件,lei'shi'shi'jian
类时矢量,lei'shi'shi'liang
棱镜,leng'jing
力,li
力场,li'chang
力的分解,li'de'fen'jie
力的合成,li'de'he'cheng
力的平衡,li'de'ping'heng
离解,li'jie
离解热,li'jie're
力矩,li'ju
理论,li'lun
理论误差,li'lun'wu'cha
理论物理学,li'lun'wu'li'xue
力螺旋,li'luo'xuan
力偶,li'ou
力偶矩,li'ou'ju
力偶系,li'ou'xi
离散本征值,li'san'ben'zheng'zhi
力系,li'xi
理想光学系统,li'xiang'guang'xue'xi'tong
理想流体,li'xiang'liu'ti
理想气体,li'xiang'qi'ti
理想气体温标,li'xiang'qi'ti'wen'biao
理想实验,li'xiang'shi'yan
理想约束,li'xiang'yue'shu
理想钟,li'xiang'zhong
力心,li'xin
离心力,li'xin'li
力学,li'xue
力学系统,li'xue'xi'tong
离子束,li'zi'shu
连续介质,lian'xu'jie'zhi
连续相变,lian'xu'xiang'bian
连续性方程,lian'xu'xing'fang'cheng
良导体,liang'dao'ti
亮度,liang'du
量纲,liang'gang
量纲分析,liang'gang'fen'xi
量热学,liang're'xue
量子光学,liang'zi'guang'xue
量子化,liang'zi'hua
量子数,liang'zi'shu
量子态,liang'zi'tai
量子统计法,liang'zi'tong'ji'fa
林德液化机,lin'de'ye'hua'ji
磷光,lin'guang
临界半径,lin'jie'ban'jing
临界参量,lin'jie'can'liang
临界点,lin'jie'dian
临界角,lin'jie'jiao
临界乳光,lin'jie'ru'guang
临界态,lin'jie'tai
临界温度,lin'jie'wen'du
临界现象,lin'jie'xian'xiang
临界指数,lin'jie'zhi'shu
临界阻尼,lin'jie'zu'ni
临界阻尼电阻,lin'jie'zu'ni'dian'zu
零点能,ling'dian'neng
零力系,ling'li'xi
灵敏电流计,ling'min'dian'liu'ji
流管,liu'guan
流量计,liu'liang'ji
流密度矢量,liu'mi'du'shi'liang
流体,liu'ti
流体动力学,liu'ti'dong'li'xue
流体静力学,liu'ti'jing'li'xue
流体力学,liu'ti'li'xue
流体压强计,liu'ti'ya'qiang'ji
刘维尔定理,liu'wei'er'ding'li
刘维尔方程,liu'wei'er'fang'cheng
流线,liu'xian
漏磁通,lou'ci'tong
漏电,lou'dian
路程,lu'cheng
露点,lu'dian
路径,lu'jing
掠面速度,lue'mian'su'du
掠入射,lue'ru'she
论证,lun'zheng
