安刘村,an'liu'cun
建筑机械厂,jian'zhu'ji'xie'chang
戒毒所,jie'du'suo
解放路口,jie'fang'lu'kou
解放路十字,jie'fang'lu'shi'zi
解放影院,jie'fang'ying'yuan
金城园,jin'cheng'yuan
金水路南口,jin'shui'lu'nan'kou
金水路十字,jin'shui'lu'shi'zi
金水路朝阳十字,jin'shui'lu'zhao'yang'shi'zi
金穗大厦,jin'sui'da'sha
锦绣园小区,jin'xiu'yuan'xiao'qu
精神病医院,jing'shen'bing'yi'yuan
敬贤大街十字,jing'xian'da'jie'shi'zi
科赛机电,ke'sai'ji'dian
老城街东口,lao'cheng'jie'dong'kou
老年活动中心,lao'nian'huo'dong'zhong'xin
乐天大街,le'tian'da'jie
乐天大街东口,le'tian'da'jie'dong'kou
乐天大街十字,le'tian'da'jie'shi'zi
乐天街东口,le'tian'jie'dong'kou
乐天商城,le'tian'shang'cheng
冷弯型钢厂,leng'wan'xing'gang'chang
粮食局,liang'shi'ju
林机厂,lin'ji'chang
临渭分局,lin'wei'fen'ju
临渭交警大队,lin'wei'jiao'jing'da'dui
临渭区水利物资站,lin'wei'qu'shui'li'wu'zi'zhan
临渭区政府,lin'wei'qu'zheng'fu
六泉路,liu'quan'lu
六泉路口,liu'quan'lu'kou
六泉路十字,liu'quan'lu'shi'zi
卢赵村,lu'zhao'cun
麻李村,ma'li'cun
贸易广场,mao'yi'guang'chang
孟家村,meng'jia'cun
民主路,min'zhu'lu
民主路口,min'zhu'lu'kou
穆家村,mu'jia'cun
南梁村,nan'liang'cun
南塘口,nan'tang'kou
南小桥,nan'xiao'qiao
农机公司,nong'ji'gong'si
农园十字,nong'yuan'shi'zi
前进路十字,qian'jin'lu'shi'zi
桥梁处,qiao'liang'chu
秦牛锅炉厂,qin'niu'guo'lu'chang
染化厂,ran'hua'chang
人保分公司,ren'bao'fen'gong'si
人民街东口,ren'min'jie'dong'kou
人民商场,ren'min'shang'chang
人民银行,ren'min'yin'hang
瑞泉中学,rui'quan'zhong'xue
三管局家属院,san'guan'ju'jia'shu'yuan
三贤路,san'xian'lu
三贤路十字,san'xian'lu'shi'zi
三一零中队,san'yi'ling'zhong'dui
沙王大桥,sha'wang'da'qiao
陕铁职院,shan'tie'zhi'yuan
商业大厦,shang'ye'da'sha
省二监,sheng'er'jian
胜利街东口,sheng'li'jie'dong'kou
胜利街十字,sheng'li'jie'shi'zi
胜利街西口,sheng'li'jie'xi'kou
省四建,sheng'si'jian
市城乡建设局,shi'cheng'xiang'jian'she'ju
市二医院,shi'er'yi'yuan
市妇幼保健院,shi'fu'you'bao'jian'yuan
市化工厂,shi'hua'gong'chang
市建行,shi'jian'hang
市客运站,shi'ke'yun'zhan
市客运站中线站,shi'ke'yun'zhan'zhong'xian'zhan
市气象局,shi'qi'xiang'ju
实验初中,shi'yan'chu'zhong
市盐务局,shi'yan'wu'ju
石油公司家属院,shi'you'gong'si'jia'shu'yuan
师院老区,shi'yuan'lao'qu
师院南门,shi'yuan'nan'men
市政府,shi'zheng'fu
市中心医院,shi'zhong'xin'yi'yuan
双王乡,shuang'wang'xiang
四号信箱,si'hao'xin'xiang
体育馆,ti'yu'guan
田市客运站,tian'shi'ke'yun'zhan
铁二十局家属院,tie'er'shi'ju'jia'shu'yuan
万国商城,wan'guo'shang'cheng
渭富大桥,wei'fu'da'qiao
渭化北门,wei'hua'bei'men
渭化南门,wei'hua'nan'men
渭蓝路口,wei'lan'lu'kou
渭桥市场,wei'qiao'shi'chang
西北印机厂,xi'bei'yin'ji'chang
西电一公司,xi'dian'yi'gong'si
西南京路口,xi'nan'jing'lu'kou
西南京路十字,xi'nan'jing'lu'shi'zi
西王村,xi'wang'cun
西岳路十字,xi'yue'lu'shi'zi
西岳路朝阳十字,xi'yue'lu'zhao'yang'shi'zi
西岳庙,xi'yue'miao
西岳商场,xi'yue'shang'chang
西岳十字,xi'yue'shi'zi
下安村,xia'an'cun
象山商场,xiang'shan'shang'chang
向阳派出所,xiang'yang'pai'chu'suo
小桥十字,xiao'qiao'shi'zi
新华书店,xin'hua'shu'dian
新盛路,xin'sheng'lu
新盛路南口,xin'sheng'lu'nan'kou
辛市镇,xin'shi'zhen
新洲广场,xin'zhou'guang'chang
新洲中央街区,xin'zhou'zhong'yang'jie'qu
宣化路口,xuan'hua'lu'kou
杨刘村,yang'liu'cun
亿格电脑城,yi'ge'dian'nao'cheng
营里村,ying'li'cun
油陈村,you'chen'cun
邮电大楼,you'dian'da'lou
尤西加油站,you'xi'jia'you'zhan
沋西加油站,you'xi'jia'you'zhan
沋西停车场,you'xi'ting'che'chang
站南电池厂,zhan'nan'dian'chi'chang
张刘村,zhang'liu'cun
招二路口,zhao'er'lu'kou
招三路口,zhao'san'lu'kou
赵王村,zhao'wang'cun
朝阳大街十字,zhao'yang'da'jie'shi'zi
中级法院,zhong'ji'fa'yuan
中心广场,zhong'xin'guang'chang
中心医院,zhong'xin'yi'yuan
中医学院,zhong'yi'xue'yuan
中原街,zhong'yuan'jie
朱王村,zhu'wang'cun
