阿勒颇城之战,a'le'po'cheng'zhi'zhan
成都之战,cheng'du'zhi'zhan
成皋之战,cheng'gao'zhi'zhan
成吉思汗三路攻金之战,cheng'ji'si'han'san'lu'gong'jin'zhi'zhan
成吉思汗统一蒙古之战,cheng'ji'si'han'tong'yi'meng'gu'zhi'zhan
城濮之战,cheng'pu'zhi'zhan
赤壁之战,chi'bi'zhi'zhan
赤眉农民起义战争,chi'mei'nong'min'qi'yi'zhan'zheng
赤亭之战,chi'ting'zhi'zhan
重庆之战,chong'qing'zhi'zhan
楚巴与邓鄾之战,chu'ba'yu'deng'you'zhi'zhan
楚汉战争,chu'han'zhan'zheng
出河店之战,chu'he'dian'zhi'zhan
楚灭庸之战,chu'mie'yong'zhi'zhan
川陕之战,chuan'shan'zhi'zhan
大非川之战,da'fei'chuan'zhi'zhan
大界之战,da'jie'zhi'zhan
达鲁古城之战,da'lu'gu'cheng'zhi'zhan
大马士革之战,da'ma'shi'ge'zhi'zhan
大藤峡之战,da'teng'xia'zhi'zhan
大垭寨之战,da'ya'zhai'zhi'zhan
大仪之战,da'yi'zhi'zhan
大原之战,da'yuan'zhi'zhan
代州之战,dai'zhou'zhi'zhan
德安之战,de'an'zhi'zhan
德顺军之战,de'shun'jun'zhi'zhan
狄道之战,di'dao'zhi'zhan
第二次枣阳之战,di'er'ci'zao'yang'zhi'zhan
底格里斯河之战,di'ge'li'si'he'zhi'zhan
钓鱼城之战,diao'yu'cheng'zhi'zhan
定川寨之战,ding'chuan'zhai'zhi'zhan
丁家洲之战,ding'jia'zhou'zhi'zhan
定羌城之战,ding'qiang'cheng'zhi'zhan
定陶之战,ding'tao'zhi'zhan
定州之战,ding'zhou'zhi'zhan
东汉灭蜀之战,dong'han'mie'shu'zhi'zhan
东汉平陇西之战,dong'han'ping'long'xi'zhi'zhan
东汉统一关东之战,dong'han'tong'yi'guan'dong'zhi'zhan
东汉统一战争,dong'han'tong'yi'zhan'zheng
东汉与羌的战争,dong'han'yu'qiang'de'zhan'zheng
东汉与鲜卑的战争,dong'han'yu'xian'bei'de'zhan'zheng
东汉与匈奴的战争,dong'han'yu'xiong'nu'de'zhan'zheng
东京之战,dong'jing'zhi'zhan
洞庭湖之战,dong'ting'hu'zhi'zhan
东硖石谷之战,dong'xia'shi'gu'zhi'zhan
东兴之战,dong'xing'zhi'zhan
窦建德起义,dou'jian'de'qi'yi
杜陵之战,du'ling'zhi'zhan
杜弢起义,du'tao'qi'yi
断道坞之战,duan'dao'wu'zhi'zhan
段谷之战,duan'gu'zhi'zhan
沌口之战,dun'kou'zhi'zhan
额弗拉特河之战,e'fu'la'te'he'zhi'zhan
鄂州之战,e'zhou'zhi'zhan
樊城之战,fan'cheng'zhi'zhan
番吾之战,fan'wu'zhi'zhan
范延堡之战,fan'yan'bao'zhi'zhan
范阳起兵,fan'yang'qi'bing
方腊起义,fang'la'qi'yi
淝水之战,fei'shui'zhi'zhan
肥之战,fei'zhi'zhan
酆家店之战,feng'jia'dian'zhi'zhan
丰利山之战,feng'li'shan'zhi'zhan
奉天灵台之战,feng'tian'ling'tai'zhi'zhan
奉天之战,feng'tian'zhi'zhan
凤阳之战,feng'yang'zhi'zhan
富良江之战,fu'liang'jiang'zhi'zhan
富平之战,fu'ping'zhi'zhan
抚顺之战,fu'shun'zhi'zhan
覆舟山之战,fu'zhou'shan'zhi'zhan
垓下之战,gai'xia'zhi'zhan
甘露之变,gan'lu'zhi'bian
高欢击尔朱氏之战巴西之战,gao'huan'ji'er'zhu'shi'zhi'zhan'ba'xi'zhi'zhan
高粱河之战,gao'liang'he'zhi'zhan
高平之战,gao'ping'zhi'zhan
高越原之战,gao'yue'yuan'zhi'zhan
骨笃禄攻唐之战,gu'du'lu'gong'tang'zhi'zhan
古勒山之战,gu'le'shan'zhi'zhan
固石洞之战,gu'shi'dong'zhi'zhan
瓜州之战,gua'zhou'zhi'zhan
官渡之战,guan'du'zhi'zhan
广都成都之战,guang'dou'cheng'dou'zhi'zhan
广固之战,guang'gu'zhi'zhan
广陵之战,guang'ling'zhi'zhan
广宗之战,guang'zong'zhi'zhan
桂陵之战,gui'ling'zhi'zhan
贵阳之战,gui'yang'zhi'zhan
贵州湖广各族人民大起义,gui'zhou'hu'guang'ge'zu'ren'min'da'qi'yi
郭威灭后汉之战,guo'wei'mie'hou'han'zhi'zhan
郭子仪击叛军之战,guo'zi'yi'ji'pan'jun'zhi'zhan
海埚之战,hai'guo'zhi'zhan
海州之战,hai'zhou'zhi'zhan
邯郸之战,han'dan'zhi'zhan
汉攻大宛之战,han'gong'da'wan'zhi'zhan
汉攻公孙述之战,han'gong'gong'sun'shu'zhi'zhan
函谷关之战,han'gu'guan'zhi'zhan
汉平东越之战,han'ping'dong'yue'zhi'zhan
汉平南越之战,han'ping'nan'yue'zhi'zhan
汉平吴楚七国之乱,han'ping'wu'chu'qi'guo'zhi'luan
汉平西羌之战,han'ping'xi'qiang'zhi'zhan
汉平诸吕之乱,han'ping'zhu'lv'zhi'luan
韩侂胄攻金之战,han'tuo'zhou'gong'jin'zhi'zhan
韩信破代赵燕齐之战,han'xin'po'dai'zhao'yan'qi'zhi'zhan
汉中之战,han'zhong'zhi'zhan
鄗代之战,hao'dai'zhi'zhan
好水川之战,hao'shui'chuan'zhi'zhan
河北之战,he'bei'zhi'zhan
河东之战,he'dong'zhi'zhan
合肥之战,he'fei'zhi'zhan
河间之战,he'jian'zhi'zhan
合兰真沙陀折折运都山之战,he'lan'zhen'sha'tuo'zhe'zhe'yun'dou'shan'zhi'zhan
河南凉州之战,he'nan'liang'zhou'zhi'zhan
河南之战,he'nan'zhi'zhan
和尚原之战,he'shang'yuan'zhi'zhan
河外之战,he'wai'zhi'zhan
河西之战,he'xi'zhi'zhan
河阳之战,he'yang'zhi'zhan
河阴之战,he'yin'zhi'zhan
河中之战,he'zhong'zhi'zhan
和州之战,he'zhou'zhi'zhan
合纵攻秦之战,he'zong'gong'qin'zhi'zhan
黑河墩之战,hei'he'dun'zhi'zhan
黑石之战,hei'shi'zhi'zhan
横屿之战,heng'yu'zhi'zhan
红袄巾抗金起义,hong'ao'jin'kang'jin'qi'yi
红巾军抗金起义,hong'jin'jun'kang'jin'qi'yi
泓水之战,hong'shui'zhi'zhan
红盐池之战,hong'yan'chi'zhi'zhan
后晋灭后唐之战,hou'jin'mie'hou'tang'zhi'zhan
侯景之乱,hou'jing'zhi'luan
后唐灭后梁之战,hou'tang'mie'hou'liang'zhi'zhan
后唐灭前蜀之战,hou'tang'mie'qian'shu'zhi'zhan
后燕灭西燕之战,hou'yan'mie'xi'yan'zhi'zhan
忽必烈灭宋之战,hu'bi'lie'mie'song'zhi'zhan
忽必烈与阿里不哥之战,hu'bi'lie'yu'a'li'bu'ge'zhi'zhan
忽必灭大理之战,hu'bi'mie'da'li'zhi'zhan
护步达冈之战,hu'bu'da'gang'zhi'zhan
虎牢之战,hu'lao'zhi'zhan
胡柳陂之战,hu'liu'bei'zhi'zhan
滹沱河之战,hu'tuo'he'zhi'zhan
湖县之战,hu'xian'zhi'zhan
虎啸山之战,hu'xiao'shan'zhi'zhan
湖州之战,hu'zhou'zhi'zhan
花街之战,hua'jie'zhi'zhan
华阳之战,hua'yang'zhi'zhan
淮汉之战,huai'han'zhi'zhan
淮南之战,huai'nan'zhi'zhan
淮西之战,huai'xi'zhi'zhan
洹水之战,huan'shui'zhi'zhan
黄巢攻东都之战,huang'chao'gong'dong'du'zhi'zhan
黄巢攻唐长安之战,huang'chao'gong'tang'chang'an'zhi'zhan
黄巢南下福州之战,huang'chao'nan'xia'fu'zhou'zhi'zhan
黄巢农民起义,huang'chao'nong'min'qi'yi
黄巢转战中原之战,huang'chao'zhuan'zhan'zhong'yuan'zhi'zhan
黄花谷之战,huang'hua'gu'zhi'zhan
黄巾农民起义战争,huang'jin'nong'min'qi'yi'zhan'zheng
黄天荡之战,huang'tian'dang'zhi'zhan
黄麞谷之战,huang'zhang'gu'zhi'zhan
黄州之战,huang'zhou'zhi'zhan
徽州之战,hui'zhou'zhi'zhan
浑河之战,hun'he'zhi'zhan
霍邑之战,huo'yi'zhi'zhan
棘城之战,ji'cheng'zhi'zhan
鸡父之战,ji'fu'zhi'zhan
稽落山之战,ji'luo'shan'zhi'zhan
即墨之战,ji'mo'zhi'zhan
集庆之战,ji'qing'zhi'zhan
积石军之战,ji'shi'jun'zhi'zhan
济西之战,ji'xi'zhi'zhan
嘉定之战,jia'ding'zhi'zhan
夹河之战,jia'he'zhi'zhan
迦勒迦河之战,jia'le'jia'he'zhi'zhan
建德之战,jian'de'zhi'zhan
建康之战,jian'kang'zhi'zhan
剑门之战,jian'men'zhi'zhan
剑南西川之战,jian'nan'xi'chuan'zhi'zhan
建州之战,jian'zhou'zhi'zhan
江陵之战,jiang'ling'zhi'zhan
江州之战,jiang'zhou'zhi'zhan
焦山之战,jiao'shan'zhi'zhan
交趾之战,jiao'zhi'zhi'zhan
阶文之战,jie'wen'zhi'zhan
晋楚争霸战争,jin'chu'zheng'ba'zhan'zheng
晋悼公兴复霸业之战,jin'dao'gong'xing'fu'ba'ye'zhi'zhan
晋攻前秦之战,jin'gong'qian'qin'zhi'zhan
晋攻前燕之战,jin'gong'qian'yan'zhi'zhan
晋假途灭虢之战,jin'jia'tu'mie'guo'zhi'zhan
金军三道攻宋之战,jin'jun'san'dao'gong'song'zhi'zhan
金辽战争,jin'liao'zhan'zheng
金灭北宋东京之战,jin'mie'bei'song'dong'jing'zhi'zhan
晋秦争霸战争,jin'qin'zheng'ba'zhan'zheng
晋文公图霸中原之战,jin'wen'gong'tu'ba'zhong'yuan'zhi'zhan
金乡之战,jin'xiang'zhi'zhan
荆湖之战,jing'hu'zhi'zhan
京畿之战,jing'ji'zhi'zhan
静江之战,jing'jiang'zhi'zhan
靖难之役,jing'nan'zhi'yi
京襄之战,jing'xiang'zhi'zhan
井陉之战,jing'xing'zhi'zhan
泾阳之战,jing'yang'zhi'zhan
泾原兵变,jing'yuan'bing'bian
九门之战,jiu'men'zhi'zhan
巨鹿之战,ju'lu'zhi'zhan
浚稽山之战,jun'ji'shan'zhi'zhan
君子馆之战,jun'zi'guan'zhi'zhan
开封之战,kai'feng'zhi'zhan
孔有德叛乱,kong'you'de'pan'luan
夔州之战,kui'zhou'zhi'zhan
昆仑关之战,kun'lun'guan'zhi'zhan
昆阳之战,kun'yang'zhi'zhan
阔亦田之战,kuo'yi'tian'zhi'zhan
狼山兀鲁乃池之战,lang'shan'wu'lu'nai'chi'zhi'zhan
狼尾滩之战,lang'wei'tan'zhi'zhan
冷陉之战,leng'xing'zhi'zhan
黎丘之战,li'qiu'zhi'zhan
李晟收复长安之战,li'sheng'shou'fu'chang'an'zhi'zhan
李世民击灭薛举父子之战,li'shi'min'ji'mie'xue'ju'fu'zi'zhi'zhan
黎阳之战,li'yang'zhi'zhan
李渊攻取长安之战,li'yuan'gong'qu'chang'an'zhi'zhan
李渊击突厥之战,li'yuan'ji'tu'jue'zhi'zhan
李渊太原起兵,li'yuan'tai'yuan'qi'bing
笠泽之战,li'ze'zhi'zhan
利州之战,li'zhou'zhi'zhan
两河之战,liang'he'zhi'zhan
两淮之战,liang'huai'zhi'zhan
两井之战,liang'jing'zhi'zhan
梁郡之战,liang'jun'zhi'zhan
梁与北魏的战争,liang'yu'bei'wei'de'zhan'zheng
辽东之战,liao'dong'zhi'zhan
临安之战,lin'an'zhi'zhan
林墩之战,lin'dun'zhi'zhan
林历山之战,lin'li'shan'zhi'zhan
灵宝之战,ling'bao'zhi'zhan
灵宜盐百之战,ling'yi'yan'bai'zhi'zhan
灵州之战,ling'zhou'zhi'zhan
刘邦还定三秦之战,liu'bang'hai'ding'san'qin'zhi'zhan
刘黑闼攻唐河北之战,liu'hei'ta'gong'tang'he'bei'zhi'zhan
刘黑闼起兵反唐之战,liu'hei'ta'qi'bing'fan'tang'zhi'zhan
刘六刘七起义,liu'liu'liu'qi'qi'yi
刘秀攻关中洛阳之战,liu'xiu'gong'guan'zhong'luo'yang'zhi'zhan
刘秀统一河北之战,liu'xiu'tong'yi'he'bei'zhi'zhan
刘裕灭南燕之战,liu'yu'mie'nan'yan'zhi'zhan
麓川之役,lu'chuan'zhi'yi
麓川之战,lu'chuan'zhi'zhan
六合之战,lu'he'zhi'zhan
鲁口之战,lu'kou'zhi'zhan
露梁海战,lu'liang'hai'zhan
绿林农民起义战争,lu'lin'nong'min'qi'yi'zhan'zheng
卢循起义,lu'xun'qi'yi
鲁阳之战,lu'yang'zhi'zhan
庐州之战,lu'zhou'zhi'zhan
泸州之战,lu'zhou'zhi'zhan
潞州之战,lu'zhou'zhi'zhan
滦水谷之战,luan'shui'gu'zhi'zhan
罗汗山之战,luo'han'shan'zhi'zhan
洛南之战,luo'nan'zhi'zhan
洛阳虎牢之战,luo'yang'hu'lao'zhi'zhan
洛阳之战,luo'yang'zhi'zhan
吕光攻龟兹之战,lv'guang'gong'qiu'ci'zhi'zhan
吕光攻西秦之战,lv'guang'gong'xi'qin'zhi'zhan
马邑之战,ma'yi'zhi'zhan
马援征岭南之战,ma'yuan'zheng'ling'nan'zhi'zhan
麦门底斯之战,mai'men'di'si'zhi'zhan
满城之战,man'cheng'zhi'zhan
邙山之战,mang'shan'zhi'zhan
芒市河之战,mang'shi'he'zhi'zhan
蒙哥攻宋之战,meng'ge'gong'song'zhi'zhan
蒙古第二次西征,meng'gu'di'er'ci'xi'zheng
蒙古第三次西征之战,meng'gu'di'san'ci'xi'zheng'zhi'zhan
蒙古第一次西征,meng'gu'di'yi'ci'xi'zheng
蒙古攻安南之战,meng'gu'gong'an'nan'zhi'zhan
蒙古攻四川之战,meng'gu'gong'si'chuan'zhi'zhan
蒙古攻西辽之战,meng'gu'gong'xi'liao'zhi'zhan
蒙古平李璮之战,meng'gu'ping'li'tan'zhi'zhan
蒙古与西夏的战争,meng'gu'yu'xi'xia'de'zhan'zheng
蒙金战争,meng'jin'zhan'zheng
蒙宋战争,meng'song'zhan'zheng
沔州之战,mian'zhou'zhi'zhan
岷州之战,min'zhou'zhi'zhan
明成祖第二次亲征漠北之战,ming'cheng'zu'di'er'ci'qin'zheng'mo'bei'zhi'zhan
明成祖第四次亲征漠北之战,ming'cheng'zu'di'si'ci'qin'zheng'mo'bei'zhi'zhan
明成祖第五次亲征漠北之战,ming'cheng'zu'di'wu'ci'qin'zheng'mo'bei'zhi'zhan
明成祖第一次亲征漠北之战,ming'cheng'zu'di'yi'ci'qin'zheng'mo'bei'zhi'zhan
明攻福建之战,ming'gong'fu'jian'zhi'zhan
明攻甘陕之战,ming'gong'gan'shan'zhi'zhan
明攻河北大都之战,ming'gong'he'bei'da'du'zhi'zhan
明攻河南之战,ming'gong'he'nan'zhi'zhan
明攻闽广之战,ming'gong'min'guang'zhi'zhan
明攻山东之战,ming'gong'shan'dong'zhi'zhan
明攻山西之战,ming'gong'shan'xi'zhi'zhan
明攻云南之战,ming'gong'yun'nan'zhi'zhan
明抗倭的战争,ming'kang'wo'de'zhan'zheng
明抗倭援朝战争,ming'kang'wo'yuan'chao'zhan'zheng
明灭吴平之战,ming'mie'wu'ping'zhi'zhan
明灭夏之战,ming'mie'xia'zhi'zhan
明灭元之战,ming'mie'yuan'zhi'zhan
明末农民起义,ming'mo'nong'min'qi'yi
明平安邦彦之战,ming'ping'an'bang'yan'zhi'zhan
明平哱拜叛乱,ming'ping'bo'bai'pan'luan
明平定都掌部落之战,ming'ping'ding'dou'zhang'bu'luo'zhi'zhan
明平交阯之战,ming'ping'jiao'zhi'zhi'zhan
明平奢崇明之战,ming'ping'she'chong'ming'zhi'zhan
明平杨应龙叛乱,ming'ping'yang'ying'long'pan'luan
明平岳凤叛乱,ming'ping'yue'feng'pan'luan
洺水之战,ming'shui'zhi'zhan
明太祖第八次北征沙漠之战,ming'tai'zu'di'ba'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第二次北征沙漠之战,ming'tai'zu'di'er'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第六次北征沙漠之战,ming'tai'zu'di'liu'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第七次北征沙漠之战,ming'tai'zu'di'qi'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第三次北征沙漠之战,ming'tai'zu'di'san'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第四次北征沙漠之战,ming'tai'zu'di'si'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第五次北征沙漠之战,ming'tai'zu'di'wu'ci'bei'zheng'sha'mo'zhi'zhan
明太祖第一次北征沙漠之战,ming'tai'zu'di'yi'ci'bei'zheng'sha'mo'zhi'zhan
鸣条之战,ming'tiao'zhi'zhan
明统一战争,ming'tong'yi'zhan'zheng
明与后金的战争,ming'yu'hou'jin'de'zhan'zheng
漠北之战,mo'bei'zhi'zhan
默啜攻唐河北之战,mo'chuo'gong'tang'he'bei'zhi'zhan
默啜攻唐之战,mo'chuo'gong'tang'zhi'zhan
漠南之战,mo'nan'zhi'zhan
纳忽山不黑都儿麻之战,na'hu'shan'bu'hei'dou'er'ma'zhi'zhan
南安合肥之战,nan'an'he'fei'zhi'zhan
南阳之战,nan'yang'zhi'zhan
南中之战,nan'zhong'zhi'zhan
你沙不儿之战,ni'sha'bu'er'zhi'zhan
宁江州之战,ning'jiang'zhou'zhi'zhan
宁锦之战,ning'jin'zhi'zhan
宁陵之战,ning'ling'zhi'zhan
宁平城之战,ning'ping'cheng'zhi'zhan
宁远之战,ning'yuan'zhi'zhan
纽粦攻四川之战,niu'lin'gong'si'chuan'zhi'zhan
努尔哈赤统一女真战争,nu'er'ha'chi'tong'yi'nv'zhen'zhan'zheng
庞勋起义,pang'xun'qi'yi
裴行俭攻伏念之战,pei'xing'jian'gong'fu'nian'zhi'zhan
裴行俭破西突厥之战,pei'xing'jian'po'xi'tu'jue'zhi'zhan
彭城之战,peng'cheng'zhi'zhan
平江之战,ping'jiang'zhi'zhan
平凉之战,ping'liang'zhi'zhan
平壤之战,ping'rang'zhi'zhan
平阳之战,ping'yang'zhi'zhan
平阴之战,ping'yin'zhi'zhan
鄱阳湖之战,po'yang'hu'zhi'zhan
仆散安贞攻宋之战,pu'san'an'zhen'gong'song'zhi'zhan
仆散揆攻宋之战,pu'san'kui'gong'song'zhi'zhan
契丹灭后晋之战,qi'dan'mie'hou'jin'zhi'zhan
岐沟关之战,qi'gou'guan'zhi'zhan
齐桓公图霸中原之战,qi'huan'gong'tu'ba'zhong'yuan'zhi'zhan
歧亭延州之战,qi'ting'yan'zhou'zhi'zhan
乞瓦之战,qi'wa'zhi'zhan
齐与北魏的战争,qi'yu'bei'wei'de'zhan'zheng
汧城之战,qian'cheng'zhi'zhan
前秦灭前燕之战,qian'qin'mie'qian'yan'zhi'zhan
浅水原之战,qian'shui'yuan'zhi'zhan
前燕灭冉魏之战,qian'yan'mie'ran'wei'zhi'zhan
黔中之战,qian'zhong'zhi'zhan
秦楚丹阳兰田之战,qin'chu'dan'yang'lan'tian'zhi'zhan
秦攻鄀之战,qin'gong'ruo'zhi'zhan
秦攻匈奴之战,qin'gong'xiong'nu'zhi'zhan
秦淮河之战,qin'huai'he'zhi'zhan
秦灭巴蜀之战,qin'mie'ba'shu'zhi'zhan
秦灭楚之战,qin'mie'chu'zhi'zhan
秦灭韩之战,qin'mie'han'zhi'zhan
秦灭六国的战争,qin'mie'liu'guo'de'zhan'zheng
秦灭齐之战,qin'mie'qi'zhi'zhan
秦灭魏之战,qin'mie'wei'zhi'zhan
秦灭燕之战,qin'mie'yan'zhi'zhan
秦灭赵之战,qin'mie'zhao'zhi'zhan
秦收复河西之战,qin'shou'fu'he'xi'zhi'zhan
秦州之战,qin'zhou'zhi'zhan
青海之战,qing'hai'zhi'zhan
清河城之战,qing'he'cheng'zhi'zhan
青州之战,qing'zhou'zhi'zhan
曲阿之战,qu'a'zhi'zhan
曲城之战,qu'cheng'zhi'zhan
曲靖之战,qu'jing'zhi'zhan
雀鼠谷之战,que'shu'gu'zhi'zhan
穰城之战,rang'cheng'zhi'zhan
饶凤关之战,rao'feng'guan'zhi'zhan
繻葛之战,ru'ge'zhi'zhan
濡须口之战,ru'xu'kou'zhi'zhan
汝州之战,ru'zhou'zhi'zhan
萨尔浒之战,sa'er'hu'zhi'zhan
撒麻尔干之战,sa'ma'er'gan'zhi'zhan
赛约河之战,sai'yue'he'zhi'zhan
三峰山之战,san'feng'shan'zhi'zhan
沙洋新城之战,sha'yang'xin'cheng'zhi'zhan
沙苑之战,sha'yuan'zhi'zhan
陕城之战,shan'cheng'zhi'zhan
剡家湾之战,shan'jia'wan'zhi'zhan
陕西之战,shan'xi'zhi'zhan
鄯州之战,shan'zhou'zhi'zhan
上峰岭之战,shang'feng'ling'zhi'zhan
上郡之战,shang'jun'zhi'zhan
商灭夏的战争,shang'mie'xia'de'zhan'zheng
商武丁对西北游牧民族的战争,shang'wu'ding'dui'xi'bei'you'mu'min'zu'de'zhan'zheng
邵兴抗金起义,shao'xing'kang'jin'qi'yi
韶州之战,shao'zhou'zhi'zhan
社木寨之战,she'mu'zhai'zhi'zhan
神川之战,shen'chuan'zhi'zhan
申河之战,shen'he'zhi'zhan
神农氏攻斧燧氏之战,shen'nong'shi'gong'fu'sui'shi'zhi'zhan
神投海之战,shen'tou'hai'zhi'zhan
石堡城之战,shi'bao'cheng'zhi'zhan
十三翼之战,shi'san'yi'zhi'zhan
始州之战,shi'zhou'zhi'zhan
石子河之战,shi'zi'he'zhi'zhan
寿春之战,shou'chun'zhi'zhan
寿阳之战,shou'yang'zhi'zhan
寿州之战,shou'zhou'zhi'zhan
疏勒城之战,shu'le'cheng'zhi'zhan
蜀中内战,shu'zhong'nei'zhan
顺昌之战,shun'chang'zhi'zhan
朔州黑山之战,shuo'zhou'hei'shan'zhi'zhan
宋攻李成之战,song'gong'li'cheng'zhi'zhan
宋攻魏河南之战,song'gong'wei'he'nan'zhi'zhan
宋攻谢晦之战,song'gong'xie'hui'zhi'zhan
宋江起义,song'jiang'qi'yi
宋金战争,song'jin'zhan'zheng
松锦之战,song'jin'zhi'zhan
宋辽战争,song'liao'zhan'zheng
宋灭北汉之战,song'mie'bei'han'zhi'zhan
宋灭后蜀之战,song'mie'hou'shu'zhi'zhan
宋灭南汉之战,song'mie'nan'han'zhi'zhan
宋灭南唐之战,song'mie'nan'tang'zhi'zhan
宋平丁进之战,song'ping'ding'jin'zhi'zhan
宋平刘义宣之战,song'ping'liu'yi'xuan'zhi'zhan
宋平刘子勋之战,song'ping'liu'zi'xun'zhi'zhan
宋收复河岷等州之战,song'shou'fu'he'min'deng'zhou'zhi'zhan
宋与西夏的战争,song'yu'xi'xia'de'zhan'zheng
松州之战,song'zhou'zhi'zhan
隋反击突厥之战,sui'fan'ji'tu'jue'zhi'zhan
隋攻林邑之战,sui'gong'lin'yi'zhi'zhan
隋击达头可汗之战,sui'ji'da'tou'ke'han'zhi'zhan
隋击契丹之战,sui'ji'qi'dan'zhi'zhan
隋击突厥之战,sui'ji'tu'jue'zhi'zhan
隋击吐谷浑之战,sui'ji'tu'yu'hun'zhi'zhan
隋灭陈之战,sui'mie'chen'zhi'zhan
隋末农民起义,sui'mo'nong'min'qi'yi
隋平江南之战,sui'ping'jiang'nan'zhi'zhan
隋平李佛子之战,sui'ping'li'fo'zi'zhi'zhan
隋平杨谅之战,sui'ping'yang'liang'zhi'zhan
隋平杨玄感之战,sui'ping'yang'xuan'gan'zhi'zhan
隋统一战争,sui'tong'yi'zhan'zheng
隋炀帝第二次攻高丽之战,sui'yang'di'di'er'ci'gong'gao'li'zhi'zhan
隋炀帝第三次攻高丽之战,sui'yang'di'di'san'ci'gong'gao'li'zhi'zhan
隋炀帝第一次攻高丽之战,sui'yang'di'di'yi'ci'gong'gao'li'zhi'zhan
睢阳之战,sui'yang'zhi'zhan
隋与高丽的战争,sui'yu'gao'li'de'zhan'zheng
孙恩起义,sun'en'qi'yi
缩头湖之战,suo'tou'hu'zhi'zhan
塔里寒之战,ta'li'han'zhi'zhan
太原之战,tai'yuan'zhi'zhan
台州之战,tai'zhou'zhi'zhan
潭州之战,tan'zhou'zhi'zhan
唐代宗削藩之战,tang'dai'zong'xue'fan'zhi'zhan
唐德宗削藩之战,tang'de'zong'xue'fan'zhi'zhan
唐夺长安之战,tang'duo'chang'an'zhi'zhan
唐攻契丹之战,tang'gong'qi'dan'zhi'zhan
唐攻龟兹之战,tang'gong'qiu'ci'zhi'zhan
唐击回鹘乌介可汗之战,tang'ji'hui'hu'wu'jie'ke'han'zhi'zhan
唐击突厥汾州三观山之战,tang'ji'tu'jue'fen'zhou'san'guan'shan'zhi'zhan
唐击吐谷浑之战,tang'ji'tu'yu'hun'zhi'zhan
唐击小勃律之战,tang'ji'xiao'bo'lv'zhi'zhan
唐击薛延陀之战,tang'ji'xue'yan'tuo'zhi'zhan
唐击焉耆之战,tang'ji'yan'qi'zhi'zhan
唐灭百济之战,tang'mie'bai'ji'zhi'zhan
唐灭大齐之战,tang'mie'da'qi'zhi'zhan
