阿鼻元珠,a'bi'yuan'zhu
赤杖仙童,chi'zhang'xian'tong
赤杖仙童阮纠,chi'zhang'xian'tong'ruan'jiu
赤杖真人,chi'zhang'zhen'ren
丑女花奇,chou'nv'hua'qi
愁鹰洞,chou'ying'dong
楚青琴,chu'qing'qin
樗散子,chu'san'zi
樗散子余道人,chu'san'zi'yu'dao'ren
除邪九烟丸,chu'xie'jiu'yan'wan
川东五矮,chuan'dong'wu'ai
穿心和尚,chuan'xin'he'shang
吹云法,chui'yun'fa
纯阳乾明离火,chun'yang'qian'ming'li'huo
催光穿云法,cui'guang'chuan'yun'fa
崔海蓉,cui'hai'rong
崔绮,cui'qi
崔晴,cui'qing
崔五姑,cui'wu'gu
崔盈,cui'ying
大方真人,da'fang'zhen'ren
大荒二老,da'huang'er'lao
大荒派,da'huang'pai
大雷音烈火神幡,da'lei'yin'lie'huo'shen'fan
大力金刚,da'li'jin'gang
大力金刚神杵,da'li'jin'gang'shen'chu
大力千斤神法,da'li'qian'jin'shen'fa
大溟真人韩霄,da'ming'zhen'ren'han'xiao
大搜摄法,da'sou'she'fa
大五行绝灭光针,da'wu'xing'jue'mie'guang'zhen
大五行莲花化劫之法,da'wu'xing'lian'hua'hua'jie'zhi'fa
大销魂法,da'xiao'hun'fa
大雄禅师,da'xiong'chan'shi
大须弥如意障无相神光,da'xu'mi'ru'yi'zhang'wu'xiang'shen'guang
大须弥障,da'xu'mi'zhang
大须弥正反九宫仙阵,da'xu'mi'zheng'fan'jiu'gong'xian'zhen
大玄天章,da'xuan'tian'zhang
大衍神柱,da'yan'shen'zhu
大阴地网,da'yin'di'wang
大智禅师,da'zhi'chan'shi
丹书,dan'shu
丹云嶂,dan'yun'zhang
倒转乾坤大法,dao'zhuan'qian'kun'da'fa
地听,de'ting
登萍仙子戴湘英,deng'ping'xian'zi'dai'xiang'ying
灯檠,deng'qing
邓隐,deng'yin
地遁,di'dun
地寒钻,di'han'zuan
狄鸣岐,di'ming'qi
地壳真火,di'qiao'zhen'huo
地缺,di'que
地阙金章,di'que'jin'zhang
地行术,di'xing'shu
颠倒八门镇仙旗,dian'dao'ba'men'zhen'xian'qi
颠倒八阵图,dian'dao'ba'zhen'tu
颠倒迷仙五云掌,dian'dao'mi'xian'wu'yun'zhang
颠倒乾坤上清大五行挪移大法,dian'dao'qian'kun'shang'qing'da'wu'xing'nuo'yi'da'fa
颠倒乾坤五行移转大法,dian'dao'qian'kun'wu'xing'yi'zhuan'da'fa
颠倒五行大混沌法,dian'dao'wu'xing'da'hun'dun'fa
钓鳌矶,diao'ao'ji
丁嫦,ding'chang
鼎湖峰,ding'hu'feng
东方魔教,dong'fang'mo'jiao
东海闵道姑或者北海廖仙姑,dong'hai'min'dao'gu'huo'zhe'bei'hai'liao'xian'gu
东海三仙,dong'hai'san'xian
东海天蓬山灵峤宫,dong'hai'tian'peng'shan'ling'qiao'gong
东极大荒山阳南星原,dong'ji'da'huang'shan'yang'nan'xing'yuan
东极大荒山阴无终岭,dong'ji'da'huang'shan'yin'wu'zhong'ling
东极大荒山阴无终岭青灵谷,dong'ji'da'huang'shan'yin'wu'zhong'ling'qing'ling'gu
东阳女,dong'yang'nv
兜率宝伞,dou'lv'bao'san
兜率金伞,dou'lv'jin'san
都天毒火神砂,dou'tian'du'huo'shen'sha
都天烈火神旗,dou'tian'lie'huo'shen'qi
都天烈火仙阵,dou'tian'lie'huo'xian'zhen
都天罗刹赤血搜行之法,dou'tian'luo'cha'chi'xue'sou'xing'zhi'fa
都天神雷烈火旗门,dou'tian'shen'lei'lie'huo'qi'men
兜元仙,dou'yuan'xian
兜元仙史邢曼,dou'yuan'xian'shi'xing'man
独霸川东李震川,du'ba'chuan'dong'li'zhen'chuan
度厄金丹,du'e'jin'dan
度厄仙衣,du'e'xian'yi
独角蟒马雄,du'jiao'mang'ma'xiong
独角神鹫,du'jiao'shen'jiu
毒磷,du'lin
独龙禅杖,du'long'chan'zhang
毒龙丸,du'long'wan
毒龙尊者,du'long'zun'zhe
毒手摩什,du'shou'mo'shen
毒刑锁骨穿心小修罗法,du'xing'suo'gu'chuan'xin'xiao'xiu'luo'fa
独指禅师,du'zhi'chan'shi
断金块,duan'jin'kuai
断玉钩,duan'yu'gou
遁形符,dun'xing'fu
多臂金刚那吒慧行,duo'bi'jin'gang'na'zha'hui'xing
多臂熊毛太,duo'bi'xiong'mao'tai
多目金刚小火神慧性,duo'mu'jin'gang'xiao'huo'shen'hui'xing
峨嵋派,e'mei'pai
二气环,er'qi'huan
二相丹,er'xiang'dan
二行珠,er'xing'zhu
法宝囊,fa'bao'nang
法华金刚轮,fa'hua'jin'gang'lun
法华金光轮,fa'hua'jin'guang'lun
法元,fa'yuan
返魂香,fan'hun'xiang
梵铃,fan'ling
梵拿,fan'na
烦恼环,fan'nao'huan
烦恼圈,fan'nao'quan
反七刹之法,fan'qi'sha'zhi'fa
方英,fang'ying
方瑛,fang'ying
方元,fang'yuan
飞雷洞,fei'lei'dong
飞雷遁法,fei'lei'dun'fa
飞龙遁法,fei'long'dun'fa
飞龙师太,fei'long'shi'tai
飞天蜈蚣多宝道人,fei'tian'wu'gong'duo'bao'dao'ren
飞天夜叉,fei'tian'ye'cha
飞天夜叉马觉,fei'tian'ye'cha'ma'jue
飞星弹,fei'xing'tan
分光捉影之法,fen'guang'zhuo'ying'zhi'fa
粉面佛,fen'mian'fo
分水犀牛陆虎,fen'shui'xi'niu'lu'hu
芬陀大师,fen'tuo'da'shi
风火道人,feng'huo'dao'ren
风火道人吴元智,feng'huo'dao'ren'wu'yuan'zhi
风火崖,feng'huo'ya
风雷錾,feng'lei'zan
佛火心灯,fo'huo'xin'deng
佛家大金刚须弥手法,fo'jia'da'jin'gang'xu'mi'shou'fa
佛家心光遁法,fo'jia'xin'guang'dun'fa
佛门降魔锁骨缩身之法,fo'men'jiang'mo'suo'gu'suo'shen'zhi'fa
佛门小传轮三相化生妙法,fo'men'xiao'zhuan'lun'san'xiang'hua'sheng'miao'fa
佛门心剑,fo'men'xin'jian
佛奴,fo'nu
伏魔道人姜庶,fu'mo'dao'ren'jiang'shu
伏魔金环,fu'mo'jin'huan
伏魔雷音线,fu'mo'lei'yin'xian
伏魔旗门,fu'mo'qi'men
伏魔真人姜庶,fu'mo'zhen'ren'jiang'shu
伽难珠,ga'nan'zhu
甘碧梧,gan'bi'wu
干神蛛,gan'shen'zhu
钢羽,gang'yu
疙疸罗九,ge'da'luo'jiu
耿鲲,geng'kun
共工,gong'gong
宫琳,gong'lin
公孙寿,gong'sun'shou
公孙武,gong'sun'wu
固本丹,gu'ben'dan
谷辰,gu'chen
姑射仙,gu'she'xian
古神鸠,gu'shen'jiu
固元灵胶,gu'yuan'ling'jiao
怪叫花,guai'jiao'hua
怪叫化穷神凌浑,guai'jiao'hua'qiong'shen'ling'hun
管青衣,guan'qing'yi
广慧大师,guang'hui'da'shi
广慧师太,guang'hui'shi'tai
广明师太,guang'ming'shi'tai
归藏袋,gui'cang'dai
归化神音,gui'hua'shen'yin
归魂咒,gui'hun'zhou
癸水雷珠,gui'shui'lei'zhu
贵州,gui'zhou
郭云璞,guo'yun'pu
哈哈老祖,ha'ha'lao'zu
哈哈僧,ha'ha'seng
哈哈僧元觉禅师,ha'ha'seng'yuan'jue'chan'shi
寒萼之父,han'e'zhi'fu
涵光掠影之法,han'guang'lue'ying'zhi'fa
寒琼仙子,han'qiong'xian'zi
憨僧空了,han'seng'kong'le
韩松,han'song
寒犀照,han'xi'zhao
韩仙子,han'xian'zi
寒氤宝鼎,han'yin'bao'ding
寒月禅师,han'yue'chan'shi
昊天宝鉴,hao'tian'bao'jian
昊天镜,hao'tian'jing
郝子美,hao'zi'mei
合沙道长,he'sha'dao'zhang
黑丑,hei'chou
黑刀峡,hei'dao'xia
黑伽山落神岭,hei'ga'shan'luo'shen'ling
黑狗钉,hei'gou'ding
黑孩儿尉迟火,hei'hai'er'yu'chi'huo
黑霉钉,hei'mei'ding
黑青砂,hei'qing'sha
黑青阴雷,hei'qing'yin'lei
黑煞剑,hei'sha'jian
黑煞落魂砂,hei'sha'luo'hun'sha
黑煞丝,hei'sha'si
黑眚丝,hei'sheng'si
洪长豹,hong'chang'bao
红发老祖,hong'fa'lao'zu
红花鬼母,hong'hua'gui'mu
红花鬼母朱樱,hong'hua'gui'mu'zhu'ying
红花姥姥,hong'hua'lao'lao
虹霓剑,hong'ni'jian
红娘子余莹姑,hong'niang'zi'yu'ying'gu
红丝剑,hong'si'jian
红欲袋,hong'yu'dai
红云散花针,hong'yun'san'hua'zhen
红云针,hong'yun'zhen
红蛛剑,hong'zhu'jian
胡览,hu'lan
湖南大侠,hu'nan'da'xia
护身灵光,hu'shen'ling'guang
化金刚荡魂邪法,hua'jin'gang'dang'hun'xie'fa
花绿绮,hua'lv'qi
华山派,hua'shan'pai
化身之法,hua'shen'zhi'fa
化血分魂之法,hua'xue'fen'hun'zhi'fa
幻波池,huan'bo'chi
换影移行之法,huan'ying'yi'hang'zhi'fa
黄蜂刺,huang'feng'ci
黄精剑,huang'jing'jian
黄莲,huang'lian
黄人龙,huang'ren'long
黄人瑜,huang'ren'yu
黄山,huang'shan
黄绣,huang'xiu
黄玄极,huang'xuan'ji
黄钟,huang'zhong
黄肿道人,huang'zhong'dao'ren
回光神镜,hui'guang'shen'jing
慧剑,hui'jian
慧明,hui'ming
混沌元胎,hun'dun'yuan'tai
混元幡,hun'yuan'fan
混元终气套,hun'yuan'zhong'qi'tao
火蝙蝠,huo'bian'fu
火龙钗,huo'long'chai
火鲁齐,huo'lu'qi
火神经,huo'shen'jing
火无害,huo'wu'hai
火无量,huo'wu'liang
火修罗,huo'xiu'luo
火云链,huo'yun'lian
火真经,huo'zhen'jing
积翠崖,ji'cui'ya
纪登,ji'deng
姬繁,ji'fan
极光球,ji'guang'qiu
极乐童子,ji'le'tong'zi
极乐童子李静虚,ji'le'tong'zi'li'jing'xu
极乐真人,ji'le'zhen'ren
极乐真人李静虚,ji'le'zhen'ren'li'jing'xu
丌南公,ji'nan'gong
己寅九冲小乘多宝法术,ji'yin'jiu'chong'xiao'cheng'duo'bao'fa'shu
迦叶金光镜,jia'ye'jin'guang'jing
加音,jia'yin
简冰如,jian'bing'ru
健儿,jian'er
降魔禅杖,jiang'mo'chan'zhang
降魔金刚掌,jiang'mo'jin'gang'zhang
江苏太湖西洞庭山妙真观,jiang'su'tai'hu'xi'dong'ting'shan'miao'zhen'guan
姜渭渔,jiang'wei'yu
绛雪剑,jiang'xue'jian
姜雪君,jiang'xue'jun
绛云真人陆巽,jiang'yun'zhen'ren'lu'xun
姜真人,jiang'zhen'ren
江芷云,jiang'zhi'yun
焦顸,jiao'han
焦衫道人,jiao'shan'dao'ren
鲛丝,jiao'si
鲛网,jiao'wang
解脱庵,jie'tuo'an
借物镇魂法,jie'wu'zhen'hun'fa
芥子藏身法,jie'zi'cang'shen'fa
金刀戮魂法,jin'dao'lu'hun'fa
金遁,jin'dun
金凫仙子,jin'fu'xian'zi
金刚禅,jin'gang'chan
金刚大力手法,jin'gang'da'li'shou'fa
金刚护身之法,jin'gang'hu'shen'zhi'fa
金刚灵石,jin'gang'ling'shi
金刚移山法,jin'gang'yi'shan'fa
禁光闭影之法,jin'guang'bi'ying'zhi'fa
金光鼎,jin'guang'ding
金光烈火剑,jin'guang'lie'huo'jian
金光神线,jin'guang'shen'xian
金鸡,jin'ji
金姥姥,jin'lao'lao
金莲神座,jin'lian'shen'zuo
金鳞剑,jin'lin'jian
金龙梭,jin'long'suo
金萍,jin'ping
金菩提,jin'pu'ti
金菩提念珠,jin'pu'ti'nian'zhu
金身罗汉,jin'shen'luo'han
金身罗汉法元,jin'shen'luo'han'fa'yuan
金石廉,jin'shi'lian
金石峡,jin'shi'xia
金姝,jin'shu
金驼,jin'tuo
金鼍,jin'tuo
金乌障,jin'wu'zhang
金犀剑,jin'xi'jian
金须奴,jin'xu'nu
金燕,jin'yan
金眼狒狒,jin'yan'fei'fei
金莺,jin'ying
金鸳鸯神剪,jin'yuan'yang'shen'jian
锦云兜,jin'yun'dou
金针圣母,jin'zhen'sheng'mu
金钟岛,jin'zhong'dao
晶镜,jing'jing
晶球,jing'qiu
晶球视影,jing'qiu'shi'ying
鲸涎锤,jing'xian'chui
九宫神剑,jiu'gong'shen'jian
九宫图,jiu'gong'tu
九宫仙环,jiu'gong'xian'huan
九华山,jiu'hua'shan
九火神烬,jiu'huo'shen'jin
九戒仙幢,jiu'jie'xian'zhuang
九九炼魔神针,jiu'jiu'lian'mo'shen'zhen
九烈神君,jiu'lie'shen'jun
九烈阴雷,jiu'lie'yin'lei
九龙梭,jiu'long'suo
九龙铜宝镜,jiu'long'tong'bao'jing
鸠盘婆,jiu'pan'po
九曲柔丝,jiu'qu'rou'si
九天都罗神锋,jiu'tian'dou'luo'shen'feng
九天都篆颠倒乾坤大法,jiu'tian'dou'zhuan'dian'dao'qian'kun'da'fa
九天都篆阴魔大法,jiu'tian'dou'zhuan'yin'mo'da'fa
九天寒魄珠,jiu'tian'han'po'zhu
九天魔女陈紫芹,jiu'tian'mo'nv'chen'zi'qin
九天十地辟魔神梭,jiu'tian'shi'di'pi'mo'shen'suo
九天玄经,jiu'tian'xuan'jing
九天元阳尺,jiu'tian'yuan'yang'chi
九疑鼎,jiu'yi'ding
九幽灵火,jiu'you'ling'huo
九幽转轮大藏法术,jiu'you'zhuan'lun'da'zang'fa'shu
九转夺命神丹,jiu'zhuan'duo'ming'shen'dan
九转轮,jiu'zhuan'lun
九转真元再造神丹,jiu'zhuan'zhen'yuan'zai'zao'shen'dan
九子母天魔玄阴大阵,jiu'zi'mu'tian'mo'xuan'yin'da'zhen
九子母阴魂剑,jiu'zi'mu'yin'hun'jian
九子母阴魔销魂大法,jiu'zi'mu'yin'mo'xiao'hun'da'fa
九子母元阳针,jiu'zi'mu'yuan'yang'zhen
聚奎剑,ju'kui'jian
巨木宫,ju'mu'gong
巨木神君,ju'mu'shen'jun
聚魄炼形丹,ju'po'lian'xing'dan
巨山道长,ju'shan'dao'chang
巨山真人,ju'shan'zhen'ren
绝尊者,jue'zun'zhe
开山彻地法,kai'shan'che'di'fa
开元寺,kai'yuan'si
坎离梭,kan'li'suo
坎离真人,kan'li'zhen'ren
坎离真人许元通,kan'li'zhen'ren'xu'yuan'tong
孔凌霄,kong'ling'xiao
孔灵子,kong'ling'zi
枯禅,ku'chan
苦孩儿司徒平,ku'hai'er'si'tu'ping
苦沙弥,ku'sha'mi
苦铁长老,ku'tie'zhang'lao
苦行头陀,ku'xing'tou'tuo
枯竹,ku'zhu
枯竹禅,ku'zhu'chan
枯竹禅师,ku'zhu'chan'shi
枯竹老人,ku'zhu'lao'ren
枯竹子,ku'zhu'zi
夸父星落经,kua'fu'xing'luo'jing
窥天测地之法,kui'tian'ce'di'zhi'fa
昆虫鳞介,kun'chong'lin'jie
困龙珠,kun'long'zhu
昆仑九友,kun'lun'jiu'you
昆明池,kun'ming'chi
辣手仙娘,la'shou'xian'niang
癞道人,lai'dao'ren
癞姑,lai'gu
蓝苗子,lan'miao'zi
蓝田玉实,lan'tian'yu'shi
琅缳秘笈,lang'huan'mi'ji
老楠岭,lao'nan'ling
雷火金丸,lei'huo'jin'wan
雷音金光錾,lei'yin'jin'guang'zan
雷音锥,lei'yin'zhui
雷泽神剑,lei'ze'shen'jian
雷泽神砂,lei'ze'shen'sha
雷抓子,lei'zhua'zi
冷蝉沙,leng'chan'sha
冷光珠,leng'guang'zhu
冷焰神雷,leng'yan'shen'lei
冷焰搜之法,leng'yan'sou'zhi'fa
冷艳香,leng'yan'xiang
离垢钟,li'gou'zhong
离合五云圭,li'he'wu'yun'gui
李洪,li'hong
厉吼,li'hou
李厚,li'hou
李健,li'jian
李静虚,li'jing'xu
李宁,li'ning
李清苕,li'qing'shao
丽山七老,li'shan'qi'lao
黎望,li'wang
李文衍,li'wen'yan
李英琼,li'ying'qiong
李玉玉,li'yu'yu
李元化,li'yuan'hua
炼钢柔,lian'gang'rou
炼刚柔,lian'gang'rou
廉红药,lian'hong'yao
连山大师,lian'shan'da'shi
连山教,lian'shan'jiao
连山十三宝,lian'shan'shi'san'bao
连山四宝,lian'shan'si'bao
两极丹,liang'ji'dan
两极环,liang'ji'huan
两界牌,liang'jie'pai
两界十方金刚大藏真言,liang'jie'shi'fang'jin'gang'da'zang'zhen'yan
两仪,liang'yi
两仪幡,liang'yi'fan
两仪分光锉,liang'yi'fen'guang'cuo
两仪微尘阵,liang'yi'wei'chen'zhen
两仪针,liang'yi'zhen
列霸多,lie'ba'duo
裂地搜神之法,lie'di'sou'shen'zhi'fa
烈火雷音剑,lie'huo'lei'yin'jian
烈火祖师,lie'huo'zu'shi
列缺钩,lie'que'gou
林芳淑,lin'fang'shu
林寒,lin'han
林绿华,lin'lv'hua
林明淑,lin'ming'shu
林秋水,lin'qiu'shui
林渊,lin'yuan
灵翠峰,ling'cui'feng
灵光驭,ling'guang'yu
灵癸殿,ling'gui'dian
灵和居士徐祥鹅,ling'he'ju'shi'xu'xiang'e
凌浑,ling'hun
灵灵子,ling'ling'zi
灵奇,ling'qi
灵峤宫,ling'qiao'gong
灵峤仙府,ling'qiao'xian'fu
灵峤玉虎,ling'qiao'yu'hu
灵威叟,ling'wei'sou
灵雾障,ling'wu'zhang
凌雪鸿,ling'xue'hong
凌云凤,ling'yun'feng
六丁开山法,liu'ding'kai'shan'fa
硫磺迷魂砂,liu'huang'mi'hun'sha
六九仙珍,liu'jiu'xian'zhen
六六真元葫芦,liu'liu'zhen'yuan'hu'lu
刘泉,liu'quan
六戊潜行之法,liu'wu'qian'xing'zhi'fa
六阳定风幡,liu'yang'ding'feng'fan
六阳玦,liu'yang'jue
六阳青灵辟魔铠,liu'yang'qing'ling'pi'mo'kai
六阳神火鉴,liu'yang'shen'huo'jian
六阳神火柱,liu'yang'shen'huo'zhu
刘裕安,liu'yu'an
六贼无形针,liu'zei'wu'xing'zhen
柳宗潜,liu'zong'qian
龙力子,long'li'zi
龙雀环,long'que'huan
龙铁子,long'tie'zi
陆地金龙魏青,lu'di'jin'long'wei'qing
陆地金仙陆敏,lu'di'jin'xian'lu'min
陆地真人单鹗,lu'di'zhen'ren'dan'e
陆敏,lu'min
陆蓉波,lu'rong'bo
卢妪,lu'yu
罗刹阴风网,luo'cha'yin'feng'wang
落凤山,luo'feng'shan
罗浮七绝岭,luo'fu'qi'jue'ling
罗浮七仙,luo'fu'qi'xian
罗浮山,luo'fu'shan
罗锦春,luo'jin'chun
罗袅,luo'niao
落神坊,luo'shen'fang
落神岭,luo'shen'ling
罗枭,luo'xiao
落雁山,luo'yan'shan
罗茵,luo'yin
罗紫烟,luo'zi'yan
绿鬓仙娘,lv'bin'xian'niang
绿袍老祖,lv'pao'lao'zu
吕宪明,lv'xian'ming
绿云仙席,lv'yun'xian'xi
绿云瘴,lv'yun'zhang
马觉,ma'jue
马龙娃,ma'long'wa
弥尘幡,mi'chen'fan
迷魂丹,mi'hun'dan
米明娘,mi'ming'niang
米明嬢,mi'ming'niang
秘魔神装,mi'mo'shen'zhuang
米佘,mi'she
迷神大法,mi'shen'da'fa
密陀针,mi'tuo'zhen
弥陀珠,mi'tuo'zhu
米鼋,mi'yuan
眇姑,miao'gu
苗疆,miao'jiang
苗僧哈哈老祖,miao'seng'ha'ha'lao'zu
妙一夫人,miao'yi'fu'ren
妙一夫人荀兰因,miao'yi'fu'ren'xun'lan'yin
妙一真人,miao'yi'zhen'ren
妙真观,miao'zhen'guan
灭尘子,mie'chen'zi
灭绝神网,mie'jue'shen'wang
岷山白犀潭,min'shan'bai'xi'tan
岷山万松岭,min'shan'wan'song'ling
明河,ming'he
明阳真火,ming'yang'zhen'huo
明珠,ming'zhu
明珠禅师,ming'zhu'chan'shi
墨蜂洞,mo'feng'dong
墨凤凰申若兰,mo'feng'huang'shen'ruo'lan
摩伽仙子玉清大师,mo'ga'xian'zi'yu'qing'da'shi
摩诃尊者,mo'he'zun'zhe
摩诃尊者司空湛,mo'he'zun'zhe'si'kong'zhan
沫红羽,mo'hong'yu
魔火,mo'huo
魔火金幢,mo'huo'jin'zhuang
墨龙神剑,mo'long'shen'jian
魔泉幡,mo'quan'fan
墨沙老人,mo'sha'lao'ren
摩云翼,mo'yun'yi
牟尼定珠,mou'ni'ding'zhu
牟尼散光丸,mou'ni'san'guang'wan
牟尼珠,mou'ni'zhu
木鸡,mu'ji
沐尚,mu'shang
木石潜踪,mu'shi'qian'zong
木尊者,mu'zun'zhe
那迦宝相轮,na'jia'bao'xiang'lun
纳芥环,na'jie'huan
南海双童,nan'hai'shuang'tong
南海玄龟殿,nan'hai'xuan'gui'dian
南极大荒山,nan'ji'da'huang'shan
南明离火,nan'ming'li'huo
南明离火剑,nan'ming'li'huo'jian
南派魔教,nan'pai'mo'jiao
南星原,nan'xing'yuan
闹海银龙白缙,nao'hai'yin'long'bai'jin
内景元宗,nei'jing'yuan'zong
内视之法,nei'shi'zhi'fa
内有迷魂砂,nei'you'mi'hun'sha
泥犁落魂幡,ni'li'luo'hun'fan
泥犁旗,ni'li'qi
泥犁珠,ni'li'zhu
凝碧崖太元洞,ning'bi'ya'tai'yuan'dong
凝碧簪,ning'bi'zan
女大鹏,nv'da'peng
女飞熊,nv'fei'xiong
女昆仑,nv'kun'lun
女神婴易静,nv'shen'ying'yi'jing
女韦护,nv'wei'hu
女仙娃,nv'xian'wa
女殃神邓八姑,nv'yang'shen'deng'ba'gu
潘啸虎,pan'xiao'hu
庞化成,pang'hua'cheng
彭勃,peng'bo
霹雳手,pi'li'shou
霹雳震光遁法,pi'li'zhen'guang'dun'fa
披毛狻猊狄银儿,pi'mao'suan'ni'di'yin'er
辟魔神光罩,pi'mo'shen'guang'zhao
毗那神刀,pi'na'shen'dao
飘渺儿,piao'miao'er
菩提钉,pu'ti'ding
七宝金幢,qi'bao'jin'zhuang
七宝紫晶瓶,qi'bao'zi'jing'ping
齐金蝉,qi'jin'chan
七居士,qi'ju'shi
旗里烟岚,qi'li'yan'lan
齐良,qi'liang
齐灵云,qi'ling'yun
奇门七绝恶阵,qi'men'qi'jue'e'zhen
七禽遁法,qi'qin'dun'fa
七禽神术,qi'qin'shen'shu
七禽五遁,qi'qin'wu'dun
七情网,qi'qing'wang
七刹法坛,qi'sha'fa'tan
七刹神柱,qi'sha'shen'zhu
七煞玄阴神幕,qi'sha'xuan'yin'shen'mu
七刹玄阴天幕,qi'sha'xuan'yin'tian'mu
七圣迷神法,qi'sheng'mi'shen'fa
七手夜叉龙飞,qi'shou'ye'cha'long'fei
齐漱溟,qi'shu'ming
齐霞儿,qi'xia'er
七星光遁,qi'xing'guang'dun
七星手施林,qi'xing'shou'shi'lin
七星真人赵光斗,qi'xing'zhen'ren'zhao'guang'dou
七修剑,qi'xiu'jian
七阳之火,qi'yang'zhi'huo
乾罡五神雷,qian'gang'wu'shen'lei
前古遗宝,qian'gu'yi'bao
钱康,qian'kang
钱康夫妇,qian'kang'fu'fu
乾坤针,qian'kun'zhen
乾坤针根,qian'kun'zhen'gen
乾坤正气,qian'kun'zheng'qi
乾坤正气妙一真人齐漱溟,qian'kun'zheng'qi'miao'yi'zhen'ren'qi'shu'ming
乾坤转变潜行旗,qian'kun'zhuan'bian'qian'xing'qi
钱莱,qian'lai
千里户庭囊中缩影,qian'li'hu'ting'nang'zhong'suo'ying
千里腾光法,qian'li'teng'guang'fa
乾灵灯,qian'ling'deng
乾灵金灯,qian'ling'jin'deng
乾灵仙遁,qian'ling'xian'dun
潜琉璃,qian'liu'li
钱青选,qian'qing'xuan
乾天火灵珠,qian'tian'huo'ling'zhu
