保费收入保险专用,bao'fei'shou'ru'bao'xian'zhuan'yong
应付职工薪酬,ying'fu'zhi'gong'xin'chou
应交税费,ying'jiao'shui'fei
应收保户储金,ying'shou'bao'hu'chu'jin
应收代位追偿款,ying'shou'dai'wei'zhui'chang'kuan
应收分保保险责任准备金,ying'shou'fen'bao'bao'xian'ze'ren'zhun'bei'jin
应收分保未到期责任准备金,ying'shou'fen'bao'wei'dao'qi'ze'ren'zhun'bei'jin
应收分保账款,ying'shou'fen'bao'zhang'kuan
应收股利,ying'shou'gu'li
应收利息,ying'shou'li'xi
应收票据,ying'shou'piao'ju
应收账款,ying'shou'zhang'kuan
营业税金及附加,ying'ye'shui'jin'ji'fu'jia
营业外收入,ying'ye'wai'shou'ru
营业外支出,ying'ye'wai'zhi'chu
盈余公积,ying'yu'gong'ji
油气资产石油天然气开采专用,you'qi'zi'chan'shi'you'tian'ran'qi'kai'cai'zhuan'yong
预付账款,yu'fu'zhang'kuan
预计负债,yu'ji'fu'zhai
预收账款,yu'shou'zhang'kuan
预提费用,yu'ti'fei'yong
原材料,yuan'cai'liao
在建工程,zai'jian'gong'cheng
在途物资,zai'tu'wu'zi
制造费用,zhi'zao'fei'yong
周转材料建造承包商专用,zhou'zhuan'cai'liao'jian'zao'cheng'bao'shang'zhuan'yong
主营业务成本,zhu'ying'ye'wu'cheng'ben
主营业务收入,zhu'ying'ye'wu'shou'ru
专项应付款,zhuan'xiang'ying'fu'kuan
资本公积,zi'ben'gong'ji
资产减值损失,zi'chan'jian'zhi'sun'shi
租赁收入租赁专用,zu'lin'shou'ru'zu'lin'zhuan'yong
