保单红利支出,bao'dan'hong'li'zhi'chu
管理费用,guan'li'fei'yong
贵金属,gui'jin'shu
坏账准备,huai'zhang'zhun'bei
汇兑损益,hui'dui'sun'yi
货币兑换,huo'bi'dui'huan
机械作业,ji'xie'zuo'ye
交易性金融负债,jiao'yi'xing'jin'rong'fu'zhai
交易性金融资产,jiao'yi'xing'jin'rong'zi'chan
结算备付金,jie'suan'bei'fu'jin
勘探费用,kan'tan'fei'yong
可供出售金融资产,ke'gong'chu'shou'jin'rong'zi'chan
库存股,ku'cun'gu
库存商品,ku'cun'shang'pin
库存现金,ku'cun'xian'jin
劳务成本,lao'wu'cheng'ben
累计折耗,lei'ji'she'hao
累计摊销,lei'ji'tan'xiao
累计折旧,lei'ji'zhe'jiu
利润分配,li'run'fen'pei
利息收入,li'xi'shou'ru
利息支出,li'xi'zhi'chu
卖出回购金融资产,mai'chu'hui'gou'jin'rong'zi'chan
买入返售金融资产,mai'ru'fan'shou'jin'rong'zi'chan
赔付支出,pei'fu'zhi'chu
其他货币资金,qi'ta'huo'bi'zi'jin
其他业务成本,qi'ta'ye'wu'cheng'ben
其他业务收入,qi'ta'ye'wu'shou'ru
其他应付款,qi'ta'ying'fu'kuan
其他应收款,qi'ta'ying'shou'kuan
清算资金往来,qing'suan'zi'jin'wang'lai
融资租赁资产,rong'zi'zu'lin'zi'chan
商品进销差价,shang'pin'jin'xiao'cha'jia
商誉,shang'yu
生产成本,sheng'chan'cheng'ben
生产性生物资产,sheng'chan'xing'sheng'wu'zi'chan
生产性生物资产累计折旧,sheng'chan'xing'sheng'wu'zi'chan'lei'ji'zhe'jiu
实收资本,shi'shou'zi'ben
手续费及佣金收入,shou'xu'fei'ji'yong'jin'shou'ru
手续费及佣金支出,shou'xu'fei'ji'yong'jin'zhi'chu
损余物资,sun'yu'wu'zi
所得税费用,suo'de'shui'fei'yong
摊回保险责任准备金,tan'hui'bao'xian'ze'ren'zhun'bei'jin
摊回分保费用,tan'hui'fen'bao'fei'yong
摊回赔付支出,tan'hui'pei'fu'zhi'chu
套期工具,tao'qi'gong'ju
提取保险责任准备金,ti'qu'bao'xian'ze'ren'zhun'bei'jin
提取未到期责任准备金,ti'qu'wei'dao'qi'ze'ren'zhun'bei'jin
贴现负债,tie'xian'fu'zhai
贴现资产,tie'xian'zi'chan
同业存放,tong'ye'cun'fang
投资收益,tou'zi'shou'yi
投资性房地产,tou'zi'xing'fang'di'chan
退保金,tui'bao'jin
未担保余值,wei'dan'bao'yu'zhi
未到期责任准备金,wei'dao'qi'ze'ren'zhun'bei'jin
未确认融资费用,wei'que'ren'rong'zi'fei'yong
未实现融资收益,wei'shi'xian'rong'zi'shou'yi
委托加工物资,wei'tuo'jia'gong'wu'zi
无形资产,wu'xing'zi'chan
无形资产减值准备,wu'xing'zi'chan'jian'zhi'zhun'bei
吸收存款,xi'shou'cun'kuan
向中央银行借款,xiang'zhong'yang'yin'hang'jie'kuan
消耗性生物资产,xiao'hao'xing'sheng'wu'zi'chan
销售费用,xiao'shou'fei'yong
研发支出,yan'fa'zhi'chu
衍生工具,yan'sheng'gong'ju
一般风险准备金,yi'ban'feng'xian'zhun'bei'jin
以前年度损益调整,yi'qian'nian'du'sun'yi'tiao'zheng
银行存款,yin'hang'cun'kuan
应付保单红利,ying'fu'bao'dan'hong'li
应付分保账款,ying'fu'fen'bao'zhang'kuan
应付股利,ying'fu'gu'li
应付利息,ying'fu'li'xi
应付票据,ying'fu'piao'ju
应付债券,ying'fu'zhai'quan
应付账款,ying'fu'zhang'kuan
应付职工薪酬,ying'fu'zhi'gong'xin'chou
应交税费,ying'jiao'shui'fei
应收代位追偿款,ying'shou'dai'wei'zhui'chang'kuan
应收分保合同准备金,ying'shou'fen'bao'he'tong'zhun'bei'jin
应收分保账款,ying'shou'fen'bao'zhang'kuan
应收股利,ying'shou'gu'li
应收利息,ying'shou'li'xi
应收票据,ying'shou'piao'ju
应收账款,ying'shou'zhang'kuan
营业税金及附加,ying'ye'shui'jin'ji'fu'jia
营业外收入,ying'ye'wai'shou'ru
营业外支出,ying'ye'wai'zhi'chu
盈余公积,ying'yu'gong'ji
油气资产,you'qi'zi'chan
预付账款,yu'fu'zhang'kuan
预计负债,yu'ji'fu'zhai
预收账款,yu'shou'zhang'kuan
原材料,yuan'cai'liao
在建工程,zai'jian'gong'cheng
在途物资,zai'tu'wu'zi
制造费用,zhi'zao'fei'yong
周转材料,zhou'zhuan'cai'liao
主营业务成本,zhu'ying'ye'wu'cheng'ben
主营业务收入,zhu'ying'ye'wu'shou'ru
专项应付款,zhuan'xiang'ying'fu'kuan
资本公积,zi'ben'gong'ji
资产减值损失,zi'chan'jian'zhi'sun'shi
租赁收入,zu'lin'shou'ru
