奥长石,ao'chang'shi
孔雀石,kong'que'shi
矿物,kuang'wu
拉长石,la'chang'shi
蜡模,la'mu
拉纤,la'qian
蓝宝石,lan'bao'shi
蓝晶石,lan'jing'shi
拦一道,lan'yi'dao
蓝柱石,lan'zhu'shi
蓝锥矿,lan'zhui'kuang
老玛瑙,lao'ma'nao
老蜜蜡,lao'mi'la
老种,lao'zhong
老珠子,lao'zhu'zi
锂辉石,li'hui'shi
磷灰石,lin'hui'shi
磷铝钠石,lin'lv'na'shi
菱锌矿,ling'xin'kuang
琉璃,liu'li
留下吧,liu'xia'ba
搂货,lou'huo
绿帘石,lv'lian'shi
绿水晶,lv'shui'jing
绿松石,lv'song'shi
绿玉髓,lv'yu'sui
绿柱石,lv'zhu'shi
玛瑙,ma'nao
马赛克珠,ma'sai'ke'zhu
埋地雷,mai'di'lei
猫眼,mao'yan
煤精,mei'jing
镁铝榴石,mei'lv'liu'shi
没用,mei'yong
锰铝榴石,meng'lv'liu'shi
密玉,mi'yu
莫尔道玻陨石,mo'er'dao'bo'yun'shi
摩洛哥珠,mo'luo'ge'zhu
木变石,mu'bian'shi
木珠,mu'zhu
钠长硬玉,na'chang'ying'yu
拿了,na'le
耐久性,nai'jiu'xing
尼泊尔,ni'bo'er
年代,nian'dai
欧泊,ou'bo
判眼,pan'yan
硼铝镁石,peng'lv'mei'shi
铍镁晶石,pi'mei'jing'shi
漂白,piao'bai
品相,pin'xiang
葡萄石,pu'tao'shi
普通辉石,pu'tong'hui'shi
羟硅硼钙石,qiang'gui'peng'gai'shi
蔷薇辉石,qiang'wei'hui'shi
俏货,qiao'huo
清朝,qing'chao
青金石,qing'jin'shi
青玉,qing'yu
岖玉,qu'yu
染色处理,ran'se'chu'li
热处理,re'chu'li
人造宝石,ren'zao'bao'shi
人造宝石名称,ren'zao'bao'shi'ming'cheng
人造钆镓榴石,ren'zao'ga'jia'liu'shi
人造钛酸锶,ren'zao'tai'suan'si
人造钇铝榴石,ren'zao'yi'lv'liu'shi
日光石,ri'guang'shi
软玉,ruan'yu
赛黄晶,sai'huang'jing
杀猪,sha'zhu
珊瑚,shan'hu
上货,shang'huo
蛇纹石,she'wen'shi
蛇纹玉,she'wen'yu
生坑,sheng'keng
师傅,shi'fu
石榴石,shi'liu'shi
石英,shi'ying
石英岩,shi'ying'yan
收藏,shou'cang
收起,shou'qi
水钙铝榴石,shui'gai'lv'liu'shi
水晶,shui'jing
丝绸之路,si'chou'zhi'lu
塑料,su'liao
塔菲石,ta'fei'shi
钛酸锶,tai'suan'si
苔纹玛瑙,tai'wen'ma'nao
坦桑石,tan'sang'shi
陶瓷,tao'ci
套胎,tao'tai
天河石,tian'he'shi
天价,tian'jia
天蓝石,tian'lan'shi
天然,tian'ran
天然玻璃,tian'ran'bo'li
天然玉石,tian'ran'yu'shi
天珠,tian'zhu
条纹玛瑙,tiao'wen'ma'nao
铁铝榴石,tie'lv'liu'shi
透辉石,tou'hui'shi
透明度,tou'ming'du
透闪石,tou'shan'shi
透视石,tou'shi'shi
托帕石,tuo'pa'shi
外观,wai'guan
顽火辉石,wan'huo'hui'shi
微斜长石,wei'xie'chang'shi
文石,wen'shi
乌钢石,wu'gang'shi
锡石,xi'shi
矽线石,xi'xian'shi
下蛋,xia'dan
线珠,xian'zhu
镶蚀,xiang'shi
象牙,xiang'ya
斜长石,xie'chang'shi
榍石,xie'shi
新仿,xin'fang
新种,xin'zhong
星光效应,xing'guang'xiao'ying
宣德炉,xuan'de'lu
雪巴,xue'ba
压堂,ya'tang
烟晶,yan'jing
烟色,yan'se
岩石,yan'shi
阳起石,yang'qi'shi
养殖珍珠,yang'zhi'zhen'zhu
要了,yao'le
药师,yao'shi
一脚踢,yi'jiao'ti
钇铝榴石,yi'lv'liu'shi
一枪打,yi'qiang'da
艺术品,yi'shu'pin
一线,yi'xian
一眼货,yi'yan'huo
硬蛋白质,ying'dan'bai'zhi
萤石,ying'shi
鹰眼石,ying'yan'shi
硬玉,ying'yu
优化,you'hua
有机宝石,you'ji'bao'shi
游击队,you'ji'dui
黝帘石,you'lian'shi
有一眼,you'yi'yan
玉石,yu'shi
玉髓,yu'sui
鱼眼石,yu'yan'shi
月光石,yue'guang'shi
砸浆,za'jiang
杂色,za'se
錾刻,zan'ke
藏区,zang'qu
贼光火光,zei'guang'huo'guang
增色,zeng'se
掌眼,zhang'yan
镇店之宝,zhen'dian'zhi'bao
针铁矿,zhen'tie'kuang
珍珠,zhen'zhu
正长石,zheng'chang'shi
重晶石,zhong'jing'shi
珠宝,zhu'bao
柱晶石,zhu'jing'shi
抓货,zhua'huo
紫硅碱钙石,zi'gui'jian'gai'shi
紫晶,zi'jing
紫罗兰,zi'luo'lan
紫水晶,zi'shui'jing
走宝,zou'bao
走眼,zou'yan
祖母绿,zu'mu'lv
钻石,zuan'shi
