办公锁,ban'gong'suo
钩形扳手,gou'xing'ban'shou
刮刀,gua'dao
挂锁,gua'suo
管夹,guan'jia
管件,guan'jian
管类加工,guan'lei'jia'gong
管螺纹丝锥,guan'luo'wen'si'zhui
管帽,guan'mao
观赏刀具,guan'shang'dao'ju
管子扳手,guan'zi'ban'shou
管子割刀,guan'zi'ge'dao
光饰机,guang'shi'ji
滚刀,gun'dao
滚筒,gun'tong
滚筒刷,gun'tong'shua
滚珠,gun'zhu
海绵轮,hai'mian'lun
海绵刷,hai'mian'shua
焊接材料与附件,han'jie'cai'liao'yu'fu'jian
焊炬,han'ju
焊条,han'tiao
焊锡丝,han'xi'si
合页,he'ye
胡桃钳,hu'tao'qian
滑动轴承,hua'dong'zhou'cheng
滑轨,hua'gui
滑轮,hua'lun
花洒,hua'sa
花洒软管,hua'sa'ruan'guan
划线器,hua'xian'qi
回火防止器,hui'huo'fang'zhi'qi
混水阀,hun'shui'fa
活扳手,huo'ban'shou
机床刀架,ji'chuang'dao'jia
机床灯具,ji'chuang'deng'ju
机床垫铁,ji'chuang'dian'tie
机床附件,ji'chuang'fu'jian
机床护罩,ji'chuang'hu'zhao
机床减震装置,ji'chuang'jian'zhen'zhuang'zhi
机床接杆,ji'chuang'jie'gan
机床丝杆,ji'chuang'si'gan
机床用虎钳,ji'chuang'yong'hu'qian
机床主轴,ji'chuang'zhu'zhou
棘轮扳手,ji'lun'ban'shou
机械零部件加工,ji'xie'ling'bu'jian'jia'gong
机械门锁,ji'xie'men'suo
机械密封件,ji'xie'mi'feng'jian
机械五金件,ji'xie'wu'jin'jian
机用刀片,ji'yong'dao'pian
机用锯片,ji'yong'ju'pian
机用锯条,ji'yong'ju'tiao
夹具,jia'ju
家具锁,jia'ju'suo
夹头,jia'tou
家用剪,jia'yong'jian
剪切类气动工具,jian'qie'lei'qi'dong'gong'ju
减压器,jian'ya'qi
建筑装饰五金,jian'zhu'zhuang'shi'wu'jin
尖嘴钳,jian'zui'qian
匠作工具,jiang'zuo'gong'ju
铰板,jiao'ban
铰刀,jiao'dao
铰链,jiao'lian
脚轮,jiao'lun
角磨机,jiao'mo'ji
接头,jie'tou
金刚石工具,jin'gang'shi'gong'ju
紧固件,jin'gu'jian
紧线钳,jin'xian'qian
井盖,jing'gai
锯锉,ju'cuo
卡箍,ka'gu
卡簧钳,ka'huang'qian
卡盘,ka'pan
卡圈,ka'quan
卡锁,ka'suo
开门器,kai'men'qi
孔加工,kong'jia'gong
库存五金,ku'cun'wu'jin
快开,kuai'kai
快速经济模具,kuai'su'jing'ji'mu'ju
拉刀,la'dao
拉铆枪,la'mao'qiang
拉伸弹簧,la'shen'tan'huang
拉手,la'shou
拉丝模,la'si'mo
烙铁咀,lao'tie'ju
烙铁头,lao'tie'tou
冷压接钳,leng'ya'jie'qian
冷轧线钳,leng'zha'xian'qian
理发剪,li'fa'jian
鲤鱼钳,li'yu'qian
镰刀,lian'dao
连接件,lian'jie'jian
炉头,lu'tou
螺钉,luo'ding
螺母,luo'mu
螺栓,luo'shuan
螺丝刀,luo'si'dao
螺纹刀具,luo'wen'dao'ju
铆钉,mao'ding
毛巾杆,mao'jin'gan
美工刀,mei'gong'dao
梅花扳手,mei'hua'ban'shou
门窗挂钩,men'chuang'gua'gou
门窗五金,men'chuang'wu'jin
门夹,men'jia
门碰,men'peng
门吸,men'xi
密封垫,mi'feng'dian
密封垫圈,mi'feng'dian'juan
密封垫片,mi'feng'dian'pian
密封件,mi'feng'jian
密封条,mi'feng'tiao
密码锁,mi'ma'suo
磨光机,mo'guang'ji
磨具,mo'ju
磨块,mo'kuai
磨料,mo'liao
抹泥板,mo'ni'ban
磨抛光电动工具,mo'pao'guang'dian'dong'gong'ju
磨片,mo'pian
磨石,mo'shi
磨头,mo'tou
摩托车锁,mo'tuo'che'suo
木工锉,mu'gong'cuo
木工雕刻机,mu'gong'diao'ke'ji
木工锯,mu'gong'ju
木工铣刀,mu'gong'xi'dao
木工修边机,mu'gong'xiu'bian'ji
模具,mu'ju
模具标准件,mu'ju'biao'zhun'jian
模具设备,mu'ju'she'bei
内六角扳手,nei'liu'jiao'ban'shou
内四方扳手,nei'si'fang'ban'shou
扭力扳手,niu'li'ban'shou
扭转弹簧,niu'zhuan'tan'huang
农用工具,nong'yong'gong'ju
暖气片,nuan'qi'pian
耙子,pa'zi
排笔,pai'bi
盘根,pan'gen
抛光膏,pao'guang'gao
抛光机,pao'guang'ji
抛光刷,pao'guang'shua
喷头,pen'tou
喷涂工具,pen'tu'gong'ju
喷嘴,pen'zui
膨胀螺丝,peng'zhang'luo'si
皮带轮,pi'dai'lun
片弹簧,pian'tan'huang
瓶阀,ping'fa
普通螺纹丝锥,pu'tong'luo'wen'si'zhui
汽车锁,qi'che'suo
起钉器,qi'ding'qi
气动铲,qi'dong'chan
气动工具,qi'dong'gong'ju
气动接头,qi'dong'jie'tou
气动元件,qi'dong'yuan'jian
气缸,qi'gang
气割器材,qi'ge'qi'cai
气焊,qi'han
气瓶,qi'ping
其他扳手,qi'ta'ban'shou
其他锉,qi'ta'cuo
其他刀,qi'ta'dao
其他刀具,qi'ta'dao'ju
其他电子五金件,qi'ta'dian'zi'wu'jin'jian
其他管件,qi'ta'guan'jian
其他焊接材料与附件,qi'ta'han'jie'cai'liao'yu'fu'jian
其他机床附件,qi'ta'ji'chuang'fu'jian
其他机械零部件加工,qi'ta'ji'xie'ling'bu'jian'jia'gong
其他剪,qi'ta'jian
其他匠作工具,qi'ta'jiang'zuo'gong'ju
其他紧固件,qi'ta'jin'gu'jian
其他锯,qi'ta'ju
其他类型钳工工具,qi'ta'lei'xing'qian'gong'gong'ju
其他螺丝刀,qi'ta'luo'si'dao
其他门窗五金,qi'ta'men'chuang'wu'jin
其他密封件,qi'ta'mi'feng'jian
其他磨具,qi'ta'mo'ju
其他磨料,qi'ta'mo'liao
其他磨抛光电动工具,qi'ta'mo'pao'guang'dian'dong'gong'ju
其他模具,qi'ta'mu'ju
其他农用工具,qi'ta'nong'yong'gong'ju
其他气动工具,qi'ta'qi'dong'gong'ju
其他气动元件,qi'ta'qi'dong'yuan'jian
其他气焊,qi'ta'qi'han
其他钳工工具,qi'ta'qian'gong'gong'ju
其他钳子,qi'ta'qian'zi
其他切削电动工具,qi'ta'qie'xiao'dian'dong'gong'ju
其他刷,qi'ta'shua
其他水暖五金,qi'ta'shui'nuan'wu'jin
其他丝锥,qi'ta'si'zhui
其他锁具,qi'ta'suo'ju
其他弹簧,qi'ta'tan'huang
其他通用五金配件,qi'ta'tong'yong'wu'jin'pei'jian
其他卫浴用五金件,qi'ta'wei'yu'yong'wu'jin'jian
其他液压元件,qi'ta'ye'ya'yuan'jian
其他轴承,qi'ta'zhou'cheng
其他装配电动工具,qi'ta'zhuang'pei'dian'dong'gong'ju
气源处理器,qi'yuan'chu'li'qi
铅封钳,qian'feng'qian
钳子,qian'zi
撬棍,qiao'gun
壳体加工,qiao'ti'jia'gong
切刀,qie'dao
切割片,qie'ge'pian
切削电动工具,qie'xiao'dian'dong'gong'ju
曲线锯条,qu'xian'ju'tiao
人造磨料,ren'zao'mo'liao
三角阀,san'jiao'fa
散热器,san're'qi
三通,san'tong
砂布,sha'bu
砂带,sha'dai
砂带机,sha'dai'ji
砂光机,sha'guang'ji
砂轮,sha'lun
砂纸,sha'zhi
石材切割机,shi'cai'qie'ge'ji
什锦锉,shi'jin'cuo
十字扳手,shi'zi'ban'shou
十字螺丝刀,shi'zi'luo'si'dao
手动工具,shou'dong'gong'ju
手工刨,shou'gong'bao
手锯,shou'ju
手轮,shou'lun
手用锯条,shou'yong'ju'tiao
手纸架,shou'zhi'jia
数控刀具,shu'kong'dao'ju
双头呆扳手,shuang'tou'dai'ban'shou
水泵钳,shui'beng'qian
水果刀,shui'guo'dao
水龙头,shui'long'tou
水暖五金,shui'nuan'wu'jin
水嘴,shui'zui
丝锥,si'zhui
丝锥扳手,si'zhui'ban'shou
丝锥板牙套装,si'zhui'ban'ya'tao'zhuang
塑料模,su'liao'mo
锁具,suo'ju
索具,suo'ju
锁具配件,suo'ju'pei'jian
台虎钳,tai'hu'qian
台钻,tai'zuan
弹簧,tan'huang
探针,tan'zhen
镗刀,tang'dao
套筒扳手,tao'tong'ban'shou
套装电动工具,tao'zhuang'dian'dong'gong'ju
剃齿刀,ti'chi'dao
天然磨料,tian'ran'mo'liao
铁钉,tie'ding
铁皮剪,tie'pi'jian
铁心,tie'xin
通用五金配件,tong'yong'wu'jin'pei'jian
推力滚子轴承,tui'li'gun'zi'zhou'cheng
推力球轴承,tui'li'qiu'zhou'cheng
托辊,tuo'gun
拖链,tuo'lian
弯管器,wan'guan'qi
弯头,wan'tou
万向轮,wan'xiang'lun
弯嘴钳,wan'zui'qian
卫浴用五金件,wei'yu'yong'wu'jin'jian
涡卷弹簧,wo'juan'tan'huang
五金工具代理,wu'jin'gong'ju'dai'li
五金工具加工,wu'jin'gong'ju'jia'gong
五金工具项目合作,wu'jin'gong'ju'xiang'mu'he'zuo
五金配附件,wu'jin'pei'fu'jian
铣刀,xi'dao
吸盘,xi'pan
下水,xia'shui
箱包锁,xiang'bao'suo
橡胶模,xiang'jiao'mo
向心滚子轴承,xiang'xin'gun'zi'zhou'cheng
向心球轴承,xiang'xin'qiu'zhou'cheng
卸扣,xie'kou
斜嘴钳,xie'zui'qian
型扳手,xing'ban'shou
型材切割机,xing'cai'qie'ge'ji
压缩弹簧,ya'suo'tan'huang
鸭嘴钳,ya'zui'qian
研磨膏,yan'mo'gao
羊眼,yang'yan
页轮,ye'lun
页片,ye'pian
液压阀,ye'ya'fa
液压缸,ye'ya'gang
液压管件,ye'ya'guan'jian
液压接头,ye'ya'jie'tou
液压系统,ye'ya'xi'tong
液压元件,ye'ya'yuan'jian
野营刀具,ye'ying'dao'ju
异径管,yi'jing'guan
乙炔发生器,yi'que'fa'sheng'qi
异形锉,yi'xing'cuo
一字螺丝刀,yi'zi'luo'si'dao
油封,you'feng
油灰刀,you'hui'dao
油锯,you'ju
油漆刷,you'qi'shua
油石,you'shi
圆盘刷,yuan'pan'shua
园艺剪,yuan'yi'jian
圆嘴钳,yuan'zui'qian
折刀,zhe'dao
直通,zhi'tong
指纹锁,zhi'wen'suo
置物架,zhi'wu'jia
直线运动轴承,zhi'xian'yun'dong'zhou'cheng
轴承,zhou'cheng
轴承附属件,zhou'cheng'fu'shu'jian
轴承加工,zhou'cheng'jia'gong
轴类加工,zhou'lei'jia'gong
轴瓦,zhou'wa
铸造模,zhu'zao'mu
抓钩,zhua'gou
装配电动工具,zhuang'pei'dian'dong'gong'ju
装配类气动工具,zhuang'pei'lei'qi'dong'gong'ju
自行车锁,zi'xing'che'suo
组合扳手,zu'he'ban'shou
组合工具,zu'he'gong'ju
组合螺丝刀,zu'he'luo'si'dao
钻套,zuan'tao
钻头,zuan'tou
座钻,zuo'zuan
