阿鲁巴非卡,a'lu'ba'fei'ka
米诺斯,mi'nuo'si
米若斯,mi'ruo'si
冥王神话,ming'wang'shen'hua
墨菲斯,mo'fei'si
魔鬼毒玫瑰,mo'gui'du'mei'gui
尼奥比,ni'ao'bi
尼告鲁斯,ni'gao'lu'si
帕尔蒂塔,pa'er'di'ta
帕露缇达,pa'lu'ti'da
潘多拉,pan'duo'la
切希尔,qie'xi'er
丘布,qiu'bu
让叶,rang'ye
日冕疾风,ri'mian'ji'feng
萨莎,sa'sha
塞琳莎,sai'lin'sha
赛奇,sai'qi
瑟拉菲娜,se'la'fei'na
沙罗,sha'luo
闪电光速拳,shan'dian'guang'su'quan
深红刺针,shen'hong'ci'zhen
深红荆棘,shen'hong'jing'ji
神圣之柱,shen'sheng'zhi'zhu
深渊恐惧,shen'yuan'kong'ju
圣辰闪耀脉冲,sheng'chen'shan'yao'mai'chong
圣剑,sheng'jian
史昂,shi'ang
施捷冯斯,shi'jie'feng'si
食人鱼玫瑰,shi'ren'yu'mei'gui
史坦德,shi'tan'de
手代木史织,shou'dai'mu'shi'zhi
守护符之牢笼,shou'hu'fu'zhi'lao'long
守护者之神谕,shou'hu'zhe'zhi'shen'yu
曙光女神之宽恕,shu'guang'nv'shen'zhi'kuan'shu
水镜,shui'jing
水晶墙,shui'jing'qiang
死亡信使,si'wang'xin'shi
锁魂永生纹,suo'hun'yong'sheng'wen
塔那托斯,ta'na'tuo'si
泰坦新星,tai'tan'xin'xing
提纳奥,ti'na'ao
天鹫喷射风,tian'jiu'pen'she'feng
天空霸邪魑魅魍魉,tian'kong'ba'xie'chi'mei'wang'liang
天马,tian'ma
天马彗星拳,tian'ma'hui'xing'quan
天马流星拳,tian'ma'liu'xing'quan
甜蜜巧克力,tian'mi'qiao'ke'li
天魔降伏,tian'mo'xiang'fu
天舞宝轮,tian'wu'bao'lun
童虎,tong'hu
维奥雷特,wei'ao'lei'te
韦伯,wei'bo
维罗妮卡,wei'luo'ni'ka
温柏,wen'bai
希多鲁,xi'duo'lu
西捷,xi'jie
西路费都,xi'lu'fei'dou
希普诺斯,xi'pu'nuo'si
希绪弗斯,xi'xu'fu'si
翔翼轰鸣,xiang'yi'hong'ming
星辰傀儡线,xing'chen'kui'lei'xian
星尘旋转,xing'chen'xuan'zhuan
猩红毒针,xing'hong'du'zhen
星屑旋转功,xing'xie'xuan'zhuan'gong
休普诺斯,xiu'pu'nuo'si
修普诺斯,xiu'pu'nuo'si
旋转铁桨,xuan'zhuan'tie'jiang
薛安,xue'an
血花刀剪,xue'hua'dao'jian
血腥白玫瑰,xue'xing'bai'mei'gui
血腥玫瑰,xue'xing'mei'gui
雅柏菲卡,ya'bai'fei'ka
亚杜拉,ya'du'la
亚尔迪巴朗,ya'er'di'ba'lang
亚伦,ya'lun
雅帕菲卡,ya'pa'fei'ka
亚特拉,ya'te'la
压制尖叫,ya'zhi'jian'jiao
湮灭穹风,yan'mie'qiong'feng
杳马,yao'ma
耶人,ye'ren
伊刻罗斯,yi'ke'luo'si
异域放逐,yi'yu'fang'zhu
银河幻灭,yin'he'huan'mie
银河星爆,yin'he'xing'bao
影缝,ying'feng
永恒睡眠,yong'heng'shui'mian
勇卡斯,yong'ka'si
尤尼迪,you'ni'di
尤尼提,you'ni'ti
由素莉华,you'su'li'hua
宇宙提线木偶,yu'zhou'ti'xian'mu'ou
哲洛斯,zhe'luo'si
震鸣地狱,zhen'ming'di'yu
钻石星尘,zuan'shi'xing'chen
最大警戒,zui'da'jing'jie
