八大局,ba'da'ju
市政公司,shi'zheng'gong'si
市政一公司,shi'zheng'yi'gong'si
市中法,shi'zhong'fa
市中心医院,shi'zhong'xin'yi'yuan
双树,shuang'shu
双兴六月天,shuang'xing'liu'yue'tian
水岸帝景,shui'an'di'jing
水泥厂,shui'ni'chang
水泥医院,shui'ni'yi'yuan
水源,shui'yuan
寺儿卜,si'er'bu
四号小区,si'hao'xiao'qu
四小,si'xiao
四小道口,si'xiao'dao'kou
天合医院,tian'he'yi'yuan
天正市场,tian'zheng'shi'chang
铁河社区,tie'he'she'qu
铁馨园,tie'xin'yuan
同源漆业,tong'yuan'qi'ye
团北,tuan'bei
团南,tuan'nan
望海寺,wang'hai'si
望海寺海滨,wang'hai'si'hai'bin
网校,wang'xiao
王字楼,wang'zi'lou
五里河桥,wu'li'he'qiao
西山坡,xi'shan'po
西营盘,xi'ying'pan
西苑小学,xi'yuan'xiao'xue
仙岛福园,xian'dao'fu'yuan
小白楼,xiao'bai'lou
小白马石,xiao'bai'ma'shi
小南门,xiao'nan'men
新大路,xin'da'lu
新地号,xin'di'hao
新基地,xin'ji'di
新区劳动大厦,xin'qu'lao'dong'da'sha
兴城,xing'cheng
兴城东电,xing'cheng'dong'dian
兴工派出所,xing'gong'pai'chu'suo
兴宫陶瓷城,xing'gong'tao'ci'cheng
兴宫装饰城,xing'gong'zhuang'shi'cheng
兴盛好人家,xing'sheng'hao'ren'jia
行政服务中心,xing'zheng'fu'wu'zhong'xin
阳光家居广场,yang'guang'jia'ju'guang'chang
杨屯,yang'tun
一次变,yi'ci'bian
一号小区,yi'hao'xiao'qu
营盘,ying'pan
玉皇阁,yu'huang'ge
玉皇商城,yu'huang'shang'cheng
跃进楼,yue'jin'lou
笊笠头子,zhao'li'tou'zi
中百,zhong'bai
自来水,zi'lai'shui
