阿柏麻属,a'bai'ma'shu
斑膜芹属,ban'mo'qin'shu
半日花科,ban'ri'hua'ke
半日花属,ban'ri'hua'shu
半蒴苣苔属,ban'shuo'ju'tai'shu
半夏属,ban'xia'shu
斑叶兰属,ban'ye'lan'shu
斑种草属,ban'zhong'cao'shu
半柱花属,ban'zhu'hua'shu
斑籽属,ban'zi'shu
棒柄花属,bang'bing'hua'shu
棒锤瓜属,bang'chui'gua'shu
棒瓜属,bang'gua'shu
棒果芥属,bang'guo'jie'shu
棒头草属,bang'tou'cao'shu
报春花科,bao'chun'hua'ke
报春花属,bao'chun'hua'shu
报春苣苔属,bao'chun'ju'tai'shu
报春茜属,bao'chun'qian'shu
薄稃草属,bao'fu'cao'shu
薄果草属,bao'guo'cao'shu
薄果荠属,bao'guo'ji'shu
薄核藤属,bao'he'teng'shu
苞护豆属,bao'hu'dou'shu
苞藜属,bao'li'shu
苞裂芹属,bao'lie'qin'shu
薄鳞菊属,bao'lin'ju'shu
苞茅属,bao'mao'shu
豹皮花属,bao'pi'hua'shu
苞舌兰属,bao'she'lan'shu
薄蒴草属,bao'shuo'cao'shu
保亭花属,bao'ting'hua'shu
苞叶兰属,bao'ye'lan'shu
苞叶木属,bao'ye'mu'shu
苞叶藤属,bao'ye'teng'shu
薄钟花属,bao'zhong'hua'shu
薄柱草属,bao'zhu'cao'shu
薄竹属,bao'zhu'shu
豹子花属,bao'zi'hua'shu
杯冠木属,bei'guan'mu'shu
北极花属,bei'ji'hua'shu
被菊属,bei'ju'shu
杯菊属,bei'ju'shu
贝壳杉属,bei'ke'shan'shu
北美红杉属,bei'mei'hong'shan'shu
贝母兰属,bei'mu'lan'shu
贝母属,bei'mu'shu
倍蕊苔属,bei'rui'tai'shu
杯苋属,bei'xian'shu
被子植物,bei'zi'zhi'wu
荸艾属,bi'ai'shu
笔花豆属,bi'hua'dou'shu
闭花木属,bi'hua'mu'shu
蓖麻属,bi'ma'shu
荸荠属,bi'qi'shu
闭鞘姜属,bi'qiao'jiang'shu
臂形草属,bi'xing'cao'shu
扁柏属,bian'bai'shu
扁柄草属,bian'bing'cao'shu
扁担杆属,bian'dan'gan'shu
变豆菜属,bian'dou'cai'shu
藊豆属,bian'dou'shu
蝙蝠草属,bian'fu'cao'shu
蝙蝠葛属,bian'fu'ge'shu
扁果草属,bian'guo'cao'shu
扁果藤属,bian'guo'teng'shu
扁核木属,bian'he'mu'shu
扁蕾属,bian'lei'shu
扁芒草属,bian'mang'cao'shu
扁芒菊属,bian'mang'ju'shu
扁莎草属,bian'sha'cao'shu
扁蒴苣苔属,bian'shuo'ju'tai'shu
扁蒴藤属,bian'shuo'teng'shu
扁穗草属,bian'sui'cao'shu
扁穗莞属,bian'sui'guan'shu
鞭藤科,bian'teng'ke
鞭藤属,bian'teng'shu
变叶木属,bian'ye'mu'shu
扁轴木属,bian'zhou'mu'shu
藨草属,biao'cao'shu
鳔冠花属,biao'guan'hua'shu
藨寄生属,biao'ji'sheng'shu
杓兰属,biao'lan'shu
滨菊属,bin'ju'shu
滨藜属,bin'li'shu
滨木患属,bin'mu'huan'shu
滨紫草属,bin'zi'cao'shu
冰草属,bing'cao'shu
柄翅果属,bing'chi'guo'shu
柄唇兰属,bing'chun'lan'shu
冰岛蓼属,bing'dao'liao'shu
兵豆属,bing'dou'shu
冰防风属,bing'fang'feng'shu
柄果木属,bing'guo'mu'shu
槟榔青属,bing'lang'qing'shu
槟榔属,bing'lang'shu
菠菜属,bo'cai'shu
驳骨草属,bo'gu'cao'shu
薄荷属,bo'he'shu
伯乐树科,bo'le'shu'ke
伯乐树属,bo'le'shu'shu
波棱瓜属,bo'leng'gua'shu
玻璃苣属,bo'li'ju'shu
博落回属,bo'luo'hui'shu
播娘蒿属,bo'niang'hao'shu
波漆属,bo'qi'shu
波喜荡草科,bo'xi'dang'cao'ke
波喜荡草属,bo'xi'dang'cao'shu
捕虫堇属,bu'chong'jin'shu
布袋兰属,bu'dai'lan'shu
补骨脂属,bu'gu'zhi'shu
补血草属,bu'xue'cao'shu
布渣叶属,bu'zha'ye'shu
菜豆属,cai'dou'shu
菜豆树属,cai'dou'shu'shu
彩花菰属,cai'hua'gu'shu
菜蓟属,cai'ji'shu
采木属,cai'mu'shu
蚕豆属,can'dou'shu
藏百合属,cang'bai'he'shu
藏豆属,cang'dou'shu
苍耳属,cang'er'shu
藏瓜属,cang'gua'shu
藏荠属,cang'ji'shu
藏芥属,cang'jie'shu
藏菊属,cang'ju'shu
藏榄属,cang'lan'shu
藏瓦莲属,cang'wa'lian'shu
苍术属,cang'zhu'shu
糙草属,cao'cao'shu
草苁蓉属,cao'cong'rong'shu
草海桐科,cao'hai'tong'ke
草海桐属,cao'hai'tong'shu
草胡椒属,cao'hu'jiao'shu
草莓属,cao'mei'shu
草棉属,cao'mian'shu
草木犀属,cao'mu'xi'shu
草沙蚕属,cao'sha'can'shu
草珊瑚属,cao'shan'hu'shu
槽舌兰属,cao'she'lan'shu
糙苏属,cao'su'shu
草绣球属,cao'xiu'qiu'shu
糙叶树属,cao'ye'shu'shu
草茱萸属,cao'zhu'yu'shu
侧柏属,ce'bai'shu
侧金盏花属,ce'jin'zhan'hua'shu
侧蕊属,ce'rui'shu
箣柊属,ce'zhong'shu
箣竹属,ce'zhu'shu
茶藨子属,cha'biao'zi'shu
茶秆竹属,cha'gan'zhu'shu
叉喙兰属,cha'hui'lan'shu
茶科,cha'ke
茶梨属,cha'li'shu
茶菱属,cha'ling'shu
茶鹿子科,cha'lu'zi'ke
叉毛蓬属,cha'mao'peng'shu
檫木属,cha'mu'shu
茶属,cha'shu
茶条木属,cha'tiao'mu'shu
叉序草属,cha'xu'cao'shu
叉叶蓝属,cha'ye'lan'shu
叉柱花属,cha'zhu'hua'shu
叉柱兰属,cha'zhu'lan'shu
茶茱萸科,cha'zhu'yu'ke
柴胡属,chai'hu'shu
柴龙树属,chai'long'shu'shu
钗子股属,chai'zi'gu'shu
蝉翼藤属,chan'yi'teng'shu
长柄荚属,chang'bing'jia'shu
长柄芥属,chang'bing'jie'shu
长柄山蚂蝗属,chang'bing'shan'ma'huang'shu
长春花属,chang'chun'hua'shu
常春木属,chang'chun'mu'shu
常春藤属,chang'chun'teng'shu
长隔木属,chang'ge'mu'shu
长冠苣苔属,chang'guan'ju'tai'shu
长果姜属,chang'guo'jiang'shu
长喙兰属,chang'hui'lan'shu
长节珠属,chang'jie'zhu'shu
菖蒲属,chang'pu'shu
长蕊琉璃草属,chang'rui'liu'li'cao'shu
长蕊木兰属,chang'rui'mu'lan'shu
长蕊青兰属,chang'rui'qing'lan'shu
常山属,chang'shan'shu
长舌蓍属,chang'she'shi'shu
长生草属,chang'sheng'cao'shu
长蒴苣苔属,chang'shuo'ju'tai'shu
长穗花属,chang'sui'hua'shu
长穗马蓝属,chang'sui'ma'lan'shu
肠须草属,chang'xu'cao'shu
长柱琉璃草属,chang'zhu'liu'li'cao'shu
长柱山丹属,chang'zhu'shan'dan'shu
长足兰属,chang'zu'lan'shu
车前草科,che'qian'cao'ke
车前草属,che'qian'cao'shu
车前紫草属,che'qian'zi'cao'shu
车叶草属,che'ye'cao'shu
车轴草属,che'zhou'cao'shu
沉香属,chen'xiang'shu
秤钩风属,cheng'gou'feng'shu
澄广花属,cheng'guang'hua'shu
柽柳科,cheng'liu'ke
柽柳属,cheng'liu'shu
赪桐属,cheng'tong'shu
赤壁草属,chi'bi'cao'shu
赤瓟属,chi'bo'shu
赤才属,chi'cai'shu
赤苍藤属,chi'cang'teng'shu
赤车属,chi'che'shu
齿唇兰属,chi'chun'lan'shu
齿稃草属,chi'fu'cao'shu
齿冠草属,chi'guan'cao'shu
齿果草属,chi'guo'cao'shu
翅果蓼属,chi'guo'liao'shu
翅果麻属,chi'guo'ma'shu
翅果藤属,chi'guo'teng'shu
翅鹤虱属,chi'he'shi'shu
翅荚木属,chi'jia'mu'shu
赤箭莎属,chi'jian'sha'shu
翅棱芹属,chi'leng'qin'shu
齿鳞草属,chi'lin'cao'shu
翅鳞莎属,chi'lin'sha'shu
翅实藤属,chi'shi'teng'shu
赤杨属,chi'yang'shu
翅叶木属,chi'ye'mu'shu
翅子瓜属,chi'zi'gua'shu
翅子藤属,chi'zi'teng'shu
虫豆属,chong'dou'shu
重楼属,chong'lou'shu
虫实属,chong'shi'shu
重阳木属,chong'yang'mu'shu
臭草属,chou'cao'shu
臭常山属,chou'chang'shan'shu
臭松属,chou'song'shu
臭樱属,chou'ying'shu
雏菊属,chu'ju'shu
船唇兰属,chuan'chun'lan'shu
串果藤属,chuan'guo'teng'shu
川蔓藻科,chuan'man'zao'ke
川蔓藻属,chuan'man'zao'shu
川明参属,chuan'ming'can'shu
川木香属,chuan'mu'xiang'shu
穿鞘花属,chuan'qiao'hua'shu
川苔草科,chuan'tai'cao'ke
川苔草属,chuan'tai'cao'shu
穿心草属,chuan'xin'cao'shu
穿心莲属,chuan'xin'lian'shu
川续断科,chuan'xu'duan'ke
川续断属,chuan'xu'duan'shu
川藻属,chuan'zao'shu
槌果藤属,chui'guo'teng'shu
垂头菊属,chui'tou'ju'shu
槌柱兰属,chui'zhu'lan'shu
莼菜科,chun'cai'ke
莼菜属,chun'cai'shu
唇萼苣苔属,chun'e'ju'tai'shu
春黄菊属,chun'huang'ju'shu
唇兰属,chun'lan'shu
唇形科,chun'xing'ke
唇柱苣苔属,chun'zhu'ju'tai'shu
刺柏属,ci'bai'shu
刺苞果属,ci'bao'guo'shu
刺苞术属,ci'bao'shu'shu
刺儿菜属,ci'er'cai'shu
慈姑属,ci'gu'shu
刺冠菊属,ci'guan'ju'shu
刺果芹属,ci'guo'qin'shu
刺果树属,ci'guo'shu'shu
刺核藤属,ci'he'teng'shu
刺槐属,ci'huai'shu
刺矶松属,ci'ji'song'shu
刺葵属,ci'kui'shu
刺榄属,ci'lan'shu
刺篱木属,ci'li'mu'shu
刺鳞草科,ci'lin'cao'ke
刺鳞草属,ci'lin'cao'shu
刺锚草属,ci'mao'cao'shu
刺茉莉科,ci'mo'li'ke
刺茉莉属,ci'mo'li'shu
刺芹属,ci'qin'shu
刺楸属,ci'qiu'shu
刺蕊草属,ci'rui'cao'shu
刺蒴麻属,ci'shuo'ma'shu
刺桐属,ci'tong'shu
刺头菊属,ci'tou'ju'shu
刺续断属,ci'xu'duan'shu
刺叶属,ci'ye'shu
刺罂粟属,ci'ying'su'shu
刺芋属,ci'yu'shu
刺榆属,ci'yu'shu
茨藻科,ci'zao'ke
茨藻属,ci'zao'shu
刺枝豆属,ci'zhi'dou'shu
刺子莞属,ci'zi'guan'shu
丛菔属,cong'fu'shu
葱芥属,cong'jie'shu
楤木属,cong'mu'shu
葱属,cong'shu
葱叶兰属,cong'ye'lan'shu
簇花芹属,cu'hua'qin'shu
簇芥属,cu'jie'shu
粗毛藤属,cu'mao'teng'shu
粗丝木属,cu'si'mu'shu
簇序草属,cu'xu'cao'shu
粗叶木属,cu'ye'mu'shu
翠柏属,cui'bai'shu
翠菊属,cui'ju'shu
脆兰属,cui'lan'shu
翠雀属,cui'que'shu
大百合属,da'bai'he'shu
大苞寄生属,da'bao'ji'sheng'shu
大苞姜属,da'bao'jiang'shu
大苞兰属,da'bao'lan'shu
大苞鞘花属,da'bao'qiao'hua'shu
大参属,da'can'shu
大翅蓟属,da'chi'ji'shu
大丁草属,da'ding'cao'shu
大豆蔻属,da'dou'kou'shu
大豆属,da'dou'shu
大萼葵属,da'e'kui'shu
大风子科,da'feng'zi'ke
大风子属,da'feng'zi'shu
大果五加属,da'guo'wu'jia'shu
大合欢属,da'he'huan'shu
大胡椒属,da'hu'jiao'shu
大花草科,da'hua'cao'ke
大花藤属,da'hua'teng'shu
大黄属,da'huang'shu
大戟科,da'ji'ke
大戟属,da'ji'shu
大节竹属,da'jie'zhu'shu
大丽花属,da'li'hua'shu
大麻科,da'ma'ke
大麻属,da'ma'shu
大麦属,da'mai'shu
大米草属,da'mi'cao'shu
大漂属,da'piao'shu
大沙叶属,da'sha'ye'shu
大蒜芥属,da'suan'jie'shu
大头茶属,da'tou'cha'shu
打碗花属,da'wan'hua'shu
大吴风草属,da'wu'feng'cao'shu
大血藤科,da'xue'teng'ke
大血藤属,da'xue'teng'shu
大叶藤属,da'ye'teng'shu
大叶藻科,da'ye'zao'ke
大叶藻属,da'ye'zao'shu
大油芒属,da'you'mang'shu
大爪草属,da'zhao'cao'shu
大钟花属,da'zhong'hua'shu
大柱藤属,da'zhu'teng'shu
袋唇兰属,dai'chun'lan'shu
带唇兰属,dai'chun'lan'shu
代儿茶属,dai'er'cha'shu
戴星草属,dai'xing'cao'shu
带叶兰属,dai'ye'lan'shu
单侧花属,dan'ce'hua'shu
单刺蓬属,dan'ci'peng'shu
萏雷草属,dan'lei'cao'shu
单球芹属,dan'qiu'qin'shu
单蕊草属,dan'rui'cao'shu
单蕊麻属,dan'rui'ma'shu
单室茱萸属,dan'shi'zhu'yu'shu
单性木兰属,dan'xing'mu'lan'shu
单叶豆属,dan'ye'dou'shu
单叶藤桔属,dan'ye'teng'ju'shu
淡竹叶属,dan'zhu'ye'shu
当归属,dang'gui'shu
党参属,dang'shen'shu
稻槎菜属,dao'cha'cai'shu
倒地铃属,dao'di'ling'shu
倒吊笔属,dao'diao'bi'shu
刀豆属,dao'dou'shu
倒挂金钟属,dao'gua'jin'zhong'shu
稻属,dao'shu
倒提壶属,dao'ti'hu'shu
倒缨木属,dao'ying'mu'shu
灯心草科,deng'xin'cao'ke
灯心草属,deng'xin'cao'shu
地宝兰属,di'bao'lan'shu
地胆草属,di'dan'cao'shu
地肤属,di'fu'shu
地构叶属,di'gou'ye'shu
地桂属,di'gui'shu
地黄连属,di'huang'lian'zhu
第伦桃科五丫果科,di'lun'tao'ke'wu'ya'guo'ke
第伦桃属,di'lun'tao'shu
地蔷薇属,di'qiang'wei'shu
地笋属,di'sun'shu
地毯草属,di'tan'cao'shu
棣棠属,di'tang'shu
地杨梅属,di'yang'mei'shu
地杨桃属,di'yang'tao'shu
地涌金莲属,di'yong'jin'lian'shu
地榆属,di'yu'shu
滇赤才属,dian'chi'cai'shu
电灯花属,dian'deng'hua'shu
点地梅属,dian'di'mei'shu
滇丁香属,dian'ding'xiang'shu
滇黄芩属,dian'huang'qin'shu
滇兰属,dian'lan'shu
滇芹属,dian'qin'shu
滇桐属,dian'tong'shu
滇芎属,dian'xiong'shu
滇竹属,dian'zhu'shu
垫紫草属,dian'zi'cao'shu
滇紫草属,dian'zi'cao'shu
吊灯花属,diao'deng'hua'shu
吊灯树属,diao'deng'shu'shu
吊兰属,diao'lan'shu
吊石苣苔属,diao'shi'ju'tai'shu
凋缨菊属,diao'ying'ju'shu
吊钟花属,diao'zhong'hua'shu
蝶豆属,die'dou'shu
蝶兰属,die'lan'shu
蝶形花科,die'xing'hua'ke
蝶须属,die'xu'shu
顶冰花属,ding'bing'hua'shu
丁公藤属,ding'gong'teng'shu
丁癸草属,ding'gui'cao'shu
顶果树属,ding'guo'shu'shu
丁茜属,ding'qian'shu
钉头果属,ding'tou'guo'shu
丁香蓼属,ding'xiang'liao'shu
丁香属,ding'xiang'shu
顶羽菊属,ding'yu'ju'shu
丁座草属,ding'zuo'cao'shu
东风菜属,dong'feng'cai'shu
东谷芹属,dong'gu'qin'shu
冬瓜属,dong'gua'shu
冬红花属,dong'hong'hua'shu
东京桐属,dong'jing'tong'shu
冬麻豆属,dong'ma'dou'shu
冬青科,dong'qing'ke
冬青属,dong'qing'shu
动蕊花属,dong'rui'hua'shu
苳叶科,dong'ye'ke
苳叶属,dong'ye'shu
东爪草属,dong'zhao'cao'shu
豆瓣菜属,dou'ban'cai'shu
兜被兰属,dou'bei'lan'shu
豆腐柴属,dou'fu'chai'shu
豆科,dou'ke
豆蔻属,dou'kou'shu
兜兰属,dou'lan'shu
都丽菊属,dou'li'ju'shu
兜藜属,dou'li'shu
豆列当属,dou'lie'dang'shu
兜蕊兰属,dou'rui'lan'shu
豆薯属,dou'shu'shu
毒参属,du'can'shu
毒豆属,du'dou'shu
杜根藤属,du'gen'teng'shu
毒瓜属,du'gua'shu
独花报春属,du'hua'bao'chun'shu
独花兰属,du'hua'lan'shu
独活属,du'huo'shu
杜茎山属,du'jing'shan'shu
杜鹃花科,du'juan'hua'ke
杜鹃花属,du'juan'hua'shu
杜鹃兰属,du'juan'lan'shu
独丽花属,du'li'hua'shu
杜楝属,du'lian'shu
度量草属,du'liang'cao'shu
毒马草属,du'ma'cao'shu
毒麦属,du'mai'shu
毒芹属,du'qin'shu
杜若属,du'ruo'shu
毒鼠子科,du'shu'zi'ke
毒鼠子属,du'shu'zi'shu
独蒜兰属,du'suan'lan'shu
独尾草属,du'wei'cao'shu
独行菜属,du'xing'cai'shu
独叶草属,du'ye'cao'shu
独一味属,du'yi'wei'shu
杜英科,du'ying'ke
杜英属,du'ying'shu
杜仲科,du'zhong'ke
杜仲属,du'zhong'shu
杜仲藤属,du'zhong'teng'shu
独子藤属,du'zi'teng'shu
短瓣兰属,duan'ban'lan'shu
短瓣石竹属,duan'ban'shi'zhu'shu
短柄草属,duan'bing'cao'shu
短萼齿木属,duan'e'chi'mu'shu
断节莎草属,duan'jie'sha'cao'shu
短舌菊属,duan'she'ju'shu
椴树科,duan'shu'ke
椴树属,duan'shu'shu
短穗竹属,duan'sui'zhu'shu
短筒苣苔属,duan'tong'ju'tai'shu
短星菊属,duan'xing'ju'shu
短序花属,duan'xu'hua'shu
短檐苣苔属,duan'yan'ju'tai'shu
短颖草属,duan'ying'cao'shu
对刺藤属,dui'ci'teng'shu
对节刺属,dui'jie'ci'shu
对穗草属,dui'sui'cao'shu
堆心菊属,dui'xin'ju'shu
对叶兰属,dui'ye'lan'shu
对叶盐蓬属,dui'ye'yan'peng'shu
盾苞藤属,dun'bao'teng'shu
钝背草属,dun'bei'cao'shu
盾翅果属,dun'chi'guo'shu
盾果草属,dun'guo'cao'shu
钝果寄生属,dun'guo'ji'sheng'shu
钝叶草属,dun'ye'cao'shu
盾柱木属,dun'zhu'mu'shu
盾柱卫矛属,dun'zhu'wei'mao'shu
盾座苣苔属,dun'zuo'ju'tai'shu
多瓣核果茶属,duo'ban'he'guo'cha'shu
多核果属,duo'he'guo'shu
多荚草属,duo'jia'cao'shu
多榔菊属,duo'lang'ju'shu
多蕊木属,duo'rui'mu'shu
多穗兰属,duo'sui'lan'shu
多香木属,duo'xiang'mu'shu
多裔黍属,duo'yi'shu'shu
多枝苦荬菜属,duo'zhi'ku'mai'cai'shu
鹅不食草属,e'bu'shi'cao'shu
峨参属,e'can'shu
鹅肠菜属,e'chang'cai'shu
鹅耳枥属,e'er'li'shu
鹅观草属,e'guan'cao'shu
萼距花属,e'ju'hua'shu
鳄咀花属,e'ju'hua'shu
遏蓝菜属,e'lan'cai'shu
鳄梨属,e'li'shu
鹅绒藤属,e'rong'teng'shu
鹅掌柴属,e'zhang'chai'shu
鹅掌楸属,e'zhang'qiu'shu
耳草属,er'cao'shu
耳唇兰属,er'chun'lan'shu
二节豆属,er'jie'dou'shu
二尾兰属,er'wei'lan'shu
二行芥属,er'xing'jie'shu
耳药花属,er'yao'hua'shu
二药藻属,er'yao'zao'shu
耳叶爵床属,er'ye'jue'chuang'shu
发草属,fa'cao'shu
反唇兰属,fan'chun'lan'shu
翻唇兰属,fan'chun'lan'shu
番红花属,fan'hong'hua'shu
番荔枝科,fan'li'zhi'ke
番荔枝属,fan'li'zhi'shu
番龙眼属,fan'long'yan'shu
繁缕属,fan'lv'shu
番木瓜科,fan'mu'gua'ke
番木瓜属,fan'mu'gua'shu
番石榴属,fan'shi'liu'shu
番薯属,fan'shu'shu
番杏科,fan'xing'ke
番杏属,fan'xing'shu
番樱桃属,fan'ying'tao'shu
防风属,fang'feng'shu
防已科,fang'yi'ke
方竹属,fang'zhu'shu
肺草属,fei'cao'shu
飞蛾藤属,fei'e'teng'shu
肥根兰属,fei'gen'lan'shu
飞廉属,fei'lian'shu
飞龙掌血属,fei'long'zhang'xue'shu
肥牛木属,fei'niu'mu'shu
飞蓬属,fei'peng'shu
榧树属,fei'shu'shu
飞燕草属,fei'yan'cao'shu
飞鸢果属,fei'yuan'guo'shu
肥皂草属,fei'zao'cao'shu
菲柞属,fei'zha'shu
非洲楝属,fei'zhou'lian'shu
非洲凌霄属,fei'zhou'ling'xiao'shu
粉苞苣属,fen'bao'ju'shu
粉花凌霄属,fen'hua'ling'xiao'shu
粉口兰属,fen'kou'lan'shu
粉绿藤属,fen'lv'teng'shu
粉条儿菜属,fen'tiao'er'cai'shu
分药花属,fen'yao'hua'shu
风车藤属,feng'che'teng'shu
蜂出巢属,feng'chu'chao'shu
风吹楠属,feng'chui'nan'shu
风吹萧属,feng'chui'xiao'shu
蜂斗菜属,feng'dou'cai'shu
蜂斗草属,feng'dou'cao'shu
丰花草属,feng'hua'cao'shu
凤凰木属,feng'huang'mu'shu
风兰属,feng'lan'shu
凤梨科,feng'li'ke
凤梨属,feng'li'shu
风铃草属,feng'ling'cao'shu
风龙属,feng'long'shu
风轮菜属,feng'lun'cai'shu
风轮桐属,feng'lun'tong'shu
风毛菊属,feng'mao'ju'shu
凤头黍属,feng'tou'shu'shu
凤仙花科,feng'xian'hua'ke
凤仙花属,feng'xian'hua'shu
风箱果属,feng'xiang'guo'shu
枫香属,feng'xiang'shu
风箱树属,feng'xiang'shu'shu
风信子属,feng'xin'zi'shu
凤眼蓝属,feng'yan'lan'shu
枫杨属,feng'yang'shu
蜂腰兰属,feng'yao'lan'shu
佛肚苣苔属,fo'du'ju'tai'shu
佛手瓜属,fo'shou'gua'shu
附地菜属,fu'di'cai'shu
富贵草属,fu'gui'cao'shu
辐花属,fu'hua'shu
福建柏属,fu'jian'bai'shu
馥兰属,fu'lan'shu
复芒菊属,fu'mang'ju'shu
富宁藤属,fu'ning'teng'shu
浮萍科,fu'ping'ke
浮萍属,fu'ping'shu
腹脐草属,fu'qi'cao'shu
拂子茅属,fu'zi'mao'shu
盖裂木属,gai'lie'mu'shu
甘草属,gan'cao'shu
干果木属,gan'guo'mu'shu
干花豆属,gan'hua'dou'shu
橄榄科,gan'lan'ke
橄榄属,gan'lan'shu
柑属,gan'shu
甘松香属,gan'song'xiang'shu
感应草属,gan'ying'cao'shu
甘蔗属,gan'zhe'shu
刚毛药花属,gang'mao'yao'hua'shu
岗松属,gang'song'shu
藁本属,gao'ben'shu
高河菜属,gao'he'cai'shu
高粱属,gao'liang'shu
高山豆属,gao'shan'dou'shu
高山漆姑草属,gao'shan'qi'gu'cao'shu
高山芹属,gao'shan'qin'shu
高原芥属,gao'yuan'jie'shu
革苞菊属,ge'bao'ju'shu
戈壁藜属,ge'bi'li'shu
割鸡芒属,ge'ji'mang'shu
隔距兰属,ge'ju'lan'shu
格兰马草属,ge'lan'ma'cao'shu
葛缕子属,ge'lv'zi'shu
格木属,ge'mu'shu
哥纳香属,ge'na'xiang'shu
割舌树属,ge'she'shu'shu
葛属,ge'shu
隔蒴苘属,ge'shuo'qing'shu
革叶荠属,ge'ye'ji'shu
弓果黍属,gong'guo'shu'shu
弓果藤,gong'guo'teng
珙桐科,gong'tong'ke
珙桐属,gong'tong'shu
沟瓣木属,gou'ban'mu'shu
钩豆属,gou'dou'shu
钩萼草属,gou'e'cao'shu
勾儿茶属,gou'er'cha'shu
沟繁缕科,gou'fan'lv'ke
沟繁缕属,gou'fan'lv'shu
钩粉草属,gou'fen'cao'shu
沟稃草属,gou'fu'cao'shu
狗肝菜属,gou'gan'cai'shu
狗骨柴属,gou'gu'chai'shu
狗筋蔓属,gou'jin'man'shu
钩毛草属,gou'mao'cao'shu
钩毛果属,gou'mao'guo'shu
构属,gou'shu
钩藤属,gou'teng'shu
狗哇花属,gou'wa'hua'shu
狗尾草属,gou'wei'cao'shu
狗牙根属,gou'ya'gen'shu
狗牙花属,gou'ya'hua'shu
钩叶藤属,gou'ye'teng'shu
沟颖草属,gou'ying'cao'shu
钩枝藤科,gou'zhi'teng'ke
钩枝藤属,gou'zhi'teng'shu
沟子荠属,gou'zi'ji'shu
钩子木属,gou'zi'mu'shu
古当归属,gu'dang'gui'shu
谷精草科,gu'jing'cao'ke
谷精草属,gu'jing'cao'shu
古柯科,gu'ke'ke
古柯属,gu'ke'shu
谷木属,gu'mu'shu
