阿速吉八,a'su'ji'ba
慕容皝,mu'rong'huang
慕容觊,mu'rong'ji
慕容儁,mu'rong'jun
慕容盛,mu'rong'sheng
慕容望,mu'rong'wang
慕容廆,mu'rong'wei
慕容暐,mu'rong'wei
慕容熙,mu'rong'xi
慕容永,mu'rong'yong
慕容忠,mu'rong'zhong
南庚,nan'geng
年号成化,nian'hao'cheng'hua
年号崇祯,nian'hao'chong'zhen
年号洪武,nian'hao'hong'wu
年号洪熙,nian'hao'hong'xi
年号弘治,nian'hao'hong'zhi
年号嘉靖,nian'hao'jia'jing
年号建文,nian'hao'jian'wen
年号景泰,nian'hao'jing'tai
年号隆庆,nian'hao'long'qing
年号泰昌,nian'hao'tai'chang
年号天启,nian'hao'tian'qi
年号万历,nian'hao'wan'li
年号宣德,nian'hao'xuan'de
年号永乐,nian'hao'yong'le
年号正德,nian'hao'zheng'de
年号正统天顺,nian'hao'zheng'tong'tian'shun
盘庚,pan'geng
乞伏炽盘,qi'fu'chi'pan
乞伏国仁,qi'fu'guo'ren
乞伏慕末,qi'fu'mu'mo
乞伏乾归,qi'fu'qian'gui
钱弘俶,qian'hong'chu
钱弘倧,qian'hong'zong
钱弘佐,qian'hong'zuo
钱鏐,qian'liu
钱元瓘,qian'yuan'guan
冉闵,ran'min
少昊,shao'hao
少康,shao'kang
神农氏,shen'nong'shi
石弘,shi'hong
石虎,shi'hu
石鉴,shi'jian
石敬瑭,shi'jing'tang
石勒,shi'le
石世,shi'shi
石祗,shi'zhi
石重贵,shi'zhong'gui
石尊,shi'zun
述律平,shu'lv'ping
硕德八剌,shuo'de'ba'la
司马炽,si'ma'chi
司马聃,si'ma'dan
司马德文,si'ma'de'wen
司马德宗,si'ma'de'zong
司马丕,si'ma'pi
司马睿,si'ma'rui
司马绍,si'ma'shao
司马师,si'ma'shi
司马衍,si'ma'yan
司马炎,si'ma'yan
司马曜,si'ma'yao
司马邺,si'ma'ye
司马奕,si'ma'yi
司马懿,si'ma'yi
司马昱,si'ma'yu
司马岳,si'ma'yue
司马昭,si'ma'zhao
司马衷,si'ma'zhong
孙策,sun'ce
孙皓,sun'hao
孙亮,sun'liang
孙权,sun'quan
孙休,sun'xiu
太丁,tai'ding
太庚,tai'geng
太甲,tai'jia
太康,tai'kang
太戊,tai'wu
唐尧,tang'yao
铁穆耳,tie'mu'er
铁木真,tie'mu'zhen
秃发利鹿孤,tu'fa'li'lu'gu
秃发傉檀,tu'fa'nu'tan
秃发乌孤,tu'fa'wu'gu
图帖睦尔,tu'tie'mu'er
吐谷浑,tu'yu'hun
拓跋珪,tuo'ba'gui
拓跋纥那,tuo'ba'he'na
拓跋贺傉,tuo'ba'he'nu
拓跋弘,tuo'ba'hong
拓跋浚,tuo'ba'jun
拓跋廓,tuo'ba'kuo
拓跋普根,tuo'ba'pu'gen
拓跋什翼犍,tuo'ba'shen'yi'jian
拓跋始生,tuo'ba'shi'sheng
拓跋嗣,tuo'ba'si
拓跋焘,tuo'ba'tao
拓跋翳槐,tuo'ba'yi'huai
拓跋猗卢,tuo'ba'yi'lu
拓跋余,tuo'ba'yu
拓跋郁律,tuo'ba'yu'lv
妥懽帖睦尔,tuo'guan'tie'mu'er
拖雷,tuo'lei
外丙,wai'bing
外壬,wai'ren
完颜阿骨打,wan'yan'a'gu'da
完颜承麟,wan'yan'cheng'lin
完颜亶,wan'yan'dan
完颜璟,wan'yan'jing
完颜亮,wan'yan'liang
完颜晟,wan'yan'sheng
宛颜守绪,wan'yan'shou'xu
完颜珣,wan'yan'xun
完颜雍,wan'yan'yong
完颜永济,wan'yan'yong'ji
王昶,wang'chang
王建,wang'jian
王莽,wang'mang
王审知,wang'shen'zhi
王曦,wang'xi
王衍,wang'yan
王延翰,wang'yan'han
王延钧,wang'yan'jun
王延政,wang'yan'zheng
文丁,wen'ding
沃丁,wo'ding
沃甲,wo'jia
窝阔台,wo'kuo'tai
武丁,wu'ding
武乙,wu'yi
武则天,wu'ze'tian
武曌,wu'zhao
萧宝卷,xiao'bao'juan
萧宝融,xiao'bao'rong
萧绰,xiao'chuo
萧琮,xiao'cong
萧道成,xiao'dao'cheng
萧栋,xiao'dong
萧方智,xiao'fang'zhi
萧纲,xiao'gang
萧纪,xiao'ji
小甲,xiao'jia
萧岿,xiao'kui
萧鸾,xiao'luan
小辛,xiao'xin
萧衍,xiao'yan
萧言,xiao'yan
萧绎,xiao'yi
小乙,xiao'yi
萧渊明,xiao'yuan'ming
萧赜,xiao'ze
萧昭文,xiao'zhao'wen
萧昭业,xiao'zhao'ye
萧正德,xiao'zheng'de
谢道清,xie'dao'qing
宣仁太后高氏,xuan'ren'tai'hou'gao'shi
轩辕氏,xuan'yuan'shi
炎帝,yan'di
杨侗,yang'dong
杨广,yang'guang
杨浩,yang'hao
阳甲,yang'jia
杨坚,yang'jian
杨溥,yang'pu
杨渭,yang'wei
杨渥,yang'wo
杨行密,yang'xing'mi
杨侑,yang'you
姚苌,yao'chang
姚泓,yao'hong
姚兴,yao'xing
耶律阿保机,ye'lv'a'bao'ji
耶律倍,ye'lv'bei
耶律德光,ye'lv'de'guang
耶律洪基,ye'lv'hong'ji
耶律璟,ye'lv'jing
耶律隆绪,ye'lv'long'xu
耶律阮,ye'lv'ruan
耶律贤,ye'lv'xian
耶律延禧,ye'lv'yan'xi
耶律宗真,ye'lv'zong'zhen
也孙铁木儿,ye'sun'tie'mu'er
懿璘质班,yi'lin'zhi'ban
嬴楚,ying'chu
嬴则,ying'ze
嬴政,ying'zheng
嬴柱,ying'zhu
雍己,yong'ji
虞舜,yu'shun
宇文觉,yu'wen'jue
宇文泰,yu'wen'tai
宇文衍,yu'wen'yan
宇文邕,yu'wen'yong
宇文毓,yu'wen'yu
宇文赟,yu'wen'yun
元宝炬,yuan'bao'ju
元恭,yuan'gong
元宏,yuan'hong
元恪,yuan'ke
元朗,yuan'lang
元钦,yuan'qin
元善见,yuan'shan'jian
元诩,yuan'xu
元晔,yuan'ye
元攸,yuan'you
元钊,yuan'zhao
元子攸,yuan'zi'you
张重华,zhang'chong'hua
张轨,zhang'gui
张骏,zhang'jun
张茂,zhang'mao
张实,zhang'shi
张天锡,zhang'tian'xi
张献忠,zhang'xian'zhong
张玄靓,zhang'xuan'liang
张耀灵,zhang'yao'ling
张祚,zhang'zuo
赵昺,zhao'bing
赵淳,zhao'chun
赵构,zhao'gou
赵光义,zhao'guang'yi
赵恒,zhao'heng
赵桓,zhao'huan
赵佶,zhao'ji
赵匡胤,zhao'kuang'yin
赵扩,zhao'kuo
赵禥,zhao'qi
赵眘,zhao'shen
赵昰,zhao'shi
赵曙,zhao'shu
赵显,zhao'xian
赵顼,zhao'xu
赵煦,zhao'xu
赵昀,zhao'yun
赵祯,zhao'zhen
中丁,zhong'ding
仲康,zhong'kang
中壬,zhong'ren
朱温,zhu'wen
朱由榔,zhu'you'lang
朱由崧,zhu'you'song
朱聿键,zhu'yu'jian
朱瑱,zhu'zhen
颛顼,zhuan'xu
子婴,zi'ying
祖丁,zu'ding
祖庚,zu'geng
祖甲,zu'jia
祖辛,zu'xin
祖乙,zu'yi
