阿保之功,a'bao'zhi'gong
矮人看场,ai'ren'kan'chang
爱人利物,ai'ren'li'wu
爱人以德,ai'ren'yi'de
爱日惜力,ai'ri'xi'li
爱如己出,ai'ru'ji'chu
爱如珍宝,ai'ru'zhen'bao
捱三顶四,ai'san'ding'si
挨三顶五,ai'san'ding'wu
捱三顶五,ai'san'ding'wu
哀声叹气,ai'sheng'tan'qi
唉声叹气,ai'sheng'tan'qi
嗳声叹气,ai'sheng'tan'qi
碍手碍脚,ai'shou'ai'jiao
哀丝豪竹,ai'si'hao'zhu
哀思如潮,ai'si'ru'chao
爱素好古,ai'su'hao'gu
哀天叫地,ai'tian'jiao'di
哀痛欲绝,ai'tong'yu'jue
爱屋及乌,ai'wu'ji'wu
爱惜羽毛,ai'xi'yu'mao
爱憎分明,ai'zeng'fen'ming
矮子观场,ai'zi'guan'chang
矮子看戏,ai'zi'kan'xi
矮子里拔将军,ai'zi'li'ba'jiang'jun
安安分分,an'an'fen'fen
安安静静,an'an'jing'jing
安安稳稳,an'an'wen'wen
安安心心,an'an'xin'xin
安安逸逸,an'an'yi'yi
安邦定国,an'bang'ding'guo
安邦治国,an'bang'zhi'guo
按兵不动,an'bing'bu'dong
按兵束甲,an'bing'shu'jia
安步当车,an'bu'dang'che
按部就班,an'bu'jiu'ban
安不忘危,an'bu'wang'wei
暗藏杀机,an'cang'sha'ji
安常处顺,an'chang'chu'shun
安常履顺,an'chang'lv'shun
安常守分,an'chang'shou'fen
安常守故,an'chang'shou'gu
安常习故,an'chang'xi'gu
安车蒲轮,an'che'pu'lun
暗锤打人,an'chui'da'ren
暗淡无光,an'dan'wu'guang
黯淡无光,an'dan'wu'guang
安定团结,an'ding'tuan'jie
暗斗明争,an'dou'ming'zheng
暗度陈仓,an'du'chen'cang
暗渡陈仓,an'du'chen'cang
暗度金针,an'du'jin'zhen
安堵乐业,an'du'le'ye
安堵如故,an'du'ru'gu
案牍之劳,an'du'zhi'lao
安份守己,an'fen'shou'ji
安分守己,an'fen'shou'ji
安分知足,an'fen'zhi'zu
安富恤贫,an'fu'xu'pin
安富恤穷,an'fu'xu'qiong
安富尊荣,an'fu'zun'rong
岸谷之变,an'gu'zhi'bian
安故重迁,an'gu'zhong'qian
安国富民,an'guo'fu'min
安国宁家,an'guo'ning'jia
黯晦消沉,an'hui'xiao'chen
安魂定魄,an'hun'ding'po
安家乐业,an'jia'le'ye
安家立业,an'jia'li'ye
安家落户,an'jia'luo'hu
按甲寝兵,an'jia'qin'bing
按甲休兵,an'jia'xiu'bing
暗箭明枪,an'jian'ming'qiang
暗箭难防,an'jian'nan'fang
暗箭伤人,an'jian'shang'ren
暗箭中人,an'jian'zhong'ren
暗礁险滩,an'jiao'xian'tan
安居乐业,an'ju'le'ye
安老怀少,an'lao'huai'shao
按劳取酬,an'lao'qu'chou
安良除暴,an'liang'chu'bao
鞍马劳顿,an'ma'lao'dun
鞍马劳倦,an'ma'lao'juan
鞍马劳困,an'ma'lao'kun
鞍马之劳,an'ma'zhi'lao
安眉带眼,an'mei'dai'yan
暗昧之事,an'mei'zhi'shi
安民告示,an'min'gao'shi
按名责实,an'ming'ze'shi
按捺不住,an'na'bu'zhu
安内攘外,an'nei'rang'wai
按辔徐行,an'pei'xu'xing
安贫乐道,an'pin'le'dao
安贫乐贱,an'pin'le'jian
安贫守道,an'pin'shou'dao
暗气暗恼,an'qi'an'nao
鞍前马后,an'qian'ma'hou
岸然道貌,an'ran'dao'mao
黯然魂销,an'ran'hun'xiao
安然如故,an'ran'ru'gu
黯然伤神,an'ran'shang'shen
黯然神伤,an'ran'shen'shang
黯然失色,an'ran'shi'se
黯然无光,an'ran'wu'guang
黯然无色,an'ran'wu'se
安然无事,an'ran'wu'shi
安忍无亲,an'ren'wu'qin
安如盘石,an'ru'pan'shi
安如磐石,an'ru'pan'shi
安如太山,an'ru'tai'shan
安如泰山,an'ru'tai'shan
安若泰山,an'ruo'tai'shan
暗弱无断,an'ruo'wu'duan
安神定魄,an'shen'ding'po
安身立命,an'shen'li'ming
安身为乐,an'shen'wei'le
安身之处,an'shen'zhi'chu
安身之地,an'shen'zhi'di
安生服业,an'sheng'fu'ye
安生乐业,an'sheng'le'ye
暗室不欺,an'shi'bu'qi
安时处顺,an'shi'chu'shun
暗室逢灯,an'shi'feng'deng
暗室亏心,an'shi'kui'xin
安室利处,an'shi'li'chu
暗室欺心,an'shi'qi'xin
暗室求物,an'shi'qiu'wu
安适如常,an'shi'ru'chang
暗室屋漏,an'shi'wu'lou
暗送秋波,an'song'qiu'bo
按图索骥,an'tu'suo'ji
按图索骏,an'tu'suo'jun
安土重旧,an'tu'zhong'jiu
安土重迁,an'tu'zhong'qian
安危相易,an'wei'xiang'yi
安危与共,an'wei'yu'gong
案无留牍,an'wu'liu'du
暗无天日,an'wu'tian'ri
安闲自得,an'xian'zi'de
安闲自在,an'xian'zi'zai
暗箱操作,an'xiang'cao'zuo
安心定志,an'xin'ding'zhi
安心乐业,an'xin'le'ye
安心乐意,an'xin'le'yi
安心落意,an'xin'luo'yi
按行自抑,an'xing'zi'yi
安营下寨,an'ying'xia'zhai
安营扎寨,an'ying'zha'zhai
安于故俗,an'yu'gu'su
安于盘石,an'yu'pan'shi
安于现状,an'yu'xian'zhuang
安于一隅,an'yu'yi'yu
安之若命,an'zhi'ruo'ming
暗中摸索,an'zhong'mo'suo
安坐待毙,an'zuo'dai'bi
昂昂自若,ang'ang'zi'ruo
昂藏七尺,ang'cang'qi'chi
昂然自得,ang'ran'zi'de
昂首阔步,ang'shou'kuo'bu
昂首天外,ang'shou'tian'wai
昂首挺胸,ang'shou'ting'xiong
昂首望天,ang'shou'wang'tian
昂头阔步,ang'tou'kuo'bu
昂头天外,ang'tou'tian'wai
昂头挺胸,ang'tou'ting'xiong
昂霄耸壑,ang'xiao'song'he
盎盂相击,ang'yu'xiang'ji
盎盂相敲,ang'yu'xiang'qiao
嗷嗷待哺,ao'ao'dai'bu
傲不可长,ao'bu'ke'zhang
敖不可长,ao'bu'ke'zhang
熬肠刮肚,ao'chang'gua'du
熬更守夜,ao'geng'shou'ye
傲骨嶙嶙,ao'gu'lin'lin
懊悔莫及,ao'hui'mo'ji
懊悔无及,ao'hui'wu'ji
熬姜呷醋,ao'jiang'xia'cu
熬枯受淡,ao'ku'shou'dan
鳌里夺尊,ao'li'duo'zun
傲慢不逊,ao'man'bu'xun
傲慢少礼,ao'man'shao'li
傲慢无礼,ao'man'wu'li
奥妙无穷,ao'miao'wu'qiong
傲睨得志,ao'ni'de'zhi
傲睨万物,ao'ni'wan'wu
傲睨一切,ao'ni'yi'qie
傲睨一世,ao'ni'yi'shi
傲睨自若,ao'ni'zi'ruo
熬清受淡,ao'qing'shou'dan
熬清守淡,ao'qing'shou'dan
傲然挺立,ao'ran'ting'li
傲然屹立,ao'ran'yi'li
傲世轻物,ao'shi'qing'wu
傲霜斗雪,ao'shuang'dou'xue
傲头傲脑,ao'tou'ao'nao
鳌头独占,ao'tou'du'zhan
凹凸不平,ao'tu'bu'ping
傲贤慢士,ao'xian'man'shi
遨翔自得,ao'xiang'zi'de
熬心费力,ao'xin'fei'li
傲雪凌霜,ao'xue'ling'shuang
傲雪欺霜,ao'xue'qi'shuang
聱牙戟口,ao'ya'ji'kou
聱牙诘屈,ao'ya'ji'qu
聱牙诘曲,ao'ya'jie'qu
謷牙诘屈,ao'ya'jie'qu
熬油费火,ao'you'fei'huo
奥援有灵,ao'yuan'you'ling
巴巴劫劫,ba'ba'jie'jie
巴巴结结,ba'ba'jie'jie
八百孤寒,ba'bai'gu'han
八拜之交,ba'bai'zhi'jiao
拔本塞原,ba'ben'sai'yuan
把臂入林,ba'bi'ru'lin
把持不定,ba'chi'bu'ding
八窗玲珑,ba'chuang'ling'long
拔萃出类,ba'cui'chu'lei
拔萃出群,ba'cui'chu'qun
拔刀相向,ba'dao'xiang'xiang
拔刀相助,ba'dao'xiang'zhu
拔地摇山,ba'di'yao'shan
拔地倚天,ba'di'yi'tian
八斗之才,ba'dou'zhi'cai
八方风雨,ba'fang'feng'yu
八方呼应,ba'fang'hu'ying
八方支持,ba'fang'zhi'chi
八方支援,ba'fang'zhi'yuan
八府巡按,ba'fu'xun'an
八纮同轨,ba'hong'tong'gui
跋扈飞扬,ba'hu'fei'yang
跋扈恣睢,ba'hu'zi'sui
跋扈自恣,ba'hu'zi'zi
八荒之外,ba'huang'zhi'wai
拔剑论功,ba'jian'lun'gong
八街九陌,ba'jie'jiu'mo
八九不离十,ba'jiu'bu'li'shi
把酒持螯,ba'jiu'chi'ao
拔葵去织,ba'kui'qu'zhi
拔来报往,ba'lai'bao'wang
跋来报往,ba'lai'bao'wang
霸陵醉尉,ba'ling'zui'wei
跋履山川,ba'lv'shan'chuan
拔毛济世,ba'mao'ji'shi
拔毛连茹,ba'mao'lian'ru
拔茅连茹,ba'mao'lian'ru
八面见光,ba'mian'jian'guang
八面玲珑,ba'mian'ling'long
八面驶风,ba'mian'shi'feng
八面受敌,ba'mian'shou'di
八面威风,ba'mian'wei'feng
八面莹澈,ba'mian'ying'che
八面圆通,ba'mian'yuan'tong
八面张罗,ba'mian'zhang'luo
拔苗助长,ba'miao'zhu'zhang
巴前算后,ba'qian'suan'hou
跋前踬后,ba'qian'zhi'hou
拔群出萃,ba'qun'chu'cui
巴人下里,ba'ren'xia'li
巴三览四,ba'san'lan'si
拔山超海,ba'shan'chao'hai
拔山盖世,ba'shan'gai'shi
拔山扛鼎,ba'shan'gang'ding
拔山举鼎,ba'shan'ju'ding
跋山涉川,ba'shan'she'chuan
跋山涉水,ba'shan'she'shui
巴山蜀水,ba'shan'shu'shui
巴山夜雨,ba'shan'ye'yu
巴山越岭,ba'shan'yue'ling
跋涉山川,ba'she'shan'chuan
拔十得五,ba'shi'de'wu
拔十失五,ba'shi'shi'wu
拔树撼山,ba'shu'han'shan
拔树搜根,ba'shu'sou'gen
拔树寻根,ba'shu'xun'gen
八万四千,ba'wan'si'qian
把玩无厌,ba'wan'wu'yan
霸王别姬,ba'wang'bie'ji
霸王风月,ba'wang'feng'yue
拔犀擢象,ba'xi'zhuo'xiang
拔新领异,ba'xin'ling'yi
把薪助火,ba'xin'zhu'huo
八音迭奏,ba'yin'die'zou
八音遏密,ba'yin'e'mi
拔赵易汉,ba'zhao'yi'han
八珍玉食,ba'zhen'yu'shi
拔帜易帜,ba'zhi'yi'zhi
八字打开,ba'zi'da'kai
八字没一撇,ba'zi'mei'yi'pie
百般刁难,bai'ban'diao'nan
百般奉承,bai'ban'feng'cheng
百般抚慰,bai'ban'fu'wei
百般折磨,bai'ban'zhe'mo
百弊丛生,bai'bi'cong'sheng
白璧青蝇,bai'bi'qing'ying
白璧三献,bai'bi'san'xian
白璧微瑕,bai'bi'wei'xia
白璧无瑕,bai'bi'wu'xia
百步穿杨,bai'bu'chuan'yang
百不当一,bai'bu'dang'yi
百不获一,bai'bu'huo'yi
百不失一,bai'bu'shi'yi
败不旋踵,bai'bu'xuan'zhong
百不一贷,bai'bu'yi'dai
败材伤锦,bai'cai'shang'jin
白草黄云,bai'cao'huang'yun
百尺竿头,bai'chi'gan'tou
白齿青眉,bai'chi'qing'mei
百川朝海,bai'chuan'chao'hai
百川赴海,bai'chuan'fu'hai
百川归海,bai'chuan'gui'hai
拜赐之师,bai'ci'zhi'shi
百代过客,bai'dai'guo'ke
百代文宗,bai'dai'wen'zong
拜倒辕门,bai'dao'yuan'men
白丁俗客,bai'ding'su'ke
百读不厌,bai'du'bu'yan
百端待举,bai'duan'dai'ju
百端交集,bai'duan'jiao'ji
百二关河,bai'er'guan'he
百二山川,bai'er'shan'chuan
百二山河,bai'er'shan'he
百发百中,bai'fa'bai'zhong
白发苍苍,bai'fa'cang'cang
白发苍颜,bai'fa'cang'yan
白发丹心,bai'fa'dan'xin
白发红颜,bai'fa'hong'yan
败法乱纪,bai'fa'luan'ji
白发千丈,bai'fa'qian'zhang
白发青衫,bai'fa'qing'shan
白发如新,bai'fa'ru'xin
白发朱颜,bai'fa'zhu'yan
白饭青刍,bai'fan'qing'chu
百废待举,bai'fei'dai'ju
百废待兴,bai'fei'dai'xing
百废俱兴,bai'fei'ju'xing
百废具兴,bai'fei'ju'xing
百福具臻,bai'fu'ju'zhen
百感交集,bai'gan'jiao'ji
白骨露野,bai'gu'lu'ye
败鼓之皮,bai'gu'zhi'pi
百怪千奇,bai'guai'qian'qi
稗官小说,bai'guan'xiao'shuo
稗官野史,bai'guan'ye'shi
拜鬼求神,bai'gui'qiu'shen
白圭之玷,bai'gui'zhi'dian
捭阖纵横,bai'he'zong'heng
白黑分明,bai'hei'fen'ming
白虹贯日,bai'hong'guan'ri
百花齐放,bai'hua'qi'fang
百花生日,bai'hua'sheng'ri
百花争妍,bai'hua'zheng'yan
百花争艳,bai'hua'zheng'yan
白华之怨,bai'hua'zhi'yuan
百堕俱举,bai'hui'ju'ju
百卉千葩,bai'hui'qian'pa
百喙一词,bai'hui'yi'ci
百计千方,bai'ji'qian'fang
百计千谋,bai'ji'qian'mou
百计千心,bai'ji'qian'xin
白袷蓝衫,bai'jia'lan'shan
百家争鸣,bai'jia'zheng'ming
拜将封侯,bai'jiang'feng'hou
百结愁肠,bai'jie'chou'chang
百举百捷,bai'ju'bai'jie
百举百全,bai'ju'bai'quan
白驹过隙,bai'ju'guo'xi
白驹空谷,bai'ju'kong'gu
败军之将,bai'jun'zhi'jiang
百看不厌,bai'kan'bu'yan
百孔千创,bai'kong'qian'chuang
百孔千疮,bai'kong'qian'chuang
百口莫辩,bai'kou'mo'bian
百口同声,bai'kou'tong'sheng
白蜡明经,bai'la'ming'jing
百里挑一,bai'li'tiao'yi
百里之才,bai'li'zhi'cai
百炼成刚,bai'lian'cheng'gang
百炼成钢,bai'lian'cheng'gang
败鳞残甲,bai'lin'can'jia
百伶百俐,bai'ling'bai'li
百龄眉寿,bai'ling'mei'shou
败柳残花,bai'liu'can'hua
白龙鱼服,bai'long'yu'fu
白马过隙,bai'ma'guo'xi
白旄黄钺,bai'mao'huang'yue
百媚千娇,bai'mei'qian'jiao
百密一疏,bai'mi'yi'shu
白面儒生,bai'mian'ru'sheng
白面书生,bai'mian'shu'sheng
百谋千计,bai'mou'qian'ji
百年不遇,bai'nian'bu'yu
百年大计,bai'nian'da'ji
百年大业,bai'nian'da'ye
百年好合,bai'nian'hao'he
百年好事,bai'nian'hao'shi
百年难遇,bai'nian'nan'yu
百年树人,bai'nian'shu'ren
百年偕老,bai'nian'xie'lao
百年谐老,bai'nian'xie'lao
百年之好,bai'nian'zhi'hao
百年之后,bai'nian'zhi'hou
百年之业,bai'nian'zhi'ye
百年之约,bai'nian'zhi'yue
百巧成穷,bai'qiao'cheng'qiong
百巧千穷,bai'qiao'qian'qiong
百忍成金,bai'ren'cheng'jin
白日飞升,bai'ri'fei'sheng
白日见鬼,bai'ri'jian'gui
白日青天,bai'ri'qing'tian
白日上升,bai'ri'shang'sheng
白日升天,bai'ri'sheng'tian
白日衣绣,bai'ri'yi'xiu
白日作梦,bai'ri'zuo'meng
白日做梦,bai'ri'zuo'meng
白山黑水,bai'shan'hei'shui
百舍重茧,bai'she'chong'jian
百身何赎,bai'shen'he'shu
百身莫赎,bai'shen'mo'shu
百事大吉,bai'shi'da'ji
百世流芳,bai'shi'liu'fang
百事无成,bai'shi'wu'cheng
百世一人,bai'shi'yi'ren
百世之师,bai'shi'zhi'shi
白首北面,bai'shou'bei'mian
白手成家,bai'shou'cheng'jia
白首空归,bai'shou'kong'gui
白手起家,bai'shou'qi'jia
白首齐眉,bai'shou'qi'mei
白首穷经,bai'shou'qiong'jing
白首如新,bai'shou'ru'xin
白首同归,bai'shou'tong'gui
白首为郎,bai'shou'wei'lang
白首相知,bai'shou'xiang'zhi
白手兴家,bai'shou'xing'jia
白首之心,bai'shou'zhi'xin
白水鉴心,bai'shui'jian'xin
百思不解,bai'si'bu'jie
百岁千秋,bai'sui'qian'qiu
百岁之好,bai'sui'zhi'hao
百岁之后,bai'sui'zhi'hou
白天见鬼,bai'tian'jian'gui
白头到老,bai'tou'dao'lao
白头如新,bai'tou'ru'xin
白头相守,bai'tou'xiang'shou
白头偕老,bai'tou'xie'lao
白兔赤乌,bai'tu'chi'wu
百万雄兵,bai'wan'xiong'bing
百万雄师,bai'wan'xiong'shi
白往黑来,bai'wang'hei'lai
摆尾摇头,bai'wei'yao'tou
百闻不如一见,bai'wen'bu'ru'yi'jian
百问不厌,bai'wen'bu'yan
白屋寒门,bai'wu'han'men
百无禁忌,bai'wu'jin'ji
百无聊赖,bai'wu'liao'lai
百无是处,bai'wu'shi'chu
百无一堪,bai'wu'yi'kan
百无一能,bai'wu'yi'neng
百无一失,bai'wu'yi'shi
百无一是,bai'wu'yi'shi
百无一用,bai'wu'yi'yong
白屋之士,bai'wu'zhi'shi
败兴而归,bai'xing'er'gui
摆袖却金,bai'xiu'que'jin
白雪阳春,bai'xue'yang'chun
白眼相看,bai'yan'xiang'kan
百业萧条,bai'ye'xiao'tiao
百依百从,bai'yi'bai'cong
百依百顺,bai'yi'bai'shun
百依百随,bai'yi'bai'sui
白衣苍狗,bai'yi'cang'gou
白衣公卿,bai'yi'gong'qing
白衣卿相,bai'yi'qing'xiang
白衣天使,bai'yi'tian'shi
白衣秀士,bai'yi'xiu'shi
白衣宰相,bai'yi'zai'xiang
白蚁争穴,bai'yi'zheng'xue
白鱼赤乌,bai'yu'chi'wu
白鱼登舟,bai'yu'deng'zhou
白鱼入舟,bai'yu'ru'zhou
白玉微瑕,bai'yu'wei'xia
白玉无瑕,bai'yu'wu'xia
白云苍狗,bai'yun'cang'gou
白云孤飞,bai'yun'gu'fei
白云亲舍,bai'yun'qin'she
百战百败,bai'zhan'bai'bai
百战百胜,bai'zhan'bai'sheng
百战不殆,bai'zhan'bu'dai
百折不回,bai'zhe'bu'hui
百折不挠,bai'zhe'bu'nao
百折不屈,bai'zhe'bu'qu
百折千回,bai'zhe'qian'hui
白纸黑字,bai'zhi'hei'zi
百啭千声,bai'zhuan'qian'sheng
百紫千红,bai'zi'qian'hong
百纵千随,bai'zong'qian'sui
百足之虫,bai'zu'zhi'chong
半半拉拉,ban'ban'la'la
板板六十四,ban'ban'liu'shi'si
半半路路,ban'ban'lu'lu
半壁河山,ban'bi'he'shan
半壁江山,ban'bi'jiang'shan
半壁山河,ban'bi'shan'he
斑驳陆离,ban'bo'lu'li
班驳陆离,ban'bo'lu'li
半部论语,ban'bu'lun'yu
半部论语治天下,ban'bu'lun'yu'zhi'tian'xia
半筹不纳,ban'chou'bu'na
半筹莫展,ban'chou'mo'zhan
搬唇递舌,ban'chun'di'she
半懂不懂,ban'dong'bu'dong
班功行赏,ban'gong'xing'shang
半截入土,ban'jie'ru'tu
半解一知,ban'jie'yi'zhi
半斤八两,ban'jin'ba'liang
班荆道故,ban'jing'dao'gu
班荆道旧,ban'jing'dao'jiu
搬口弄舌,ban'kou'nong'she
扳龙附凤,ban'long'fu'feng
半路出家,ban'lu'chu'jia
班马文章,ban'ma'wen'zhang
班门弄斧,ban'men'nong'fu
半梦半醒,ban'meng'ban'xing
半面之交,ban'mian'zhi'jiao
半面之旧,ban'mian'zhi'jiu
搬弄是非,ban'nong'shi'fei
半青半黄,ban'qing'ban'huang
板上钉钉,ban'shang'ding'ding
半上落下,ban'shang'luo'xia
阪上走丸,ban'shang'zou'wan
半身不遂,ban'shen'bu'sui
半生半熟,ban'sheng'ban'shu
半生不熟,ban'sheng'bu'shu
班师得胜,ban'shi'de'sheng
班师回朝,ban'shi'hui'chao
伴食宰相,ban'shi'zai'xiang
半丝半缕,ban'si'ban'lv
半死不活,ban'si'bu'huo
半涂而废,ban'tu'er'fei
半途而废,ban'tu'er'fei
半推半就,ban'tui'ban'jiu
半吞半吐,ban'tun'ban'tu
半文半白,ban'wen'ban'bai
半新半旧,ban'xin'ban'jiu
半信半疑,ban'xin'ban'yi
半新不旧,ban'xin'bu'jiu
半夜三更,ban'ye'san'geng
半疑半信,ban'yi'ban'xin
斑衣戏彩,ban'yi'xi'cai
班衣戏彩,ban'yi'xi'cai
半真半假,ban'zhen'ban'jia
版筑饭牛,ban'zhu'fan'niu
蚌病成珠,bang'bing'cheng'zhu
膀大腰圆,bang'da'yao'yuan
棒打鸳鸯,bang'da'yuan'yang
傍观冷眼,bang'guan'leng'yan
邦国殄瘁,bang'guo'tian'cui
帮虎吃食,bang'hu'chi'shi
傍花随柳,bang'hua'sui'liu
傍人篱壁,bang'ren'li'bi
傍人篱落,bang'ren'li'luo
傍人门户,bang'ren'men'hu
傍若无人,bang'ruo'wu'ren
榜上无名,bang'shang'wu'ming
帮闲钻懒,bang'xian'zuan'lan
邦以民为本,bang'yi'min'wei'ben
饱谙世故,bao'an'shi'gu
包办代替,bao'ban'dai'ti
报本反始,bao'ben'fan'shi
褒贬与夺,bao'bian'yu'duo
报冰公事,bao'bing'gong'shi
抱布贸丝,bao'bu'mao'si
抱残守缺,bao'can'shou'que
抱残守阙,bao'can'shou'que
饱餐一顿,bao'can'yi'dun
包藏祸心,bao'cang'huo'xin
包藏奸心,bao'cang'jian'xin
抱诚守真,bao'cheng'shou'zhen
抱成一团,bao'cheng'yi'tuan
报仇雪耻,bao'chou'xue'chi
报仇雪恨,bao'chou'xue'hen
抱打不平,bao'da'bu'ping
包打天下,bao'da'tian'xia
宝刀不老,bao'dao'bu'lao
宝刀未老,bao'dao'wei'lao
抱法处势,bao'fa'chu'shi
暴风疾雨,bao'feng'ji'yu
抱负不凡,bao'fu'bu'fan
抱关击柝,bao'guan'ji'tuo
保国安民,bao'guo'an'min
抱恨终天,bao'hen'zhong'tian
暴虎冯河,bao'hu'ping'he
抱火卧薪,bao'huo'wo'xin
保家卫国,bao'jia'wei'guo
饱经沧桑,bao'jing'cang'sang
饱经风霜,bao'jing'feng'shuang
饱经风雨,bao'jing'feng'yu
饱经世故,bao'jing'shi'gu
包举宇内,bao'ju'yu'nei
包揽词讼,bao'lan'ci'song
抱令守律,bao'ling'shou'lv
暴露无遗,bao'lu'wu'yi
包罗万象,bao'luo'wan'xiang
包罗万有,bao'luo'wan'you
宝马香车,bao'ma'xiang'che
暴内陵外,bao'nei'ling'wai
饱暖生淫欲,bao'nuan'sheng'yin'yu
饱暖思淫欲,bao'nuan'si'yin'yu
暴虐无道,bao'nue'wu'dao
抱朴含真,bao'pu'han'zhen
褒善贬恶,bao'shan'bian'e
宝山空回,bao'shan'kong'hui
饱食暖衣,bao'shi'nuan'yi
饱食终日,bao'shi'zhong'ri
豹死留皮,bao'si'liu'pi
暴殄天物,bao'tian'tian'wu
暴跳如雷,bao'tiao'ru'lei
爆跳如雷,bao'tiao'ru'lei
抱头大哭,bao'tou'da'ku
豹头环眼,bao'tou'huan'yan
抱头鼠窜,bao'tou'shu'cuan
抱头痛哭,bao'tou'tong'ku
抱蔓摘瓜,bao'wan'zhai'gua
抱瓮灌园,bao'weng'guan'yuan
报喜不报忧,bao'xi'bu'bao'you
抱薪救火,bao'xin'jiu'huo
包羞忍耻,bao'xiu'ren'chi
饱学之士,bao'xue'zhi'shi
褒衣博带,bao'yi'bo'dai
饱以老拳,bao'yi'lao'quan
报应不爽,bao'ying'bu'shuang
抱玉握珠,bao'yu'wo'zhu
鲍鱼之肆,bao'yu'zhi'si
抱怨雪耻,bao'yuan'xue'chi
暴躁如雷,bao'zao'ru'lei
宝珠市饼,bao'zhu'shi'bing
抱柱之信,bao'zhu'zhi'xin
抱子弄孙,bao'zi'nong'sun
背暗投明,bei'an'tou'ming
背碑覆局,bei'bei'fu'ju
背本就末,bei'ben'jiu'mo
背本趋末,bei'ben'qu'mo
卑鄙龌龊,bei'bi'wo'chuo
卑鄙无耻,bei'bi'wu'chi
北鄙之声,bei'bi'zhi'sheng
悲不自胜,bei'bu'zi'sheng
卑不足道,bei'bu'zu'dao
备尝艰苦,bei'chang'jian'ku
备尝辛苦,bei'chang'xin'ku
北辰星拱,bei'chen'xing'gong
背城借一,bei'cheng'jie'yi
背城一战,bei'cheng'yi'zhan
被宠若惊,bei'chong'ruo'jing
北窗高卧,bei'chuang'gao'wo
卑辞厚币,bei'ci'hou'bi
卑辞重币,bei'ci'zhong'bi
悲从中来,bei'cong'zhong'lai
背道而驰,bei'dao'er'chi
倍道而进,bei'dao'er'jin
北道主人,bei'dao'zhu'ren
北斗之尊,bei'dou'zhi'zun
备而不用,bei'er'bu'yong
悲愤填膺,bei'fen'tian'ying
北风之恋,bei'feng'zhi'lian
背腹受敌,bei'fu'shou'di
悲歌击筑,bei'ge'ji'zhu
悲歌慷慨,bei'ge'kang'kai
杯觥交错,bei'gong'jiao'cuo
卑躬屈节,bei'gong'qu'jie
卑躬屈膝,bei'gong'qu'xi
杯弓蛇影,bei'gong'she'ying
杯弓市虎,bei'gong'shi'hu
北宫婴儿,bei'gong'ying'er
背公营私,bei'gong'ying'si
悲观厌世,bei'guan'yan'shi
北郭先生,bei'guo'xian'sheng
悲欢离合,bei'huan'li'he
背井离乡,bei'jing'li'xiang
杯酒戈矛,bei'jiu'ge'mao
杯酒释兵权,bei'jiu'shi'bing'quan
杯酒言欢,bei'jiu'yan'huan
北门南牙,bei'men'nan'ya
北门锁钥,bei'men'suo'yue
北门之寄,bei'men'zhi'ji
北面称臣,bei'mian'cheng'chen
杯茗之敬,bei'ming'zhi'jing
