挨黑打,ai'hei'da
擦黑,ca'hei
才得行了,cai'de'xing'le
踩假水,cai'jia'shui
惨耳屎,can'er'shi
藏猫儿,cang'mao'er
苍蝇儿,cang'ying'er
苍蝇儿馆子,cang'ying'er'guan'zi
苍蝇馆子,cang'ying'guan'zi
苍蝇屎,cang'ying'shi
螬虫,cao'chong
操哥,cao'ge
操社会,cao'she'hui
操油说,cao'you'shuo
草纸,cao'zhi
草猪,cao'zhu
叉叉,cha'cha
叉叉裤,cha'cha'ku
衩衩裤,cha'cha'ku
茶园乡,cha'yuan'xiang
查渣面,cha'zha'mian
铲铲,chan'chan
颤翎子,chan'ling'zi
缠头儿,chan'tou'er
场坝头,chang'ba'tou
长虫,chang'chong
唱得撇,chang'de'pie
长杆子,chang'gan'zi
长毛兔,chang'mao'tu
巢冲,chao'chong
抄得撇,chao'de'pie
超哥,chao'ge
扯把子,che'ba'zi
扯靶子,che'ba'zi
扯白撩谎,che'bai'liao'huang
车笔刀,che'bi'dao
扯布,che'bu
扯称,che'cheng
扯垛子,che'duo'zi
扯个幌子,che'ge'huang'zi
扯拐,che'guai
扯过来,che'guo'lai
车过来,che'guo'lai
扯过切,che'guo'qie
车过切,che'guo'qie
扯过去,che'guo'qu
车过去,che'guo'qu
扯横筋,che'heng'jin
扯忽闪,che'hu'shan
扯环筋,che'huan'jin
扯谎,che'huang
撤荒,che'huang
扯谎俩白,che'huang'lia'bai
扯火闪,che'huo'shan
扯筋,che'jin
扯筋郭孽,che'jin'guo'nie
扯开,che'kai
扯了,che'le
扯马股,che'ma'gu
扯仆汉,che'pu'han
扯扑汗,che'pu'han
扯脯酣,che'pu'han
扯脯鼾,che'pu'han
扯疼了,che'teng'le
车疼了,che'teng'le
扯一火,che'yi'huo
扯远点,che'yuan'dian
车远点,che'yuan'dian
扯蛛子,che'zhu'zi
车蛛子,che'zhu'zi
抻抖,chen'dou
琛过来,chen'guo'lai
嗔唤,chen'huan
琛子,chen'zi
称称头头,cheng'cheng'tou'tou
称东西,cheng'dong'xi
称抖,cheng'dou
撑唤,cheng'huan
称唤,cheng'huan
城墙倒拐,cheng'qiang'dao'guai
秤砣,cheng'tuo
逞下去,cheng'xia'qu
称展,cheng'zhan
痴吧头,chi'ba'tou
吃饱了,chi'bao'le
吃包子,chi'bao'zi
吃得下切,chi'de'xia'qie
吃多球了,chi'duo'qiu'le
尺多深,chi'duo'shen
吃嘎嘎,chi'ga'ga
痴过来,chi'guo'lai
吃胡,chi'hu
吃胡了,chi'hu'le
吃九斗碗,chi'jiu'dou'wan
吃酒碗,chi'jiu'wan
吃莽莽,chi'mang'mang
吃皮,chi'pi
吃婆婆儿饭,chi'po'po'er'fan
吃欺头,chi'qi'tou
吃球多了,chi'qiu'duo'le
吃赏午,chi'shang'wu
吃少午,chi'shao'wu
宠祸,chong'huo
冲壳壳,chong'ke'ke
冲壳子,chong'ke'zi
冲磕子,chong'ke'zi
冲屎棒,chong'shi'bang
冲天炮,chong'tian'pao
臭惨,chou'can
丑话说在前头,chou'hua'shuo'zai'qian'tou
抽活,chou'huo
出脱,chu'tuo
除脱,chu'tuo
揣起,chuai'qi
穿鼻子,chuan'bi'zi
川川,chuan'chuan
川川儿,chuan'chuan'er
穿孩子,chuan'hai'zi
川饺子油糕,chuan'jiao'zi'you'gao
川普,chuan'pu
闯鬼,chuang'gui
闯你妈个鬼哟,chuang'ni'ma'ge'gui'yo
吹壳子,chui'ke'zi
吹垮垮,chui'kua'kua
吹屎泡儿,chui'shi'pao'er
锤子,chui'zi
春饼儿,chun'bing'er
春卷儿,chun'juan'er
春台会,chun'tai'hui
戳拐,chuo'guai
戳锅漏,chuo'guo'lou
戳脱,chuo'tuo
糍粑子,ci'ba'zi
枞果朵儿,cong'guo'duo'er
枞须子,cong'xu'zi
粗箅子,cu'bi'zi
窜窜儿,cuan'cuan'er
窜耳胡,cuan'er'hu
窜瞌睡,cuan'ke'shui
存在,cun'zai
撮儿,cuo'er
打摆子,da'bai'zi
打饱嗝,da'bao'ge
大北街,da'bei'jie
打标枪,da'biao'qiang
打波,da'bo
打啵儿,da'bo'er
打冲拳,da'chong'quan
打捶,da'chui
打锤,da'chui
大大,da'da
跶倒,da'dao
打鼎锅盖,da'ding'guo'gai
打侗侗,da'dong'dong
耷耳狗,da'er'gou
打发女,da'fa'nv
打飞白,da'fei'bai
打黑猫,da'hei'mao
打伙,da'huo
打豁嗨,da'huo'hai
打键儿,da'jian'er
打金章,da'jin'zhang
打烂帐,da'lan'zhang
打烂账,da'lan'zhang
大老爷,da'lao'ye
打麻扎,da'ma'zha
打麻子眼,da'ma'zi'yan
打猫儿心肠,da'mao'er'xin'chang
打猫心肠,da'mao'xin'chang
打梦脚,da'meng'jiao
打醚头儿,da'mi'tou'er
打摩登,da'mo'deng
打平伙,da'ping'huo
达扑爬,da'pu'pa
打燃火,da'ran'huo
打丧火,da'sang'huo
打上靶,da'shang'ba
打摔手,da'shuai'shou
打霜,da'shuang
打水漂,da'shui'piao
大天白亮,da'tian'bai'liang
打望,da'wang
打王逛,da'wang'guang
打嗡咙,da'weng'long
打牙祭,da'ya'ji
打扬尘,da'yang'chen
打幺台,da'yao'tai
打一头,da'yi'tou
打圆促,da'yuan'cu
带把子,dai'ba'zi
逮猫儿,dai'mao'er
逮墙墙猫儿,dai'qiang'qiang'mao'er
单被子,dan'bei'zi
弹绷子,dan'beng'zi
但得居儿腾,dan'de'ju'er'teng
蛋烘糕,dan'hong'gao
但居儿腾,dan'ju'er'teng
蛋球疼,dan'qiu'teng
蛋球腾,dan'qiu'teng
淡瓦瓦,dan'wa'wa
淡瓦瓦的,dan'wa'wa'de
凼凼,dang'dang
当当,dang'dang
荡荡,dang'dang
荡荡头,dang'dang'tou
刀儿匠,dao'er'jiang
倒拐,dao'guai
倒拐子,dao'guai'zi
到拐子,dao'guai'zi
倒欠皮,dao'qian'pi
倒栽盅,dao'zai'zhong
叨嘴,dao'zui
道佐乡,dao'zuo'xiang
得儿啊当的,de'er'a'dang'de
得嘛好,de'ma'hao
得行呢,de'xing'ne
灯毒,deng'du
登毒,deng'du
登犊,deng'du
登读,deng'du
灯儿啊当,deng'er'a'dang
灯儿啊当卖麻糖,deng'er'a'dang'mai'ma'tang
灯竿,deng'gan
等哈哈儿,deng'ha'ha'er
灯晃,deng'huang
等一哈儿,deng'yi'ha'er
低低儿,di'di'er
低低嘎嘎,di'di'ga'ga
低低噶噶儿,di'di'ga'ga'er
滴点儿,di'dian'er
地瓜儿,di'gua'er
抵拢,di'long
抵拢倒拐,di'long'dao'guai
底下,di'xia
地转转儿,di'zhuan'zhuan'er
地转子,di'zhuan'zi
点灯儿,dian'deng'er
点都不爱惜,dian'dou'bu'ai'xi
颠转,dian'zhuan
叠子,die'zi
钉锤儿,ding'chui'er
丁到了,ding'dao'le
丁点儿,ding'dian'er
丁丁猫,ding'ding'mao
叮叮猫,ding'ding'mao
丁丁猫儿,ding'ding'mao'er
定起切,ding'qi'qie
定子,ding'zi
碇子,ding'zi
丢翻,diu'fan
冻糕,dong'gao
东睃西睃,dong'suo'xi'suo
东西太烫,dong'xi'tai'tang
豆腐帘子,dou'fu'lian'zi
逗毛,dou'mao
都求不晓得,dou'qiu'bu'xiao'de
斗是,dou'shi
豆是,dou'shi
逗是,dou'shi
都是好朋友兮,dou'shi'hao'peng'you'xi
抖耸,dou'song
豆子神,dou'zi'shen
嘟儿,du'er
短处处,duan'chu'chu
断黑,duan'hei
对到整,dui'dao'zheng
堆堆大,dui'dui'da
兑老,dui'lao
对勒嘛,dui'le'ma
对明,dui'ming
对头,dui'tou
墩子,dun'zi
多半,duo'ban
剁皮,duo'pi
多想切,duo'xiang'qie
饿痨饿虾,e'lao'e'xia
饿龙饿虾,e'long'e'xia
额楼,e'lou
峨眉山耍,e'mei'shan'shua
屙尿,e'niao
屙屎,e'shi
屙稀,e'xi
恶扎,e'zha
恩儿,en'er
恩个快,en'ge'kuai
恩脚,en'jiao
摁是,en'shi
耳巴子,er'ba'zi
二百五,er'bai'wu
二不垮五,er'bu'kua'wu
二锤,er'chui
二杆子,er'gan'zi
儿跟年,er'gen'nian
尔跟前,er'gen'qian
耳瓜子,er'gua'zi
尔合儿,er'he'er
二回,er'hui
二夹梁,er'jia'liang
二流子,er'liu'zi
二麻二麻,er'ma'er'ma
儿麻婆,er'ma'po
二盘,er'pan
尔去了,er'qu'le
耳屎你,er'shi'ni
二天,er'tian
二些年,er'xie'nian
发呱气,fa'gua'qi
发蒙,fa'meng
发梦癫,fa'meng'dian
烦造造,fan'zao'zao
反正后头,fan'zheng'hou'tou
放筏子,fang'fa'zi
放黄,fang'huang
放假得嘛,fang'jia'de'ma
纺麻姑儿,fang'ma'gu'er
方脑壳,fang'nao'ke
放帕子,fang'pa'zi
放生会,fang'sheng'hui
枋子,fang'zi
飞叉叉,fei'cha'cha
飞叉叉的,fei'cha'cha'de
肥肠血旺,fei'chang'xue'wang
肥胴胴,fei'dong'dong
飞飞儿,fei'fei'er
非几吧,fei'ji'ba
非鸡巴,fei'ji'ba
非近,fei'jin
非快,fei'kuai
非冷,fei'leng
非冷把冷,fei'leng'ba'leng
非慢,fei'man
费迁翻,fei'qian'fan
非轻,fei'qing
非求贵,fei'qiu'gui
非热把热,fei're'ba're
非痛,fei'tong
匪头子,fei'tou'zi
费头子,fei'tou'zi
非痒,fei'yang
非远,fei'yuan
非重,fei'zhong
分儿钱,fen'er'qian
粉子,fen'zi
疯扯扯,feng'che'che
风车车,feng'che'che
风车车儿,feng'che'che'er
风兜儿,feng'dou'er
疯了,feng'le
疯球了,feng'qiu'le
疯丝麻木,feng'si'ma'mu
风丝麻木,feng'si'ma'mu
风屑,feng'xie
副开,fu'kai
付你两耳屎,fu'ni'liang'er'shi
拂你两耳屎,fu'ni'liang'er'shi
夫起,fu'qi
凫上水,fu'shang'shui
桴炭儿,fu'tan'er
桴炭子,fu'tan'zi
嘠嘎,ga'ga
旮旮角角,ga'ga'jiao'jiao
该背实,gai'bei'shi
该死鸡儿球朝天,gai'si'ji'er'qiu'chao'tian
赶场,gan'chang
干灰蘑儿,gan'hui'mo'er
干豇豆,gan'jiang'dou
干精火旺,gan'jing'huo'wang
干坎,gan'kan
干啥子,gan'sha'zi
干西儿,gan'xi'er
干心儿,gan'xin'er
钢得起,gang'de'qi
搞刨,gao'bao
搞不到着,gao'bu'dao'zhe
搞不懂,gao'bu'dong
搞不醒豁,gao'bu'xing'huo
搞不赢,gao'bu'ying
搞巢,gao'chao
告哈儿,gao'ha'er
告哈撒,gao'ha'sa
搞紧,gao'jin
搞刨了,gao'pao'le
搞球,gao'qiu
搞球不懂,gao'qiu'bu'dong
搞求不醒豁,gao'qiu'bu'xing'huo
搞球不醒豁,gao'qiu'bu'xing'huo
搞球事,gao'qiu'shi
搞啥子嘛,gao'sha'zi'ma
高耸耸,gao'song'song
搞头,gao'tou
高头,gao'tou
搞眼,gao'yan
隔锅香,ge'guo'xiang
哥老倌,ge'lao'guan
哥老关,ge'lao'guan
格老子,ge'lao'zi
各人,ge'ren
咯蚤,ge'zao
格蚤,ge'zao
虼蚤,ge'zao
给你摆哈,gei'ni'bai'ha
给是哈,gei'shi'ha
跟斗儿匍爬,gen'dou'er'pu'pa
跟斗儿扑爬,gen'dou'er'pu'pa
跟了我噻,gen'le'wo'sai
跟头儿,gen'tou'er
耿直不嘛,geng'zhi'bu'ma
共过来,gong'guo'lai
弓起,gong'qi
勾兑,gou'dui
狗痂,gou'jia
狗日的,gou'ri'de
勾子,gou'zi
沟子,gou'zi
钩子,gou'zi
估倒,gu'dao
古倒,gu'dao
鼓到,gu'dao
古丁爆赞,gu'ding'bao'zan
鼓丁暴站,gu'ding'bao'zhan
鼓丁暴涨,gu'ding'bao'zhang
鼓斗,gu'dou
骨都子,gu'dou'zi
姑姑筵儿,gu'gu'yan'er
姑老爷,gu'lao'ye
咕噜子,gu'lu'zi
姑妮儿,gu'ni'er
姑尼儿,gu'ni'er
牯牛,gu'niu
姑婆,gu'po
谷子,gu'zi
瓜不兮兮,gua'bu'xi'xi
瓜不稀稀,gua'bu'xi'xi
瓜不兮兮的,gua'bu'xi'xi'de
瓜戳戳,gua'chuo'chuo
寡淡,gua'dan
瓜的翻山,gua'de'fan'shan
瓜得很,gua'de'hen
瓜儿,gua'er
寡骨脸,gua'gu'lian
挂挂钱,gua'gua'qian
挂含,gua'han
瓜了,gua'le
瓜麻批,gua'ma'pi
瓜眉瓜眼,gua'mei'gua'yan
瓜眉日眼,gua'mei'ri'yan
瓜迷瓜眼,gua'mi'gua'yan
瓜迷日眼,gua'mi'ri'yan
瓜婆娘,gua'po'niang
瓜孙儿,gua'sun'er
呱娃子,gua'wa'zi
瓜娃子,gua'wa'zi
瓜兮兮,gua'xi'xi
瓜稀稀,gua'xi'xi
瓜西西,gua'xi'xi
瓜兮兮的,gua'xi'xi'de
怪经,guai'jing
怪眉日眼,guai'mei'ri'yan
怪头扭精,guai'tou'niu'jing
罐罐鸡,guan'guan'ji
关火,guan'huo
关你球事,guan'ni'qiu'shi
关钱,guan'qian
关求他的哦,guan'qiu'ta'de'o
光巴子,guang'ba'zi
光膀膀,guang'bang'bang
光宝儿宝儿,guang'bao'er'bao'er
光叉叉,guang'cha'cha
光胴胴,guang'dong'dong
光董董,guang'dong'dong
广儿石,guang'er'shi
广耳屎,guang'er'shi
广耳石,guang'er'shi
光生,guang'sheng
鬼把你找到了,gui'ba'ni'zhao'dao'le
鬼扯,gui'che
鬼灯影儿,gui'deng'ying'er
鬼冬哥,gui'dong'ge
龟儿,gui'er
龟儿子,gui'er'zi
鬼火冲,gui'huo'chong
鬼火冒,gui'huo'mao
鬼迷鬼眼,gui'mi'gui'yan
鬼迷日眼,gui'mi'ri'yan
鬼头刀把,gui'tou'dao'ba
鬼头子,gui'tou'zi
归意,gui'yi
滚滚儿,gun'gun'er
滚龙,gun'long
滚水,gun'shui
滚烫,gun'tang
过场,guo'chang
锅魁,guo'kui
郭了,guo'le
锅裂,guo'lie
郭孽,guo'nie
哈巴狗,ha'ba'gou
哈宝儿,ha'bao'er
哈屄,ha'bi
哈波儿,ha'bo'er
哈戳戳,ha'chuo'chuo
哈绰绰,ha'chuo'chuo
哈得批爆,ha'de'pi'bao
哈儿,ha'er
哈哈去看,ha'ha'qu'kan
哈黑儿,ha'hei'er
哈猴,ha'hou
哈急姑,ha'ji'gu
哈开,ha'kai
哈老壳,ha'lao'ke
哈筢子,ha'pa'zi
哈批,ha'pi
哈起整,ha'qi'zheng
哈求老,ha'qiu'lao
哈数,ha'shu
哈子,ha'zi
骇得,hai'de
海椒,hai'jiao
害喜,hai'xi
孩子,hai'zi
憨包,han'bao
憨贝儿,han'bei'er
憨吃死涨,han'chi'si'zhang
憨口水,han'kou'shui
憨迷日眼,han'mi'ri'yan
喊你休息,han'ni'xiu'xi
夯那个,hang'na'ge
好昂,hao'ang
好吃嘴,hao'chi'zui
好吃嘴儿,hao'chi'zui'er
好多钟老,hao'duo'zhong'lao
好港,hao'gang
好黑人,hao'hei'ren
好久点儿,hao'jiu'dian'er
好孔雀哦,hao'kong'que'o
耗老官,hao'lao'guan
好没好,hao'mei'hao
好球瓜,hao'qiu'gua
好球撇,hao'qiu'pie
好生检查,hao'sheng'jian'cha
好歪,hao'wai
好凶,hao'xiong
好意思,hao'yi'si
好造孽,hao'zao'nie
耗子,hao'zi
好走得,hao'zou'de
荷包蛋,he'bao'dan
喝开开,he'kai'kai
喝麻咯,he'ma'ge
喝麻了,he'ma'le
喝死当睡着,he'si'dang'shui'zhao
黑挨球,hei'ai'qiu
黑不好得,hei'bu'hao'de
黑不溜揪,hei'bu'liu'jiu
黑不溜秋,hei'bu'liu'qiu
黑不拢耸,hei'bu'long'song
嘿惨了,hei'can'le
黑戳戳,hei'chuo'chuo
黑搓,hei'cuo
黑多件,hei'duo'jian
黑多面,hei'duo'mian
黑多男人,hei'duo'nan'ren
黑多页,hei'duo'ye
嘿多种,hei'duo'zhong
黑乖的,hei'guai'de
黑哈,hei'ha
黑灰蘑儿,hei'hui'mo'er
黑尽,hei'jin
黑起屁儿,hei'qi'pi'er
黑起屁眼,hei'qi'pi'yan
黑起事,hei'qi'shi
黑区麻拱,hei'qu'ma'gong
黑黢黢,hei'qu'qu
嘿容易,hei'rong'yi
嘿死个人,hei'si'ge'ren
黑提吗沙,hei'ti'ma'sha
黑想切,hei'xiang'qie
黑眼油,hei'yan'you
嘿唷,hei'yo
哼哄猫儿,heng'hong'mao'er
红扯扯,hong'che'che
红扯扯的,hong'che'che'de
红柑儿子,hong'gan'er'zi
烘糕,hong'gao
红灰蘑儿,hong'hui'mo'er
烘笼子,hong'long'zi
红苕,hong'shao
红苕花,hong'shao'hua
红糖冰粉,hong'tang'bing'fen
齁包儿,hou'bao'er
后颈窝,hou'jing'wo
后脑爪,hou'nao'zhao
后脑抓,hou'nao'zhua
厚皮菜,hou'pi'cai
猴秋子,hou'qiu'zi
吼人,hou'ren
吼啥子吼,hou'sha'zi'hou
吼他,hou'ta
吼头,hou'tou
后头觉得,hou'tou'jue'de
吼我,hou'wo
后抓抓,hou'zhua'zhua
后爪爪,hou'zhua'zhua
糊起糊起,hu'qi'hu'qi
花不溜揪,hua'bu'liu'jiu
花不溜秋,hua'bu'liu'qiu
划不着,hua'bu'zhao
划补着,hua'bu'zhe
化得戳,hua'de'chuo
划得着,hua'de'zhe
花儿古董,hua'er'gu'dong
花古灵当,hua'gu'ling'dang
划球不着,hua'qiu'bu'zhao
花哨,hua'shao
换得老,huan'de'lao
唤木头,huan'mu'tou
环是,huan'shi
黄坝大桥,huang'ba'da'qiao
黄帮,huang'bang
黄棒,huang'bang
黄倒住,huang'dao'zhu
黄话,huang'hua
黄脚黄手,huang'jiao'huang'shou
黄辣丁,huang'la'ding
黄老妞儿,huang'lao'niu'er
黄了,huang'le
黄师父,huang'shi'fu
黄糖,huang'tang
恍兮惚兮,huang'xi'hu'xi
灰巴拢耸,hui'ba'long'song
灰包蛋,hui'bao'dan
灰不溜揪,hui'bu'liu'jiu
灰不拢耸,hui'bu'long'song
回锅肉,hui'guo'rou
灰赖,hui'lai
回龙镇,hui'long'zhen
灰面,hui'mian
灰蘑儿,hui'mo'er
回切,hui'qie
荤豆花,hun'dou'hua
混糖锅魁,hun'tang'guo'kui
豁别个,huo'bie'ge
活毒虫,huo'du'chong
火锅粉,huo'guo'fen
豁花儿,huo'hua'er
火井镇,huo'jing'zhen
火裤儿,huo'ku'er
豁老子,huo'lao'zi
豁你,huo'ni
活腻了,huo'ni'le
豁抛,huo'pao
火炮儿,huo'pao'er
豁皮,huo'pi
豁人,huo'ren
火撒,huo'sa
火色,huo'se
活糖油糕,huo'tang'you'gao
豁我,huo'wo
豁我哦,huo'wo'o
和稀泥,huo'xi'ni
火窑裤,huo'yao'ku
鸡巴,ji'ba
鸡芭,ji'ba
鸡巴毛,ji'ba'mao
急到交,ji'dao'jiao
鸡儿,ji'er
几儿屎,ji'er'shi
鸡公,ji'gong
鸡公车,ji'gong'che
几哈,ji'ha
几哈点,ji'ha'dian
几哈儿,ji'ha'er
几娘母,ji'niang'mu
鸡婆,ji'po
鸡娃儿,ji'wa'er
几爷子,ji'ye'zi
假巴意思,jia'ba'yi'si
家不得,jia'bu'de
假打,jia'da
家搭子,jia'da'zi
家公,jia'gong
夹关镇,jia'guan'zhen
圿圿,jia'jia
夹夹,jia'jia
甲甲,jia'jia
甲甲车,jia'jia'che
架架儿,jia'jia'er
假精灵,jia'jing'ling
假老练,jia'lao'lian
家里头,jia'li'tou
夹毛拘,jia'mao'ju
假密假眼,jia'mi'jia'yan
家婆,jia'po
夹色子,jia'shai'zi
夹舌子,jia'she'zi
夹生,jia'sheng
架势,jia'shi
贾淑芬,jia'shu'fen
贾素芬,jia'su'fen
家头,jia'tou
夹子窝儿,jia'zi'wo'er
捡粑伊儿,jian'ba'yi'er
捡底,jian'di
剪脑壳,jian'nao'ke
贱皮子,jian'pi'zi
拣起,jian'qi
捡起,jian'qi
见天,jian'tian
捡相因,jian'xiang'yin
将就日,jiang'jiu'ri
焦粑儿,jiao'ba'er
脚粑手软,jiao'ba'shou'ruan
脚板,jiao'ban
脚板儿,jiao'ban'er
脚板儿苕,jiao'ban'er'shao
脚板心,jiao'ban'xin
交待儿,jiao'dai'er
脚肚子,jiao'du'zi
搅儿,jiao'er
脚杆,jiao'gan
交割,jiao'ge
煍壶,jiao'hu
叫唤,jiao'huan
叫鸡鸡,jiao'ji'ji
绞家,jiao'jia
脚脚,jiao'jiao
脚脚爪爪,jiao'jiao'zhua'zhua
角角子,jiao'jiao'zi
角角子钱,jiao'jiao'zi'qian
较劲,jiao'jin
焦苦,jiao'ku
角孽,jiao'nie
绞起,jiao'qi
搅起搅起,jiao'qi'jiao'qi
嚼舌头,jiao'she'tou
交湿,jiao'shi
焦湿,jiao'shi
脚塔,jiao'ta
脚踏,jiao'ta
交头,jiao'tou
脚弯弯,jiao'wan'wan
脚趾母儿,jiao'zhi'mu'er
脚猪,jiao'zhu
饺子抄手,jiao'zi'chao'shou
结巴,jie'ba
解大手,jie'da'shou
解手,jie'shou
街娃儿,jie'wa'er
解小手,jie'xiao'shou
接新迎子,jie'xin'ying'zi
金包卵,jin'bao'luan
紧倒,jin'dao
紧到不回来,jin'dao'bu'hui'lai
禁得整,jin'de'zheng
今年个儿,jin'nian'ge'er
今年子,jin'nian'zi
今晚夕,jin'wan'xi
进丈只吓人,jin'zhang'zhi'xia'ren
精彩不嘛,jing'cai'bu'ma
警防,jing'fang
惊风火扯,jing'feng'huo'che
京果铺,jing'guo'pu
惊叫唤,jing'jiao'huan
精叫唤,jing'jiao'huan
经叫唤,jing'jiao'huan
精灵,jing'ling
经事,jing'shi
经使,jing'shi
精瘦,jing'shou
颈项,jing'xiang
经佑,jing'you
惊爪爪,jing'zhua'zhua
经爪爪,jing'zhua'zhua
惊抓抓的,jing'zhua'zhua'de
惊爪爪的,jing'zhua'zhua'de
九斗碗,jiu'dou'wan
就愣个,jiu'leng'ge
酒米饭,jiu'mi'fan
就睡不戳,jiu'shui'bu'chuo
酒窝儿,jiu'wo'er
舅子些,jiu'zi'xie
咀了,ju'le
卷人,juan'ren
撅人,jue'ren
卡得批爆,ka'de'pi'bao
卡卡各各,ka'ka'ge'ge
卡卡角角,ka'ka'jiao'jiao
咔咔壳壳,ka'ka'ke'ke
卡腰,ka'yao
开黄腔,kai'huang'qiang
开腔,kai'qiang
看倒,kan'dao
看哈,kan'ha
坎肩子,kan'jian'zi
砍老壳,kan'lao'ke
砍脑壳,kan'nao'ke
砍脑壳的,kan'nao'ke'de
看一哈,kan'yi'ha
看一下,kan'yi'xia
拷沙罐,kao'sha'guan
烤沙罐,kao'sha'guan
靠实,kao'shi
考试得嘛,kao'shi'de'ma
考惜球,kao'xi'qiu
科不平,ke'bu'ping
磕得平,ke'de'ping
克骂,ke'ma
客妈儿,ke'ma'er
可能要且,ke'neng'yao'qie
壳膝头,ke'xi'tou
客膝头,ke'xi'tou
磕膝头,ke'xi'tou
磕膝头儿,ke'xi'tou'er
啃得,ken'de
空搞灯儿,kong'gao'deng'er
空老吹,kong'lao'chui
空了吹,kong'le'chui
孔明乡,kong'ming'xiang
孔雀,kong'que
抠的很,kou'de'hen
扣甲子窝,kou'jia'zi'wo
抠门,kou'men
跍到,ku'dao
苦毛子,ku'mao'zi
垮杆,kua'gan
快点儿,kuai'dian'er
诓人,kuang'ren
诓睡着,kuang'shui'zhao
阔到身上,kuo'dao'shen'shang
拉爆,la'bao
拉豁,la'huo
拉稀摆带,la'xi'bai'dai
来不起了哈,lai'bu'qi'le'ha
来得陡,lai'de'dou
癞疙宝,lai'ge'bao
赖嗝宝,lai'ge'bao
癞克宝,lai'ke'bao
来老索,lai'lao'suo
来尿狗儿,lai'niao'gou'er
癞皮狗儿,lai'pi'gou'er
懒虫子,lan'chong'zi
懒得烧蛇吃,lan'de'shao'she'chi
懒球的管,lan'qiu'de'guan
烂牙巴,lan'ya'ba
烂眼儿,lan'yan'er
烂帐,lan'zhang
拦中半腰,lan'zhong'ban'yao
