暗部,an'bu
音忍者村,yin'ren'zhe'cun
影分身之术,ying'fen'shen'zhi'shu
樱花冲,ying'hua'chong
油女一族,you'nv'yi'zu
油女志乃,you'nv'zhi'nai
雨忍者村,yu'ren'zhe'cun
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波一族,yu'zhi'bo'yi'zu
宇智波佐助,yu'zhi'bo'zuo'zhu
雨之国,yu'zhi'guo
猿飞一族,yuan'fei'yi'zu
月光一族,yue'guang'yi'zu
月之国,yue'zhi'guo
云隐忍者村,yun'yin'ren'zhe'cun
爪之国,zhao'zhi'guo
中忍,zhong'ren
竹取一族,zhu'qu'yi'zu
灼遁,zhuo'dun
