按规定,an'gui'ding
温度,wen'du
稳固,wen'gu
无电区,wu'dian'qu
无缝线路,wu'feng'xian'lu
物料车,wu'liao'che
吸上线,xi'shang'xian
下道后,xia'dao'hou
现场防护员,xian'chang'fang'hu'yuan
先处理,xian'chu'li
线间距离,xian'jian'ju'li
线路,xian'lu
限速,xian'su
限速地段,xian'su'di'duan
相对处,xiang'dui'chu
相连,xiang'lian
相应,xiang'ying
小型养路机械,xiao'xing'yang'lu'ji'xie
新道岔,xin'dao'cha
心轨,xin'gui
信号,xin'hao
信号灯,xin'hao'deng
信号机,xin'hao'ji
信号装置,xin'hao'zhuang'zhi
需到,xu'dao
续行间隔,xu'hang'jian'ge
巡查,xun'cha
押车,ya'che
咽喉,yan'hou
验交,yan'jiao
严禁,yan'jin
验收,yan'shou
严重,yan'zhong
养护,yang'hu
养路,yang'lu
养路机械,yang'lu'ji'xie
要求,yao'qiu
移动,yi'dong
移动减速,yi'dong'jian'su
移动路径,yi'dong'lu'jing
营业线,ying'ye'xian
永久处理,yong'jiu'chu'li
运输安全,yun'shu'an'quan
运行,yun'xing
允许,yun'xu
允许速度,yun'xu'su'du
灾害,zai'hai
增设,zeng'she
砟肩,zha'jian
站内,zhan'nei
胀轨,zhang'gui
丈量,zhang'liang
辙叉,zhe'cha
辙叉部位,zhe'cha'bu'wei
辙叉后,zhe'cha'hou
辙叉前端,zhe'cha'qian'duan
辙叉心,zhe'cha'xin
折断,zhe'duan
折损,zhe'sun
枕盒,zhen'he
整修,zheng'xiu
直股,zhi'gu
指挥,zhi'hui
直尖轨,zhi'jian'gui
支距,zhi'ju
直线,zhi'xian
直向,zhi'xiang
支柱,zhi'zhu
中部,zhong'bu
轴温监测装置,zhou'wen'jian'ce'zhuang'zhi
逐步,zhu'bu
驻站联络员,zhu'zhan'lian'luo'yuan
专管专用,zhuan'guan'zhuan'yong
专人,zhuan'ren
状态,zhuang'tai
装卸,zhuang'xie
装置,zhuang'zhi
自动闭塞,zi'dong'bi'se
资格证,zi'ge'zheng
自然灾害,zi'ran'zai'hai
综合维修,zong'he'wei'xiu
纵向,zong'xiang
钻孔,zuan'kong
作业,zuo'ye
作业标,zuo'ye'biao
作业负责人,zuo'ye'fu'ze'ren
作业区,zuo'ye'qu
作业验收,zuo'ye'yan'shou
