阿鼻地狱,a'bi'di'yu
法海无边,fa'hai'wu'bian
发号布令,fa'hao'bu'ling
发号出令,fa'hao'chu'ling
发号施令,fa'hao'shi'ling
发皇张大,fa'huang'zhang'da
发迹变泰,fa'ji'bian'tai
法家拂士,fa'jia'bi'shi
发奸擿伏,fa'jian'ti'fu
法灸神针,fa'jiu'shen'zhen
发科打诨,fa'ke'da'hun
发科打趣,fa'ke'da'qu
法力无边,fa'li'wu'bian
发聋振聩,fa'long'zhen'kui
法轮常转,fa'lun'chang'zhuan
法脉准绳,fa'mai'zhun'sheng
伐毛换髓,fa'mao'huan'sui
伐毛洗髓,fa'mao'xi'sui
发蒙解缚,fa'meng'jie'fu
发蒙解惑,fa'meng'jie'huo
发蒙启蔽,fa'meng'qi'bi
发蒙启滞,fa'meng'qi'zhi
发蒙振槁,fa'meng'zhen'gao
发蒙振聩,fa'meng'zhen'kui
发蒙振落,fa'meng'zhen'luo
发怒冲冠,fa'nu'chong'guan
发潜阐幽,fa'qian'chan'you
发人深思,fa'ren'shen'si
发人深省,fa'ren'shen'xing
发荣滋长,fa'rong'zi'zhang
发上冲冠,fa'shang'chong'guan
发上指冠,fa'shang'zhi'guan
发棠之请,fa'tang'zhi'qing
发秃齿豁,fa'tu'chi'huo
法外施仁,fa'wai'shi'ren
发无不捷,fa'wu'bu'jie
法无二门,fa'wu'er'men
法无可贷,fa'wu'ke'dai
发宪布令,fa'xian'bu'ling
发硎新试,fa'xing'xin'shi
伐性之斧,fa'xing'zhi'fu
发言盈庭,fa'yan'ying'ting
发扬踔厉,fa'yang'chuo'li
发扬蹈厉,fa'yang'dao'li
发扬光大,fa'yang'guang'da
伐异党同,fa'yi'dang'tong
罚一劝百,fa'yi'quan'bai
发引千钧,fa'yin'qian'jun
发踊冲冠,fa'yong'chong'guan
发摘奸隐,fa'zhai'jian'yin
发政施仁,fa'zheng'shi'ren
发指眦裂,fa'zhi'zi'lie
发纵指使,fa'zong'zhi'shi
发纵指示,fa'zong'zhi'shi
发综指示,fa'zong'zhi'shi
发踪指使,fa'zong'zhi'shi
发踪指示,fa'zong'zhi'shi
伐罪吊民,fa'zui'diao'min
伐罪吊人,fa'zui'diao'ren
反败为胜,fan'bai'wei'sheng
返本朝元,fan'ben'chao'yuan
返本还元,fan'ben'huan'yuan
返本还原,fan'ben'huan'yuan
返本还源,fan'ben'huan'yuan
返哺之恩,fan'bu'zhi'en
反哺之情,fan'bu'zhi'qing
凡才浅识,fan'cai'qian'shi
梵册贝叶,fan'ce'bei'ye
翻肠搅肚,fan'chang'jiao'du
翻陈出新,fan'chen'chu'xin
繁称博引,fan'cheng'bo'yin
翻唇弄舌,fan'chun'nong'she
反唇相稽,fan'chun'xiang'ji
反唇相讥,fan'chun'xiang'ji
犯而不校,fan'er'bu'jiao
犯而勿校,fan'er'wu'xiao
泛泛而谈,fan'fan'er'tan
泛泛之交,fan'fan'zhi'jiao
泛泛之人,fan'fan'zhi'ren
泛泛之谈,fan'fan'zhi'tan
贩夫贩妇,fan'fu'fan'fu
凡夫肉眼,fan'fu'rou'yan
凡夫俗子,fan'fu'su'zi
反复无常,fan'fu'wu'chang
翻复无常,fan'fu'wu'chang
贩夫皂隶,fan'fu'zao'li
贩夫走卒,fan'fu'zou'zu
反戈相向,fan'ge'xiang'xiang
反戈一击,fan'ge'yi'ji
反攻倒算,fan'gong'dao'suan
反躬自问,fan'gong'zi'wen
反躬自省,fan'gong'zi'xing
反躬自责,fan'gong'zi'ze
返观内视,fan'guan'nei'shi
返观内照,fan'guan'nei'zhao
贩官鬻爵,fan'guan'yu'jue
泛浩摩苍,fan'hao'mo'cang
繁花似锦,fan'hua'si'jin
繁华损枝,fan'hua'sun'zhi
翻黄倒皂,fan'huang'dao'zao
返魂乏术,fan'hun'fa'shu
贩贱卖贵,fan'jian'mai'gui
反间之计,fan'jian'zhi'ji
翻江倒海,fan'jiang'dao'hai
翻江搅海,fan'jiang'jiao'hai
贩交买名,fan'jiao'mai'ming
反骄破满,fan'jiao'po'man
反经合道,fan'jing'he'dao
反经合义,fan'jing'he'yi
反经行权,fan'jing'xing'quan
番窠倒臼,fan'ke'dao'jiu
反客为主,fan'ke'wei'zhu
饭坑酒囊,fan'keng'jiu'nang
翻空出奇,fan'kong'chu'qi
番来覆去,fan'lai'fu'qu
翻来覆去,fan'lai'fu'qu
返来复去,fan'lai'fu'qu
饭来口开,fan'lai'kou'kai
饭来张口,fan'lai'zhang'kou
泛滥成灾,fan'lan'cheng'zai
返老归童,fan'lao'gui'tong
返老还童,fan'lao'huan'tong
反劳为逸,fan'lao'wei'yi
饭粝茹蔬,fan'li'ru'shu
反面教员,fan'mian'jiao'yuan
反面文章,fan'mian'wen'zhang
反面无情,fan'mian'wu'qing
反目成仇,fan'mu'cheng'chou
饭囊酒瓮,fan'nang'jiu'weng
饭囊衣架,fan'nang'yi'jia
凡偶近器,fan'ou'jin'qi
返辔收帆,fan'pei'shou'fan
泛萍浮梗,fan'ping'fu'geng
反朴归真,fan'pu'gui'zhen
返朴归真,fan'pu'gui'zhen
反朴还淳,fan'pu'huan'chun
返朴还淳,fan'pu'huan'chun
返朴还真,fan'pu'huan'zhen
翻衾道枕,fan'qin'dao'zhen
反裘负刍,fan'qiu'fu'chu
反裘负薪,fan'qiu'fu'xin
饭糗茹草,fan'qiu'ru'cao
反裘伤皮,fan'qiu'shang'pi
反求诸己,fan'qiu'zhu'ji
翻然改悔,fan'ran'gai'hui
翻然改进,fan'ran'gai'jin
幡然改途,fan'ran'gai'tu
翻然改图,fan'ran'gai'tu
幡然悔悟,fan'ran'hui'wu
翻然悔悟,fan'ran'hui'wu
繁荣昌盛,fan'rong'chang'sheng
繁荣富强,fan'rong'fu'qiang
繁荣兴旺,fan'rong'xing'wang
翻山越岭,fan'shan'yue'ling
犯上作乱,fan'shang'zuo'luan
反身自问,fan'shen'zi'wen
返视内照,fan'shi'nei'zhao
反手可得,fan'shou'ke'de
饭蔬饮水,fan'shu'yin'shui
反水不收,fan'shui'bu'shou
范水模山,fan'shui'mo'shan
繁丝急管,fan'si'ji'guan
凡胎肉眼,fan'tai'rou'yan
凡胎浊骨,fan'tai'zhuo'gu
凡胎浊体,fan'tai'zhuo'ti
凡桃俗李,fan'tao'su'li
翻天蹙地,fan'tian'cu'di
翻天覆地,fan'tian'fu'di
翻天作地,fan'tian'zuo'di
反听内视,fan'ting'nei'shi
繁文末节,fan'wen'mo'jie
繁文缛节,fan'wen'ru'jie
烦文缛礼,fan'wen'ru'li
返我初服,fan'wo'chu'fu
繁弦急管,fan'xian'ji'guan
翻箱倒柜,fan'xiang'dao'gui
翻箱倒笼,fan'xiang'dao'long
翻箱倒箧,fan'xiang'dao'qie
返邪归正,fan'xie'gui'zheng
繁刑重赋,fan'xing'zhong'fu
返虚入浑,fan'xu'ru'hun
反眼不识,fan'yan'bu'shi
犯颜极谏,fan'yan'ji'jian
烦言碎辞,fan'yan'sui'ci
烦言碎语,fan'yan'sui'yu
犯言直谏,fan'yan'zhi'jian
反咬一口,fan'yao'yi'kou
翻音促节,fan'yin'cu'jie
泛应曲当,fan'ying'qu'dang
翻云覆雨,fan'yun'fu'yu
泛宅浮家,fan'zhai'fu'jia
范张鸡黍,fan'zhang'ji'shu
返照回光,fan'zhao'hui'guang
反正拨乱,fan'zheng'bo'luan
繁征博引,fan'zheng'bo'yin
反治其身,fan'zhi'qi'shen
繁枝细节,fan'zhi'xi'jie
方便之门,fang'bian'zhi'men
防不及防,fang'bu'ji'fang
防不胜防,fang'bu'sheng'fang
方骖并路,fang'can'bing'lu
方寸不乱,fang'cun'bu'luan
方寸万重,fang'cun'wan'chong
方寸已乱,fang'cun'yi'luan
方寸之地,fang'cun'zhi'di
放达不羁,fang'da'bu'ji
放诞不羁,fang'dan'bu'ji
放诞不拘,fang'dan'bu'ju
放诞风流,fang'dan'feng'liu
放荡不羁,fang'dang'bu'ji
放荡形骸,fang'dang'xing'hai
方底圆盖,fang'di'yuan'gai
放刁把滥,fang'diao'ba'lan
放刁撒泼,fang'diao'sa'po
放饭流歠,fang'fan'liu'chuo
放歌纵酒,fang'ge'zong'jiu
妨功害能,fang'gong'hai'neng
放虎归山,fang'hu'gui'shan
放虎遗患,fang'hu'yi'huan
放虎自卫,fang'hu'zi'wei
防患未萌,fang'huan'wei'meng
防患未然,fang'huan'wei'ran
放火烧山,fang'huo'shao'shan
方来未艾,fang'lai'wei'ai
芳兰竟体,fang'lan'jing'ti
放浪不羁,fang'lang'bu'ji
放浪不拘,fang'lang'bu'ju
放浪形骸,fang'lang'xing'hai
方领矩步,fang'ling'ju'bu
方领圆冠,fang'ling'yuan'guan
放龙入海,fang'long'ru'hai
放马华阳,fang'ma'hua'yang
防萌杜渐,fang'meng'du'jian
方面大耳,fang'mian'da'er
房谋杜断,fang'mou'du'duan
芳年华月,fang'nian'hua'yue
放牛归马,fang'niu'gui'ma
放辟淫侈,fang'pi'yin'chi
放僻淫轶,fang'pi'yin'yi
访贫问苦,fang'pin'wen'ku
放泼撒豪,fang'po'sa'hao
访亲问友,fang'qin'wen'you
放情丘壑,fang'qing'qiu'he
放任自流,fang'ren'zi'liu
方枘圆凿,fang'rui'yuan'zao
方枘圜凿,fang'rui'yuan'zao
方桃譬李,fang'tao'pi'li
方头不劣,fang'tou'bu'lie
方头不律,fang'tou'bu'lv
方外之国,fang'wai'zhi'guo
方外之人,fang'wai'zhi'ren
防微杜渐,fang'wei'du'jian
防微杜衅,fang'wei'du'xin
防微虑远,fang'wei'lv'yuan
放心解体,fang'xin'jie'ti
防心摄行,fang'xin'she'xing
放心托胆,fang'xin'tuo'dan
方兴未艾,fang'xing'wei'ai
方兴未已,fang'xing'wei'yi
防芽遏萌,fang'ya'e'meng
放言高论,fang'yan'gao'lun
方言矩行,fang'yan'ju'xing
放言遣辞,fang'yan'qian'ci
放眼世界,fang'yan'shi'jie
方以类聚,fang'yi'lei'ju
防意如城,fang'yi'ru'cheng
放意肆志,fang'yi'si'zhi
放鹰逐犬,fang'ying'zhu'quan
放鱼入海,fang'yu'ru'hai
方员可施,fang'yuan'ke'shi
方圆殊趣,fang'yuan'shu'qu
方凿圆枘,fang'zao'yuan'rui
方正不阿,fang'zheng'bu'e
方正之士,fang'zheng'zhi'shi
方趾圆头,fang'zhi'yuan'tou
方滋未艾,fang'zi'wei'ai
放纵不羁,fang'zong'bu'ji
放纵不拘,fang'zong'bu'ju
放纵驰荡,fang'zong'chi'dang
方足圆头,fang'zu'yuan'tou
诽谤之木,fei'bang'zhi'mu
菲才寡学,fei'cai'gua'xue
费财劳民,fei'cai'lao'min
飞苍走黄,fei'cang'zou'huang
悱恻缠绵,fei'ce'chan'mian
肥肠满脑,fei'chang'man'nao
非常之谋,fei'chang'zhi'mou
飞刍挽粒,fei'chu'wan'li
飞刍挽粮,fei'chu'wan'liang
飞刍挽粟,fei'chu'wan'su
飞刍转饷,fei'chu'zhuan'xiang
非此即彼,fei'ci'ji'bi
肥冬瘦年,fei'dong'shou'nian
蜚短流长,fei'duan'liu'chang
飞短流长,fei'duan'liu'chang
肥遁鸣高,fei'dun'ming'gao
飞遁鸣高,fei'dun'ming'gao
飞蛾赴火,fei'e'fu'huo
飞蛾赴焰,fei'e'fu'yan
飞蛾赴烛,fei'e'fu'zhu
飞蛾扑火,fei'e'pu'huo
飞蛾投火,fei'e'tou'huo
沸反连天,fei'fan'lian'tian
沸反盈天,fei'fan'ying'tian
吠非其主,fei'fei'qi'zhu
沸沸汤汤,fei'fei'tang'tang
沸沸扬扬,fei'fei'yang'yang
匪匪翼翼,fei'fei'yi'yi
非分之财,fei'fen'zhi'cai
非分之想,fei'fen'zhi'xiang
肺腑之言,fei'fu'zhi'yan
肥甘轻暖,fei'gan'qing'nuan
飞阁流丹,fei'ge'liu'dan
飞鸿踏雪,fei'hong'ta'xue
飞鸿雪爪,fei'hong'xue'zhao
飞鸿印霜,fei'hong'yin'shuang
飞鸿印雪,fei'hong'yin'xue
废话连篇,fei'hua'lian'pian
蜚黄腾达,fei'huang'teng'da
飞黄腾达,fei'huang'teng'da
飞黄腾踏,fei'huang'teng'ta
费尽心机,fei'jin'xin'ji
飞来横祸,fei'lai'heng'huo
费力劳心,fei'li'lao'xin
飞粮挽秣,fei'liang'wan'mo
飞流短长,fei'liu'duan'chang
飞龙乘云,fei'long'cheng'yun
飞龙在天,fei'long'zai'tian
飞鸾翔凤,fei'luan'xiang'feng
非驴非马,fei'lv'fei'ma
肥马轻裘,fei'ma'qing'qiu
飞谋钓谤,fei'mou'diao'bang
飞谋荐谤,fei'mou'jian'bang
飞鸟惊蛇,fei'niao'jing'she
飞蓬乘风,fei'peng'cheng'feng
飞蓬随风,fei'peng'sui'feng
蜚蓬之问,fei'peng'zhi'wen
非亲非故,fei'qin'fei'gu
废寝忘食,fei'qin'wang'shi
飞禽走兽,fei'qin'zou'shou
斐然成章,fei'ran'cheng'zhang
废然而反,fei'ran'er'fan
废然而返,fei'ran'er'fan
斐然乡风,fei'ran'xiang'feng
斐然向风,fei'ran'xiang'feng
飞沙扬砾,fei'sha'yang'li
飞砂扬砾,fei'sha'yang'li
飞砂转石,fei'sha'zhuan'shi
飞沙走砾,fei'sha'zou'li
飞沙走石,fei'sha'zou'shi
飞砂走石,fei'sha'zou'shi
飞声腾实,fei'sheng'teng'shi
菲食卑宫,fei'shi'bei'gong
菲食薄衣,fei'shi'bo'yi
匪石匪席,fei'shi'fei'xi
肺石风清,fei'shi'feng'qing
匪石之心,fei'shi'zhi'xin
废书而叹,fei'shu'er'tan
飞书走檄,fei'shu'zou'xi
飞霜六月,fei'shuang'liu'yue
废私立公,fei'si'li'gong
沸天震地,fei'tian'zhen'di
非同儿戏,fei'tong'er'xi
非同小可,fei'tong'xiao'ke
非同寻常,fei'tong'xun'chang
肥头大耳,fei'tou'da'er
肥头大面,fei'tou'da'mian
肥头胖耳,fei'tou'pang'er
飞土逐害,fei'tu'zhu'hai
飞土逐肉,fei'tu'zhu'rou
蜚瓦拔木,fei'wa'ba'mu
飞文染翰,fei'wen'ran'han
废文任武,fei'wen'ren'wu
非我族类,fei'wo'zu'lei
非昔是今,fei'xi'shi'jin
吠形吠声,fei'xing'fei'sheng
飞熊入梦,fei'xiong'ru'meng
飞眼传情,fei'yan'chuan'qing
飞檐走壁,fei'yan'zou'bi
飞檐走脊,fei'yan'zou'ji
飞扬跋扈,fei'yang'ba'hu
飞殃走祸,fei'yang'zou'huo
匪夷匪惠,fei'yi'fei'hui
非异人任,fei'yi'ren'ren
匪夷所思,fei'yi'suo'si
非意相干,fei'yi'xiang'gan
匪伊朝夕,fei'yi'zhao'xi
飞鹰奔犬,fei'ying'ben'quan
飞蝇垂珠,fei'ying'chui'zhu
吠影吠声,fei'ying'fei'sheng
蜚英腾茂,fei'ying'teng'mao
飞鹰走狗,fei'ying'zou'gou
飞鹰走马,fei'ying'zou'ma
飞鹰走犬,fei'ying'zou'quan
肥鱼大肉,fei'yu'da'rou
诽誉在俗,fei'yu'zai'su
非愚则诬,fei'yu'ze'wu
飞云掣电,fei'yun'che'dian
飞灾横祸,fei'zai'heng'huo
飞针走线,fei'zhen'zou'xian
飞珠溅玉,fei'zhu'jian'yu
粉白黛黑,fen'bai'dai'hei
粉白墨黑,fen'bai'mo'hei
分崩离析,fen'beng'li'xi
奋笔疾书,fen'bi'ji'shu
分别部居,fen'bie'bu'ju
分别门户,fen'bie'men'hu
奋不顾命,fen'bu'gu'ming
奋不顾身,fen'bu'gu'shen
忿不顾身,fen'bu'gu'shen
愤不顾身,fen'bu'gu'shen
愤不欲生,fen'bu'yu'sheng
分钗断带,fen'chai'duan'dai
分钗劈凤,fen'chai'pi'feng
分钗破镜,fen'chai'po'jing
焚巢荡穴,fen'chao'dang'xue
焚巢捣穴,fen'chao'dao'xue
分床同梦,fen'chuang'tong'meng
分寸之功,fen'cun'zhi'gong
分寸之末,fen'cun'zhi'mo
分道扬镳,fen'dao'yang'biao
焚典坑儒,fen'dian'keng'ru
分而治之,fen'er'zhi'zhi
奋发踔厉,fen'fa'chuo'li
奋发蹈厉,fen'fa'dao'li
奋发图强,fen'fa'tu'qiang
奋发有为,fen'fa'you'wei
芬芳馥郁,fen'fang'fu'yu
分房减口,fen'fang'jian'kou
忿忿不平,fen'fen'bu'ping
愤愤不平,fen'fen'bu'ping
纷纷不一,fen'fen'bu'yi
纷纷籍籍,fen'fen'ji'ji
纷纷攘攘,fen'fen'rang'rang
纷纷穰嚷,fen'fen'rang'rang
纷纷扰扰,fen'fen'rao'rao
纷纷扬扬,fen'fen'yang'yang
纷纷洋洋,fen'fen'yang'yang
纷纷拥拥,fen'fen'yong'yong
愤风惊浪,fen'feng'jing'lang
分风劈流,fen'feng'pi'liu
焚符破玺,fen'fu'po'xi
分甘共苦,fen'gan'gong'ku
分甘绝少,fen'gan'jue'shao
分甘同苦,fen'gan'tong'ku
焚膏继晷,fen'gao'ji'gui
分工合作,fen'gong'he'zuo
粉骨捐躯,fen'gu'juan'qu
粉骨糜躯,fen'gu'mi'qu
粉骨糜身,fen'gu'mi'shen
粉骨碎身,fen'gu'sui'shen
焚骨扬灰,fen'gu'yang'hui
分毫不差,fen'hao'bu'cha
分毫不取,fen'hao'bu'qu
分毫不爽,fen'hao'bu'shuang
分毫不值,fen'hao'bu'zhi
分毫无爽,fen'hao'wu'shuang
分毫析厘,fen'hao'xi'li
纷红骇绿,fen'hong'hai'lv
分花拂柳,fen'hua'fu'liu
分化瓦解,fen'hua'wa'jie
分花约柳,fen'hua'yue'liu
忿火中烧,fen'huo'zhong'shao
分家析产,fen'jia'xi'chan
分斤掰两,fen'jin'bai'liang
分金掰两,fen'jin'bai'liang
分斤拨两,fen'jin'bo'liang
分进合击,fen'jin'he'ji
分居异爨,fen'ju'yi'cuan
焚枯食淡,fen'ku'shi'dan
分劳赴功,fen'lao'fu'gong
分厘毫丝,fen'li'hao'si
焚林而猎,fen'lin'er'lie
焚林而狩,fen'lin'er'shou
焚林而田,fen'lin'er'tian
焚林而畋,fen'lin'er'tian
焚林竭泽,fen'lin'jie'ze
分路扬镳,fen'lu'yang'biao
纷乱如麻,fen'luan'ru'ma
分茅裂土,fen'mao'lie'tu
分茅胙土,fen'mao'zuo'tu
奋袂而起,fen'mei'er'qi
分门别户,fen'men'bie'hu
分门别类,fen'men'bie'lei
粉面含春,fen'mian'han'chun
粉面油头,fen'mian'you'tou
粉面朱唇,fen'mian'zhu'chun
分秒必争,fen'miao'bi'zheng
粉墨登场,fen'mo'deng'chang
分内之事,fen'nei'zhi'shi
分朋引类,fen'peng'yin'lei
分贫振穷,fen'pin'zhen'qiong
奋起直追,fen'qi'zhi'zhui
焚琴鬻鹤,fen'qin'yu'he
焚琴煮鹤,fen'qin'zhu'he
分情破爱,fen'qing'po'ai
忿然作色,fen'ran'zuo'se
愤然作色,fen'ran'zuo'se
分三别两,fen'san'bie'liang
奋身不顾,fen'shen'bu'gu
粉身灰骨,fen'shen'hui'gu
分身减口,fen'shen'jian'kou
粉身碎骨,fen'shen'sui'gu
分身无术,fen'shen'wu'shu
忿世嫉俗,fen'shi'ji'su
愤世嫉俗,fen'shi'ji'su
愤世疾俗,fen'shi'ji'su
愤时疾俗,fen'shi'ji'su
愤世疾邪,fen'shi'ji'xie
粉饰太平,fen'shi'tai'ping
焚尸扬灰,fen'shi'yang'hui
分守要津,fen'shou'yao'jin
焚书坑儒,fen'shu'keng'ru
分丝析缕,fen'si'xi'lv
焚薮而田,fen'sou'er'tian
分条析理,fen'tiao'xi'li
分庭伉礼,fen'ting'kang'li
分庭抗礼,fen'ting'kang'li
粪土不如,fen'tu'bu'ru
分外妖娆,fen'wai'yao'rao
分文不名,fen'wen'bu'ming
分文不取,fen'wen'bu'qu
分文不值,fen'wen'bu'zhi
分文不直,fen'wen'bu'zhi
分文未取,fen'wen'wei'qu
分我杯羹,fen'wo'bei'geng
奋武扬威,fen'wu'yang'wei
焚香顶礼,fen'xiang'ding'li
焚香礼拜,fen'xiang'li'bai
分香卖履,fen'xiang'mai'lv
焚香膜拜,fen'xiang'mo'bai
焚香扫地,fen'xiang'sao'di
分宵达曙,fen'xiao'da'shu
分心挂腹,fen'xin'gua'fu
分星拨两,fen'xing'bo'liang
分星擘两,fen'xing'bo'liang
分形共气,fen'xing'gong'qi
分形连气,fen'xing'lian'qi
分形同气,fen'xing'tong'qi
分烟析产,fen'yan'xi'chan
分烟析生,fen'yan'xi'sheng
奋勇当先,fen'yong'dang'xian
纷纭杂沓,fen'yun'za'ta
分章析句,fen'zhang'xi'ju
纷至沓来,fen'zhi'ta'lai
纷至踏来,fen'zhi'ta'lai
焚舟破釜,fen'zhou'po'fu
粉妆玉砌,fen'zhuang'yu'qi
粉妆玉琢,fen'zhuang'yu'zhuo
粉装玉琢,fen'zhuang'yu'zhuo
丰标不凡,feng'biao'bu'fan
凤表龙姿,feng'biao'long'zi
风兵草甲,feng'bing'cao'jia
凤泊鸾漂,feng'bo'luan'piao
凤泊鸾飘,feng'bo'luan'piao
风波平地,feng'bo'ping'di
锋不可当,feng'bu'ke'dang
风不鸣条,feng'bu'ming'tiao
蜂猜蝶觑,feng'cai'die'qu
凤采鸾章,feng'cai'luan'zhang
风餐露宿,feng'can'lu'su
风餐水宿,feng'can'shui'su
风餐雨宿,feng'can'yu'su
丰草长林,feng'cao'chang'lin
蜂虿起怀,feng'chai'qi'huai
蜂虿有毒,feng'chai'you'du
蜂虿之祸,feng'chai'zhi'huo
风僝雨僽,feng'chan'yu'zhou
逢场竿木,feng'chang'gan'mu
逢场游戏,feng'chang'you'xi
逢场作乐,feng'chang'zuo'le
逢场作趣,feng'chang'zuo'qu
逢场作戏,feng'chang'zuo'xi
风掣雷行,feng'che'lei'xing
风车雨马,feng'che'yu'ma
风车云马,feng'che'yun'ma
风尘表物,feng'chen'biao'wu
风尘碌碌,feng'chen'lu'lu
风尘仆仆,feng'chen'pu'pu
风尘外物,feng'chen'wai'wu
风尘物表,feng'chen'wu'biao
风尘之变,feng'chen'zhi'bian
风尘之会,feng'chen'zhi'hui
风尘之惊,feng'chen'zhi'jing
风尘之警,feng'chen'zhi'jing
风尘之声,feng'chen'zhi'sheng
风尘之言,feng'chen'zhi'yan
风驰草靡,feng'chi'cao'mi
风驰电掣,feng'chi'dian'che
风驰电骋,feng'chi'dian'cheng
风驰电赴,feng'chi'dian'fu
风驰电击,feng'chi'dian'ji
风驰电卷,feng'chi'dian'juan
风驰电逝,feng'chi'dian'shi
风驰霆击,feng'chi'ting'ji
风驰雨骤,feng'chi'yu'zhou
风驰云卷,feng'chi'yun'juan
风驰云走,feng'chi'yun'zou
凤愁鸾怨,feng'chou'luan'yuan
凤雏麟子,feng'chu'lin'zi
风吹草动,feng'chui'cao'dong
风吹浪打,feng'chui'lang'da
风吹马耳,feng'chui'ma'er
