暗井,an'jing
矿井通风系统总阻力的计算,kuang'jing'tong'feng'xi'tong'zong'zu'li'de'ji'suan
矿区,kuang'qu
矿区概述,kuang'qu'gai'shu
矿山压力,kuang'shan'ya'li
矿震,kuang'zhen
立井,li'jing
裂缝带,lie'feng'dai
埋管注氮,mai'guan'zhu'dan
冒顶,mao'ding
煤层,mei'ceng
煤层地质特征,mei'ceng'di'zhi'te'zheng
煤层特征,mei'ceng'te'zheng
煤层柱状图,mei'ceng'zhu'zhuang'tu
煤尘爆炸,mei'chen'bao'zha
煤尘爆炸措施,mei'chen'bao'zha'cuo'shi
煤巷,mei'xiang
煤质,mei'zhi
牌号,pai'hao
炮采工作面,pao'cai'gong'zuo'mian
喷浆,pen'jiang
片帮,pian'bang
破碎顶板,po'sui'ding'ban
气候条件,qi'hou'tiao'jian
其他事故的预防,qi'ta'shi'gu'de'yu'fang
倾向,qing'xiang
倾向性,qing'xiang'xing
倾斜煤层,qing'xie'mei'ceng
人口分布,ren'kou'fen'bu
三软,san'ruan
上覆岩层,shang'fu'yan'ceng
设备配套,she'bei'pei'tao
设计生产能力,she'ji'sheng'chan'neng'li
渗透性,shen'tou'xing
生产系统,sheng'chan'xi'tong
适应性,shi'ying'xing
水文地质,shui'wen'di'zhi
松散含水层,song'san'han'shui'ceng
条带开采,tiao'dai'kai'cai
通风计算,tong'feng'ji'suan
通风设备,tong'feng'she'bei
通风设计,tong'feng'she'ji
通风系统,tong'feng'xi'tong
透气性,tou'qi'xing
突水,tu'shui
瓦斯爆炸,wa'si'bao'zha
围岩,wei'yan
陷落柱,xian'luo'zhu
斜井,xie'jing
选型设计,xuan'xing'she'ji
选择矿井通风设备,xuan'ze'kuang'jing'tong'feng'she'bei
岩爆,yan'bao
掩护式液压支架,yan'hu'shi'ye'ya'zhi'jia
岩浆岩,yan'jiang'yan
沿空巷道,yan'kong'hang'dao
岩巷,yan'xiang
液压支架,ye'ya'zhi'jia
移动,yi'dong
预防,yu'fang
预防水患,yu'fang'shui'huan
预防瓦斯,yu'fang'wa'si
运输,yun'shu
运输事故,yun'shu'shi'gu
运输巷,yun'shu'xiang
支承压力,zhi'cheng'ya'li
中厚煤层,zhong'hou'mei'ceng
主要开拓巷道,zhu'yao'kai'tuo'hang'dao
专科,zhuan'ke
自燃,zi'ran
自燃性,zi'ran'xing
综采工作面,zong'cai'gong'zuo'mian
走向,zou'xiang
