阿拉伯数字,a'la'bo'shu'zi
底面,di'mian
定积分,ding'ji'fen
定价,ding'jia
定理,ding'li
定量,ding'liang
定义域,ding'yi'yu
度量,du'liang
短除法,duan'chu'fa
对称轴,dui'chen'zhou
对角线,dui'jiao'xian
对数,dui'shu
钝角,dun'jiao
钝角三角形,dun'jiao'san'jiao'xing
多边形,duo'bian'xing
多面体,duo'mian'ti
多位数,duo'wei'shu
多项式,duo'xiang'shi
二倍角公式,er'bei'jiao'gong'shi
二次方,er'ci'fang
二次方程,er'ci'fang'cheng
二次方根,er'ci'fang'gen
二次函数,er'ci'han'shu
二次曲线轴截距,er'ci'qu'xian'zhou'jie'ju
二进制,er'jin'zhi
二面角,er'mian'jiao
二十面体,er'shi'mian'ti
泛函分析,fan'han'fen'xi
反余割,fan'yu'ge
反余切,fan'yu'qie
反余弦,fan'yu'xian
反正割,fan'zheng'ge
反正切,fan'zheng'qie
反正弦,fan'zheng'xian
方差,fang'cha
方程式,fang'cheng'shi
方程组,fang'cheng'zu
方位角,fang'wei'jiao
非负整数,fei'fu'zheng'shu
非欧几何,fei'ou'ji'he
非正态分布,fei'zheng'tai'fen'bu
分半方法,fen'ban'fang'fa
分布,fen'bu
分层抽样,fen'ceng'chou'yang
分母,fen'mu
分数,fen'shu
分数混算,fen'shu'hun'suan
分数转百分数,fen'shu'zhuan'bai'fen'shu
分数转小数,fen'shu'zhuan'xiao'shu
分子,fen'zi
复数,fu'shu
概率,gai'lv
概率论,gai'lv'lun
根式,gen'shi
公倍数,gong'bei'shu
公理,gong'li
公式,gong'shi
公因子,gong'yin'zi
勾股定理,gou'gu'ding'li
古代计时工具,gu'dai'ji'shi'gong'ju
古代记时工具,gu'dai'ji'shi'gong'ju
古代记数方法,gu'dai'ji'shu'fang'fa
古代数字,gu'dai'shu'zi
轨迹,gui'ji
函数,han'shu
函数的图象,han'shu'de'tu'xiang
函数论,han'shu'lun
行列式,hang'lie'shi
合成数,he'cheng'shu
横坐标,heng'zuo'biao
互斥事件,hu'chi'shi'jian
弧度,hu'du
或然率,huo'ran'lv
既不充分也不必要条件,ji'bu'chong'fen'ye'bu'bi'yao'tiao'jian
基础混算乘法,ji'chu'hun'suan'cheng'fa
基础混算除法,ji'chu'hun'suan'chu'fa
基础混算加法,ji'chu'hun'suan'jia'fa
基础混算减法,ji'chu'hun'suan'jian'fa
基础数学,ji'chu'shu'xue
基础四则混算,ji'chu'si'ze'hun'suan
积分,ji'fen
奇函数,ji'han'shu
几何,ji'he
集合,ji'he
集合论,ji'he'lun
几何平均数,ji'he'ping'jun'shu
几何学,ji'he'xue
奇偶性,ji'ou'xing
奇数,ji'shu
级数,ji'shu
计数,ji'shu
计算,ji'suan
计算器,ji'suan'qi
计算数学,ji'suan'shu'xue
极限,ji'xian
加法,jia'fa
假分数,jia'fen'shu
加权平均数,jia'quan'ping'jun'shu
假设,jia'she
加数,jia'shu
简单随机抽样,jian'dan'sui'ji'chou'yang
减法,jian'fa
减函数,jian'han'shu
建立空间直角坐标系,jian'li'kong'jian'zhi'jiao'zuo'biao'xi
减少,jian'shao
减数,jian'shu
角度,jiao'du
交换律,jiao'huan'lv
交集,jiao'ji
阶乘,jie'cheng
结合律,jie'he'lv
截距,jie'ju
截尾,jie'wei
解析式,jie'xi'shi
解一元线性方程,jie'yi'yuan'xian'xing'fang'cheng
近似值,jin'si'zhi
进位,jin'wei
九边形,jiu'bian'xing
九面体,jiu'mian'ti
矩形,ju'xing
矩阵,ju'zhen
绝对值,jue'dui'zhi
开方,kai'fang
空集,kong'ji
空间,kong'jian
空间形式,kong'jian'xing'shi
括号,kuo'hao
棱台,leng'tai
棱柱,leng'zhu
棱柱的侧面展开图,leng'zhu'de'ce'mian'zhan'kai'tu
棱锥,leng'zhui
立方,li'fang
立方根,li'fang'gen
立方体,li'fang'ti
离散型随机变量分布列,li'san'xing'sui'ji'bian'liang'fen'bu'lie
两直线平行,liang'zhi'xian'ping'xing
菱形,ling'xing
六边形,liu'bian'xing
六面体,liu'mian'ti
六面体菱形,liu'mian'ti'ling'xing
逻辑推理,luo'ji'tui'li
逻辑性,luo'ji'xing
罗马数字,luo'ma'shu'zi
面积,mian'ji
命题,ming'ti
内错角,nei'cuo'jiao
内错角相等,nei'cuo'jiao'xiang'deng
内切圆,nei'qie'yuan
内心,nei'xin
逆否命题,ni'fou'ming'ti
偶函数,ou'han'shu
欧几里德,ou'ji'li'de
偶数,ou'shu
排列,pai'lie
旁心,pang'xin
抛物线,pao'wu'xian
平方,ping'fang
平方根,ping'fang'gen
平角,ping'jiao
平均数,ping'jun'shu
平面的法向量,ping'mian'de'fa'xiang'liang
平行,ping'xing
平行六面体,ping'xing'liu'mian'ti
平行四边形,ping'xing'si'bian'xing
七边形,qi'bian'xing
七面体,qi'mian'ti
期望,qi'wang
千万,qian'wan
切线方程,qie'xian'fang'cheng
区间,qu'jian
曲线统计图,qu'xian'tong'ji'tu
取值范围,qu'zhi'fan'wei
全等,quan'deng
如图建立空间直角坐标系,ru'tu'jian'li'kong'jian'zhi'jiao'zuo'biao'xi
锐角,rui'jiao
锐角三角形,rui'jiao'san'jiao'xing
三垂线定理,san'chui'xian'ding'li
三次方,san'ci'fang
三次方程,san'ci'fang'cheng
三次方根,san'ci'fang'gen
三角,san'jiao
三角形,san'jiao'xing
三角学,san'jiao'xue
三位数,san'wei'shu
扇形,shan'xing
扇形统计图,shan'xing'tong'ji'tu
射线,she'xian
十边形,shi'bian'xing
十二边形,shi'er'bian'xing
十二面体,shi'er'mian'ti
十进制,shi'jin'zhi
十六进制,shi'liu'jin'zhi
十面体,shi'mian'ti
实数,shi'shu
十万,shi'wan
十一边形,shi'yi'bian'xing
十一面体,shi'yi'mian'ti
适用性,shi'yong'xing
售价,shou'jia
数理逻辑,shu'li'luo'ji
数理统计,shu'li'tong'ji
数量关系,shu'liang'guan'xi
数列,shu'lie
数论,shu'lun
数学,shu'xue
数学归纳法,shu'xue'gui'na'fa
数学家,shu'xue'jia
数字,shu'zi
数字符号,shu'zi'fu'hao
数字排序,shu'zi'pai'xu
双曲线,shuang'qu'xian
双数,shuang'shu
四边形,si'bian'xing
四次方,si'ci'fang
四次方程,si'ci'fang'cheng
四次方根,si'ci'fang'gen
四面体,si'mian'ti
四舍五入,si'she'wu'ru
四位数,si'wei'shu
四则计算,si'ze'ji'suan
算盘,suan'pan
算术,suan'shu
算术平均数,suan'shu'ping'jun'shu
体积,ti'ji
梯形,ti'xing
天文学,tian'wen'xue
条形统计图,tiao'xing'tong'ji'tu
统计,tong'ji
统计学,tong'ji'xue
统计学量度分布,tong'ji'xue'liang'du'fen'bu
统计学量度集中趋势,tong'ji'xue'liang'du'ji'zhong'qu'shi
统计学量度离差,tong'ji'xue'liang'du'li'cha
统计学统计图表,tong'ji'xue'tong'ji'tu'biao
统计学正态分布,tong'ji'xue'zheng'tai'fen'bu
同角三角函数的基本关系式,tong'jiao'san'jiao'han'shu'de'ji'ben'guan'xi'shi
同旁内角,tong'pang'nei'jiao
同旁内角互补,tong'pang'nei'jiao'hu'bu
同位角,tong'wei'jiao
通项公式,tong'xiang'gong'shi
图表,tu'biao
图象,tu'xiang
图象关于原点对称,tu'xiang'guan'yu'yuan'dian'dui'chen
凸性,tu'xing
图形面积,tu'xing'mian'ji
图形周界,tu'xing'zhou'jie
退位,tui'wei
拓扑结构,tuo'pu'jie'gou
拓扑学,tuo'pu'xue
椭圆,tuo'yuan
外切圆,wai'qie'yuan
外心,wai'xin
微分,wei'fen
微分方程,wei'fen'fang'cheng
微积分,wei'ji'fen
未知数,wei'zhi'shu
五边形,wu'bian'xing
无理数,wu'li'shu
五面体,wu'mian'ti
无穷大,wu'qiong'da
无穷小,wu'qiong'xiao
五位数,wu'wei'shu
系数,xi'shu
系统抽样,xi'tong'chou'yang
现代计算工具,xian'dai'ji'suan'gong'ju
现代数学,xian'dai'shu'xue
线段,xian'duan
线面所成角,xian'mian'suo'cheng'jiao
线性规划,xian'xing'gui'hua
相互独立事件,xiang'hu'du'li'shi'jian
相交,xiang'jiao
相似,xiang'si
相位,xiang'wei
象限,xiang'xian
小数,xiao'shu
小数点,xiao'shu'dian
小数混算,xiao'shu'hun'suan
小数转百分数,xiao'shu'zhuan'bai'fen'shu
小于,xiao'yu
小于等于,xiao'yu'deng'yu
斜边,xie'bian
序结构,xu'jie'gou
序列,xu'lie
虚数,xu'shu
旋转,xuan'zhuan
循环小数,xun'huan'xiao'shu
一次方程,yi'ci'fang'cheng
异面直线,yi'mian'zhi'xian
因式分解,yin'shi'fen'jie
因子,yin'zi
映射,ying'she
应用数学,ying'yong'shu'xue
诱导公式,you'dao'gong'shi
有理数,you'li'shu
有向数,you'xiang'shu
余割,yu'ge
余切,yu'qie
余弦,yu'xian
余弦定理,yu'xian'ding'li
原点,yuan'dian
元素,yuan'su
圆台,yuan'tai
圆心,yuan'xin
圆周,yuan'zhou
圆周率,yuan'zhou'lv
圆柱,yuan'zhu
圆锥,yuan'zhui
运筹学,yun'chou'xue
运算,yun'suan
运算符,yun'suan'fu
增函数,zeng'han'shu
增加,zeng'jia
折扣,zhe'kou
折线统计图,zhe'xian'tong'ji'tu
真分数,zhen'fen'shu
振幅,zhen'fu
真子集,zhen'zi'ji
整除性,zheng'chu'xing
正多边形,zheng'duo'bian'xing
正方形,zheng'fang'xing
正割,zheng'ge
证明,zheng'ming
正切,zheng'qie
整数,zheng'shu
正态分布,zheng'tai'fen'bu
正弦,zheng'xian
正弦定理,zheng'xian'ding'li
直角,zhi'jiao
直角边,zhi'jiao'bian
直角三角形,zhi'jiao'san'jiao'xing
直角梯形,zhi'jiao'ti'xing
直径,zhi'jing
指数,zhi'shu
质数,zhi'shu
直线方程,zhi'xian'fang'cheng
直线斜率,zhi'xian'xie'lv
直线与平面所成的角,zhi'xian'yu'ping'mian'suo'cheng'de'jiao
直线轴截距,zhi'xian'zhou'jie'ju
值域,zhi'yu
中国数字,zhong'guo'shu'zi
中心,zhong'xin
重心,zhong'xin
周长,zhou'chang
轴对称,zhou'dui'chen
轴对称图形,zhou'dui'chen'tu'xing
周角,zhou'jiao
周期,zhou'qi
周期函数,zhou'qi'han'shu
周期性,zhou'qi'xing
珠算,zhu'suan
柱形统计图,zhu'xing'tong'ji'tu
子集,zi'ji
自然数,zi'ran'shu
纵坐标,zong'zuo'biao
组合,zu'he
最大公因子,zui'da'gong'yin'zi
最大值,zui'da'zhi
最小公倍数,zui'xiao'gong'bei'shu
最小正周期,zui'xiao'zheng'zhou'qi
最小值,zui'xiao'zhi
坐标几何学,zuo'biao'ji'he'xue
坐标系,zuo'biao'xi
坐标轴,zuo'biao'zhou
