阿奎那,a'kui'na
李龙,li'long
李慎之,li'shen'zhi
历史法学,li'shi'fa'xue
历史法学派,li'shi'fa'xue'pai
历史阶段,li'shi'jie'duan
历史类型,li'shi'lei'xing
理性,li'xing
理性主义,li'xing'zhu'yi
利益法学,li'yi'fa'xue
李正华,li'zheng'hua
连带责任,lian'dai'ze'ren
联合国国际货物销售合同公约,lian'he'guo'guo'ji'huo'wu'xiao'shou'he'tong'gong'yue
两大法系,liang'da'fa'xi
梁慧星,liang'hui'xing
量刑,liang'xing
梁治平,liang'zhi'ping
林来梵,lin'lai'fan
领海及毗连区法,ling'hai'ji'pi'lian'qu'fa
灵活性,ling'huo'xing
领事关系法,ling'shi'guan'xi'fa
领土,ling'tu
领土主权,ling'tu'zhu'quan
刘恒,liu'heng
刘军宁,liu'jun'ning
刘明祥,liu'ming'xiang
刘仁文,liu'ren'wen
流通物,liu'tong'wu
刘武俊,liu'wu'jun
刘小枫,liu'xiao'feng
刘星,liu'xing
留置权,liu'zhi'quan
刘作翔,liu'zuo'xiang
龙,long
龙勃罗梭,long'bo'luo'suo
龙卫球,long'wei'qiu
龙宗智,long'zong'zhi
路德,lu'de
卢梭,lu'suo
鲁英,lu'ying
逻辑结构,luo'ji'jie'gou
洛克,luo'ke
罗马法,luo'ma'fa
罗马法系,luo'ma'fa'xi
律师法,lv'shi'fa
律师协会,lv'shi'xie'hui
律师职业道德,lv'shi'zhi'ye'dao'de
律师执业行为规范,lv'shi'zhi'ye'xing'wei'gui'fan
律师职业责任,lv'shi'zhi'ye'ze'ren
履行抗辩权,lv'xing'kang'bian'quan
吕岩峰,lv'yan'feng
吕忠梅,lv'zhong'mei
马长山,ma'chang'shan
马基,ma'ji
马基雅弗利,ma'ji'ya'fu'li
马克思主义,ma'ke'si'zhu'yi
马里,ma'li
马里旦,ma'li'dan
迈霍费尔,mai'huo'fei'er
曼昆,man'kun
美国宪法,mei'guo'xian'fa
梅因,mei'yin
密尔,mi'er
免责条件,mian'ze'tiao'jian
民法,min'fa
民法典,min'fa'dian
民法通则,min'fa'tong'ze
民间法,min'jian'fa
民商法,min'shang'fa
民商经济法,min'shang'jing'ji'fa
民商事案件,min'shang'shi'an'jian
民事权利,min'shi'quan'li
民事权利能力,min'shi'quan'li'neng'li
民事诉讼,min'shi'su'song
民事诉讼法,min'shi'su'song'fa
民事诉讼证据,min'shi'su'song'zheng'ju
民事行为能力,min'shi'xing'wei'neng'li
民诉,min'su
民用航空法,min'yong'hang'kong'fa
民主,min'zhu
民主政治,min'zhu'zheng'zhi
民族区域自治法,min'zu'qu'yu'zi'zhi'fa
明德慎罚,ming'de'shen'fa
名誉权,ming'yu'quan
莫纪宏,mo'ji'hong
没收财产,mo'shou'cai'chan
目录,mu'lu
慕亚平,mu'ya'ping
尼泊尔保护文学和艺术作品公约,ni'bo'er'bao'hu'wen'xue'he'yi'shu'zuo'pin'gong'yue
农村承包经营户,nong'cun'cheng'bao'jing'ying'hu
农村土地承包法,nong'cun'tu'di'cheng'bao'fa
诺成性行为,nuo'cheng'xing'xing'wei
诺思,nuo'si
挪用公款,nuo'yong'gong'kuan
挪用公款罪,nuo'yong'gong'kuan'zui
女权主义法学,nv'quan'zhu'yi'fa'xue
拍卖法,pai'mai'fa
潘恩,pan'en
判决书,pan'jue'shu
判例,pan'li
判例法,pan'li'fa
庞德,pang'de
陪审制度,pei'shen'zhi'du
批复,pi'fu
批判法学,pi'pan'fa'xue
票据法,piao'ju'fa
破产法,po'chan'fa
普通程序,pu'tong'cheng'xu
普通法,pu'tong'fa
普通法系,pu'tong'fa'xi
普通犯罪,pu'tong'fan'zui
漆多俊,qi'duo'jun
期间,qi'jian
起诉,qi'su
期限,qi'xian
企业破产法,qi'ye'po'chan'fa
强,qiang
抢劫罪,qiang'jie'zui
强世功,qiang'shi'gong
强制措施,qiang'zhi'cuo'shi
乔新生,qiao'xin'sheng
侵犯商业秘密行为,qin'fan'shang'ye'mi'mi'xing'wei
亲告罪,qin'gao'zui
秦晖,qin'hui
侵权,qin'quan
侵权行为,qin'quan'xing'wei
清末预备立宪,qing'mo'yu'bei'li'xian
请求权,qing'qiu'quan
清算人,qing'suan'ren
轻罪,qing'zui
邱永红,qiu'yong'hong
取保候审,qu'bao'hou'shen
区际法律,qu'ji'fa'lv
区际司法冲突,qu'ji'si'fa'chong'tu
区际司法协助,qu'ji'si'fa'xie'zhu
瞿同祖,qu'tong'zu
驱逐出境,qu'zhu'chu'jing
全国人大常委会,quan'guo'ren'da'chang'wei'hui
全国人大常委会法制工作委员,quan'guo'ren'da'chang'wei'hui'fa'zhi'gong'zuo'wei'yuan
全国人民代表大会和地方各级人民代表大会选举法,quan'guo'ren'min'dai'biao'da'hui'he'di'fang'ge'ji'ren'min'dai'biao'da'hui'xuan'ju'fa
全国人民代表大会组织法,quan'guo'ren'min'dai'biao'da'hui'zu'zhi'fa
权利,quan'li
权力机关,quan'li'ji'guan
权利竞合,quan'li'jing'he
权利能力,quan'li'neng'li
权利义务,quan'li'yi'wu
缺席判决,que'xi'pan'jue
认定,ren'ding
人权,ren'quan
人权宣言,ren'quan'xuan'yan
人身权,ren'shen'quan
人治,ren'zhi
融资租赁合同,rong'zi'zu'lin'he'tong
儒家思想,ru'jia'si'xiang
萨维尼,sa'wei'ni
三国法,san'guo'fa
三联书店,san'lian'shu'dian
三权分立,san'quan'fen'li
山东大学,shan'dong'da'xue
山东大学法学院,shan'dong'da'xue'fa'xue'yuan
商标法,shang'biao'fa
商法,shang'fa
上市公司,shang'shi'gong'si
商事关系,shang'shi'guan'xi
上诉,shang'su
上诉案件,shang'su'an'jian
商务印书馆,shang'wu'yin'shu'guan
商业贿赂行为,shang'ye'hui'lu'xing'wei
商业银行法,shang'ye'yin'hang'fa
社会法,she'hui'fa
社会法学,she'hui'fa'xue
社会法学派,she'hui'fa'xue'pai
社会规范,she'hui'gui'fan
社会体系,she'hui'ti'xi
社会主义,she'hui'zhu'yi
社会主义法治国家,she'hui'zhu'yi'fa'zhi'guo'jia
社会组织,she'hui'zu'zhi
涉外民商事案件,she'wai'min'shang'shi'an'jian
身份犯,shen'fen'fan
审计法,shen'ji'fa
沈岿,shen'kui
沈木珠,shen'mu'zhu
审判法庭,shen'pan'fa'ting
审判管辖,shen'pan'guan'xia
审判监督程序,shen'pan'jian'du'cheng'xu
审判权,shen'pan'quan
审判委员会,shen'pan'wei'yuan'hui
审判员,shen'pan'yuan
审判长,shen'pan'zhang
审判制度,shen'pan'zhi'du
申请,shen'qing
申诉,shen'su
审限,shen'xian
神学法学,shen'xue'fa'xue
审议,shen'yi
沈宗灵,shen'zong'ling
生产销售伪劣商品罪,sheng'chan'xiao'shou'wei'lie'shang'pin'zui
生存权,sheng'cun'quan
盛洪,sheng'hong
胜诉,sheng'su
生效时间,sheng'xiao'shi'jian
市场经济,shi'chang'jing'ji
十二表法,shi'er'biao'fa
适格,shi'ge
史际春,shi'ji'chun
实践理性,shi'jian'li'xing
时间效力,shi'jian'xiao'li
实践性行为,shi'jian'xing'xing'wei
世界古代史,shi'jie'gu'dai'shi
世界近代史,shi'jie'jin'dai'shi
世界贸易组织,shi'jie'mao'yi'zu'zhi
世界现代史,shi'jie'xian'dai'shi
史尚宽,shi'shang'kuan
事实判断,shi'shi'pan'duan
实事求是,shi'shi'qiu'shi
实施条例,shi'shi'tiao'li
实施细则,shi'shi'xi'ze
施塔姆勒,shi'ta'mu'le
实体法,shi'ti'fa
时效,shi'xiao
守法,shou'fa
授权使用,shou'quan'shi'yong
授权许可证,shou'quan'xu'ke'zheng
收养法,shou'yang'fa
舒伯特,shu'bo'te
舒国滢,shu'guo'ying
书记员,shu'ji'yuan
数罪并罚,shu'zui'bing'fa
税收征收管理法,shui'shou'zheng'shou'guan'li'fa
斯宾诺莎,si'bin'nuo'sha
司法,si'fa
私法,si'fa
司法部,si'fa'bu
司法独立,si'fa'du'li
司法改革,si'fa'gai'ge
司法机关,si'fa'ji'guan
司法解释,si'fa'jie'shi
司法权,si'fa'quan
司法审查权,si'fa'shen'cha'quan
司法实务,si'fa'shi'wu
司法体制,si'fa'ti'zhi
司法体制改革,si'fa'ti'zhi'gai'ge
司法文书,si'fa'wen'shu
司法协助,si'fa'xie'zhu
死缓,si'huan
私权利,si'quan'li
死刑,si'xing
死刑缓期执行,si'xing'huan'qi'zhi'xing
送达,song'da
宋英辉,song'ying'hui
苏格拉底,su'ge'la'di
溯及力,su'ji'li
苏力,su'li
诉讼,su'song
诉讼参与人,su'song'can'yu'ren
诉讼程序,su'song'cheng'xu
诉讼法,su'song'fa
诉讼管辖,su'song'guan'xia
诉讼时效,su'song'shi'xiao
诉讼终结,su'song'zhong'jie
诉讼中止,su'song'zhong'zhi
苏永钦,su'yong'qin
孙宪忠,sun'xian'zhong
孙笑侠,sun'xiao'xia
谭兵,tan'bing
谭世贵,tan'shi'gui
特别法,te'bie'fa
特定物,te'ding'wu
特殊身份,te'shu'shen'fen
替代争议解决方式,ti'dai'zheng'yi'jie'jue'fang'shi
提起公诉,ti'qi'gong'su
田成有,tian'cheng'you
田平安,tian'ping'an
调解,tiao'jie
条约,tiao'yue
条约法,tiao'yue'fa
庭审,ting'shen
通过,tong'guo
同时履行抗辩权,tong'shi'lv'xing'kang'bian'quan
童之伟,tong'zhi'wei
投资争端,tou'zi'zheng'duan
土地管理法,tu'di'guan'li'fa
托马斯阿奎那,tuo'ma'si'a'kui'na
外层空间法,wai'ceng'kong'jian'fa
外国法制史,wai'guo'fa'zhi'shi
外国企业常驻代表机构登记管理办法,wai'guo'qi'ye'chang'zhu'dai'biao'ji'gou'deng'ji'guan'li'ban'fa
外国人入境出境管理法,wai'guo'ren'ru'jing'chu'jing'guan'li'fa
外国人在收养子女登记办法,wai'guo'ren'zai'shou'yang'zi'nv'deng'ji'ban'fa
外国仲裁裁决公约,wai'guo'zhong'cai'cai'jue'gong'yue
外交关系法,wai'jiao'guan'xi'fa
外商投资企业法,wai'shang'tou'zi'qi'ye'fa
王晨光,wang'chen'guang
汪丁丁,wang'ding'ding
王瀚,wang'han
王健,wang'jian
汪建成,wang'jian'cheng
王磊,wang'lei
王立民,wang'li'min
王利明,wang'li'ming
王世洲,wang'shi'zhou
汪文,wang'wen
王锡锌,wang'xi'xin
王怡,wang'yi
王涌,wang'yong
王泽鉴,wang'ze'jian
违法,wei'fa
魏良,wei'liang
委托送达,wei'tuo'song'da
魏振瀛,wei'zhen'ying
文艺复兴时期法律,wen'yi'fu'xing'shi'qi'fa'lv
文正邦,wen'zheng'bang
无过错责任,wu'guo'cuo'ze'ren
无期徒刑,wu'qi'tu'xing
物权,wu'quan
无权代理,wu'quan'dai'li
无因管理,wu'yin'guan'li
无因行为,wu'yin'xing'wei
吴志攀,wu'zhi'pan
无主物,wu'zhu'wu
西方法律思想史,xi'fang'fa'lv'si'xiang'shi
西方哲学史,xi'fang'zhe'xue'shi
西塞罗,xi'sai'luo
瑕疵,xia'ci
现代哲理法学,xian'dai'zhe'li'fa'xue
宪法,xian'fa
宪法规范,xian'fa'gui'fan
宪法史,xian'fa'shi
宪法修正案,xian'fa'xiu'zheng'an
现实主义法学,xian'shi'zhu'yi'fa'xue
先行履行抗辩权,xian'xing'lv'xing'kang'bian'quan
先予执行,xian'yu'zhi'xing
宪政,xian'zheng
限制流通物,xian'zhi'liu'tong'wu
相对权,xiang'dui'quan
香港特别行政区基本法,xiang'gang'te'bie'xing'zheng'qu'ji'ben'fa
消费者权益保护法,xiao'fei'zhe'quan'yi'bao'hu'fa
消耗物,xiao'hao'wu
肖建国,xiao'jian'guo
销售合同,xiao'shou'he'tong
谢怀栻,xie'huai'shi
谢晖,xie'hui
谢鹏程,xie'peng'cheng
协商,xie'shang
谢佑平,xie'you'ping
新分析法学,xin'fen'xi'fa'xue
新分析法学派,xin'fen'xi'fa'xue'pai
新自然法学,xin'zi'ran'fa'xue
新自然法学派,xin'zi'ran'fa'xue'pai
形成权,xing'cheng'quan
刑法,xing'fa
刑罚,xing'fa
刑法典,xing'fa'dian
刑法分则,xing'fa'fen'ze
刑事法律,xing'shi'fa'lv
刑事附带民事诉讼,xing'shi'fu'dai'min'shi'su'song
刑事人类学派,xing'shi'ren'lei'xue'pai
刑事诉讼,xing'shi'su'song
刑事诉讼法,xing'shi'su'song'fa
刑事诉讼规则,xing'shi'su'song'gui'ze
刑事责任能力,xing'shi'ze'ren'neng'li
刑事责任年龄,xing'shi'ze'ren'nian'ling
刑诉,xing'su
行为法学,xing'wei'fa'xue
行为法学派,xing'wei'fa'xue'pai
行为能力,xing'wei'neng'li
行政处罚,xing'zheng'chu'fa
行政处罚法,xing'zheng'chu'fa'fa
行政法,xing'zheng'fa
行政法规,xing'zheng'fa'gui
行政复议,xing'zheng'fu'yi
行政复议法,xing'zheng'fu'yi'fa
行政机关,xing'zheng'ji'guan
行政监察法,xing'zheng'jian'cha'fa
行政赔偿,xing'zheng'pei'chang
行政强制执行,xing'zheng'qiang'zhi'zhi'xing
行政诉讼法,xing'zheng'su'song'fa
行政诉讼证据,xing'zheng'su'song'zheng'ju
行政许可法,xing'zheng'xu'ke'fa
休庭,xiu'ting
徐,xu
徐爱国,xu'ai'guo
许传玺,xu'chuan'xi
徐国栋,xu'guo'dong
虚假宣传行为,xu'jia'xuan'chuan'xing'wei
徐静村,xu'jing'cun
许可证,xu'ke'zheng
