阿伯,a'bo
半路死仔,ban'lu'si'zai
半路债,ban'lu'zhai
半排,ban'pai
半坡,ban'po
半埔,ban'pu
半埔场,ban'pu'chang
半埔仔,ban'pu'zai
半山,ban'shan
半山刘,ban'shan'liu
半田,ban'tian
半天楼,ban'tian'lou
半桶屎,ban'tong'shi
半湾,ban'wan
半溪,ban'xi
半寨,ban'zhai
半嶂,ban'zhang
半嶂仔,ban'zhang'zai
蚌壳溜,bang'ke'liu
包丢仔,bao'diu'zai
宝陇,bao'long
宝楼,bao'lou
宝楼水库,bao'lou'shui'ku
宝山,bao'shan
宝山门,bao'shan'men
宝山下,bao'shan'xia
曝粟,bao'su
宝塔下,bao'ta'xia
保泰,bao'tai
保险大厦,bao'xian'da'sha
北池,bei'chi
背村,bei'cun
北大附中,bei'da'fu'zhong
被单,bei'dan
北地坑,bei'di'keng
北斗坑,bei'dou'keng
北斗孔,bei'dou'kong
北墩,bei'dun
北飞鹅水库,bei'fei'e'shui'ku
陂阁,bei'ge
陂沟,bei'gou
北湖,bei'hu
北笏,bei'hu
背湖,bei'hu
北湖山,bei'hu'shan
北郊公园,bei'jiao'gong'yuan
北酒盆凸,bei'jiu'pen'tu
北酒盆嶂,bei'jiu'pen'zhang
北坑,bei'keng
陂坑,bei'keng
陂美,bei'mei
背眉滩,bei'mei'tan
北门,bei'men
北门池,bei'men'chi
北门寮,bei'men'liao
北平新乡,bei'ping'xin'xiang
北山,bei'shan
北栅,bei'shan
北山脚,bei'shan'jiao
北山埔,bei'shan'pu
北山湾泳场,bei'shan'wan'yong'chang
北坛,bei'tan
北潭角,bei'tan'jiao
陂头,bei'tou
背头塘,bei'tou'tang
背头窝,bei'tou'wo
北围,bei'wei
北芴,bei'wu
陂乌,bei'wu
北岩,bei'yan
北洋,bei'yang
陂洋,bei'yang
陂仔,bei'zai
陂仔岭,bei'zai'ling
北宅,bei'zhai
背枝王,bei'zhi'wang
杯子沥,bei'zi'li
奔灵,ben'ling
奔你约,ben'ni'yue
崩陂,beng'bei
泵风,beng'feng
崩岗潭,beng'gang'tan
崩岗头,beng'gang'tou
崩岗窝,beng'gang'wo
崩冈下,beng'gang'xia
崩岗下,beng'gang'xia
崩江头,beng'jiang'tou
崩江下,beng'jiang'xia
崩坎,beng'kan
崩坎子,beng'kan'zi
崩塘,beng'tang
崩塘坳,beng'tang'ao
崩塘岽,beng'tang'dong
崩塘下,beng'tang'xia
崩圳,beng'zhen
必发,bi'fa
笔盒,bi'he
笔架山,bi'jia'shan
壁角,bi'jiao
比脚划手,bi'jiao'hua'shou
壁坑,bi'keng
鼻空,bi'kong
毕婆,bi'po
碧沙,bi'sha
笔石下,bi'shi'xia
碧霞庄南,bi'xia'zhuang'nan
闭在仔坑,bi'zai'zai'keng
扁豆,bian'dou
边埔,bian'pu
边埔新村,bian'pu'xin'cun
边石,bian'shi
表盲仔,biao'mang'zai
滨河路口,bin'he'lu'kou
滨湖路,bin'hu'lu
滨沙洲路口,bin'sha'zhou'lu'kou
鬓嶂,bin'zhang
并并样,bing'bing'yang
冰塘,bing'tang
冰塘埔,bing'tang'pu
饼药,bing'yao
兵营,bing'ying
兵营埔,bing'ying'pu
病症仔,bing'zheng'zai
伯公凹,bo'gong'ao
伯公坳,bo'gong'ao
伯公岗,bo'gong'gang
伯公湖,bo'gong'hu
伯公祭,bo'gong'ji
伯公崀,bo'gong'lang
伯公岭,bo'gong'ling
伯公陇,bo'gong'long
泊公隆,bo'gong'long
伯公门,bo'gong'men
伯公凸,bo'gong'tu
伯公窝,bo'gong'wo
伯公下,bo'gong'xia
伯劳岗,bo'lao'gang
菠箩坑,bo'luo'keng
菠萝山,bo'luo'shan
博美,bo'mei
博美中学,bo'mei'zhong'xue
搏扑克,bo'pu'ke
搏钱,bo'qian
博社,bo'she
博社新寮,bo'she'xin'liao
博头,bo'tou
布厝村,bu'cuo'cun
布格,bu'ge
卜祭,bu'ji
布镜口,bu'jing'kou
补泥,bu'ni
布田,bu'tian
步尾,bu'wei
布围村,bu'wei'cun
布屋,bu'wu
布心,bu'xin
布心坑,bu'xin'keng
步雅,bu'ya
菜补,cai'bu
蔡布,cai'bu
蔡厝,cai'cuo
蔡厝寮,cai'cuo'liao
蔡厝围,cai'cuo'wei
才谷坑,cai'gu'keng
菜粿,cai'guo
财毫塘,cai'hao'tang
财毫塘新村,cai'hao'tang'xin'cun
菜坑,cai'keng
蔡坑,cai'keng
蔡婆洞,cai'po'dong
菜脯,cai'pu
财气死,cai'qi'si
菜头粿,cai'tou'hua
蔡荫,cai'yin
菜园坑,cai'yuan'keng
菜栽,cai'zai
菜仔岭,cai'zai'ling
参叉路口,can'cha'lu'kou
参城,can'cheng
蚕蛾凸,can'e'tu
参详,can'xiang
仓背,cang'bei
仓兜,cang'dou
仓库区,cang'ku'qu
仓前,cang'qian
仓头,cang'tou
仓下,cang'xia
草庵洞,cao'an'dong
草陂仔,cao'bei'zai
曹带坑,cao'dai'keng
草对径,cao'dui'jing
草猴,cao'hou
草粿,cao'hua
草坑,cao'keng
草寮村,cao'liao'cun
草岭排,cao'ling'pai
草帽岽,cao'mao'dong
草埔下,cao'pu'xia
草钎坑,cao'qian'keng
草田,cao'tian
草鞋沥,cao'xie'li
草鞋屋,cao'xie'wu
草洋,cao'yang
草鱼粥,cao'yu'zhou
侧角塘,ce'jiao'tang
侧子岭,ce'zi'ling
曾洞,ceng'dong
曾老村,ceng'lao'cun
曾了窝,ceng'le'wo
曾屋,ceng'wu
曾新村,ceng'xin'cun
查啊你腊腊,cha'a'ni'la'la
茶砵,cha'bo
茶棰,cha'chui
茶带坑,cha'dai'keng
叉够腊,cha'gou'la
茶坑口,cha'keng'kou
岔口,cha'kou
茶米,cha'mi
茶排下,cha'pai'xia
茶山,cha'shan
茶树窝,cha'shu'wo
茶塘凹,cha'tang'ao
茶仔凹,cha'zai'ao
柴浪,chai'lang
柴桥头,chai'qiao'tou
柴头堀,chai'tou'ku
柴头垅,chai'tou'long
柴头塘,chai'tou'tang
拆药,chai'yao
掺多,chan'duo
蝉公顶,chan'gong'ding
蝉鸣洞,chan'ming'dong
蝉皮沥,chan'pi'li
蟾儒埔,chan'ru'pu
长安楼,chang'an'lou
长北坑水库,chang'bei'keng'shui'ku
长布,chang'bu
长城花园,chang'cheng'hua'yuan
长城招待所,chang'cheng'zhao'dai'suo
长城招待所广兴村,chang'cheng'zhao'dai'suo'guang'xing'cun
长春路,chang'chun'lu
长富,chang'fu
长扶,chang'fu
长富山,chang'fu'shan
长港,chang'gang
长告寨,chang'gao'zhai
长沟,chang'gou
长沟水库,chang'gou'shui'ku
长湖潭,chang'hu'tan
长湖围,chang'hu'wei
长吉水,chang'ji'shui
长江岭,chang'jiang'ling
长江路,chang'jiang'lu
长江路东,chang'jiang'lu'dong
长江路西,chang'jiang'lu'xi
长江路中,chang'jiang'lu'zhong
长江西路,chang'jiang'xi'lu
长江印,chang'jiang'yin
长坑,chang'keng
昌坑角,chang'keng'jiao
长坑里,chang'keng'li
长坑水,chang'keng'shui
长朗,chang'lang
长另,chang'ling
长岭,chang'ling
长流坪,chang'liu'ping
长陇,chang'long
昌龙背,chang'long'bei
长排,chang'pai
长坪,chang'ping
长平路,chang'ping'lu
长平路西,chang'ping'lu'xi
长平路中,chang'ping'lu'zhong
长埔,chang'pu
长埔渡,chang'pu'du
长前坝,chang'qian'ba
长桥,chang'qiao
长桥道班,chang'qiao'dao'ban
长青,chang'qing
长青围,chang'qing'wei
长荣路口,chang'rong'lu'kou
长山村,chang'shan'cun
长山尾,chang'shan'wei
长潭,chang'tan
长潭村,chang'tan'cun
长塘,chang'tang
长塘面,chang'tang'mian
长堂头,chang'tang'tou
长田,chang'tian
长尾湖,chang'wei'hu
长窝口,chang'wo'kou
长窝了,chang'wo'le
长窝沥,chang'wo'li
长窝岭凸,chang'wo'ling'tu
长西坑,chang'xi'keng
长新,chang'xin
场仔,chang'zai
长圳,chang'zhen
潮安汽车站,chao'an'qi'che'zhan
朝带坑,chao'dai'keng
超高,chao'gao
炒糕粿,chao'gao'hua
潮华雅居,chao'hua'ya'ju
超级尾坑,chao'ji'wei'keng
朝客,chao'ke
朝龙街,chao'long'jie
朝面山,chao'mian'shan
潮南,chao'nan
潮南区,chao'nan'qu
潮汕,chao'shan
潮汕歌曲,chao'shan'ge'qu
潮汕客运站,chao'shan'ke'yun'zhan
潮汕路客运站,chao'shan'lu'ke'yun'zhan
潮汕星河奖,chao'shan'xing'he'jiang
超声工业园,chao'sheng'gong'ye'yuan
巢头顶,chao'tou'ding
朝阳路,chao'yang'lu
潮阳区,chao'yang'qu
潮语,chao'yu
潮语歌曲,chao'yu'ge'qu
车大炮,che'da'pao
车对布,che'dui'bu
车岗里,che'gang'li
车里桥头,che'li'qiao'tou
车辆灯具厂,che'liang'deng'ju'chang
车寮,che'liao
车前寨,che'qian'zhai
车上,che'shang
车添,che'tian
车田,che'tian
车头,che'tou
车巷,che'xiang
车营,che'ying
车轴村,che'zhou'cun
陈春淮,chen'chun'huai
陈慈黉故居,chen'ci'hong'gu'ju
陈厝,chen'cuo
陈厝葛村,chen'cuo'ge'cun
陈厝合,chen'cuo'he
陈厝合东,chen'cuo'he'dong
陈厝合南,chen'cuo'he'nan
陈厝合西,chen'cuo'he'xi
陈厝合辛厝寨,chen'cuo'he'xin'cuo'zhai
陈厝合中周厝塭,chen'cuo'he'zhong'zhou'cuo'wen
陈厝街,chen'cuo'jie
陈厝坡,chen'cuo'po
陈厝围,chen'cuo'wei
陈厝园,chen'cuo'yuan
陈厝寨,chen'cuo'zhai
陈店,chen'dian
陈炯明,chen'jiong'ming
陈龙,chen'long
陈牛坪,chen'niu'ping
陈婆山老村,chen'po'shan'lao'cun
陈婆山新村,chen'po'shan'xin'cun
陈四文,chen'si'wen
陈塘,chen'tang
陈塘口,chen'tang'kou
陈陶肚,chen'tao'du
陈田坝,chen'tian'ba
陈天铨,chen'tian'quan
陈屋,chen'wu
陈屋排,chen'wu'pai
陈竹窝,chen'zhu'wo
成背坑,cheng'bei'keng
城北路,cheng'bei'lu
城东,cheng'dong
城东公社鱼苗,cheng'dong'gong'she'yu'miao
城东路,cheng'dong'lu
成洞尾,cheng'dong'wei
城格山,cheng'ge'shan
成宫,cheng'gong
成功坑,cheng'gong'keng
称钩湾,cheng'gou'wan
成古塘,cheng'gu'tang
澄海,cheng'hai
澄海隆都店市,cheng'hai'long'dou'dian'shi
澄海路,cheng'hai'lu
澄海路口,cheng'hai'lu'kou
澄海汽车总站,cheng'hai'qi'che'zong'zhan
澄海区,cheng'hai'qu
澄海外砂镇,cheng'hai'wai'sha'zhen
澄江路口,cheng'jiang'lu'kou
成径,cheng'jing
澄坑,cheng'keng
城林埔,cheng'lin'pu
城美,cheng'mei
城内,cheng'nei
城内花园,cheng'nei'hua'yuan
城埔山,cheng'pu'shan
成塘,cheng'tang
埕头,cheng'tou
程洋岗,cheng'yang'gang
程洋岗大娘岗,cheng'yang'gang'da'niang'gang
城仔,cheng'zai
称籽,cheng'zi
城子里,cheng'zi'li
赤岸,chi'an
池背,chi'bei
池边,chi'bian
赤草洋,chi'cao'yang
池厝寮,chi'cuo'liao
池刀,chi'dao
池刀山仔,chi'dao'shan'zai
赤岗,chi'gang
赤岗镇,chi'gang'zhen
痴膏,chi'gao
赤告,chi'gao
赤告岭,chi'gao'ling
池个,chi'ge
痴哥,chi'ge
痴哥鬼,chi'ge'gui
痴哥兄,chi'ge'xiong
赤狗地,chi'gou'di
赤姑坑,chi'gu'keng
赤鸪滩,chi'gu'tan
赤花,chi'hua
赤花楼,chi'hua'lou
赤花排,chi'hua'pai
赤花屯,chi'hua'tun
赤祭塘,chi'ji'tang
赤礁,chi'jiao
赤窖,chi'jiao
赤坎,chi'kan
赤坎头,chi'kan'tou
赤坎仔,chi'kan'zai
赤坎寨,chi'kan'zhai
赤坑,chi'keng
赤坑陶瓷一厂,chi'keng'tao'ci'yi'chang
池口,chi'kou
池块,chi'kuai
赤犁树,chi'li'shu
赤梨树下,chi'li'shu'xia
赤犁塘,chi'li'tang
赤林,chi'lin
赤岭,chi'ling
赤岭岗,chi'ling'gang
赤岭水库,chi'ling'shui'ku
赤岭寨,chi'ling'zhai
池龙地,chi'long'di
赤米岭,chi'mi'ling
赤泥,chi'ni
赤契母山,chi'qi'mu'shan
赤扫塘,chi'sao'tang
赤扫洋,chi'sao'yang
赤沙水库,chi'sha'shui'ku
赤山,chi'shan
赤石,chi'shi
赤石牙,chi'shi'ya
齿漱,chi'shu
赤水田,chi'shui'tian
池涂,chi'tu
池尾,chi'wei
池尾街,chi'wei'jie
池尾街道,chi'wei'jie'dao
赤溪,chi'xi
赤西北,chi'xi'bei
赤溪水库,chi'xi'shui'ku
赤窑垅,chi'yao'long
赤茔头,chi'ying'tou
赤油,chi'you
赤竹坝,chi'zhu'ba
赤竹陂,chi'zhu'bei
赤竹径,chi'zhu'jing
赤竹坪,chi'zhu'ping
赤竹田,chi'zhu'tian
赤竹洋,chi'zhu'yang
冲茶,chong'cha
崇广楼,chong'guang'lou
冲坑,chong'keng
冲心,chong'xin
臭草花,chou'cao'hua
臭到滚,chou'dao'gun
臭际,chou'ji
稠树坝,chou'shu'ba
臭头螺,chou'tou'luo
臭相,chou'xiang
抽歇未,chou'xie'wei
出花园,chu'hua'yuan
楚略,chu'lue
触牛肉,chu'niu'rou
出日,chu'ri
楚汤,chu'tang
处仔,chu'zai
船高岭,chuan'gao'ling
船家堂,chuan'jia'tang
船坑,chuan'keng
川龙,chuan'long
川龙背,chuan'long'bei
船路,chuan'lu
船蓬寨,chuan'peng'zhai
船埔,chuan'pu
船埔镇,chuan'pu'zhen
船头,chuan'tou
船坞,chuan'wu
吹吕,chui'lv
春花埔,chun'hua'pu
春花洋,chun'hua'yang
春梅里,chun'mei'li
春天时,chun'tian'shi
春下坪,chun'xia'ping
春源工业村,chun'yuan'gong'ye'cun
春源工业区,chun'yuan'gong'ye'qu
春泽园,chun'ze'yuan
春泽庄,chun'ze'zhuang
刺流,ci'liu
刺螺,ci'luo
刺毛风虫,ci'mao'feng'chong
刺噗,ci'pu
刺噗老爷,ci'pu'lao'ye
刺潭寮,ci'tan'liao
祠堂,ci'tang
祠堂村,ci'tang'cun
祠堂埔,ci'tang'pu
磁窑,ci'yao
刺仔,ci'zai
此在,ci'zai
丛河凸,cong'he'tu
粗堵,cu'du
粗坑,cu'keng
粗石坑,cu'shi'keng
粗嘴破舌,cu'zui'po'she
崔陂,cui'bei
翠洋楼,cui'yang'lou
翠子寮,cui'zi'liao
寸金窝,cun'jin'wo
厝顶,cuo'ding
厝公厝妈,cuo'gong'cuo'ma
厝下,cuo'xia
厝寨,cuo'zhai
大安,da'an
大安农场,da'an'nong'chang
大凹,da'ao
大凹门,da'ao'men
大坳头,da'ao'tou
大凹凸,da'ao'tu
大凹下,da'ao'xia
大坝,da'ba
大八里,da'ba'li
大坝镇,da'ba'zhen
大板沟,da'ban'gou
大半田,da'ban'tian
大板田,da'ban'tian
大陂布,da'bei'bu
大陂头,da'bei'tou
大陂洋,da'bei'yang
大崩岗,da'beng'gang
大壁山,da'bi'shan
大埔,da'bu
达部,da'bu
大埔坳,da'bu'ao
大埔村,da'bu'cun
大埔尾,da'bu'wei
大埔下,da'bu'xia
大埔洋,da'bu'yang
大布洋,da'bu'yang
大埔寨,da'bu'zhai
大埔子,da'bu'zi
打草坪,da'cao'ping
大草埔,da'cao'pu
大长坑,da'chang'keng
大场天港,da'chang'tian'gang
大车,da'che
大车肚,da'che'du
大诚商场,da'cheng'shang'chang
大池,da'chi
大船路,da'chuan'lu
大川窝,da'chuan'wo
大村,da'cun
大厝场,da'cuo'chang
大厝黄,da'cuo'huang
大厝寮,da'cuo'liao
大胆山塔,da'dan'shan'ta
大道,da'dao
大道庵,da'dao'an
大道埔,da'dao'pu
大道营,da'dao'ying
大德,da'de
大德山,da'de'shan
大地,da'di
大颠岩,da'dian'yan
打斗角,da'dou'jiao
大渡,da'du
大肚,da'du
搭渡,da'du
大肚坑水库,da'du'keng'shui'ku
大肚面,da'du'mian
大肚山,da'du'shan
大段,da'duan
大段里,da'duan'li
大堆寮,da'dui'liao
大墩,da'dun
大房,da'fang
大房山,da'fang'shan
大份,da'fen
大汾坡,da'fen'po
大风凹,da'feng'ao
大富,da'fu
大扶麻,da'fu'ma
大富洋,da'fu'yang
大港,da'gang
打格窝,da'ge'wo
大各寨,da'ge'zhai
大宫,da'gong
打鼓岭,da'gu'ling
打古石,da'gu'shi
达濠,da'hao
达濠工业区,da'hao'gong'ye'qu
达濠海马池,da'hao'hai'ma'chi
大和,da'he
大河背,da'he'bei
大河唇,da'he'chun
大和里,da'he'li
大河潭,da'he'tan
大河塘,da'he'tang
大荷田,da'he'tian
大黑山,da'hei'shan
大亨里,da'heng'li
大湖,da'hu
大湖凹,da'hu'ao
大湖洞,da'hu'dong
大湖里,da'hu'li
大湖山,da'hu'shan
大湖尾,da'hu'wei
大湖洋,da'hu'yang
大化,da'hua
大华,da'hua
大华路口,da'hua'lu'kou
大华路南,da'hua'lu'nan
大华路中,da'hua'lu'zhong
大华水库,da'hua'shui'ku
大吉坑,da'ji'keng
大鉴,da'jian
大尖山,da'jian'shan
大尖凸,da'jian'tu
大尖崖,da'jian'ya
大窖,da'jiao
大蕉园,da'jiao'yuan
大教宅,da'jiao'zhai
大井,da'jing
大径,da'jing
大径里,da'jing'li
大井路口,da'jing'lu'kou
大军山,da'jun'shan
大科山,da'ke'shan
大坑,da'keng
大坑唇,da'keng'chun
大坑口,da'keng'kou
大坑矿区,da'keng'kuang'qu
大坑头,da'keng'tou
大坑尾,da'keng'wei
大坑窝,da'keng'wo
大堀,da'ku
大沥里,da'li'li
大力死,da'li'si
大联村,da'lian'cun
大寮,da'liao
大淋,da'lin
大林水产,da'lin'shui'chan
大岭背,da'ling'bei
大岭东,da'ling'dong
大岭鼓,da'ling'gu
大岭埔,da'ling'pu
大岭上,da'ling'shang
大岭水库,da'ling'shui'ku
大岭头,da'ling'tou
大岭凸,da'ling'tu
大流,da'liu
大笼,da'long
大隆里,da'long'li
大楼,da'lou
大路,da'lu
大路背,da'lu'bei
大路排,da'lu'pai
大路坪,da'lu'ping
大路下,da'lu'xia
打罗高凸,da'luo'gao'tu
大麦寮,da'mai'liao
大茂,da'mao
大米布,da'mi'bu
大面岭,da'mian'ling
大面排,da'mian'pai
大面园,da'mian'yuan
大庙山,da'miao'shan
大南,da'nan
大南坑,da'nan'keng
大南山,da'nan'shan
大南山镇,da'nan'shan'zhen
大南涂,da'nan'tu
大排,da'pai
大排凸,da'pai'tu
大排嶂,da'pai'zhang
大盆岭,da'pen'ling
大鹏山公园,da'peng'shan'gong'yuan
大片,da'pian
大片地,da'pian'di
大坪,da'ping
大坪坑,da'ping'keng
大坪尾,da'ping'wei
大平围,da'ping'wei
大坪仔,da'ping'zai
大坪嶂,da'ping'zhang
大坪镇,da'ping'zhen
大坪子,da'ping'zi
大坡,da'po
大坡田,da'po'tian
大铺场,da'pu'chang
大旗,da'qi
大旗新乡,da'qi'xin'xiang
大钳,da'qian
大浅笏,da'qian'hu
大桥,da'qiao
大丘麻,da'qiu'ma
大丘田,da'qiu'tian
大屈,da'qu
大人,da'ren
大人岽,da'ren'dong
大人岭,da'ren'ling
大人弯奴囝直,da'ren'wan'nu'nan'zhi
大山,da'shan
大山背,da'shan'bei
大山顶,da'shan'ding
大山母,da'shan'mu
大山头,da'shan'tou
大山下,da'shan'xia
大畲,da'she
大社,da'she
大輋塅,da'she'duan
大輋坑,da'she'keng
大社寮,da'she'liao
大蛇塘,da'she'tang
大蛇窝,da'she'wo
大石,da'shi
大石东,da'shi'dong
大石古,da'shi'gu
打石坑,da'shi'keng
打石山,da'shi'shan
打石窝,da'shi'wo
大守场,da'shou'chang
大树下,da'shu'xia
大水,da'shui
大水沟,da'shui'gou
大水坑,da'shui'keng
大水口,da'shui'kou
大水坪,da'shui'ping
大水尾,da'shui'wei
大塘,da'tang
达塘,da'tang
大塘岽,da'tang'dong
大塘肚,da'tang'du
大塘各,da'tang'ge
大塘湖,da'tang'hu
大塘里,da'tang'li
大塘面,da'tang'mian
大塘排,da'tang'pai
大塘堂,da'tang'tang
大塘头,da'tang'tou
大塘尾,da'tang'wei
大塘尾后山,da'tang'wei'hou'shan
大塘塭,da'tang'wen
大塘新村,da'tang'xin'cun
大田,da'tian
打铁墓,da'tie'mu
打铁塘,da'tie'tang
大同,da'tong
达头,da'tou
大头好亮,da'tou'hao'liang
大凸,da'tu
大凸顶,da'tu'ding
大土晶,da'tu'jing
大屯,da'tun
大湾,da'wan
大完沥,da'wan'li
大围,da'wei
大温,da'wen
大问鹅水库,da'wen'e'shui'ku
大塭头,da'wen'tou
大窝,da'wo
大窝肚,da'wo'du
大窝里,da'wo'li
大窝排,da'wo'pai
大窝山,da'wo'shan
大坞,da'wu
大雾,da'wu
大乌山,da'wu'shan
大溪,da'xi
大细胆,da'xi'dan
大细目,da'xi'mu
大溪头,da'xi'tou
大溪镇,da'xi'zhen
大下埔,da'xia'pu
大乡,da'xiang
大小姆,da'xiao'mu
大新屋,da'xin'wu
大兴寨,da'xing'zhai
大学祠,da'xue'ci
大学路口,da'xue'lu'kou
大学路头,da'xue'lu'tou
大衙门,da'ya'men
大洋,da'yang
大洋肚,da'yang'du
大洋花园,da'yang'hua'yuan
大洋田,da'yang'tian
大窑,da'yao
大液,da'ye
大液河,da'ye'he
大液河水闸,da'ye'he'shui'zha
大已胡,da'yi'hu
打银坑,da'yin'keng
大屿,da'yu
大园,da'yuan
大岳坑,da'yue'keng
大云岭水库,da'yun'ling'shui'ku
大嶂,da'zhang
打仗坪,da'zhang'ping
大嶂下,da'zhang'xia
大祯祥,da'zhen'xiang
大治桥,da'zhi'qiao
大竹园,da'zhu'yuan
大祚洋,da'zuo'yang
戴厝村,dai'cuo'cun
戴厝寮,dai'cuo'liao
待渡山,dai'du'shan
袋粪,dai'fen
大夫寮,dai'fu'liao
大夫堂,dai'fu'tang
大夫寨,dai'fu'zhai
带柳丝,dai'liu'si
带泥窝,dai'ni'wo
埭头,dai'tou
岱头,dai'tou
戴屋角,dai'wu'jiao
蓞底,dan'di
担杆凹,dan'gan'ao
担干山,dan'gan'shan
担官,dan'guan
担话,dan'hua
担家,dan'jia
耽眉仔,dan'mei'zai
淡水,dan'shui
担水井,dan'shui'jing
丹霞庄,dan'xia'zhuang
