阿不都热依木尼扎里,a'bu'dou're'yi'mu'ni'zha'li
蒙古秘史,meng'gu'mi'shi
蒙古卫拉特法典,meng'gu'wei'la'te'fa'dian
蒙古源流,meng'gu'yuan'liu
苗族古歌,miao'zu'gu'ge
苗族史诗,miao'zu'shi'shi
明安图,ming'an'tu
莫黄金史,mo'huang'jin'shi
木华黎,mu'hua'li
牡帕密帕,mu'pa'mi'pa
南诏野史,nan'zhao'ye'shi
尼能哺,ni'neng'bu
年算经,nian'suan'jing
宁玛派,ning'ma'pai
农部琐录,nong'bu'suo'lu
泣红亭,qi'hong'ting
乞颜观念,qi'yan'guan'nian
青史演义,qing'shi'yan'yi
清真大学,qing'zhen'da'xue
清真指南,qing'zhen'zhi'nan
穷寇必追,qiong'kou'bi'zhui
权变其间,quan'bian'qi'jian
萨班贡噶坚赞,sa'ban'gong'ga'jian'zan
萨迦派,sa'jia'pai
萨满教,sa'man'jiao
萨囊彻辰,sa'nang'che'chen
三坛说,san'tan'shuo
三要素论,san'yao'su'lun
啥,sha
沙都加罗,sha'dou'jia'luo
沙格德尔的故事,sha'ge'de'er'de'gu'shi
沙拉图吉,sha'la'tu'ji
赡思,shan'si
摄类辩论,she'lei'bian'lun
审势查变,shen'shi'cha'bian
身有首,shen'you'shou
圣武亲征录,sheng'wu'qin'zheng'lu
史集,shi'ji
世界征服者史,shi'jie'zheng'fu'zhe'shi
释量论,shi'liang'lun
十善法门白史册,shi'shan'fa'men'bai'shi'ce
十生五成,shi'sheng'wu'cheng
四典要会,si'dian'yao'hui
苏尼,su'ni
他空见,ta'kong'jian
谈寨神勐神的由来,tan'zhai'shen'meng'shen'de'you'lai
腾格里,teng'ge'li
天方典礼,tian'fang'dian'li
天方典礼释要解,tian'fang'dian'li'shi'yao'jie
天方性理,tian'fang'xing'li
天佛合一,tian'fo'he'yi
天父地母说,tian'fu'di'mu'shuo
天力论,tian'li'lun
天无二日,tian'wu'er'ri
天运,tian'yun
铁木真,tie'mu'zhen
突厥语词典,tu'jue'yu'ci'dian
突厥语大辞典,tu'jue'yu'da'ci'dian
吐鲁番文书,tu'lu'fan'wen'shu
挽歌,wan'ge
王岱舆,wang'dai'yu
王静斋,wang'jing'zhai
王宽,wang'kuan
王崧,wang'song
倭仁,wo'ren
巫词,wu'ci
无极,wu'ji
五生十成,wu'sheng'shi'cheng
五行,wu'xing
雾罩,wu'zhao
伍遵契,wu'zun'qi
西南彝志,xi'nan'yi'zhi
心性图说,xin'xing'tu'shuo
星天旋回,xing'tian'xuan'hui
叙祖白,xu'zu'bai
雪族,xue'zu
训世诗,xun'shi'shi
杨景贤,yang'jing'xian
一层楼,yi'ceng'lou
以诚配天,yi'cheng'pei'tian
以德配天,yi'de'pei'tian
以聚攻散,yi'ju'gong'san
议榔词,yi'lang'ci
伊希丹金旺吉拉,yi'xi'dan'jin'wang'ji'la
衣有领,yi'you'ling
易源奥义,yi'yuan'ao'yi
因明七论,yin'ming'qi'lun
因明七论除暗庄严注,yin'ming'qi'lun'chu'an'zhuang'yan'zhu
因明七论入门,yin'ming'qi'lun'ru'men
尹湛纳希,yin'zhan'na'xi
应天者惟以至诚,ying'tian'zhe'wei'yi'zhi'cheng
影外无友尾外无缨,ying'wai'wu'you'wei'wai'wu'ying
玉素甫哈斯哈吉甫,yu'su'fu'ha'si'ha'ji'fu
宇宙人文论,yu'zhou'ren'wen'lun
宇宙三界说,yu'zhou'san'jie'shuo
元朝秘史,yuan'chao'mi'shi
辕轮说,yuan'lun'shuo
元世祖,yuan'shi'zu
云雾,yun'wu
藏传因明,zang'chuan'yin'ming
张杰,zhang'jie
张中,zhang'zhong
折箭教子,zhe'jian'jiao'zi
遮帕麻和遮米麻,zhe'pa'ma'he'zhe'mi'ma
真假虚实,zhen'jia'xu'shi
真理的入门,zhen'li'de'ru'men
政教并行,zheng'jiao'bing'xing
正教真诠,zheng'jiao'zhen'quan
正理藏论,zheng'li'cang'lun
正理滴论,zheng'li'di'lun
拯民者莫如实惠,zheng'min'zhe'mo'ru'shi'hui
至诚,zhi'cheng
周易原旨,zhou'yi'yuan'zhi
祝婚歌,zhu'hun'ge
宗喀巴,zong'ka'ba
祖述变通,zu'shu'bian'tong
作祭经,zuo'ji'jing
