阿魏,a'wei
浮小麦,fu'xiao'mai
附子,fu'zi
伽楠香,ga'nan'xiang
甘草,gan'cao
干姜,gan'jiang
干漆,gan'qi
甘松,gan'song
甘遂,gan'sui
杠板归,gang'ban'gui
岗梅,gang'mei
岗松,gang'song
藁本,gao'ben
高良姜,gao'liang'jiang
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
蛤壳,ge'ke
梗通草,geng'tong'cao
功劳木,gong'lao'mu
狗宝,gou'bao
狗肝草,gou'gan'cao
狗脊,gou'ji
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
古山龙,gu'shan'long
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒂,gua'di
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌子,gua'lou'zi
瓜子金,gua'zi'jin
关白附,guan'bai'fu
关木通,guan'mu'tong
光慈姑,guang'ci'gu
广防已,guang'fang'yi
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
光枝勾,guang'zhi'gou
龟甲,gui'jia
龟甲胶,gui'jia'jiao
鬼箭羽,gui'jian'yu
桂枝,gui'zhi
过岗龙,guo'gang'long
海风藤,hai'feng'teng
海浮石,hai'fu'shi
海狗肾,hai'gou'shen
海金砂,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
蔊菜,han'cai
寒水石,han'shui'shi
汉桃叶,han'tao'ye
鹤草酚,he'cao'fen
鹤草芽,he'cao'ya
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
荷叶,he'ye
诃子,he'zi
黑风藤,hei'feng'teng
黑老虎根,hei'lao'hu'gen
黑芝麻,hei'zhi'ma
红大戟,hong'da'ji
红豆蔻,hong'dou'kou
红粉,hong'fen
红根草,hong'gen'cao
红管药,hong'guan'yao
红花,hong'hua
红毛七,hong'mao'qi
红头草,hong'tou'cao
红药子,hong'yao'zi
厚朴,hou'pu
厚朴花,hou'pu'hua
猴枣,hou'zao
虎刺,hu'ci
虎耳草,hu'er'cao
虎骨,hu'gu
胡黄连,hu'huang'lian
槲寄生,hu'ji'sheng
胡椒,hu'jiao
葫芦巴,hu'lu'ba
葫芦茶,hu'lu'cha
琥珀,hu'po
胡荽,hu'sui
虎杖,hu'zhang
虎掌草,hu'zhang'cao
花椒,hua'jiao
花蕊石,hua'rui'shi
华山参,hua'shan'can
滑石,hua'shi
槐花,huai'hua
槐角,huai'jiao
獾油,huan'you
黄柏,huang'bai
黄瓜,huang'gua
黄精,huang'jing
黄连,huang'lian
黄连素,huang'lian'su
黄栌,huang'lu
黄芪,huang'qi
黄芩,huang'qin
黄藤,huang'teng
黄药子,huang'yao'zi
黄芫花,huang'yuan'hua
火麻仁,huo'ma'ren
火炭母,huo'tan'mu
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
蒺藜,ji'li
檵木叶,ji'mu'ye
鸡内金,ji'nei'jin
鸡矢藤,ji'shi'teng
急性子,ji'xing'zi
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
僵蚕,jiang'can
姜厚朴,jiang'hou'pu
姜黄,jiang'huang
降香,jiang'xiang
绞股蓝,jiao'gu'lan
桔梗,jie'geng
锦灯笼,jin'deng'long
金沸草,jin'fei'cao
筋骨草,jin'gu'cao
金果榄,jin'guo'lan
金锦香,jin'jin'xiang
金精石,jin'jing'shi
金莲花,jin'lian'hua
金礞石,jin'meng'shi
金钱白花蛇,jin'qian'bai'hua'she
金钱草,jin'qian'cao
金荞麦,jin'qiao'mai
金铁销,jin'tie'xiao
金叶金兰,jin'ye'jin'lan
金银花,jin'yin'hua
金缨子,jin'ying'zi
京大戟,jing'da'ji
荆芥,jing'jie
荆三棱,jing'san'leng
景天三七,jing'tian'san'qi
救必应,jiu'bi'ying
韭菜子,jiu'cai'zi
九节菖蒲,jiu'jie'chang'pu
九里香,jiu'li'xiang
九头狮子草,jiu'tou'shi'zi'cao
九香虫,jiu'xiang'chong
橘核,ju'he
橘红,ju'hong
菊花,ju'hua
橘络,ju'luo
卷柏,juan'bai
爵床,jue'chuang
决明子,jue'ming'zi
苦地丁,ku'di'ding
苦丁茶,ku'ding'cha
苦豆草,ku'dou'cao
苦楝皮,ku'lian'pi
苦木,ku'mu
苦参,ku'shen
苦石莲,ku'shi'lian
苦杏仁,ku'xing'ren
苦竹叶,ku'zhu'ye
款冬花,kuan'dong'hua
昆布,kun'bu
莱菔子,lai'fu'zi
蓝布正,lan'bu'zheng
蓝花参,lan'hua'shen
狼把草,lang'ba'cao
莨菪子,lang'dang'zi
狼毒,lang'du
老鹳草,lao'guan'cao
了哥王,le'ge'wang
雷公藤,lei'gong'teng
雷丸,lei'wan
藜芦,li'lu
栗毛球,li'mao'qiu
荔枝核,li'zhi'he
莲房,lian'fang
莲花,lian'hua
连钱草,lian'qian'cao
连翘,lian'qiao
莲须,lian'xu
莲子,lian'zi
莲子心,lian'zi'xin
两面针,liang'mian'zhen
两头尖,liang'tou'jian
蓼大青叶,liao'da'qing'ye
凌霄花,ling'xiao'hua
羚羊角,ling'yang'jiao
灵芝,ling'zhi
刘寄奴,liu'ji'nu
六月雪,liu'yue'xue
龙齿,long'chi
龙胆,long'dan
龙骨,long'gu
龙葵,long'kui
龙脷叶,long'li'ye
龙涎香,long'xian'xiang
龙眼肉,long'yan'rou
漏芦,lou'lu
炉甘石,lu'gan'shi
芦根,lu'gen
芦荟,lu'hui
卤碱,lu'jian
鹿角,lu'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿茸,lu'rong
鹿肉,lu'rou
鹿肾,lu'shen
鹿胎,lu'tai
鹿尾,lu'wei
鹿衔草,lu'xian'cao
鹿血,lu'xue
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
络石藤,luo'shi'teng
绿豆,lv'dou
驴肾,lv'shen
马宝,ma'bao
马鞭草,ma'bian'cao
马槟榔,ma'bing'lang
马勃,ma'bo
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
麻黄,ma'huang
麻黄根,ma'huang'gen
马兰草,ma'lan'cao
马兰头,ma'lan'tou
马钱子,ma'qian'zi
马尾黄连,ma'wei'huang'lian
麻油,ma'you
麦冬,mai'dong
麦饭石,mai'fan'shi
麦芽,mai'ya
蔓荆子,man'jing'zi
芒硝,mang'xiao
毛冬青,mao'dong'qing
茅莓,mao'mei
猫眼草,mao'yan'cao
猫爪草,mao'zhao'cao
玫瑰花,mei'gui'hua
梅花,mei'hua
没药,mei'yao
虻虫,meng'chong
猕猴桃,mi'hou'tao
密蒙花,mi'meng'hua
密陀僧,mi'tuo'seng
绵萆薢,mian'bi'xie
棉花根,mian'hua'gen
绵马贯众,mian'ma'guan'zhong
明党参,ming'dang'shen
墨旱莲,mo'han'lian
茉莉花,mo'li'hua
木鳖子,mu'bie'zi
牡丹皮,mu'dan'pi
母丁香,mu'ding'xiang
木瓜,mu'gua
木蝴蝶,mu'hu'die
木槿花,mu'jin'hua
牡荆叶,mu'jing'ye
牡蛎,mu'li
木棉花,mu'mian'hua
木通,mu'tong
木香,mu'xiang
木腰子,mu'yao'zi
木贼,mu'zei
南瓜子,nan'gua'zi
南沙参,nan'sha'shen
南蛇藤果,nan'she'teng'guo
硇砂,nao'sha
闹羊花,nao'yang'hua
牛蒡子,niu'bang'zi
牛黄,niu'huang
牛膝,niu'xi
牛至,niu'zhi
农吉利,nong'ji'li
农吉利总碱,nong'ji'li'zong'jian
侬森,nong'sen
侬森八珍汤膏,nong'sen'ba'zhen'tang'gao
侬森四物汤膏,nong'sen'si'wu'tang'gao
侬森益母草膏,nong'sen'yi'mu'cao'gao
糯稻根,nuo'dao'gen
女贞子,nv'zhen'zi
藕节,ou'jie
胖大海,pang'da'hai
佩兰,pei'lan
蟛蜞菊,peng'qi'ju
硼砂,peng'sha
啤酒花浸膏,pi'jiu'hua'jin'gao
枇杷叶,pi'pa'ye
砒霜,pi'shuang
葡伏堇,pu'fu'jin
蒲公英,pu'gong'ying
蒲黄,pu'huang
蛴螬,qi'cao
蕲蛇,qi'she
七叶一枝花,qi'ye'yi'zhi'hua
茜草,qian'cao
铅丹,qian'dan
前胡,qian'hu
千里光,qian'li'guang
千里花,qian'li'hua
千年健,qian'nian'jian
牵牛子,qian'niu'zi
千日红,qian'ri'hong
芡实,qian'shi
羌活,qiang'huo
蜣螂,qiang'lang
秦艽,qin'jiao
秦皮,qin'pi
青黛,qing'dai
轻粉,qing'fen
青风藤,qing'feng'teng
青果,qing'guo
青蒿,qing'hao
青礞石,qing'meng'shi
青皮,qing'pi
青葙子,qing'xiang'zi
青叶胆,qing'ye'dan
瞿麦,qu'mai
苣荬菜,qu'mai'cai
拳参,quan'can
全蝎,quan'xie
忍冬藤,ren'dong'teng
人参,ren'shen
人参芦,ren'shen'lu
肉苁蓉,rou'cong'rong
肉豆蔻,rou'dou'kou
肉桂,rou'gui
乳香,ru'xiang
蕤仁,rui'ren
三白草,san'bai'cao
三叉苦,san'cha'ku
三颗针,san'ke'zhen
三棱,san'leng
三七,san'qi
桑白皮,sang'bai'pi
桑寄生,sang'ji'sheng
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
沙棘,sha'ji
砂仁,sha'ren
沙苑子,sha'yuan'zi
沙枣,sha'zao
沙枣叶,sha'zao'ye
山慈姑,shan'ci'gu
山慈菇,shan'ci'gu
山豆根,shan'dou'gen
山柰,shan'nai
山药,shan'yao
山楂,shan'zha
山芝麻,shan'zhi'ma
山茱萸,shan'zhu'yu
上灙人参,shang'dang'ren'shen
商陆,shang'lu
蛇床子,she'chuang'zi
蛇胆,she'dan
蛇毒,she'du
射干,she'gan
蛇蜕,she'tui
麝香,she'xiang
麝香草,she'xiang'cao
伸筋草,shen'jin'cao
神曲,shen'qu
生姜,sheng'jiang
升麻,sheng'ma
蓍草,shi'cao
石菖蒲,shi'chang'pu
十大功劳叶,shi'da'gong'lao'ye
柿蒂,shi'di
石吊兰,shi'diao'lan
石膏,shi'gao
石斛,shi'hu
石灰,shi'hui
石见穿,shi'jian'chuan
石椒草,shi'jiao'cao
石决明,shi'jue'ming
使君子,shi'jun'zi
石榴皮,shi'liu'pi
石楠藤,shi'nan'teng
石楠叶,shi'nan'ye
石苇,shi'wei
石燕,shi'yan
食盐,shi'yan
石钻子,shi'zuan'zi
手参,shou'can
首乌藤,shou'wu'teng
熟地,shu'di
薯莨,shu'liang
鼠曲草,shu'qu'cao
水菖蒲,shui'chang'pu
水红花子,shui'hong'hua'zi
水煎,shui'jian
水蔓青,shui'man'qing
水牛角,shui'niu'jiao
水牛角浓缩粉,shui'niu'jiao'nong'suo'fen
水苏,shui'su
水蜈蚣,shui'wu'gong
水杨梅,shui'yang'mei
水银,shui'yin
水蛭,shui'zhi
四方藤,si'fang'teng
丝瓜络,si'gua'luo
四季青,si'ji'qing
四物汤,si'wu'tang
四叶参,si'ye'can
松花粉,song'hua'fen
松节油,song'jie'you
松萝,song'luo
松塔,song'ta
松香,song'xiang
松香脂,song'xiang'zhi
苏合香,su'he'xiang
苏木,su'mu
素馨花,su'xin'hua
酸枣仁,suan'zao'ren
娑罗子,suo'luo'zi
锁阳,suo'yang
太子参,tai'zi'shen
檀香,tan'xiang
桃儿七,tao'er'qi
桃金娘根,tao'jin'niang'gen
桃仁,tao'ren
甜地丁,tian'di'ding
天冬,tian'dong
甜瓜子,tian'gua'zi
天花粉,tian'hua'fen
天葵子,tian'kui'zi
天麻,tian'ma
天名精,tian'ming'jing
天南星,tian'nan'xing
天仙藤,tian'xian'teng
天竺黄,tian'zhu'huang
铁落,tie'luo
铁苋菜,tie'xian'cai
葶苈子,ting'li'zi
通草,tong'cao
透骨草,tou'gu'cao
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土大黄,tu'dai'huang
土党参,tu'dang'shen
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
菟丝子,tu'si'zi
瓦楞子,wa'leng'zi
瓦松,wa'song
万年青,wan'nian'qing
王不留行,wang'bu'liu'xing
委陵菜,wei'ling'cai
威灵仙,wei'ling'xian
五倍子,wu'bei'zi
蜈蚣,wu'gong
乌骨鸡,wu'gu'ji
五加皮,wu'jia'pi
乌桕,wu'jiu
乌韭,wu'jiu
五灵脂,wu'ling'zhi
乌梅,wu'mei
乌梢蛇,wu'shao'she
五味子,wu'wei'zi
乌药,wu'yao
芜荑,wu'yi
五指毛桃,wu'zhi'mao'tao
吴茱萸,wu'zhu'yu
西瓜,xi'gua
西瓜皮,xi'gua'pi
西瓜霜,xi'gua'shuang
西河柳,xi'he'liu
犀角,xi'jiao
喜树,xi'shu
豨莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
仙鹤草,xian'he'cao
仙茅,xian'mao
仙桃草,xian'tao'cao
咸竹蜂,xian'zhu'feng
鲜竹沥,xian'zhu'li
香附,xiang'fu
香果脂,xiang'guo'zhi
香加皮,xiang'jia'pi
象皮,xiang'pi
香薷,xiang'ru
向天盏,xiang'tian'zhan
象牙,xiang'ya
香橼,xiang'yuan
小飞扬草,xiao'fei'yang'cao
小红参,xiao'hong'shen
小茴香,xiao'hui'xiang
小蓟,xiao'ji
小通草,xiao'tong'cao
小野鸡尾,xiao'ye'ji'wei
薤白,xie'bai
缬草,xie'cao
蟹壳,xie'ke
辛夷,xin'yi
熊胆,xiong'dan
雄黄,xiong'huang
徐长卿,xu'chang'qing
续断,xu'duan
续随子,xu'sui'zi
萱草根,xuan'cao'gen
旋复花,xuan'fu'hua
玄明粉,xuan'ming'fen
玄参,xuan'shen
雪胆,xue'dan
血竭,xue'jie
雪莲花,xue'lian'hua
雪上一枝蒿,xue'shang'yi'zhi'hao
血余炭,xue'yu'tan
寻骨风,xun'gu'feng
鸦胆子,ya'dan'zi
鸦片,ya'pian
鸭跖草,ya'zhi'cao
岩白菜,yan'bai'cai
岩白菜素,yan'bai'cai'su
延胡索,yan'hu'suo
洋地黄叶,yang'di'huang'ye
羊耳菊,yang'er'ju
羊肝,yang'gan
洋金花,yang'jin'hua
阳起石,yang'qi'shi
羊肉,yang'rou
杨树花,yang'shu'hua
野菊花,ye'ju'hua
野马追,ye'ma'zhui
野木瓜,ye'mu'gua
伊贝母,yi'bei'mu
一点红,yi'dian'hong
益母草,yi'mu'cao
益母草膏,yi'mu'cao'gao
饴糖,yi'tang
一叶荻,yi'ye'di
薏苡仁,yi'yi'ren
一枝黄花,yi'zhi'huang'hua
益智仁,yi'zhi'ren
银柴胡,yin'chai'hu
茵陈,yin'chen
阴地蕨,yin'di'jue
银耳,yin'er
阴性草,yin'xing'cao
银杏叶,yin'xing'ye
淫羊藿,yin'yang'huo
罂粟壳,ying'su'ke
有瓜石斛,you'gua'shi'hu
油松节,you'song'jie
郁金,yu'jin
郁李仁,yu'li'ren
玉米须,yu'mi'xu
玉屑,yu'xie
鱼腥草,yu'xing'cao
禹余粮,yu'yu'liang
预知子,yu'zhi'zi
玉竹,yu'zhu
元宝草,yuan'bao'cao
芫花,yuan'hua
远志,yuan'zhi
月季花,yue'ji'hua
月见草,yue'jian'cao
云苓,yun'ling
云母石,yun'mu'shi
云实根,yun'shi'gen
芸香草,yun'xiang'cao
皂角刺,zao'jiao'ci
早晚饭后温服,zao'wan'fan'hou'wen'fu
泽兰,ze'lan
泽漆,ze'qi
泽泻,ze'xie
樟脑,zhang'nao
浙贝母,zhe'bei'mu
赭石,zhe'shi
珍珠,zhen'zhu
珍珠母,zhen'zhu'mu
枳壳,zhi'ke
知母,zhi'mu
枳实,zhi'shi
制竹蜂,zhi'zhu'feng
支柱蓼,zhi'zhu'liao
蜘蛛香,zhi'zhu'xiang
栀子,zhi'zi
肿节风,zhong'jie'feng
钟乳石,zhong'ru'shi
竹节参,zhu'jie'can
猪苓,zhu'ling
竹茹,zhu'ru
朱砂,zhu'sha
朱砂根,zhu'sha'gen
朱砂莲,zhu'sha'lian
朱砂七,zhu'sha'qi
猪蹄甲,zhu'ti'jia
猪牙皂,zhu'ya'zao
猪殃殃,zhu'yang'yang
珠子参,zhu'zi'can
猪鬃草,zhu'zong'cao
紫贝齿,zi'bei'chi
紫草,zi'cao
紫草茸,zi'cao'rong
紫河车,zi'he'che
紫花地丁,zi'hua'di'ding
紫萁贯众,zi'qi'guan'zhong
自然铜,zi'ran'tong
紫石英,zi'shi'ying
紫苏,zi'su
紫苏梗,zi'su'geng
紫苏子,zi'su'zi
紫菀,zi'wan
紫竹,zi'zhu
棕榈,zong'lv
祖司麻,zu'si'ma
