坝地,ba'di
淋溶侵蚀,lin'rong'qin'shi
流域产沙量,liu'yu'chan'sha'liang
流域输沙量,liu'yu'shu'sha'liang
垄作区田,long'zuo'qu'tian
密生作物,mi'sheng'zuo'wu
免耕,mian'geng
面蚀,mian'shi
泥沙输移比,ni'sha'shu'yi'bi
抛石,pao'shi
抛石护坡,pao'shi'hu'po
喷浆,pen'jiang
喷锚,pen'mao
片蚀,pian'shi
平衡剖面,ping'heng'pou'mian
坡地干旱,po'di'gan'han
坡面集雨工程,po'mian'ji'yu'gong'cheng
坡面截流沟,po'mian'jie'liu'gou
坡面治理工程,po'mian'zhi'li'gong'cheng
坡式梯田,po'shi'ti'tian
起沙风速,qi'sha'feng'su
弃土,qi'tu
弃渣,qi'zha
弃渣场,qi'zha'chang
樵采,qiao'cai
侵蚀沟,qin'shi'gou
侵蚀基准,qin'shi'ji'zhun
侵蚀基准面,qin'shi'ji'zhun'mian
侵蚀模数,qin'shi'mo'shu
秋熟作物,qiu'shu'zuo'wu
沙尘暴,sha'chen'bao
沙障,sha'zhang
沙质荒漠化,sha'zhi'huang'mo'hua
山洪侵蚀,shan'hong'qin'shi
山洪易发区,shan'hong'yi'fa'qu
山塘,shan'tang
涉水,she'shui
石漠化,shi'mo'hua
输沙,shu'sha
输沙率,shu'sha'lv
输沙模数,shu'sha'mo'shu
疏生作物,shu'sheng'zuo'wu
水保,shui'bao
水保办,shui'bao'ban
水保科,shui'bao'ke
水窖,shui'jiao
水浇地,shui'jiao'di
水平槽,shui'ping'cao
水平沟,shui'ping'gou
水平梯田,shui'ping'ti'tian
水土保持,shui'tu'bao'chi
水土保持设施补偿费,shui'tu'bao'chi'she'shi'bu'chang'fei
水土保持原理,shui'tu'bao'chi'yuan'li
水土流失,shui'tu'liu'shi
水土流失分区,shui'tu'liu'shi'fen'qu
水坠坝,shui'zhui'ba
四荒资源,si'huang'zi'yuan
塑限,su'xian
塑性流动,su'xing'liu'dong
溯源侵蚀,su'yuan'qin'shi
缩限,suo'xian
梯田,ti'tian
天然坡面径流场,tian'ran'po'mian'jing'liu'chang
土地沙化,tu'di'sha'hua
土地退化,tu'di'tui'hua
土壤抗蚀性,tu'rang'kang'shi'xing
土壤侵蚀,tu'rang'qin'shi
土壤侵蚀程度,tu'rang'qin'shi'cheng'du
土壤侵蚀强度,tu'rang'qin'shi'qiang'du
土石山区,tu'shi'shan'qu
细沟侵蚀,xi'gou'qin'shi
夏熟作物,xia'shu'zuo'wu
小流域,xiao'liu'yu
小流域经济,xiao'liu'yu'jing'ji
小流域综合治理,xiao'liu'yu'zong'he'zhi'li
泻溜,xie'liu
挟沙,xie'sha
蓄水保土效益,xu'shui'bao'tu'xiao'yi
蓄水槽,xu'shui'cao
蓄水沟,xu'shui'gou
削坡,xue'po
岩坎,yan'kan
堰塘,yan'tang
扬沙,yang'sha
液限,ye'xian
宜治理面积,yi'zhi'li'mian'ji
引洪漫地,yin'hong'man'di
引水拉沙造田,yin'shui'la'sha'zao'tian
郁闭度,yu'bi'du
淤地坝,yu'di'ba
鱼鳞坑,yu'lin'keng
雨养地,yu'yang'di
塬边防护林,yuan'bian'fang'hu'lin
允许土壤侵蚀量,yun'xu'tu'rang'qin'shi'liang
造林保存率,zao'lin'bao'cun'lv
造林密度,zao'lin'mi'du
造林整地,zao'lin'zheng'de
渣场,zha'chang
正常侵蚀,zheng'chang'qin'shi
植被覆盖率,zhi'bei'fu'gai'lv
终极侵蚀基面,zhong'ji'qin'shi'ji'mian
重力侵蚀,zhong'li'qin'shi
竹节壕,zhu'jie'hao
