阿尔伯特龙,a'er'bo'te'long
结节龙,jie'jie'long
结节龙类,jie'jie'long'lei
近角龙,jin'jiao'long
颈发鸟,jing'fa'niao
鲸龙,jing'long
鲸龙类,jing'long'lei
久滨龙,jiu'bin'long
巨齿龙,ju'chi'long
惧龙,ju'long
巨椎龙,ju'zhui'long
掘颌龙,jue'he'long
卡库儿,ka'ku'er
开角龙,kai'jiao'long
凯亚拉达翼龙,kai'ya'la'da'yi'long
科罗拉蒂龙,ke'luo'la'di'long
恐龙,kong'long
恐龙前肢,kong'long'qian'zhi
恐爪龙,kong'zhao'long
恐爪龙类,kong'zhao'long'lei
库里达龙,ku'li'da'long
快盗龙,kuai'dao'long
盔龙,kui'long
昆明龙,kun'ming'long
莱巴基龙,lai'ba'ji'long
莱克绍韦龙,lai'ke'shao'wei'long
莱蒙德龙,lai'meng'de'long
莱索托龙,lai'suo'tuo'long
莱索托龙类,lai'suo'tuo'long'lei
兰氏龙,lan'shi'long
蓝尾龙,lan'wei'long
狼鼻龙,lang'bi'long
肋里龙,lei'li'long
雷利诺龙,lei'li'nuo'long
棱长颈龙,leng'chang'jing'long
棱齿龙,leng'chi'long
棱齿龙类,leng'chi'long'lei
里奥哈龙,li'ao'ha'long
理理恩龙,li'li'en'long
离片齿龙,li'pian'chi'long
镰刀龙,lian'dao'long
镰刀龙类,lian'dao'long'lei
梁龙,liang'long
梁龙类,liang'long'lei
裂龙,lie'long
猎鱼龙,lie'yu'long
林龙,lin'long
瘤龙,liu'long
龙甲龙,long'jia'long
禄丰龙,lu'feng'long
路易斯龙,lu'yi'si'long
马拉维龙,ma'la'wei'long
马赖埃暴龙,ma'lai'ai'bao'long
马门溪龙,ma'men'xi'long
马任加龙,ma'ren'jia'long
蛮龙,man'long
慢龙,man'long
茂师龙,mao'shi'long
美甲龙,mei'jia'long
蒙大拿角龙,meng'da'na'jiao'long
米莫奥拉龙,mi'mo'ao'la'long
敏迷龙,min'mi'long
姆拉埃洛龙,mu'la'ai'luo'long
穆塔布拉龙,mu'ta'bu'la'long
纳摩盖吐龙,na'mo'gai'tu'long
南方巨兽龙,nan'fang'ju'shou'long
南方龙,nan'fang'long
南极龙,nan'ji'long
南雄龙,nan'xiong'long
南翼龙,nan'yi'long
鸟脚类,niao'jiao'lei
鸟龙,niao'long
鸟臀类,niao'tun'lei
鸟臀目,niao'tun'mu
牛角龙,niu'jiao'long
牛龙,niu'long
诺亚龙,nuo'ya'long
派克鳄,pai'ke'e
盘足龙,pan'zu'long
盘足龙类,pan'zu'long'lei
披羽蛇翼龙,pi'yu'she'yi'long
平头龙,ping'tou'long
奇齿龙,qi'chi'long
奇角龙,qi'jiao'long
气龙,qi'long
奇异龙,qi'yi'long
千禧中国鸟龙,qian'xi'zhong'guo'niao'long
腔骨龙,qiang'gu'long
巧龙,qiao'long
禽龙,qin'long
禽龙类,qin'long'lei
青岛龙,qing'dao'long
倾头龙,qing'tou'long
酋龙,qiu'long
日本龙,ri'ben'long
肉食龙类,rou'shi'long'lei
弱角龙,ruo'jiao'long
萨尔塔龙,sa'er'ta'long
三叠纪,san'die'ji
三角龙,san'jiao'long
三角洲奔龙,san'jiao'zhou'ben'long
鲨齿龙,sha'chi'long
沙罗波塞龙,sha'luo'bo'sai'long
沙马龙,sha'ma'long
沙漠龙,sha'mo'long
沙尼龙,sha'ni'long
山东龙,shan'dong'long
鄯善龙,shan'shan'long
杉山龙,shan'shan'long
山头龙,shan'tou'long
山中龙,shan'zhong'long
伤齿龙,shang'chi'long
蛇颈龙,she'jing'long
圣胡安黑瑞龙,sheng'hu'an'hei'rui'long
胜山龙,sheng'shan'long
始盗龙,shi'dao'long
嗜鸟龙,shi'niao'long
石头类,shi'tou'lei
十字龙,shi'zi'long
始祖鸟,shi'zu'niao
始祖鸟龙,shi'zu'niao'long
兽脚恐龙,shou'jiao'kong'long
兽脚类,shou'jiao'lei
蜀龙,shu'long
双冠龙,shuang'guan'long
双型齿翼龙,shuang'xing'chi'yi'long
双叶龙,shuang'ye'long
似鳄龙,si'e'long
似鸸鹋龙,si'er'miao'long
似鸡龙,si'ji'long
斯基皮奥龙,si'ji'pi'ao'long
似鸟龙,si'niao'long
似鸟龙类,si'niao'long'lei
似人面鸟龙,si'ren'mian'niao'long
似神鸟龙,si'shen'niao'long
似鸵龙,si'tuo'long
似鹧鸪龙,si'zhe'gu'long
速龙,su'long
索德斯龙,suo'de'si'long
塔基亚龙,ta'ji'ya'long
泰坦巨龙类,tai'tan'ju'long'lei
泰垣巨龙,tai'yuan'ju'long
特暴龙,te'bao'long
天池龙,tian'chi'long
天山龙,tian'shan'long
同角龙,tong'jiao'long
偷蛋龙,tou'dan'long
偷蛋龙类,tou'dan'long'lei
头饰类,tou'shi'lei
头饰龙,tou'shi'long
土仓龙,tu'cang'long
沱江龙,tuo'jiang'long
鸵鸟形恐龙,tuo'niao'xing'kong'long
腕龙,wan'long
弯龙,wan'long
腕龙类,wan'long'lei
皖南龙,wan'nan'long
微角龙,wei'jiao'long
尾空龙,wei'kong'long
伪龙类,wei'long'lei
胃石,wei'shi
尾羽鸟,wei'yu'niao
无齿翼龙,wu'chi'yi'long
无颚龙,wu'e'long
乌尔禾龙,wu'er'he'long
五角龙,wu'jiao'long
无角龙,wu'jiao'long
乌塔茨龙,wu'ta'ci'long
西风龙,xi'feng'long
蜥脚类,xi'jiao'lei
蜥脚类恐龙,xi'jiao'lei'kong'long
蜥脚形类,xi'jiao'xing'lei
系统树,xi'tong'shu
蜥臀目,xi'tun'mu
蜥装甲龙,xi'zhuang'jia'long
狭翼龙,xia'yi'long
咸海龙,xian'hai'long
纤角龙,xian'jiao'long
橡树龙,xiang'shu'long
小暴龙,xiao'bao'long
小盾龙,xiao'dun'long
小型鸟脚类,xiao'xing'niao'jiao'lei
熊本御船龙,xiong'ben'yu'chuan'long
秀颌龙,xiu'he'long
虚骨龙类,xu'gu'long'lei
亚伯龙,ya'bo'long
亚布兰龙,ya'bu'lan'long
亚佛瑞兹龙,ya'fo'rui'zi'long
亚佛瑞兹龙类,ya'fo'rui'zi'long'lei
亚洲古似鸟龙,ya'zhou'gu'si'niao'long
鸭嘴龙,ya'zui'long
鸭嘴龙类,ya'zui'long'lei
盐都龙,yan'du'long
杨氏中国鸟龙,yang'shi'zhong'guo'niao'long
妖翼龙,yao'yi'long
伊拉夫罗龙,yi'la'fu'luo'long
翼龙,yi'long
翼手龙,yi'shou'long
一指龙,yi'zhi'long
印度龙,yin'du'long
鹰龙,ying'long
鹦鹉嘴龙,ying'wu'zui'long
鹦鹉嘴龙类,ying'wu'zui'long'lei
永川龙,yong'chuan'long
勇龙,yong'long
犹他猛龙,you'ta'meng'long
优头甲头,you'tou'jia'tou
御船角龙,yu'chuan'jiao'long
御船龙,yu'chuan'long
鱼龙,yu'long
鱼龙类,yu'long'lei
原巴克龙,yuan'ba'ke'long
原鼻角龙,yuan'bi'jiao'long
圆顶龙,yuan'ding'long
圆顶龙类,yuan'ding'long'lei
原鳄,yuan'e
原棘龙,yuan'ji'long
原角冠龙,yuan'jiao'guan'long
原角龙,yuan'jiao'long
原角龙类,yuan'jiao'long'lei
原鲸龙,yuan'jing'long
原始的鸟脚类,yuan'shi'de'niao'jiao'lei
原始的鸟臀类,yuan'shi'de'niao'tun'lei
原始的兽脚类,yuan'shi'de'shou'jiao'lei
原始的蜥脚类,yuan'shi'de'xi'jiao'lei
原始鸟,yuan'shi'niao
原蜥脚类,yuan'xi'jiao'lei
原鸭嘴龙,yuan'ya'zui'long
跃龙,yue'long
越前龙,yue'qian'long
云南龙,yun'nan'long
沼泽龙,zhao'ze'long
真双齿翼龙,zhen'shuang'chi'yi'long
肢龙,zhi'long
肢龙类,zhi'long'lei
中华龙鸟,zhong'hua'long'niao
中华鸟龙,zhong'hua'niao'long
中华贼龙,zhong'hua'zei'long
重龙,zhong'long
中生代,zhong'sheng'dai
肿头龙,zhong'tou'long
肿头龙类,zhong'tou'long'lei
重爪龙,zhong'zhao'long
主龙形类,zhu'long'xing'lei
侏罗纪,zhu'luo'ji
侏儒龙,zhu'ru'long
装盾类,zhuang'dun'lei
装甲龙,zhuang'jia'long
准噶尔翼龙,zhun'ga'er'yi'long
祖巴利亚龙,zu'ba'li'ya'long
祖龙,zu'long
