鞍背,an'bei
解剖学姿势,jie'pou'xue'zi'shi
界线,jie'xian
近侧,jin'ce
近节指骨,jin'jie'zhi'gu
筋膜,jin'mo
胫侧,jing'ce
胫侧副韧带,jing'ce'fu'ren'dai
颈动脉沟,jing'dong'mai'gou
颈动脉结节,jing'dong'mai'jie'jie
胫腓关节,jing'fei'guan'jie
胫骨,jing'gu
胫骨粗隆,jing'gu'cu'long
颈静脉孔,jing'jing'mai'kong
颈静脉切迹,jing'jing'mai'qie'ji
茎乳孔,jing'ru'kong
颈椎,jing'zhui
九分法,jiu'fen'fa
距腓后韧带,ju'fei'hou'ren'dai
距腓前韧带,ju'fei'qian'ren'dai
距跟关节,ju'gen'guan'jie
距跟内侧韧带,ju'gen'nei'ce'ren'dai
距跟舟关节,ju'gen'zhou'guan'jie
距骨,ju'gu
距下关节,ju'xia'guan'jie
距小腿关节,ju'xiao'tui'guan'jie
距舟背侧韧带,ju'zhou'bei'ce'ren'dai
距舟韧带,ju'zhou'ren'dai
颏棘,ke'ji
髁间窝,ke'jian'wo
颏孔,ke'kong
颏隆凸,ke'long'tu
髁状突,ke'zhuang'tu
髋骨,kuan'gu
髋关节,kuan'guan'jie
髋臼,kuan'jiu
髋臼唇,kuan'jiu'chun
髋臼横韧带,kuan'jiu'heng'ren'dai
髋臼切迹,kuan'jiu'qie'ji
眶面,kuang'mian
眶上孔,kuang'shang'kong
眶上裂,kuang'shang'lie
眶突,kuang'tu
眶下沟,kuang'xia'gou
眶下管,kuang'xia'guan
眶下孔,kuang'xia'kong
眶下裂,kuang'xia'lie
阔肌,kuo'ji
肋弓,lei'gong
肋沟,lei'gou
泪沟,lei'gou
泪骨,lei'gu
肋横突关节,lei'heng'tu'guan'jie
肋间隙,lei'jian'xi
肋角,lei'jiao
肋结节,lei'jie'jie
肋颈,lei'jing
泪囊窝,lei'nang'wo
泪切迹,lei'qie'ji
肋软骨,lei'ruan'gu
肋体,lei'ti
肋头,lei'tou
肋头关节,lei'tou'guan'jie
泪腺窝,lei'xian'wo
肋椎关节,lei'zhui'guan'jie
犁骨,li'gu
梨状孔,li'zhuang'kong
鳞部,lin'bu
隆椎,long'zhui
颅骨,lu'gu
颅后窝,lu'hou'wo
颅前窝,lu'qian'wo
颅囟,lu'xin
颅中窝,lu'zhong'wo
卵圆孔,luan'yuan'kong
轮匝肌,lun'za'ji
面颅,mian'lu
拇指腕掌关节,mu'zhi'wan'zhang'guan'jie
囊内韧带,nang'nei'ren'dai
囊外韧带,nang'wai'ren'dai
脑颅,nao'lu
内侧板,nei'ce'ban
内侧半月板,nei'ce'ban'yue'ban
内侧唇,nei'ce'chun
内侧髁,nei'ce'ke
内侧韧带,nei'ce'ren'dai
内侧楔骨,nei'ce'xie'gu
内耳道,nei'er'dao
内耳门,nei'er'men
内翻,nei'fan
内踝,nei'huai
内上髁,nei'shang'ke
内收,nei'shou
颞骨,nie'gu
颞窝,nie'wo
颞下颌关节,nie'xia'he'guan'jie
颞下窝,nie'xia'wo
平面关节,ping'mian'guan'jie
平行肌,ping'xing'ji
破裂孔,po'lie'kong
髂耻隆起,qia'chi'long'qi
髂粗隆,qia'cu'long
髂骨,qia'gu
髂股韧带,qia'gu'ren'dai
髂骨体,qia'gu'ti
髂骨翼,qia'gu'yi
髂后上棘,qia'hou'shang'ji
髂后下棘,qia'hou'xia'ji
髂嵴,qia'ji
髂结节,qia'jie'jie
髂前上棘,qia'qian'shang'ji
髂前下棘,qia'qian'xia'ji
髂窝,qia'wo
前弓,qian'gong
前交叉韧带,qian'jiao'cha'ren'dai
前结节,qian'jie'jie
浅筋膜,qian'jin'mo
前外侧囟,qian'wai'ce'xin
前斜角肌结节,qian'xie'jiao'ji'jie'jie
前囟,qian'xin
前正中线,qian'zheng'zhong'xian
前纵韧带,qian'zong'ren'dai
切迹,qie'ji
切牙管,qie'ya'guan
切牙孔,qie'ya'kong
球窝关节,qiu'wo'guan'jie
躯干骨,qu'gan'gu
颧突,quan'tu
桡侧,rao'ce
桡侧副韧带,rao'ce'fu'ren'dai
桡尺近侧关节,rao'chi'jin'ce'guan'jie
桡尺远侧关节,rao'chi'yuan'ce'guan'jie
桡骨,rao'gu
桡骨颈桡骨粗隆,rao'gu'jing'rao'gu'cu'long
桡骨茎突,rao'gu'jing'tu
桡骨头,rao'gu'tou
桡切迹,rao'qie'ji
桡神经沟,rao'shen'jing'gou
桡腕关节,rao'wan'guan'jie
韧带,ren'dai
韧带连接,ren'dai'lian'jie
人体结构学,ren'ti'jie'gou'xue
人字缝,ren'zi'feng
乳突,ru'tu
乳突囟,ru'tu'xin
三叉神经压迹,san'cha'shen'jing'ya'ji
三角骨,san'jiao'gu
三角肌粗隆,san'jiao'ji'cu'long
三角韧带,san'jiao'ren'dai
筛板,shai'ban
筛窦,shai'dou
筛骨,shai'gu
筛骨垂直板,shai'gu'chui'zhi'ban
筛骨嵴,shai'gu'ji
筛骨迷路,shai'gu'mi'lu
筛孔,shai'kong
上鼻道,shang'bi'dao
上鼻甲,shang'bi'jia
上颌窦,shang'he'dou
上颌骨,shang'he'gu
上颌结节,shang'he'jie'jie
上颌面,shang'he'mian
上肋凹,shang'lei'ao
上肢骨,shang'zhi'gu
舌骨,she'gu
舌骨体,she'gu'ti
舌下神经管外口,she'xia'shen'jing'guan'wai'kou
深筋膜,shen'jin'mo
视神经管,shi'shen'jing'guan
矢状缝,shi'zhuang'feng
矢状面,shi'zhuang'mian
矢状轴,shi'zhuang'zhou
手骨,shou'gu
手关节,shou'guan'jie
收肌结节,shou'ji'jie'jie
手舟骨,shou'zhou'gu
枢椎,shu'zhui
双羽状肌,shuang'yu'zhuang'ji
双轴关节,shuang'zhou'guan'jie
四分法,si'fen'fa
四肢骨,si'zhi'gu
髓核,sui'he
髓腔,sui'qiang
锁骨,suo'gu
锁骨中线,suo'gu'zhong'xian
梭状肌,suo'zhuang'ji
弹簧韧带,tan'huang'ren'dai
提携角,ti'xie'jiao
骰骨,tou'gu
头状骨,tou'zhuang'gu
臀肌粗隆,tun'ji'cu'long
椭圆关节,tuo'yuan'guan'jie
外侧板,wai'ce'ban
外侧半月板,wai'ce'ban'yue'ban
外侧唇,wai'ce'chun
外侧髁,wai'ce'ke
外侧韧带,wai'ce'ren'dai
外侧楔骨,wai'ce'xie'gu
外侧纵弓,wai'ce'zong'gong
外耳道,wai'er'dao
外耳门,wai'er'men
外翻,wai'fan
外踝,wai'huai
外踝前韧带,wai'huai'qian'ren'dai
外科颈,wai'ke'jing
外上髁,wai'shang'ke
外展,wai'zhan
豌豆骨,wan'dou'gu
腕骨,wan'gu
腕骨沟,wan'gu'gou
腕骨间关节,wan'gu'jian'guan'jie
腕关节,wan'guan'jie
腕掌关节,wan'zhang'guan'jie
腕中关节,wan'zhong'guan'jie
尾骨,wei'gu
尾骨角,wei'gu'jiao
膝关节,xi'guan'jie
下鼻道,xia'bi'dao
下鼻甲,xia'bi'jia
下颌骨,xia'he'gu
下颌管,xia'he'guan
下颌角,xia'he'jiao
下颌孔,xia'he'kong
下颌体,xia'he'ti
下颌头,xia'he'tou
下颌窝,xia'he'wo
下颌支,xia'he'zhi
下肋凹,xia'lei'ao
下肢骨,xia'zhi'gu
纤维层,xian'wei'ceng
纤维环,xian'wei'huan
项韧带,xiang'ren'dai
小多角骨,xiao'duo'jiao'gu
小骨盆,xiao'gu'pen
小角,xiao'jiao
小结节,xiao'jie'jie
小结节嵴,xiao'jie'jie'ji
小腿骨间膜,xiao'tui'gu'jian'mo
小转子,xiao'zhuan'zi
楔间背侧韧带,xie'jian'bei'ce'ren'dai
斜坡,xie'po
协同肌,xie'tong'ji
楔舟背侧韧带,xie'zhou'bei'ce'ren'dai
楔舟足底韧带,xie'zhou'zu'di'ren'dai
胸骨,xiong'gu
胸骨柄,xiong'gu'bing
胸骨端,xiong'gu'duan
胸骨角,xiong'gu'jiao
胸骨旁线,xiong'gu'pang'xian
胸骨体,xiong'gu'ti
胸骨下角,xiong'gu'xia'jiao
胸骨线,xiong'gu'xian
胸廓上口,xiong'kuo'shang'kou
胸廓下口,xiong'kuo'xia'kou
胸肋关节,xiong'lei'guan'jie
胸锁关节,xiong'suo'guan'jie
胸椎,xiong'zhui
旋后,xuan'hou
旋内,xuan'nei
旋前,xuan'qian
旋外,xuan'wai
牙槽弓,ya'cao'gong
牙槽突,ya'cao'tu
压迹,ya'ji
岩部,yan'bu
岩上窦沟,yan'shang'dou'gou
腰椎,yao'zhui
腋后线,ye'hou'xian
腋前线,ye'qian'xian
腋中线,ye'zhong'xian
翼点,yi'dian
翼腭窝,yi'e'wo
翼沟,yi'gou
翼状襞,yi'zhuang'bi
乙状窦沟,yi'zhuang'dou'gou
鹰嘴,ying'zui
鹰嘴窝,ying'zui'wo
盂唇,yu'chun
盂上结节,yu'shang'jie'jie
盂下结节,yu'xia'jie'jie
羽状肌,yu'zhuang'ji
远侧,yuan'ce
原动肌,yuan'dong'ji
远节指骨,yuan'jie'zhi'gu
远节指骨粗隆,yuan'jie'zhi'gu'cu'long
月骨,yue'gu
运动系统,yun'dong'xi'tong
掌侧,zhang'ce
掌骨,zhang'gu
掌骨间关节,zhang'gu'jian'guan'jie
掌指关节,zhang'zhi'guan'jie
枕骨,zhen'gu
枕骨大孔,zhen'gu'da'kong
枕髁,zhen'ke
真肋,zhen'lei
枕内隆凸,zhen'nei'long'tu
枕乳缝,zhen'ru'feng
枕外隆凸,zhen'wai'long'tu
趾骨,zhi'gu
跖骨,zhi'gu
指骨,zhi'gu
趾骨背侧韧带,zhi'gu'bei'ce'ren'dai
趾骨间关节,zhi'gu'jian'guan'jie
跖骨间关节,zhi'gu'jian'guan'jie
趾骨足底韧带,zhi'gu'zu'di'ren'dai
指间关节,zhi'jian'guan'jie
跖趾关节,zhi'zhi'guan'jie
中鼻道,zhong'bi'dao
中鼻甲,zhong'bi'jia
中间楔骨,zhong'jian'xie'gu
中节指骨,zhong'jie'zhi'gu
中轴骨,zhong'zhou'gu
舟骨粗隆,zhou'gu'cu'long
肘关节,zhou'guan'jie
转子间嵴,zhuan'zi'jian'ji
转子间线,zhuan'zi'jian'xian
椎弓,zhui'gong
椎弓板,zhui'gong'ban
椎弓根,zhui'gong'gen
椎骨,zhui'gu
椎管,zhui'guan
椎间孔,zhui'jian'kong
椎间盘,zhui'jian'pan
椎孔,zhui'kong
椎上切迹,zhui'shang'qie'ji
锥体,zhui'ti
椎体,zhui'ti
锥突,zhui'tu
椎下切迹,zhui'xia'qie'ji
滋养孔,zi'yang'kong
足底侧,zu'di'ce
足底长韧带,zu'di'chang'ren'dai
足底韧带,zu'di'ren'dai
足弓,zu'gong
足骨,zu'gu
足关节,zu'guan'jie
足舟骨,zu'zhou'gu
坐骨,zuo'gu
坐骨大切迹,zuo'gu'da'qie'ji
坐骨棘,zuo'gu'ji
坐骨结节,zuo'gu'jie'jie
坐骨体,zuo'gu'ti
坐骨小孔,zuo'gu'xiao'kong
坐骨小切迹,zuo'gu'xiao'qie'ji
坐骨支,zuo'gu'zhi
