阿巴多纳多,a'ba'duo'na'duo
斯特凡,si'te'fan
索林,suo'lin
索萨,suo'sa
塔拉拉凯,ta'la'la'kai
塔纳特,ta'na'te
塔帕洛维奇,ta'pa'luo'wei'qi
塔什彻,ta'shi'che
特劳雷,te'lao'lei
特雷默尔,te'lei'mo'er
特雷施,te'lei'shi
特雷特科,te'lei'te'ke
特罗德,te'luo'de
特罗霍夫斯基,te'luo'huo'fu'si'ji
特舍,te'she
廷加,ting'jia
托尼,tuo'ni
托斯基,tuo'si'ji
托松奥卢,tuo'song'ao'lu
托希奇,tuo'xi'qi
托伊尔考夫,tuo'yi'er'kao'fu
瓦尔施莱格,wa'er'shi'lai'ge
瓦格纳,wa'ge'na
瓦克斯穆特,wa'ke'si'mu'te
瓦索斯基,wa'suo'si'ji
瓦西,wa'xi
瓦西列维奇,wa'xi'lie'wei'qi
韦伯,wei'bo
魏登费勒,wei'deng'fei'le
维多西奇,wei'duo'xi'qi
维赫尼亚雷克,wei'he'ni'ya'lei'ke
维利,wei'li
维尼奥,wei'ni'ao
维尼修斯,wei'ni'xiu'si
魏森贝格尔,wei'sen'bei'ge'er
韦斯特曼,wei'si'te'man
维特克,wei'te'ke
韦希特,wei'xi'te
维泽,wei'ze
翁格尔,weng'ge'er
沃恩斯,wo'en'si
沃尔夫,wo'er'fu
沃姆,wo'mu
乌尔赖希,wu'er'lai'xi
希茨尔斯贝格,xi'ci'er'si'bei'ge
希尔,xi'er
希尔伯特,xi'er'bo'te
希卡尔,xi'ka'er
西科尔斯基,xi'ke'er'si'ji
希伦布兰德,xi'lun'bu'lan'de
希穆内克,xi'mu'nei'ke
希穆尼奇,xi'mu'ni'qi
席普洛克,xi'pu'luo'ke
小野伸二,xiao'ye'shen'er
谢斯塔克,xie'si'ta'ke
辛基维奇,xin'ji'wei'qi
许内迈尔,xu'nei'mai'er
雅各布森,ya'ge'bu'sen
亚罗利姆,ya'luo'li'mu
亚什维利,ya'shen'wei'li
延奇,yan'qi
延森,yan'sen
扬科夫,yang'ke'fu
扬森,yang'sen
叶夫柳斯金,ye'fu'liu'si'jin
叶海亚,ye'hai'ya
耶卡斯,ye'ka'si
耶利奇,ye'li'qi
耶伦,ye'lun
伊德贝尔,yi'de'bei'er
伊肯,yi'ken
伊姆霍夫,yi'mu'huo'fu
伊普沙,yi'pu'sha
伊斯梅尔,yi'si'mei'er
伊希亚库,yi'xi'ya'ku
尤里奇,you'li'qi
扎亚斯,zha'ya'si
哲科,zhe'ke
祖马,zu'ma
