八村,ba'cun
蓝塘,lan'tang
蓝塘北路口,lan'tang'bei'lu'kou
利通客运站,li'tong'ke'yun'zhan
莲花路口,lian'hua'lu'kou
莲塘,lian'tang
联裕工业园,lian'yu'gong'ye'yuan
六桥村,liu'qiao'cun
龙塘桥路口,long'tang'qiao'lu'kou
罗布村,luo'bu'cun
罗水,luo'shui
罗水地堂口,luo'shui'di'tang'kou
罗隐路口,luo'yin'lu'kou
罗园路口,luo'yuan'lu'kou
绿荷路,lv'he'lu
马安大道,ma'an'da'dao
马安镇,ma'an'zhen
马头岗,ma'tou'gang
梅庵路口,mei'an'lu'kou
梅亭,mei'ting
民福新村,min'fu'xin'cun
民乐桥,min'yue'qiao
名郡七星宛,ming'jun'qi'xing'wan
名郡七星苑,ming'jun'qi'xing'yuan
名郡尚林宛,ming'jun'shang'lin'wan
名郡西湖新筑,ming'jun'xi'hu'xin'zhu
明珠花园,ming'zhu'hua'yuan
明珠花苑,ming'zhu'hua'yuan
明珠酒店,ming'zhu'jiu'dian
明珠路,ming'zhu'lu
明珠路口,ming'zhu'lu'kou
莫村,mo'cun
睦岗,mu'gang
睦民路,mu'min'lu
南大街,nan'da'jie
男科医院,nan'ke'yi'yuan
南门,nan'men
南塘村,nan'tang'cun
南田村,nan'tian'cun
南兴三路,nan'xing'san'lu
南兴一路,nan'xing'yi'lu
农科所,nong'ke'suo
牌坊,pai'fang
牌坊东,pai'fang'dong
牌坊西,pai'fang'xi
披云楼,pi'yun'lou
蒲草村,pu'cao'cun
汽车技校,qi'che'ji'xiao
七村,qi'cun
祈福海岸,qi'fu'hai'an
七星岩西门,qi'xing'yan'xi'men
前村,qian'cun
前进北路,qian'jin'bei'lu
前进南路,qian'jin'nan'lu
前进中路,qian'jin'zhong'lu
桥北路,qiao'bei'lu
桥林村,qiao'lin'cun
桥西车场,qiao'xi'che'chang
青湾基,qing'wan'ji
人民路,ren'min'lu
人民南路,ren'min'nan'lu
人民中市场,ren'min'zhong'shi'chang
三榕港,san'rong'gang
三榕水厂,san'rong'shui'chang
沙街市场,sha'jie'shi'chang
山田村,shan'tian'cun
上外坑,shang'wai'keng
商业大厦,shang'ye'da'sha
圣地名轩,sheng'di'ming'xuan
市财政局,shi'cai'zheng'ju
市车站,shi'che'zhan
市电大,shi'dian'da
市二技校,shi'er'ji'xiao
市二医院,shi'er'yi'yuan
市法院,shi'fa'yuan
市高技,shi'gao'ji
市公安局,shi'gong'an'ju
市公安局北门,shi'gong'an'ju'bei'men
市工程学校,shi'gong'cheng'xue'xiao
市工商局,shi'gong'shang'ju
市技校,shi'ji'xiao
市交通技校,shi'jiao'tong'ji'xiao
市农校,shi'nong'xiao
食品厂,shi'pin'chang
石桥亭,shi'qiao'ting
市三医院,shi'san'yi'yuan
市四中,shi'si'zhong
市药厂,shi'yao'chang
市一医院,shi'yi'yi'yuan
市制药厂,shi'zhi'yao'chang
十字路,shi'zi'lu
水谷山谷水厂,shui'gu'shan'gu'shui'chang
水坑二,shui'keng'er
水坑一,shui'keng'yi
水坑一居委,shui'keng'yi'ju'wei
四会马房,si'hui'ma'fang
苏村,su'cun
太和路,tai'he'lu
坦场村,tan'chang'cun
棠岗北,tang'gang'bei
棠岗南,tang'gang'nan
棠下,tang'xia
体育中心,ti'yu'zhong'xin
体育中心东门,ti'yu'zhong'xin'dong'men
体育中心南门,ti'yu'zhong'xin'nan'men
天籁之星,tian'lai'zhi'xing
天宁北路,tian'ning'bei'lu
天宁南路,tian'ning'nan'lu
天宁中路,tian'ning'zhong'lu
天天购物广场,tian'tian'gou'wu'guang'chang
田心村,tian'xin'cun
铁路桥西站,tie'lu'qiao'xi'zhan
铁路区,tie'lu'qu
铁路五局三处,tie'lu'wu'ju'san'chu
同兴路口,tong'xing'lu'kou
外坑,wai'keng
外语学校,wai'yu'xue'xiao
万福东路,wan'fu'dong'lu
万福西路,wan'fu'xi'lu
伟成鞋厂,wei'cheng'xie'chang
文峰路,wen'feng'lu
西江船厂,xi'jiang'chuan'chang
西江南路,xi'jiang'nan'lu
西江装饰材料城,xi'jiang'zhuang'shi'cai'liao'cheng
西门,xi'men
下三村,xia'san'cun
仙女湖,xian'nv'hu
仙掌岩,xian'zhang'yan
向阳村口,xiang'yang'cun'kou
消防局,xiao'fang'ju
小湘,xiao'xiang
小湘军校,xiao'xiang'jun'xiao
小湘水泥厂,xiao'xiang'shui'ni'chang
新仓,xin'cang
新港路口,xin'gang'lu'kou
新江一村,xin'jiang'yi'cun
新街码头,xin'jie'ma'tou
新世界,xin'shi'jie
新市一医院,xin'shi'yi'yi'yuan
星荷北,xing'he'bei
星荷湖畔,xing'he'hu'pan
星河名郡,xing'he'ming'jun
星荷南,xing'he'nan
星湖大道南,xing'hu'da'dao'nan
星湖科技,xing'hu'ke'ji
星湖名郡,xing'hu'ming'jun
亚铝大街,ya'lv'da'jie
涯州,ya'zhou
岩前,yan'qian
砚洲路,yan'zhou'lu
砚洲路口,yan'zhou'lu'kou
砚洲码头,yan'zhou'ma'tou
氧吧茗轩,yang'ba'ming'xuan
依坑,yi'keng
艺术馆,yi'shu'guan
永安道班,yong'an'dao'ban
永安路口,yong'an'lu'kou
永安镇,yong'an'zhen
友谊路,you'yi'lu
友谊路口,you'yi'lu'kou
裕宝家具中心,yu'bao'jia'ju'zhong'xin
院主,yuan'zhu
院主二,yuan'zhu'er
院主一,yuan'zhu'yi
阅江楼,yue'jiang'lou
跃龙桥,yue'long'qiao
站前东路,zhan'qian'dong'lu
肇杰鞋厂,zhao'jie'xie'chang
肇庆北站路口,zhao'qing'bei'zhan'lu'kou
肇庆电视台,zhao'qing'dian'shi'tai
肇庆候机楼,zhao'qing'hou'ji'lou
肇庆火车站,zhao'qing'huo'che'zhan
肇庆女子医院,zhao'qing'nv'zi'yi'yuan
肇庆新港,zhao'qing'xin'gang
肇庆行政服务中心,zhao'qing'xing'zheng'fu'wu'zhong'xin
肇庆学院,zhao'qing'xue'yuan
肇庆医专分校,zhao'qing'yi'zhuan'fen'xiao
肇中新校,zhao'zhong'xin'xiao
蔗村,zhe'cun
真空泵厂,zhen'kong'beng'chang
志盛门控公司,zhi'sheng'men'kong'gong'si
中杰鞋厂,zhong'jie'xie'chang
中心市场,zhong'xin'shi'chang
中移动肇庆分公司,zhong'yi'dong'zhao'qing'fen'gong'si
中源名都,zhong'yuan'ming'du
