白刃格斗,bai'ren'ge'dou
敌后游击战,di'hou'you'ji'zhan
敌后作战,di'hou'zuo'zhan
敌进我进,di'jin'wo'jin
敌进我退,di'jin'wo'tui
地境,di'jing
地雷战,di'lei'zhan
敌疲我打,di'pi'wo'da
地区,di'qu
第三梯队,di'san'ti'dui
敌退我追,di'tui'wo'zhui
敌我必争的要地,di'wo'bi'zheng'de'yao'di
敌我态势,di'wo'tai'shi
地下化,di'xia'hua
地下化建设,di'xia'hua'jian'she
地下设施,di'xia'she'shi
地线,di'xian
地形方位,di'xing'fang'wei
第一梯队,di'yi'ti'dui
地域,di'yu
地域防空,di'yu'fang'kong
敌驻我扰,di'zhu'wo'rao
调防,diao'fang
定点掩护,ding'dian'yan'hu
兜击,dou'ji
堵击,du'ji
堵歼,du'jian
独立作战,du'li'zuo'zhan
短兵相接,duan'bing'xiang'jie
对空火力,dui'kong'huo'li
对内正面,dui'nei'zheng'mian
对外正面,dui'wai'zheng'mian
对峙,dui'zhi
发起战斗,fa'qi'zhan'dou
发射阵地,fa'she'zhen'di
发扬火力,fa'yang'huo'li
反蚕食,fan'can'shi
反革命战争,fan'ge'ming'zhan'zheng
反空降预备队,fan'kong'jiang'yu'bei'dui
反空降作战,fan'kong'jiang'zuo'zhan
反空袭,fan'kong'xi
反空袭措施,fan'kong'xi'cuo'shi
反扑,fan'pu
反侵略战争,fan'qin'lue'zhan'zheng
反扫荡,fan'sao'dang
反坦克单位,fan'tan'ke'dan'wei
反坦克火力,fan'tan'ke'huo'li
反坦克火器,fan'tan'ke'huo'qi
反坦克器材,fan'tan'ke'qi'cai
反坦克手,fan'tan'ke'shou
反坦克武器,fan'tan'ke'wu'qi
反坦克预备队,fan'tan'ke'yu'bei'dui
反坦克组,fan'tan'ke'zu
反围剿,fan'wei'jiao
防护力,fang'hu'li
防空,fang'kong
防空区域,fang'kong'qu'yu
防控体系,fang'kong'ti'xi
防空体系,fang'kong'ti'xi
防空武器,fang'kong'wu'qi
防空组织,fang'kong'zu'zhi
防突然袭击,fang'tu'ran'xi'ji
方位,fang'wei
分散,fen'san
粉碎,fen'sui
封闭,feng'bi
封锁,feng'suo
封锁区,feng'suo'qu
封锁消息,feng'suo'xiao'xi
俘获,fu'huo
俘虏,fu'lu
改造地形,gai'zao'di'xing
各个击破,ge'ge'ji'po
隔火区,ge'huo'qu
革命战争,ge'ming'zhan'zheng
跟进,gen'jin
根据地,gen'ju'di
攻其不备,gong'qi'bu'bei
工事构筑,gong'shi'gou'zhu
孤胆作战,gu'dan'zuo'zhan
孤军深入,gu'jun'shen'ru
光电测距仪,guang'dian'ce'ju'yi
光学瞄准镜,guang'xue'miao'zhun'jing
归建,gui'jian
国防,guo'fang
国防工程建设计划,guo'fang'gong'cheng'jian'she'ji'hua
国防工事,guo'fang'gong'shi
国防工业,guo'fang'gong'ye
国防建设,guo'fang'jian'she
国防科学技术,guo'fang'ke'xue'ji'shu
国防力量,guo'fang'li'liang
国防预算,guo'fang'yu'suan
国防政策,guo'fang'zheng'ce
国界标志,guo'jie'biao'zhi
国界线,guo'jie'xian
国内战争,guo'nei'zhan'zheng
国土防空,guo'tu'fang'kong
海防,hai'fang
海军基地,hai'jun'ji'di
合成预备队,he'cheng'yu'bei'dui
合同战斗,he'tong'zhan'dou
合同战术,he'tong'zhan'shu
合同作战,he'tong'zuo'zhan
核战争,he'zhan'zheng
红外测距仪,hong'wai'ce'ju'yi
红外线瞄准镜,hong'wai'xian'miao'zhun'jing
后撤,hou'che
后发制人,hou'fa'zhi'ren
后方,hou'fang
后方基地,hou'fang'ji'di
后续部队,hou'xu'bu'dui
化整为零,hua'zheng'wei'ling
换班,huan'ban
会合,hui'he
会师,hui'shi
回援,hui'yuan
混战,hun'zhan
火力,huo'li
火力报复,huo'li'bao'fu
火力封锁,huo'li'feng'suo
火力机动,huo'li'ji'dong
火力联系,huo'li'lian'xi
火力袭击,huo'li'xi'ji
火力压制,huo'li'ya'zhi
火力掩护,huo'li'yan'hu
火力延伸,huo'li'yan'shen
火力支援,huo'li'zhi'yuan
火力转移,huo'li'zhuan'yi
火力阻断,huo'li'zu'duan
火器机动,huo'qi'ji'dong
基本歼灭,ji'ben'jian'mie
机动,ji'dong
机动兵力,ji'dong'bing'li
机动部队,ji'dong'bu'dui
机动类型,ji'dong'lei'xing
机动样式,ji'dong'yang'shi
激光测距仪,ji'guang'ce'ju'yi
激光雷达,ji'guang'lei'da
集合,ji'he
集合地域,ji'he'di'yu
击毁,ji'hui
积极防空,ji'ji'fang'kong
集结,ji'jie
集结地域,ji'jie'di'yu
击溃,ji'kui
击溃战,ji'kui'zhan
技术器材,ji'shu'qi'cai
技术手段,ji'shu'shou'duan
技术准备,ji'shu'zhun'bei
机械化,ji'xie'hua
集中,ji'zhong
夹击,jia'ji
加强,jia'qiang
加入战斗,jia'ru'zhan'dou
坚壁清野,jian'bi'qing'ye
建军原则,jian'jun'yuan'ze
歼灭,jian'mie
歼灭性打击,jian'mie'xing'da'ji
歼灭战,jian'mie'zhan
坚韧性,jian'ren'xing
拣弱的打,jian'ruo'de'da
监视,jian'shi
僵持,jiang'chi
交叉火力,jiao'cha'huo'li
缴获,jiao'huo
交替前进,jiao'ti'qian'jin
交替掩护,jiao'ti'yan'hu
交替转移,jiao'ti'zhuan'yi
交通管制,jiao'tong'guan'zhi
交通枢纽,jiao'tong'shu'niu
交战,jiao'zhan
胶着,jiao'zhuo
界碑,jie'bei
接触,jie'chu
解放区,jie'fang'qu
解放战争,jie'fang'zhan'zheng
结合部,jie'he'bu
结合部保障,jie'he'bu'bao'zhang
界河航行例会,jie'he'hang'xing'li'hui
截击,jie'ji
街垒战,jie'lei'zhan
界牌,jie'pai
界塔,jie'ta
戒严,jie'yan
接应,jie'ying
界桩,jie'zhuang
近敌,jin'di
紧急疏散,jin'ji'shu'san
进剿,jin'jiao
进入战斗,jin'ru'zhan'dou
近战火力,jin'zhan'huo'li
近战武器,jin'zhan'wu'qi
进驻,jin'zhu
警戒雷达,jing'jie'lei'da
局部动员,ju'bu'dong'yuan
局部战争,ju'bu'zhan'zheng
据点,ju'dian
决战,jue'zhan
军备,jun'bei
军队,jun'dui
军费,jun'fei
军力,jun'li
军事,jun'shi
军史,jun'shi
军事辩证法,jun'shi'bian'zheng'fa
军事地理学,jun'shi'di'li'xue
军事管制,jun'shi'guan'zhi
军事基地,jun'shi'ji'di
军事计划,jun'shi'ji'hua
军事技术,jun'shi'ji'shu
军事价值,jun'shi'jia'zhi
军事科学,jun'shi'ke'xue
军事力量,jun'shi'li'liang
军事理论,jun'shi'li'lun
军事历史学,jun'shi'li'shi'xue
军事路线,jun'shi'lu'xian
军事设施,jun'shi'she'shi
军事史,jun'shi'shi
军事实力,jun'shi'shi'li
军事手段,jun'shi'shou'duan
军事术语,jun'shi'shu'yu
军事思想,jun'shi'si'xiang
军事素养,jun'shi'su'yang
军事系统工程,jun'shi'xi'tong'gong'cheng
军事学术,jun'shi'xue'shu
军事原则,jun'shi'yuan'ze
军事运筹学,jun'shi'yun'chou'xue
军事占领,jun'shi'zhan'ling
军事战略计划,jun'shi'zhan'lue'ji'hua
军用码头,jun'yong'ma'tou
军用铁路专线,jun'yong'tie'lu'zhuan'xian
军语,jun'yu
军制学,jun'zhi'xue
开火,kai'huo
开进,kai'jin
开辟战场,kai'pi'zhan'chang
瞰制,kan'zhi
抗战,kang'zhan
靠拢,kao'long
空军基地,kong'jun'ji'di
空炮协同,kong'pao'xie'tong
空袭,kong'xi
空隙兵器,kong'xi'bing'qi
控制,kong'zhi
空中机动,kong'zhong'ji'dong
宽正面,kuan'zheng'mian
雷达,lei'da
立体战,li'ti'zhan
立体战争,li'ti'zhan'zheng
利用地形,li'yong'di'xing
立足未稳,li'zu'wei'wen
连续作战,lian'xu'zuo'zhan
恋战,lian'zhan
量敌用兵,liang'di'yong'bing
两翼,liang'yi
劣势,lie'shi
临时驻止,lin'shi'zhu'zhi
临战疏散,lin'zhan'shu'san
临战状态,lin'zhan'zhuang'tai
临战准备,lin'zhan'zhun'bei
领海,ling'hai
领空,ling'kong
领土,ling'tu
陆海空协同,lu'hai'kong'xie'tong
轮番战斗,lun'fan'zhan'dou
沦陷区,lun'xian'qu
麻雀战,ma'que'zhan
毛泽东军事思想,mao'ze'dong'jun'shi'si'xiang
摩托化,mo'tuo'hua
内潜外逃,nei'qian'wai'tao
内线兵团,nei'xian'bing'tuan
内线作战,nei'xian'zuo'zhan
内战,nei'zhan
配合,pei'he
配属,pei'shu
配系,pei'xi
配置,pei'zhi
配置地域,pei'zhi'di'yu
平时体制,ping'shi'ti'zhi
破坏性,po'huai'xing
破袭战,po'xi'zhan
前出,qian'chu
潜伏,qian'fu
前线,qian'xian
前沿战斗,qian'yan'zhan'dou
强点,qiang'dian
侵略,qin'lue
侵略战争,qin'lue'zhan'zheng
清剿,qing'jiao
驱逐,qu'zhu
全歼,quan'jian
全面战争,quan'mian'zhan'zheng
人防,ren'fang
人防工程,ren'fang'gong'cheng
人防工事,ren'fang'gong'shi
人防建设,ren'fang'jian'she
人防专业队伍,ren'fang'zhuan'ye'dui'wu
人口疏散,ren'kou'shu'san
人民防空,ren'min'fang'kong
人民军队,ren'min'jun'dui
人民战争,ren'min'zhan'zheng
人自为战,ren'zi'wei'zhan
入侵挑衅,ru'qin'tiao'xin
弱点,ruo'dian
散兵,san'bing
散兵线,san'bing'xian
三打三防,san'da'san'fang
散开,san'kai
扫荡,sao'dang
杀伤,sha'shang
生存力,sheng'cun'li
声东击西,sheng'dong'ji'xi
生力军,sheng'li'jun
十大军事原则,shi'da'jun'shi'yuan'ze
实际控制线,shi'ji'kong'zhi'xian
视界,shi'jie
时节,shi'jie
世界大战,shi'jie'da'zhan
失利,shi'li
十六字诀,shi'liu'zi'jue
市区,shi'qu
实施战斗,shi'shi'zhan'dou
示形,shi'xing
受挫,shou'cuo
收缩,shou'suo
疏开,shu'kai
疏开地区,shu'kai'di'qu
疏开队形,shu'kai'dui'xing
疏散,shu'san
疏散地域,shu'san'di'yu
疏散配置,shu'san'pei'zhi
速决战,su'jue'zhan
速战速决,su'zhan'su'jue
态势,tai'shi
坦炮协同,tan'pao'xie'tong
滩头阵地,tan'tou'zhen'di
特殊条件下作战,te'shu'tiao'jian'xia'zuo'zhan
梯次配置,ti'ci'pei'zhi
梯队,ti'dui
条约线,tiao'yue'xian
停火,ting'huo
挺进,ting'jin
停战,ting'zhan
停战协定,ting'zhan'xie'ding
通信枢纽,tong'xin'shu'niu
投诚,tou'cheng
投射武器,tou'she'wu'qi
投降,tou'xiang
突击力,tu'ji'li
突然袭击,tu'ran'xi'ji
突然性,tu'ran'xing
退出战斗,tui'chu'zhan'dou
推进,tui'jin
脱离接触,tuo'li'jie'chu
外围,wai'wei
外线兵团,wai'xian'bing'tuan
外线作战,wai'xian'zuo'zhan
微波测距仪,wei'bo'ce'ju'yi
围剿,wei'jiao
围困战,wei'kun'zhan
稳定性,wen'ding'xing
无后方作战,wu'hou'fang'zuo'zhan
误越国境,wu'yue'guo'jing
武装斗争,wu'zhuang'dou'zheng
物资准备,wu'zi'zhun'bei
现代化战争,xian'dai'hua'zhan'zheng
先发制人,xian'fa'zhi'ren
先机制敌,xian'ji'zhi'di
先遣支队,xian'qian'zhi'dui
先头部队,xian'tou'bu'dui
向敌前进,xiang'di'qian'jin
相机,xiang'ji
巷战,xiang'zhan
消除空袭后果,xiao'chu'kong'xi'hou'guo
消耗,xiao'hao
消耗战,xiao'hao'zhan
消极防空,xiao'ji'fang'kong
斜射火力,xie'she'huo'li
协同,xie'tong
协同动作,xie'tong'dong'zuo
协同动作原则,xie'tong'dong'zuo'yuan'ze
休整,xiu'zheng
宣战,xuan'zhan
训练场,xun'lian'chang
训练基地,xun'lian'ji'di
压制武器,ya'zhi'wu'qi
掩护,yan'hu
烟幕掩护,yan'mu'yan'hu
要地防空,yao'di'fang'kong
要点,yao'dian
要害,yao'hai
要塞,yao'sai
夜视仪器,ye'shi'yi'qi
野战,ye'zhan
夜战,ye'zhan
野战兵团,ye'zhan'bing'tuan
野战防空,ye'zhan'fang'kong
疑兵,yi'bing
翼侧,yi'ce
一线配置,yi'xian'pei'zhi
荫蔽,yin'bi
隐蔽,yin'bi
引导,yin'dao
音响管制,yin'xiang'guan'zhi
隐真示假,yin'zhen'shi'jia
诱敌深入,you'di'shen'ru
游动火力,you'dong'huo'li
游击区,you'ji'qu
游击战,you'ji'zhan
游击战争,you'ji'zhan'zheng
有生力量,you'sheng'li'liang
优势,you'shi
右翼,you'yi
预备队,yu'bei'dui
预定歼敌地区,yu'ding'jian'di'di'qu
预定战场,yu'ding'zhan'chang
预设战场,yu'she'zhan'chang
远战,yuan'zhan
远战火力,yuan'zhan'huo'li
远战武器,yuan'zhan'wu'qi
越境,yue'jing
运动战,yun'dong'zhan
运动之敌,yun'dong'zhi'di
早期疏散,zao'qi'shu'san
增援,zeng'yuan
炸毁,zha'hui
诈降,zha'xiang
战备,zhan'bei
战备等级,zhan'bei'deng'ji
战备检查,zhan'bei'jian'cha
战备值班,zhan'bei'zhi'ban
战备值班部队,zhan'bei'zhi'ban'bu'dui
战备制度,zhan'bei'zhi'du
战场,zhan'chang
战场建设,zhan'chang'jian'she
战场勘察,zhan'chang'kan'cha
战场起义,zhan'chang'qi'yi
战场勤务,zhan'chang'qin'wu
战场准备,zhan'chang'zhun'bei
战斗,zhan'dou
战斗保障,zhan'dou'bao'zhang
战斗村,zhan'dou'cun
战斗动作,zhan'dou'dong'zuo
战斗队形,zhan'dou'dui'xing
战斗发起,zhan'dou'fa'qi
战斗分界线,zhan'dou'fen'jie'xian
战斗间隙,zhan'dou'jian'xi
战斗经过,zhan'dou'jing'guo
战斗力,zhan'dou'li
战斗实施,zhan'dou'shi'shi
战斗实施阶段,zhan'dou'shi'shi'jie'duan
战斗线,zhan'dou'xian
战斗准备,zhan'dou'zhun'bei
战斗准备阶段,zhan'dou'zhun'bei'jie'duan
战费,zhan'fei
战机,zhan'ji
展开,zhan'kai
展开地区,zhan'kai'de'qu
战例,zhan'li
占领,zhan'ling
战略,zhan'lue
战略步骤,zhan'lue'bu'zhou
战略措施,zhan'lue'cuo'shi
战略单位,zhan'lue'dan'wei
战略地位,zhan'lue'di'wei
战略方向,zhan'lue'fang'xiang
战略方针,zhan'lue'fang'zhen
战略后方,zhan'lue'hou'fang
战略基地,zhan'lue'ji'di
战略机动,zhan'lue'ji'dong
战略价值,zhan'lue'jia'zhi
战略阶段,zhan'lue'jie'duan
战略决策,zhan'lue'jue'ce
战略决战,zhan'lue'jue'zhan
战略内线,zhan'lue'nei'xian
战略思想,zhan'lue'si'xiang
战略突袭,zhan'lue'tu'xi
战略外线,zhan'lue'wai'xian
战略伪装,zhan'lue'wei'zhuang
战略武器,zhan'lue'wu'qi
战略物资,zhan'lue'wu'zi
战略相持,zhan'lue'xiang'chi
战略消耗,zhan'lue'xiao'hao
战略形势,zhan'lue'xing'shi
战略性战役,zhan'lue'xing'zhan'yi
战略学,zhan'lue'xue
战略要地,zhan'lue'yao'di
战略原则,zhan'lue'yuan'ze
战略展开,zhan'lue'zhan'kai
战略战术,zhan'lue'zhan'shu
战略资源,zhan'lue'zi'yuan
战略纵深,zhan'lue'zong'shen
战区,zhan'qu
战时体制,zhan'shi'ti'zhi
战术,zhan'shu
战术兵团,zhan'shu'bing'tuan
战术单位,zhan'shu'dan'wei
战术地幅,zhan'shu'di'fu
战术方位,zhan'shu'fang'wei
战术后方,zhan'shu'hou'fang
战术机动,zhan'shu'ji'dong
战术价值,zhan'shu'jia'zhi
战术思想,zhan'shu'si'xiang
战术武器,zhan'shu'wu'qi
战术学,zhan'shu'xue
战术原则,zhan'shu'yuan'ze
战术纵深,zhan'shu'zong'shen
战线,zhan'xian
战役,zhan'yi
战役保障,zhan'yi'bao'zhang
战役布势,zhan'yi'bu'shi
战役部署,zhan'yi'bu'shu
战役地幅,zhan'yi'di'fu
战役法,zhan'yi'fa
战役方向,zhan'yi'fang'xiang
战役方针,zhan'yi'fang'zhen
战役规模,zhan'yi'gui'mo
战役后方,zhan'yi'hou'fang
战役机动,zhan'yi'ji'dong
战役价值,zhan'yi'jia'zhi
战役间隙,zhan'yi'jian'xi
战役经过,zhan'yi'jing'guo
战役军团,zhan'yi'jun'tuan
战役容量,zhan'yi'rong'liang
战役伪装,zhan'yi'wei'zhuang
战役学,zhan'yi'xue
战役原则,zhan'yi'yuan'ze
战役准备,zhan'yi'zhun'bei
战役纵深,zhan'yi'zong'shen
战争,zhan'zheng
战争初期,zhan'zheng'chu'qi
战争动员计划,zhan'zheng'dong'yuan'ji'hua
战争规律,zhan'zheng'gui'lv
战争类型,zhan'zheng'lei'xing
战争理论,zhan'zheng'li'lun
战争赔偿,zhan'zheng'pei'chang
战争潜力,zhan'zheng'qian'li
战争史,zhan'zheng'shi
战争形式,zhan'zheng'xing'shi
战争性质,zhan'zheng'xing'zhi
战争因素,zhan'zheng'yin'su
战争政策,zhan'zheng'zheng'ce
战争指导规律,zhan'zheng'zhi'dao'gui'lv
战争状态,zhan'zheng'zhuang'tai
遮蔽,zhe'bi
阵地,zhen'di
阵地管理,zhen'di'guan'li
阵地设施,zhen'di'she'shi
阵地战,zhen'di'zhan
正规战,zheng'gui'zhan
正规战争,zheng'gui'zhan'zheng
正面,zheng'mian
正射火力,zheng'she'huo'li
争议地区,zheng'yi'di'qu
值班火器,zhi'ban'huo'qi
直射火力,zhi'she'huo'li
指示目标,zhi'shi'mu'biao
支援,zhi'yuan
重兵集团,zhong'bing'ji'tuan
主动,zhu'dong
主动权,zhu'dong'quan
驻剿,zhu'jiao
主力,zhu'li
主要作战方向,zhu'yao'zuo'zhan'fang'xiang
诸预备队,zhu'yu'bei'dui
驻止,zhu'zhi
驻止之敌,zhu'zhi'zhi'di
传略转变,zhuan'lue'zhuan'bian
转属,zhuan'shu
转移,zhuan'yi
转移兵力,zhuan'yi'bing'li
转移战场,zhuan'yi'zhan'chang
转移阵地,zhuan'yi'zhen'di
转用兵力,zhuan'yong'bing'li
装甲目标,zhuang'jia'mu'biao
自卫反击战,zi'wei'fan'ji'zhan
自卫还击战争,zi'wei'huan'ji'zhan'zheng
自卫战争,zi'wei'zhan'zheng
总动员,zong'dong'yuan
纵深,zong'shen
纵深配置,zong'shen'pei'zhi
纵深战斗,zong'shen'zhan'dou
阻塞,zu'se
左翼,zuo'yi
作战,zuo'zhan
作战部署,zuo'zhan'bu'shu
作战地区,zuo'zhan'di'qu
作战对象,zuo'zhan'dui'xiang
作战方法,zuo'zhan'fang'fa
作战方向,zuo'zhan'fang'xiang
作战方针,zuo'zhan'fang'zhen
作战阶段,zuo'zhan'jie'duan
作战类型,zuo'zhan'lei'xing
作战目标,zuo'zhan'mu'biao
作战目的,zuo'zhan'mu'di
作战能力,zuo'zhan'neng'li
作战任务,zuo'zhan'ren'wu
作战特点,zuo'zhan'te'dian
作战线,zuo'zhan'xian
作战形式,zuo'zhan'xing'shi
作战样式,zuo'zhan'yang'shi
作战原则,zuo'zhan'yuan'ze
作战指导思想,zuo'zhan'zhi'dao'si'xiang
作战准备,zuo'zhan'zhun'bei
