阿尔弗里顿城,a'er'fu'li'dun'cheng
利物浦,li'wu'pu
利兹联队,li'zi'lian'dui
林肯城,lin'ken'cheng
林肯联,lin'ken'lian
刘易斯,liu'yi'si
卢顿,lu'dun
鲁戈比联,lu'ge'bi'lian
鲁斯顿钻石,lu'si'dun'zuan'shi
罗奇达尔,luo'qi'da'er
罗瑟汉姆,luo'se'han'mu
绿色森林流浪,lv'se'sen'lin'liu'lang
绿色沼泽,lv'se'zhao'ze
马加特,ma'jia'te
马特洛克城,ma'te'luo'ke'cheng
麦克尔斯菲尔德城,mai'ke'er'si'fei'er'de'cheng
曼彻斯特联队,man'che'si'te'lian'dui
曼城,man'cheng
曼戈特斯菲尔德联,man'ge'te'si'fei'er'de'lian
曼联,man'lian
曼斯菲尔德城,man'si'fei'er'de'cheng
梅登赫德联,mei'deng'he'de'lian
梅瑟蒂德菲尔,mei'se'di'de'fei'er
米德尔塞克斯阿什福德,mi'de'er'sai'ke'si'a'shen'fu'de
米德尔斯堡,mi'de'er'si'bao
米尔顿凯恩斯,mi'er'dun'kai'en'si
米尔沃尔,mi'er'wo'er
摩甘比,mo'gan'bi
莫斯利,mo'si'li
纳尼顿自治区,na'ni'dun'zi'zhi'qu
南安普顿,nan'an'pu'dun
南方港,nan'fang'gang
纽波特郡,niu'bo'te'jun
牛津联,niu'jin'lian
纽卡斯尔,niu'ka'si'er
诺丁汉城,nuo'ding'han'cheng
诺丁汉森林,nuo'ding'han'sen'lin
诺斯伍德,nuo'si'wu'de
诺维奇,nuo'wei'qi
诺威奇维多利亚,nuo'wei'qi'wei'duo'li'ya
女王公园巡游者,nv'wang'gong'yuan'xun'you'zhe
朴茨茅斯,pu'ci'mao'si
普雷斯顿,pu'lei'si'dun
普利茅斯,pu'li'mao'si
普里斯克特电报,pu'li'si'ke'te'dian'bao
奇达文士达,qi'da'wen'shi'da
奇彭纳姆城,qi'peng'na'mu'cheng
切尔米斯福德,qie'er'mi'si'fu'de
切尔滕纳姆城,qie'er'teng'na'mu'cheng
切尔西,qie'er'xi
切森特,qie'sen'te
切斯特城,qie'si'te'cheng
切斯特菲尔德,qie'si'te'fei'er'de
萨顿联,sa'dun'lian
赛伦塞斯特城,sai'lun'sai'si'te'cheng
桑德兰,sang'de'lan
瑟罗克,se'luo'ke
什鲁斯伯里城,shen'lu'si'bo'li'cheng
圣奥尔本斯城,sheng'ao'er'ben'si'cheng
水兵,shui'bing
水晶宫,shui'jing'gong
斯加堡,si'jia'bao
斯肯索普联,si'ken'suo'pu'lian
斯劳城,si'lao'cheng
斯塔福德流浪者,si'ta'fu'de'liu'lang'zhe
斯塔利桥凯尔特,si'ta'li'qiao'kai'er'te
斯泰恩斯城,si'tai'en'si'cheng
斯坦福,si'tan'fu
斯托克城,si'tuo'ke'cheng
斯托克浦城,si'tuo'ke'pu'cheng
斯文登城,si'wen'deng'cheng
索尔兹伯里城,suo'er'zi'bo'li'cheng
塔姆沃思,ta'mu'wo'si
汤布里奇,tang'bu'li'qi
唐克斯特流浪者,tang'ke'si'te'liu'lang'zhe
特尔福德联队,te'er'fu'de'lian'dui
特兰米尔流浪者,te'lan'mi'er'liu'lang'zhe
天鹅海市,tian'e'hai'shi
托贝联,tuo'bei'lian
托特纳姆热刺,tuo'te'na'mu're'ci
瓦勒萨尔,wa'le'sa'er
韦尔德斯通,wei'er'de'si'tong
维尔港,wei'er'gang
维尔联,wei'er'lian
维甘竞技,wei'gan'jing'ji
韦康比流浪者,wei'kang'bi'liu'lang'zhe
维摩斯,wei'mo'si
温布尔登竞技,wen'bu'er'deng'jing'ji
沃尔顿,wo'er'dun
沃尔切斯特城,wo'er'qie'si'te'cheng
沃尔西汉姆,wo'er'xi'han'mu
沃金顿,wo'jin'dun
沃克斯哈尔摩托,wo'ke'si'ha'er'mo'tuo
沃克索普,wo'ke'suo'pu
沃特福德,wo'te'fu'de
沃辛,wo'xin
锡布里奇迅捷,xi'bu'li'qi'xun'jie
西布罗姆维奇,xi'bu'luo'mu'wei'qi
西汉姆,xi'han'mu
希钦城,xi'qin'cheng
希斯顿,xi'si'dun
夏利法斯,xia'li'fa'si
谢菲尔德联队,xie'fei'er'de'lian'dui
谢联,xie'lian
谢周三,xie'zhou'san
欣克利联,xin'ke'li'lian
修安联,xiu'an'lian
亚利山德拉克鲁,ya'li'shan'de'la'ke'lu
耶丁,ye'ding
耶特城,ye'te'cheng
伊尔克斯顿城,yi'er'ke'si'dun'cheng
伊普斯维奇,yi'pu'si'wei'qi
伊斯特本自治,yi'si'te'ben'zi'zhi
伊斯特莱希,yi'si'te'lai'xi
英丙,ying'bing
英超,ying'chao
英格兰足球丙级联赛,ying'ge'lan'zu'qiu'bing'ji'lian'sai
英格兰足球超级联赛,ying'ge'lan'zu'qiu'chao'ji'lian'sai
英格兰足球冠军联赛,ying'ge'lan'zu'qiu'guan'jun'lian'sai
英格兰足球甲级联赛,ying'ge'lan'zu'qiu'jia'ji'lian'sai
英格兰足球乙级联赛,ying'ge'lan'zu'qiu'yi'ji'lian'sai
英冠,ying'guan
英甲,ying'jia
英乙,ying'yi
约克城,yue'ke'cheng
约维尔城,yue'wei'er'cheng
