按钮,an'niu
忽略钮,hu'lue'niu
忽略所有空格,hu'lue'suo'you'kong'ge
画板,hua'ban
画板背景色,hua'ban'bei'jing'se
画板高度,hua'ban'gao'du
画板宽度,hua'ban'kuan'du
画笔粗细,hua'bi'cu'xi
画笔类型,hua'bi'lei'xing
画笔颜色,hua'bi'yan'se
画饼,hua'bing
画出方式,hua'chu'fang'shi
画点,hua'dian
画多边形,hua'duo'bian'xing
画弧线,hua'hu'xian
画渐变矩形,hua'jian'bian'ju'xing
画矩形,hua'ju'xing
滑块条,hua'kuai'tiao
画图片,hua'tu'pian
画椭圆,hua'tuo'yuan
画弦,hua'xian
画圆角矩形,hua'yuan'jiao'ju'xing
画直线,hua'zhi'xian
换行符,huan'hang'fu
环境存取,huan'jing'cun'qu
换页,huan'ye
黄褐,huang'he
黄色,huang'se
回车键,hui'che'jian
回车下移焦点,hui'che'xia'yi'jiao'dian
恢复删除,hui'fu'shan'chu
恢复鼠标,hui'fu'shu'biao
回滚事务,hui'gun'shi'wu
绘画,hui'hua
绘画单位,hui'hua'dan'wei
灰绿,hui'lv
灰色,hui'se
获取,huo'qu
获取焦点,huo'qu'jiao'dian
或者,huo'zhe
计次循环首,ji'ci'xun'huan'shou
季度,ji'du
激活,ji'huo
记录是否存在,ji'lu'shi'fou'cun'zai
奇偶校验,ji'ou'jiao'yan
奇偶校验方案,ji'ou'jiao'yan'fang'an
奇偶页方式,ji'ou'ye'fang'shi
计算排序,ji'suan'pai'xu
计算数目,ji'suan'shu'mu
加粗,jia'cu
加记录,jia'ji'lu
加空记录,jia'kong'ji'lu
加入成员,jia'ru'cheng'yuan
加入文本,jia'ru'wen'ben
加入项目,jia'ru'xiang'mu
加线条,jia'xian'tiao
渐变背景方式,jian'bian'bei'jing'fang'shi
渐变背景颜色,jian'bian'bei'jing'yan'se
渐变边框宽度,jian'bian'bian'kuang'kuan'du
渐变边框颜色,jian'bian'bian'kuang'yan'se
检查,jian'cha
键打开帮助,jian'da'kai'bang'zhu
键关闭,jian'guan'bi
减号键,jian'hao'jian
剪辑板中可有文本,jian'ji'ban'zhong'ke'you'wen'ben
键状态,jian'zhuang'tai
将被销毁,jiang'bei'xiao'hui
将改变子夹,jiang'gai'bian'zi'jia
将弹出列表,jiang'tan'chu'lie'biao
交叉线,jiao'cha'xian
角度,jiao'du
结束,jie'shu
结束打印,jie'shu'da'yin
结束打印位置,jie'shu'da'yin'wei'zhi
解锁记录,jie'suo'ji'lu
解锁数据库,jie'suo'shu'ju'ku
解锁文件,jie'suo'wen'jian
解增删锁,jie'zeng'shan'suo
仅打印奇数页,jin'da'yin'ji'shu'ye
仅打印偶数页,jin'da'yin'ou'shu'ye
进度条,jin'du'tiao
近似等于,jin'si'deng'yu
今天,jin'tian
禁止,jin'zhi
禁止重画,jin'zhi'chong'hua
禁止读,jin'zhi'du
禁止读写,jin'zhi'du'xie
禁止删除,jin'zhi'shan'chu
禁止添加,jin'zhi'tian'jia
禁止调整行高,jin'zhi'tiao'zheng'hang'gao
禁止调整列宽,jin'zhi'tiao'zheng'lie'kuan
禁止图片,jin'zhi'tu'pian
禁止写,jin'zhi'xie
禁止修改,jin'zhi'xiu'gai
禁止自动判断,jin'zhi'zi'dong'pan'duan
警告图标,jing'gao'tu'biao
居中播放,ju'zhong'bo'fang
居中图片,ju'zhong'tu'pian
绝对取整,jue'dui'qu'zheng
开始打印,kai'shi'da'yin
开始下一份,kai'shi'xia'yi'fen
开始星期首日,kai'shi'xing'qi'shou'ri
拷贝,kao'bei
刻度类型,ke'du'lei'xing
可否被关闭,ke'fou'bei'guan'bi
可否移动,ke'fou'yi'dong
客户,ke'hu
客户进入,ke'hu'jin'ru
客户离开,ke'hu'li'kai
可视,ke'shi
可有焦点,ke'you'jiao'dian
空格键,kong'ge'jian
空闲,kong'xian
控制按钮,kong'zhi'an'niu
控制台操作,kong'zhi'tai'cao'zuo
快照,kuai'zhao
蓝灰,lan'hui
蓝色,lan'se
类型,lei'xing
连接,lian'jie
连接断开,lian'jie'duan'kai
连接文本,lian'jie'wen'ben
连续赋值,lian'xu'fu'zhi
列表被关闭,lie'biao'bei'guan'bi
列表框,lie'biao'kuang
列表项被选择,lie'biao'xiang'bei'xuan'ze
列表项目,lie'biao'xiang'mu
列宽被改变,lie'kuan'bei'gai'bian
流程控制,liu'cheng'kong'zhi
流控制,liu'kong'zhi
流控制方案,liu'kong'zhi'fang'an
逻辑比较,luo'ji'bi'jiao
逻辑方法,luo'ji'fang'fa
逻辑型,luo'ji'xing
逻辑型数组,luo'ji'xing'shu'zu
绿色,lv'se
媒体播放,mei'ti'bo'fang
每页打印行数,mei'ye'da'yin'hang'shu
密码输入框,mi'ma'shu'ru'kuang
密码遮盖字符,mi'ma'zhe'gai'zi'fu
名称,ming'cheng
鸣叫,ming'jiao
命令调用转向,ming'ling'diao'yong'zhuan'xiang
墨绿,mo'lv
默认按钮二,mo'ren'an'niu'er
默认按钮三,mo'ren'an'niu'san
默认按钮四,mo'ren'an'niu'si
默认按钮一,mo'ren'an'niu'yi
默认色,mo'ren'se
默认文件后缀,mo'ren'wen'jian'hou'zhui
默认纸,mo'ren'zhi
末页页号,mo'ye'ye'hao
目录,mu'lu
目录被改变,mu'lu'bei'gai'bian
目录必须存在,mu'lu'bi'xu'cun'zai
目录框,mu'lu'kuang
南方读音索引,nan'fang'du'yin'suo'yin
内背景颜色,nei'bei'jing'yan'se
内容,nei'rong
内容被改变,nei'rong'bei'gai'bian
嫩黄,nen'huang
嫩绿,nen'lv
年份,nian'fen
排序,pai'xu
判断,pan'duan
判断循环首,pan'duan'xun'huan'shou
品红,pin'hong
拼音处理,pin'yin'chu'li
平面,ping'mian
平铺图片,ping'pu'tu'pian
普通不激活,pu'tong'bu'ji'huo
普通激活,pu'tong'ji'huo
启动,qi'dong
启动事务,qi'dong'shi'wu
起始打印位置,qi'shi'da'yin'wei'zhi
起始选择位置,qi'shi'xuan'ze'wei'zhi
其他,qi'ta
浅灰,qian'hui
清除,qing'chu
清除剪辑板,qing'chu'jian'ji'ban
清除数组,qing'chu'shu'zu
清除信号,qing'chu'xin'hao
清除组件寻找句柄,qing'chu'zu'jian'xun'zhao'ju'bing
清空,qing'kong
青蓝,qing'lan
青绿,qing'lv
倾斜,qing'xie
求次方,qiu'ci'fang
求反对数,qiu'fan'dui'shu
求反正切,qiu'fan'zheng'qie
求和,qiu'he
求平方根,qiu'ping'fang'gen
求余数,qiu'yu'shu
求余弦,qiu'yu'xian
求正切,qiu'zheng'qie
求正弦,qiu'zheng'xian
求自然对数,qiu'zi'ran'dui'shu
取八进制文本,qu'ba'jin'zhi'wen'ben
取背景色,qu'bei'jing'se
取边距,qu'bian'ju
取变体型,qu'bian'ti'xing
取标记组件,qu'biao'ji'zu'jian
取标签,qu'biao'qian
取表头行数,qu'biao'tou'hang'shu
取表头列数,qu'biao'tou'lie'shu
取操作系统类别,qu'cao'zuo'xi'tong'lei'bie
取重复文本,qu'chong'fu'wen'ben
取重复字节集,qu'chong'fu'zi'jie'ji
取创建时间,qu'chuang'jian'shi'jian
取窗口句柄,qu'chuang'kou'ju'bing
取磁盘卷标,qu'ci'pan'juan'biao
取磁盘剩余空间,qu'ci'pan'sheng'yu'kong'jian
取磁盘总空间,qu'ci'pan'zong'kong'jian
取错误,qu'cuo'wu
取错误码,qu'cuo'wu'ma
取错误信息,qu'cuo'wu'xin'xi
取打印设置,qu'da'yin'she'zhi
取打印页高,qu'da'yin'ye'gao
取打印页宽,qu'da'yin'ye'kuan
取代码,qu'dai'ma
取当前库,qu'dang'qian'ku
取当前目录,qu'dang'qian'mu'lu
取当前索引,qu'dang'qian'suo'yin
取点,qu'dian
取顶端可见项目,qu'ding'duan'ke'jian'xiang'mu
驱动器,qu'dong'qi
驱动器被改变,qu'dong'qi'bei'gai'bian
驱动器框,qu'dong'qi'kuang
取读写位置,qu'du'xie'wei'zhi
取对齐方式,qu'dui'qi'fang'shi
取对象,qu'dui'xiang
取对象类型,qu'dui'xiang'lei'xing
取发音数目,qu'fa'yin'shu'mu
取反,qu'fan
取分钟,qu'fen'zhong
取符号,qu'fu'hao
取高度,qu'gao'du
取光标行号,qu'guang'biao'hang'hao
取光标列号,qu'guang'biao'lie'hao
取行高,qu'hang'gao
取行数,qu'hang'shu
取回客户,qu'hui'ke'hu
取回数据,qu'hui'shu'ju
取回图片,qu'hui'tu'pian
取回字体,qu'hui'zi'ti
取记录号,qu'ji'lu'hao
取记录数,qu'ji'lu'shu
取剪辑板文本,qu'jian'ji'ban'wen'ben
取焦点项目,qu'jiao'dian'xiang'mu
取接口,qu'jie'kou
取绝对值,qu'jue'dui'zhi
取空白文本,qu'kong'bai'wen'ben
取空白字节集,qu'kong'bai'zi'jie'ji
取库文件名,qu'ku'wen'jian'ming
取宽度,qu'kuan'du
取类型,qu'lei'xing
取连接文本,qu'lian'jie'wen'ben
取列宽,qu'lie'kuan
取列数,qu'lie'shu
取临时文件名,qu'lin'shi'wen'jian'ming
取逻辑值,qu'luo'ji'zhi
取密码方式,qu'mi'ma'fang'shi
取秒,qu'miao
取命令行,qu'ming'ling'hang
取默认底色,qu'mo'ren'di'se
取某月天数,qu'mou'yue'tian'shu
取年份,qu'nian'fen
取配置节名,qu'pei'zhi'jie'ming
取拼音,qu'pin'yin
取平均值,qu'ping'jun'zhi
取屏幕高度,qu'ping'mu'gao'du
取屏幕宽度,qu'ping'mu'kuan'du
取启动时间,qu'qi'dong'shi'jian
取日,qu'ri
取日期,qu'ri'qi
取设备句柄,qu'she'bei'ju'bing
取声母,qu'sheng'mu
取时间,qu'shi'jian
取时间部分,qu'shi'jian'bu'fen
取时间间隔,qu'shi'jian'jian'ge
取事件组件,qu'shi'jian'zu'jian
取十六进制文本,qu'shi'liu'jin'zhi'wen'ben
取鼠标垂直位置,qu'shu'biao'chui'zhi'wei'zhi
取鼠标水平位置,qu'shu'biao'shui'ping'wei'zhi
取数据,qu'shu'ju
取数据类型尺寸,qu'shu'ju'lei'xing'chi'cun
取数值,qu'shu'zhi
取数值注册项,qu'shu'zhi'zhu'ce'xiang
取数组成员数,qu'shu'zu'cheng'yuan'shu
取数组下标,qu'shu'zu'xia'biao
取随机数,qu'sui'ji'shu
取索引名,qu'suo'yin'ming
取索引数,qu'suo'yin'shu
取索引字段,qu'suo'yin'zi'duan
取所有被选择项目,qu'suo'you'bei'xuan'ze'xiang'mu
取所有发音,qu'suo'you'fa'yin
取所有纸张类型,qu'suo'you'zhi'zhang'lei'xing
取所找到组件,qu'suo'zhao'dao'zu'jian
取图片,qu'tu'pian
取图片高度,qu'tu'pian'gao'du
取图片宽度,qu'tu'pian'kuan'du
取文本,qu'wen'ben
取文本长度,qu'wen'ben'chang'du
取文本色,qu'wen'ben'se
取文本输入格式,qu'wen'ben'shu'ru'ge'shi
取文本右边,qu'wen'ben'you'bian
取文本中间,qu'wen'ben'zhong'jian
取文本注册项,qu'wen'ben'zhu'ce'xiang
取文本左边,qu'wen'ben'zuo'bian
取文件长度,qu'wen'jian'chang'du
取文件尺寸,qu'wen'jian'chi'cun
取文件时间,qu'wen'jian'shi'jian
取文件属性,qu'wen'jian'shu'xing
取系统语言,qu'xi'tong'yu'yan
取现行时间,qu'xian'xing'shi'jian
取项目数,qu'xiang'mu'shu
取项目数值,qu'xiang'mu'shu'zhi
取项目文本,qu'xiang'mu'wen'ben
取消重画,qu'xiao'chong'hua
取消打印,qu'xiao'da'yin
取消钮,qu'xiao'niu
取小时,qu'xiao'shi
取消是否钮,qu'xiao'shi'fou'niu
取星期几,qu'xing'qi'ji
取选择列数,qu'xuan'ze'lie'shu
取选择行数,qu'xuan'ze'xing'shu
取颜色数,qu'yan'se'shu
取颜色值,qu'yan'se'zhi
取已选择项目数,qu'yi'xuan'ze'xiang'mu'shu
取硬盘特征字,qu'ying'pan'te'zheng'zi
取用户区高度,qu'yong'hu'qu'gao'du
取用户区宽度,qu'yong'hu'qu'kuan'du
取月份,qu'yue'fen
取韵母,qu'yun'mu
取运行目录,qu'yun'xing'mu'lu
取找到组件数目,qu'zhao'dao'zu'jian'shu'mu
取整,qu'zheng
取只读方式,qu'zhi'du'fang'shi
取执行文件名,qu'zhi'xing'wen'jian'ming
取主机名,qu'zhu'ji'ming
取自定义纸张大小,qu'zi'ding'yi'zhi'zhang'da'xiao
取字段尺寸,qu'zi'duan'chi'cun
取字段类型,qu'zi'duan'lei'xing
取字段名,qu'zi'duan'ming
取字段数,qu'zi'duan'shu
取子夹名称,qu'zi'jia'ming'cheng
取子夹数目,qu'zi'jia'shu'mu
取字节集,qu'zi'jie'ji
取字节集长度,qu'zi'jie'ji'chang'du
取字节集数据,qu'zi'jie'ji'shu'ju
取字节集右边,qu'zi'jie'ji'you'bian
取字节集中间,qu'zi'jie'ji'zhong'jian
取字节集注册项,qu'zi'jie'ji'zhu'ce'xiang
取字节集左边,qu'zi'jie'ji'zuo'bian
取字体尺寸,qu'zi'ti'chi'cun
取字体名,qu'zi'ti'ming
取字体属性,qu'zi'ti'shu'xing
取组件名称,qu'zu'jian'ming'cheng
取最大时间,qu'zui'da'shi'jian
取最大值,qu'zui'da'zhi
取最小时间,qu'zui'xiao'shi'jian
取最小值,qu'zui'xiao'zhi
全部复制,quan'bu'fu'zhi
全部关闭,quan'bu'guan'bi
全部解锁,quan'bu'jie'suo
全部选择,quan'bu'xuan'ze
全部页,quan'bu'ye
全部转换,quan'bu'zhuan'huan
确认钮,que'ren'niu
确认取消钮,que'ren'qu'xiao'niu
热点跟踪,re'dian'gen'zong
热点颜色,re'dian'yan'se
日期部分,ri'qi'bu'fen
日期方法,ri'qi'fang'fa
日期框,ri'qi'kuang
日期时间型,ri'qi'shi'jian'xing
日期型,ri'qi'xing
日期型数组,ri'qi'xing'shu'zu
如果,ru'guo
如果真,ru'guo'zhen
三十二开,san'shi'er'kai
删除,shan'chu
删除成员,shan'chu'cheng'yuan
删除记录,shan'chu'ji'lu
删除列,shan'chu'lie
删除目录,shan'chu'mu'lu
删除数据,shan'chu'shu'ju
删除文件,shan'chu'wen'jian
删除线,shan'chu'xian
删除项目,shan'chu'xiang'mu
删除行,shan'chu'xing
删除注册项,shan'chu'zhu'ce'xiang
删除自定义纸张类型,shan'chu'zi'ding'yi'zhi'zhang'lei'xing
删全部空,shan'quan'bu'kong
删首空,shan'shou'kong
删首尾空,shan'shou'wei'kong
删尾空,shan'wei'kong
删线条,shan'xian'tiao
上边距,shang'bian'ju
上边框,shang'bian'kuang
上单元格,shang'dan'yuan'ge
上光标键,shang'guang'biao'jian
上右,shang'you
上右页号,shang'you'ye'hao
上中,shang'zhong
上中页号,shang'zhong'ye'hao
上左,shang'zuo
上左页号,shang'zuo'ye'hao
深灰,shen'hui
深青,shen'qing
声明,sheng'ming
是否被合并,shi'fou'bei'he'bing
是否被选择,shi'fou'bei'xuan'ze
是否被选中,shi'fou'bei'xuan'zhong
是否被允许,shi'fou'bei'yun'xu
是否打印到文件,shi'fou'da'yin'dao'wen'jian
是否钮,shi'fou'niu
是否填充背景,shi'fou'tian'chong'bei'jing
是否为空,shi'fou'wei'kong
是否为调试版,shi'fou'wei'tiao'shi'ban
是否相等,shi'fou'xiang'deng
是否已创建,shi'fou'yi'chuang'jian
是否已打开,shi'fou'yi'da'kai
是否已加密,shi'fou'yi'jia'mi
是否已删除,shi'fou'yi'shan'chu
是否有线条,shi'fou'you'xian'tiao
是否运算正确,shi'fou'yun'suan'zheng'que
是否允许多行,shi'fou'yun'xu'duo'hang
是否在文件尾,shi'fou'zai'wen'jian'wei
是否支持多用户,shi'fou'zhi'chi'duo'yong'hu
是否自动折行,shi'fou'zi'dong'zhe'hang
时间部分,shi'jian'bu'fen
时间操作,shi'jian'cao'zuo
时间到文本,shi'jian'dao'wen'ben
事件转移,shi'jian'zhuan'yi
事件字符,shi'jian'zi'fu
十六开,shi'liu'kai
是钮,shi'niu
时钟,shi'zhong
时钟周期,shi'zhong'zhou'qi
首次激活,shou'ci'ji'huo
收到信号,shou'dao'xin'hao
首记录前,shou'ji'lu'qian
首拼及全拼,shou'pin'ji'quan'pin
首选择日,shou'xuan'ze'ri
首选择位置,shou'xuan'ze'wei'zhi
首页打印页号,shou'ye'da'yin'ye'hao
首页页号,shou'ye'ye'hao
输出调试文本,shu'chu'tiao'shi'wen'ben
数据报,shu'ju'bao
数据到达,shu'ju'dao'da
数据库,shu'ju'ku
数据库密码,shu'ju'ku'mi'ma
数据库提供者,shu'ju'ku'ti'gong'zhe
数据库文件名,shu'ju'ku'wen'jian'ming
数据类型,shu'ju'lei'xing
数据列,shu'ju'lie
数据提供者,shu'ju'ti'gong'zhe
数据位数,shu'ju'wei'shu
数据源,shu'ju'yuan
输入方式,shu'ru'fang'shi
输入框,shu'ru'kuang
输入密码,shu'ru'mi'ma
输入文本,shu'ru'wen'ben
输入小数,shu'ru'xiao'shu
输入整数,shu'ru'zheng'shu
输入字比较,shu'ru'zi'bi'jiao
数值到大写,shu'zhi'dao'da'xie
数值到格式文本,shu'zhi'dao'ge'shi'wen'ben
数值到金额,shu'zhi'dao'jin'e
数值方法,shu'zhi'fang'fa
数值型,shu'zhi'xing
数值型数组,shu'zhi'xing'shu'zu
数值转换,shu'zhi'zhuan'huan
数组操作,shu'zu'cao'zuo
数组排序,shu'zu'pai'xu
数组清零,shu'zu'qing'ling
刷新,shua'xin
刷新显示,shua'xin'xian'shi
刷子类型,shua'zi'lei'xing
刷子颜色,shua'zi'yan'se
双击,shuang'ji
双击选择,shuang'ji'xuan'ze
双精度小数型,shuang'jing'du'xiao'shu'xing
双拼,shuang'pin
双斜线,shuang'xie'xian
水平线,shui'ping'xian
四开,si'kai
四舍五入,si'she'wu'ru
算术运算,suan'shu'yun'suan
随意移动,sui'yi'yi'dong
缩放比,suo'fang'bi
缩放到纸宽,suo'fang'dao'zhi'kuan
缩放居中图片,suo'fang'ju'zhong'tu'pian
缩放平铺图片,suo'fang'ping'pu'tu'pian
