艾镇镇,ai'zhen'zhen
李塔汇镇,li'ta'hui'zhen
莲盛镇,lian'sheng'zhen
练塘镇,lian'tang'zhen
凌桥镇,ling'qiao'zhen
六里镇,liu'li'zhen
六团镇,liu'tuan'zhen
刘夏镇,liu'xia'zhen
刘行镇,liu'xing'zhen
六灶镇,liu'zao'zhen
龙华镇,long'hua'zhen
娄塘镇,lou'tang'zhen
芦潮港镇,lu'chao'gang'zhen
鲁汇镇,lu'hui'zhen
陆家巷镇,lu'jia'xiang'zhen
陆行镇,lu'xing'zhen
罗店镇,luo'dian'zhen
罗泾镇,luo'jing'zhen
罗南镇,luo'nan'zhen
绿华镇,lv'hua'zhen
吕巷镇,lv'xiang'zhen
马陆镇,ma'lu'zhen
马桥镇,ma'qiao'zhen
泖港镇,mao'gang'zhen
毛家镇,mao'jia'zhen
泖桥镇,mao'qiao'zhen
梅陇镇,mei'long'zhen
猛将庙镇,meng'jiang'miao'zhen
庙行镇,miao'xing'zhen
庙镇镇,miao'zhen'zhen
木杓镇,mu'biao'zhen
南二条竖河镇,nan'er'tiao'shu'he'zhen
南盘滧镇,nan'pan'yao'zhen
南桥镇,nan'qiao'zhen
南翔镇,nan'xiang'zhen
南星镇,nan'xing'zhen
南苑镇,nan'yuan'zhen
泥城镇,ni'cheng'zhen
牛棚镇,niu'peng'zhen
排衙镇,pai'ya'zhen
蟠龙镇,pan'long'zhen
潘桥镇,pan'qiao'zhen
潘石镇,pan'shi'zhen
彷徨镇,pang'huang'zhen
彭浦镇,peng'pu'zhen
彭镇镇,peng'zhen'zhen
平安镇,ping'an'zhen
平凉路街道,ping'liang'lu'jie'dao
七宝镇,qi'bao'zhen
戚家墩镇,qi'jia'dun'zhen
祁连镇,qi'lian'zhen
齐贤镇,qi'xian'zhen
七滧镇,qi'yao'zhen
七灶镇,qi'zao'zhen
钱门塘镇,qian'men'tang'zhen
钱桥镇,qian'qiao'zhen
钱圩镇,qian'xu'zhen
秦镇镇,qin'zhen'zhen
青村镇,qing'cun'zhen
青墩镇,qing'dun'zhen
青浦镇,qing'pu'zhen
邱移庙镇,qiu'yi'miao'zhen
茸北镇,rong'bei'zhen
阮巷镇,ruan'xiang'zhen
三岔港镇,san'cha'gang'zhen
三墩镇,san'dun'zhen
三光镇,san'guang'zhen
三林镇,san'lin'zhen
三星镇,san'xing'zhen
三灶镇,san'zao'zhen
山阳镇,shan'yang'zhen
商塌镇,shang'ta'zhen
邵厂镇,shao'chang'zhen
佘山镇,she'shan'zhen
沈家湾镇,shen'jia'wan'zhen
沈家镇,shen'jia'zhen
沈巷镇,shen'xiang'zhen
沈庄镇,shen'zhuang'zhen
盛桥镇,sheng'qiao'zhen
盛梓庙镇,sheng'zi'miao'zhen
石湖荡镇,shi'hu'dang'zhen
石皮泐镇,shi'pi'le'zhen
石泉路街道,shi'quan'lu'jie'dao
施镇镇,shi'zhen'zhen
竖河镇,shu'he'zhen
竖新镇,shu'xin'zhen
书院镇,shu'yuan'zhen
泗泾镇,si'jing'zhen
四平路街道,si'ping'lu'jie'dao
四团镇,si'tuan'zhen
四滧镇,si'yao'zhen
松江镇,song'jiang'zhen
松隐镇,song'yin'zhen
苏民镇,su'min'zhen
孙桥镇,sun'qiao'zhen
泰日镇,tai'ri'zhen
谈家港镇,tan'jia'gang'zhen
坦直镇,tan'zhi'zhen
唐家行镇,tang'jia'xing'zhen
塘桥镇,tang'qiao'zhen
塘外镇,tang'wai'zhen
塘湾镇,tang'wan'zhen
唐行镇,tang'xing'zhen
唐镇镇,tang'zhen'zhen
桃浦镇,tao'pu'zhen
题桥镇,ti'qiao'zhen
田林街道,tian'lin'jie'dao
天马山镇,tian'ma'shan'zhen
天目西路街道,tian'mu'xi'lu'jie'dao
亭林镇,ting'lin'zhen
头桥镇,tou'qiao'zhen
瓦屑镇,wa'xie'zhen
外冈镇,wai'gang'zhen
万安镇,wan'an'zhen
万祥镇,wan'xiang'zhen
湾镇镇,wan'zhen'zhen
王港镇,wang'gang'zhen
王鲁玙镇,wang'lu'yu'zhen
望仙桥镇,wang'xian'qiao'zhen
望新镇,wang'xin'zhen
吴店镇,wu'dian'zhen
五角场镇,wu'jiao'chang'zhen
邬桥镇,wu'qiao'zhen
五厍镇,wu'she'zhen
吴淞镇,wu'song'zhen
吴淞镇街道,wu'song'zhen'jie'dao
五滧乡,wu'yao'xiang
五滧镇,wu'yao'zhen
西岑镇,xi'cen'zhen
西渡镇,xi'du'zhen
西护塘镇,xi'hu'tang'zhen
西门镇,xi'men'zhen
西三江口镇,xi'san'jiang'kou'zhen
下坊渡镇,xia'fang'du'zhen
下三星镇,xia'san'xing'zhen
下沙镇,xia'sha'zhen
下协隆镇,xia'xie'long'zhen
香花桥镇,xiang'hua'qiao'zhen
向化镇,xiang'hua'zhen
响哃镇,xiang'tong'zhen
小东门街道,xiao'dong'men'jie'dao
小横河镇,xiao'heng'he'zhen
小昆山镇,xiao'kun'shan'zhen
小竖河镇,xiao'shu'he'zhen
萧塘镇,xiao'tang'zhen
小湾镇,xiao'wan'zhen
小营房镇,xiao'ying'fang'zhen
小蒸镇,xiao'zheng'zhen
协隆镇,xie'long'zhen
斜土路街道,xie'tu'lu'jie'dao
新安镇,xin'an'zhen
新浜镇,xin'bang'zhen
新场镇,xin'chang'zhen
新成路街道,xin'cheng'lu'jie'dao
新村乡,xin'cun'xiang
新村镇,xin'cun'zhen
新风镇,xin'feng'zhen
新港路街道,xin'gang'lu'jie'dao
新港镇,xin'gang'zhen
新河镇,xin'he'zhen
新泾镇,xin'jing'zhen
新绿镇,xin'lv'zhen
新米行镇,xin'mi'hang'zhen
新民镇,xin'min'zhen
新农镇,xin'nong'zhen
新桥镇,xin'qiao'zhen
新寺镇,xin'si'zhen
新镇镇,xin'zhen'zhen
莘庄镇,xin'zhuang'zhen
兴塔镇,xing'ta'zhen
徐家汇街道,xu'jia'hui'jie'dao
徐家行镇,xu'jia'xing'zhen
徐泾镇,xu'jing'zhen
徐路镇,xu'lu'zhen
徐行镇,xu'xing'zhen
宣桥镇,xuan'qiao'zhen
盐仓镇,yan'cang'zhen
烟墩头镇,yan'dun'tou'zhen
延吉新村街道,yan'ji'xin'cun'jie'dao
严桥镇,yan'qiao'zhen
杨家桥镇,yang'jia'qiao'zhen
杨家镇镇,yang'jia'zhen'zhen
洋泾街道,yang'jing'jie'dao
洋泾镇,yang'jing'zhen
杨柳桥镇,yang'liu'qiao'zhen
洋桥镇,yang'qiao'zhen
杨思镇,yang'si'zhen
杨行镇,yang'xing'zhen
杨园镇,yang'yuan'zhen
滧村镇,yao'cun'zhen
叶榭镇,ye'xie'zhen
一号桥镇,yi'hao'qiao'zhen
殷行街道,yin'xing'jie'dao
永隆镇,yong'long'zhen
油桥镇,you'qiao'zhen
友谊路街道,you'yi'lu'jie'dao
裕安镇,yu'an'zhen
御桥镇,yu'qiao'zhen
圆沙镇,yuan'sha'zhen
月浦镇,yue'pu'zhen
张家桥镇,zhang'jia'qiao'zhen
张江镇,zhang'jiang'zhen
张桥镇,zhang'qiao'zhen
张堰镇,zhang'yan'zhen
章堰镇,zhang'yan'zhen
张泽镇,zhang'ze'zhen
召楼镇,zhao'lou'zhen
赵屯镇,zhao'tun'zhen
赵巷镇,zhao'xiang'zhen
赵行镇,zhao'xing'zhen
柘林镇,zhe'lin'zhen
真如镇,zhen'ru'zhen
蒸淀镇,zheng'dian'zhen
芷江西路街道,zhi'jiang'xi'lu'jie'dao
中港镇,zhong'gang'zhen
重固镇,zhong'gu'zhen
中山北路街道,zhong'shan'bei'lu'jie'dao
中兴镇,zhong'xing'zhen
周浦镇,zhou'pu'zhen
朱家角镇,zhu'jia'jiao'zhen
朱家桥镇,zhu'jia'qiao'zhen
朱泾镇,zhu'jing'zhen
祝桥镇,zhu'qiao'zhen
竹桥镇,zhu'qiao'zhen
朱行镇,zhu'xing'zhen
诸翟镇,zhu'zhai'zhen
颛桥镇,zhuan'qiao'zhen
庄行镇,zhuang'xing'zhen
