鳌仙,ao'xian
石羊,shi'yang
石子岭,shi'zi'ling
狮子坡,shi'zi'po
书堂,shu'tang
书院,shu'yuan
双河,shuang'he
双江,shuang'jiang
双井,shuang'jing
双龙,shuang'long
双滂,shuang'pang
双桥,shuang'qiao
双塘,shuang'tang
水口山,shui'kou'shan
寺冲,si'chong
四方,si'fang
泗汾,si'fen
泗汾镇,si'fen'zhen
四塘,si'tang
司徒,si'tu
四杨,si'yang
苏家垅,su'jia'long
孙家湾,sun'jia'wan
孙家湾乡,sun'jia'wan'xiang
台前,tai'qian
太阳桥,tai'yang'qiao
台洲,tai'zhou
潭塘,tan'tang
潭湾,tan'wan
塘坊,tang'fang
唐家坳,tang'jia'ao
唐家冲,tang'jia'chong
汤家坪,tang'jia'ping
桃花,tao'hua
陶家垅,tao'jia'long
天符,tian'fu
田心,tian'xin
铁河口,tie'he'kou
桐桥,tong'qiao
潼塘,tong'tang
土埠,tu'bu
土株岭,tu'zhu'ling
氽溪,tun'xi
瓦子坪,wa'zi'ping
湾富,wan'fu
万宜,wan'yi
王坊,wang'fang
王坊镇,wang'fang'zhen
汪家垅,wang'jia'long
汪家桥,wang'jia'qiao
王仙,wang'xian
望仙桥,wang'xian'qiao
王仙镇,wang'xian'zhen
沩山,wei'shan
文家湾,wen'jia'wan
文庙,wen'miao
温泉,wen'quan
文山,wen'shan
五里墩,wu'li'dun
五里牌,wu'li'pai
乌石,wu'shi
五石,wu'shi
西岸,xi'an
西林,xi'lin
西山街道,xi'shan'jie'dao
西塘坪,xi'tang'ping
夏坪桥,xia'ping'qiao
下三洲,xia'san'zhou
夏星,xia'xing
仙石,xian'shi
仙霞,xian'xia
仙霞镇,xian'xia'zhen
香水,xiang'shui
向阳,xiang'yang
小洞塘,xiao'dong'tang
小横,xiao'heng
肖家冲,xiao'jia'chong
筱溪冲,xiao'xi'chong
潇湘,xiao'xiang
小阳坑,xiao'yang'keng
新庵,xin'an
新大塘,xin'da'tang
新联,xin'lian
新莲,xin'lian
新民,xin'min
新桥,xin'qiao
新树,xin'shu
新台,xin'tai
新塘,xin'tang
新田,xin'tian
新阳,xin'yang
新阳乡,xin'yang'xiang
星湖,xing'hu
星火,xing'huo
星桥,xing'qiao
盐山,yan'shan
阳东,yang'dong
杨家垅,yang'jia'long
杨家湾,yang'jia'wan
杨林,yang'lin
杨木档,yang'mu'dang
阳三,yang'san
阳三街道,yang'san'jie'dao
殷家冲,yin'jia'chong
营田,ying'tian
永红,yong'hong
油田,you'tian
玉茶,yu'cha
鱼梁桥,yu'liang'qiao
裕民,yu'min
玉潘,yu'pan
玉屏山,yu'ping'shan
渔潭洲,yu'tan'zhou
玉堂,yu'tang
云岩,yun'yan
增加滩,zeng'jia'tan
柞市,zha'shi
斋江,zhai'jiang
寨下,zhai'xia
樟椴,zhang'duan
樟桥,zhang'qiao
樟树,zhang'shu
赵高段,zhao'gao'duan
赵公岭,zhao'gong'ling
址泉,zhi'quan
钟鼓,zhong'gu
中心,zhong'xin
周坊,zhou'fang
株抱樟,zhu'bao'zhang
竹湖,zhu'hu
竹花山,zhu'hua'shan
洙塘,zhu'tang
转步,zhuan'bu
庄埠,zhuang'bu
