白马公司,bai'ma'gong'si
商场,shang'chang
商务会议室,shang'wu'hui'yi'shi
商务中心,shang'wu'zhong'xin
商务中心办公室,shang'wu'zhong'xin'ban'gong'shi
商务组,shang'wu'zu
烧味,shao'wei
烧味场,shao'wei'chang
市场营销部,shi'chang'ying'xiao'bu
市场营销部总监,shi'chang'ying'xiao'bu'zong'jian
食品酒水仓,shi'pin'jiu'shui'cang
收货部,shou'huo'bu
水泵房,shui'beng'fang
四楼音响控制室,si'lou'yin'xiang'kong'zhi'shi
宿舍管理组,su'she'guan'li'zu
特营办,te'ying'ban
停车场副主任,ting'che'chang'fu'zhu'ren
土木工场,tu'mu'gong'chang
土木系统办公室,tu'mu'xi'tong'ban'gong'shi
团队组,tuan'dui'zu
外单位,wai'dan'wei
外联部,wai'lian'bu
外联部助理主任,wai'lian'bu'zhu'li'zhu'ren
外联部主任,wai'lian'bu'zhu'ren
威洁清洁公司,wei'jie'qing'jie'gong'si
维修部,wei'xiu'bu
维修组,wei'xiu'zu
文员,wen'yuan
污水处理厂办公室,wu'shui'chu'li'chang'ban'gong'shi
物业维修经理兼工程监理,wu'ye'wei'xiu'jing'li'jian'gong'cheng'jian'li
西餐办公室,xi'can'ban'gong'shi
西餐收银,xi'can'shou'yin
西餐厅,xi'can'ting
西厨,xi'chu
西厨士多房,xi'chu'shi'duo'fang
洗涤部办公室,xi'di'bu'ban'gong'shi
西点,xi'dian
洗碗间,xi'wan'jian
洗衣中心,xi'yi'zhong'xin
消防报警,xiao'fang'bao'jing
消防经理,xiao'fang'jing'li
信息中心,xin'xi'zhong'xin
信息中心主任,xin'xi'zhong'xin'zhu'ren
行李房,xing'li'fang
行政办公室,xing'zheng'ban'gong'shi
行政办主任,xing'zheng'ban'zhu'ren
行政部,xing'zheng'bu
行政管家,xing'zheng'guan'jia
行政秘书,xing'zheng'mi'shu
行政文员,xing'zheng'wen'yuan
行政助理,xing'zheng'zhu'li
休闲中心,xiu'xian'zhong'xin
询问处,xun'wen'chu
宴会办公室,yan'hui'ban'gong'shi
宴会厅,yan'hui'ting
宴会销售部,yan'hui'xiao'shou'bu
宴会销售电脑房,yan'hui'xiao'shou'dian'nao'fang
医务室,yi'wu'shi
医务室计生,yi'wu'shi'ji'sheng
应付,ying'fu
营收,ying'shou
营业处,ying'ye'chu
友好旅行社票务中心,you'hao'lv'xing'she'piao'wu'zhong'xin
员工娱乐室,yuan'gong'yu'le'shi
招聘主任,zhao'pin'zhu'ren
招商协会,zhao'shang'xie'hui
值班调度室,zhi'ban'diao'du'shi
值班经理办公室,zhi'ban'jing'li'ban'gong'shi
值班经理台,zhi'ban'jing'li'tai
制服房,zhi'fu'fang
执行董事,zhi'xing'dong'shi
中餐办公室,zhong'can'ban'gong'shi
中餐收银,zhong'can'shou'yin
中餐厅荷花轩,zhong'can'ting'he'hua'xuan
中餐营业,zhong'can'ying'ye
中厨,zhong'chu
中厨办公室,zhong'chu'ban'gong'shi
中点,zhong'dian
中点办公室,zhong'dian'ban'gong'shi
中区电脑房,zhong'qu'dian'nao'fang
中区电梯机房,zhong'qu'dian'ti'ji'fang
钟仔房,zhong'zi'fang
资金经理,zi'jin'jing'li
资料室,zi'liao'shi
总裁办主任,zong'cai'ban'zhu'ren
总监,zong'jian
总务部经理,zong'wu'bu'jing'li
座大堂公用电话,zuo'da'tang'gong'yong'dian'hua
座电梯机房,zuo'dian'ti'ji'fang
