安节,an'jie
履道坦坦,lv'dao'tan'tan
旅焚其次,lv'fen'qi'ci
履卦,lv'gua
旅卦,lv'gua
履虎尾,lv'hu'wei
旅即次,lv'ji'ci
旅人先笑后号啕,lv'ren'xian'xiao'hou'hao'tao
履霜坚冰至,lv'shuang'jian'bing'zhi
旅琐琐,lv'suo'suo
旅于处,lv'yu'chu
马匹亡,ma'pi'wang
蒙卦,meng'gua
迷复,mi'fu
密云不雨,mi'yun'bu'yu
眇能视,miao'neng'shi
蔑贞凶,mie'zhen'xiong
鸣鹤在阴,ming'he'zai'yin
鸣谦,ming'qian
冥升,ming'sheng
明夷卦,ming'yi'gua
明夷于飞,ming'yi'yu'fei
明夷于南狩,ming'yi'yu'nan'shou
冥豫,ming'yu
鸣豫,ming'yu
莫夜有戎,mo'ye'you'rong
莫益之,mo'yi'zhi
莫之胜说,mo'zhi'sheng'shuo
纳妇吉,na'fu'ji
纳约自牖,na'yue'zi'you
乃从维之,nai'cong'wei'zhi
乃乱乃萃,nai'luan'nai'cui
乃徐有说,nai'xu'you'shuo
南征吉,nan'zheng'ji
鸟焚其巢,niao'fen'qi'chao
女承筐无实,nv'cheng'kuang'wu'shi
女归吉,nv'gui'ji
女壮,nv'zhuang
女子贞不字,nv'zi'zhen'bu'zi
磐桓,pan'huan
朋从尔思,peng'cong'er'si
朋盍簪,peng'he'zan
朋来无咎,peng'lai'wu'jiu
朋亡,peng'wang
朋至斯孚,peng'zhi'si'fu
翩翩不富以其邻,pian'pian'bu'fu'yi'qi'lin
频复,pin'fu
频巽,pin'xun
其匪正有眚,qi'fei'zheng'you'sheng
戚嗟若,qi'jie'ruo
其君之袂,qi'jun'zhi'mei
其来复吉,qi'lai'fu'ji
其牛掣,qi'niu'che
其人天且劓,qi'ren'tian'qie'yi
七日得,qi'ri'de
七日来复,qi'ri'lai'fu
其亡其亡,qi'wang'qi'wang
其心不快,qi'xin'bu'kuai
其行次且,qi'xing'ci'qie
其行塞,qi'xing'sai
其形渥,qi'xing'wo
其行趑趄,qi'xing'zi'ju
起凶,qi'xiong
其旋元吉,qi'xuan'yuan'ji
泣血涟如,qi'xue'lian'ru
其血玄黄,qi'xue'xuan'huang
其邑人三百户,qi'yi'ren'san'bai'hu
其羽可用为仪,qi'yu'ke'yong'wei'yi
其欲逐逐,qi'yu'zhu'zhu
汔至,qi'zhi
其子和之,qi'zi'he'zhi
牵复吉,qian'fu'ji
谦卦,qian'gua
潜龙勿用,qian'long'wu'yong
谦谦君子,qian'qian'jun'zi
牵羊悔亡,qian'yang'hui'wang
倾否,qing'fou
求婚媾往,qiu'hun'gou'wang
求小得,qiu'xiao'de
取女吉,qu'nv'ji
阒其无人,qu'qi'wu'ren
去逖出,qu'ti'chu
日昃之离,ri'ze'zhi'li
日中见斗,ri'zhong'jian'dou
日中见沫,ri'zhong'jian'mo
濡其首,ru'qi'shou
濡其尾,ru'qi'wei
繻有衣袽,ru'you'yi'ru
入于坎窞,ru'yu'kan'dan
入于其宫,ru'yu'qi'gong
入于穴,ru'yu'xue
入于幽谷,ru'yu'you'gu
入于左腹,ru'yu'zuo'fu
若号,ruo'hao
若濡有愠,ruo'ru'you'yun
三年克之,san'nian'ke'zhi
三年有赏于大国,san'nian'you'shang'yu'da'guo
三人行则损一人,san'ren'xing'ze'sun'yi'ren
三日不食,san'ri'bu'shi
三岁不得,san'sui'bu'de
三岁不觌,san'sui'bu'di
三岁不兴,san'sui'bu'xing
三岁不孕,san'sui'bu'yun
丧马勿逐,sang'ma'wu'zhu
丧牛于易,sang'niu'yu'yi
丧其童仆,sang'qi'tong'pu
丧其资斧,sang'qi'zi'fu
丧羊于易,sang'yang'yu'yi
尚德载,shang'de'zai
商兑未宁,shang'dui'wei'ning
舍车而徒,she'che'er'tu
舍尔灵龟,she'er'ling'gui
射雉一矢亡,she'zhi'yi'shi'wang
升卦,sheng'gua
升阶,sheng'jie
升其高陵,sheng'qi'gao'ling
升虚邑,sheng'xu'yi
师出以律,shi'chu'yi'lv
使遄有喜,shi'chuan'you'xi
失得勿恤,shi'de'wu'xu
噬肤灭鼻,shi'fu'mie'bi
噬干胏,shi'gan'zi
师卦,shi'gua
师或舆尸,shi'huo'yu'shi
食旧德,shi'jiu'de
视矍矍,shi'jue'jue
噬嗑卦,shi'ke'gua
士刲羊无血,shi'kui'yang'wu'xue
噬腊肉,shi'la'rou
视履考祥,shi'lv'kao'xiang
十年乃字,shi'nian'nai'zi
十年勿用,shi'nian'wu'yong
失前禽,shi'qian'qin
噬乾肉,shi'qian'rou
实受其福,shi'shou'qi'fu
是谓灾眚,shi'wei'zai'sheng
失小子,shi'xiao'zi
失丈夫,shi'zhang'fu
师左次,shi'zuo'ci
守柔,shou'rou
受兹介福,shou'zi'jie'fu
硕果不食,shuo'guo'bu'shi
愬愬终吉,shuo'shuo'zhong'ji
斯其所取灾,si'qi'suo'qu'zai
讼卦,song'gua
讼元吉,song'yuan'ji
夙吉,su'ji
素履,su'lv
随卦,sui'gua
虽旬无咎,sui'xun'wu'jiu
随有获,sui'you'huo
随有求得,sui'you'qiu'de
损卦,sun'gua
损其疾,sun'qi'ji
所乐而玩者爻之辞也,suo'le'er'wan'zhe'yao'zhi'ci'ye
泰卦,tai'gua
惕号,ti'hao
田获三狐,tian'huo'san'hu
田获三品,tian'huo'san'pin
田无禽,tian'wu'qin
田有禽,tian'you'qin
童观,tong'guan
童蒙吉,tong'meng'ji
童蒙求我,tong'meng'qiu'wo
童牛之牿,tong'niu'zhi'gu
同人卦,tong'ren'gua
同人于郊,tong'ren'yu'jiao
同人于门,tong'ren'yu'men
同人于野,tong'ren'yu'ye
同人于宗,tong'ren'yu'zong
突如其来如,tu'ru'qi'lai'ru
臀困于株木,tun'kun'yu'zhu'mu
屯其膏,tun'qi'gao
屯如邅如,tun'ru'zhan'ru
臀无肤,tun'wu'fu
豚鱼吉,tun'yu'ji
外比之,wai'bi'zhi
往不胜,wang'bu'sheng
王臣蹇蹇,wang'chen'jian'jian
往得疑疾,wang'de'yi'ji
罔孚,wang'fu
往何咎,wang'he'jiu
往吉,wang'ji
往吉无不利,wang'ji'wu'bu'li
王假有家,wang'jia'you'jia
王假有庙,wang'jia'you'miao
王假之,wang'jia'zhi
往蹇,wang'jian
往蹇来反,wang'jian'lai'fan
往蹇来连,wang'jian'lai'lian
往蹇来硕,wang'jian'lai'shuo
往蹇来誉,wang'jian'lai'yu
往来井井,wang'lai'jing'jing
往厉必戒,wang'li'bi'jie
往吝,wang'lin
王明,wang'ming
王三锡命,wang'san'xi'ming
往无咎,wang'wu'jiu
王用出征,wang'yong'chu'zheng
王用亨于岐山,wang'yong'heng'yu'qi'shan
王用亨于西山,wang'yong'heng'yu'xi'shan
王用三驱,wang'yong'san'qu
王用享于帝,wang'yong'xiang'yu'di
往有尚,wang'you'shang
往遇雨则吉,wang'yu'yu'ze'ji
未济卦,wei'ji'gua
未济征凶,wei'ji'zheng'xiong
为咎,wei'jiu
威如,wei'ru
惟入于林中,wei'ru'yu'lin'zhong
为我心恻,wei'wo'xin'ce
维心亨,wei'xin'heng
维用伐邑,wei'yong'fa'yi
未占有孚,wei'zhan'you'fu
闻言不信,wen'yan'bu'xin
瓮敝漏,weng'bi'lou
我仇有疾,wo'chou'you'ji
我心不快,wo'xin'bu'kuai
我有好爵,wo'you'hao'jue
无不利,wu'bu'li
无成,wu'cheng
无成有终,wu'cheng'you'zhong
无初有终,wu'chu'you'zhong
无大咎,wu'da'jiu
无号,wu'hao
无悔,wu'hui
无交害,wu'jiao'hai
无咎,wu'jiu
无咎无誉,wu'jiu'wu'yu
无平不陂,wu'ping'bu'bei
武人为于大君,wu'ren'wei'yu'da'jun
无丧无得,wu'sang'wu'de
无眚,wu'sheng
无所往,wu'suo'wang
无妄,wu'wang
无往不复,wu'wang'bu'fu
无妄卦,wu'wang'gua
无妄之疾,wu'wang'zhi'ji
无妄之灾,wu'wang'zhi'zai
勿问元吉,wu'wen'yuan'ji
勿恤,wu'xu
勿恤其孚,wu'xu'qi'fu
勿药有喜,wu'yao'you'xi
勿疑,wu'yi
勿用,wu'yong
勿用取女,wu'yong'qu'nv
勿用师,wu'yong'shi
勿用永贞,wu'yong'yong'zhen
勿用有攸往,wu'yong'you'you'wang
勿忧,wu'you
无攸利,wu'you'li
无攸遂,wu'you'sui
吾与尔靡之,wu'yu'er'mi'zhi
无祗悔,wu'zhi'hui
勿逐,wu'zhu
系遁,xi'dun
习坎,xi'kan
咥人,xi'ren
夕惕若厉,xi'ti'ruo'li
系小子,xi'xiao'zi
系用徽纆,xi'yong'hui'mo
系丈夫,xi'zhang'fu
显比,xian'bi
先否后喜,xian'fou'hou'xi
先庚三日,xian'geng'san'ri
咸卦,xian'gua
先号啕而后笑,xian'hao'tao'er'hou'xiao
先甲三日,xian'jia'san'ri
咸临,xian'lin
苋陆夬夬,xian'lu'jue'jue
先迷后得主,xian'mi'hou'de'zhu
咸其腓,xian'qi'fei
咸其辅颊舌,xian'qi'fu'jia'she
咸其股,xian'qi'gu
咸其脢,xian'qi'mei
咸其拇,xian'qi'mu
险且枕,xian'qie'zhen
闲有家,xian'you'jia
先张之弧,xian'zhang'zhi'hu
小畜卦,xiao'chu'gua
小过卦,xiao'guo'gua
小亨,xiao'heng
小狐汔济,xiao'hu'qi'ji
小利贞,xiao'li'zhen
小吝,xiao'lin
小人剥庐,xiao'ren'bo'lu
小人否,xiao'ren'fou
小人弗克,xiao'ren'fu'ke
小人革面,xiao'ren'ge'mian
小人吉,xiao'ren'ji
小人勿用,xiao'ren'wu'yong
小人用壮,xiao'ren'yong'zhuang
小事吉,xiao'shi'ji
小往大来,xiao'wang'da'lai
笑言哑哑,xiao'yan'ya'ya
小有言,xiao'you'yan
小贞吉,xiao'zhen'ji
小子厉,xiao'zi'li
行其庭,xing'qi'ting
行人之得,xing'ren'zhi'de
行有尚,xing'you'shang
行有眚,xing'you'sheng
休否,xiu'fou
休复,xiu'fu
需卦,xu'gua
盱豫悔,xu'yu'hui
需于郊,xu'yu'jiao
需于酒食,xu'yu'jiu'shi
需于泥,xu'yu'ni
需于沙,xu'yu'sha
需于血,xu'yu'xue
血去惕出,xue'qu'ti'chu
巽卦,xun'gua
巽在牀下,xun'zai'chuang'xia
言有序,yan'you'xu
扬于王庭,yang'yu'wang'ting
仰则观象于天,yang'ze'guan'xiang'yu'tian
曳其轮,ye'qi'lun
益卦,yi'gua
颐卦,yi'gua
易经曰,yi'jing'yue
以类万物之情,yi'lei'wan'wu'zhi'qing
以明,yi'ming
以杞包瓜,yi'qi'bao'gua
以其国君,yi'qi'guo'jun
以其汇,yi'qi'hui
邑人不诫吉,yi'ren'bu'jie'ji
一人行则得其友,yi'ren'xing'ze'de'qi'you
邑人之灾,yi'ren'zhi'zai
宜日中,yi'ri'zhong
亿丧贝,yi'sang'bei
已事遄往,yi'shi'chuan'wang
以通神明之德,yi'tong'shen'ming'zhi'de
亦未繘井,yi'wei'jue'jing
一握为笑,yi'wo'wei'xiao
亿无丧,yi'wu'sang
夷于左股,yi'yu'zuo'gu
劓刖,yi'yue
易则易知,yi'ze'yi'zhi
益之用凶事,yi'zhi'yong'xiong'shi
以祉元吉,yi'zhi'yuan'ji
易知则有亲易从则有功,yi'zhi'ze'you'qin'yi'cong'ze'you'gong
引兑,yin'dui
引吉,yin'ji
饮食衎衎,yin'shi'kan'kan
用大牲吉利,yong'da'sheng'ji'li
用冯河,yong'feng'he
用缶,yong'fou
用见大人,yong'jian'da'ren
用涉大川,yong'she'da'chuan
用史巫纷若,yong'shi'wu'fen'ruo
用说桎梏以,yong'shuo'zhi'gu'yi
用行师,yong'xing'shi
用拯马壮,yong'zheng'ma'zhuang
有不速之客三人来,you'bu'su'zhi'ke'san'ren'lai
有孚,you'fu
有孚比之,you'fu'bi'zhi
有孚不终,you'fu'bu'zhong
有孚发若,you'fu'fa'ruo
有孚改命,you'fu'gai'ming
有孚惠我德,you'fu'hui'wo'de
有孚惠心,you'fu'hui'xin
有孚挛如,you'fu'luan'ru
有孚失是,you'fu'shi'shi
有孚威如,you'fu'wei'ru
有孚盈缶,you'fu'ying'fou
有孚顒若,you'fu'yu'ruo
有孚于小人,you'fu'yu'xiao'ren
有孚于饮酒,you'fu'yu'yin'jiu
有孚元吉,you'fu'yuan'ji
有孚在道,you'fu'zai'dao
有悔,you'hui
